Store Number,Footage,"
16"" Shelves"," 
1x48 Snap Rail","
Snap Rail Pegs 8"""
1257,16FT,0,6,59
1260,16FT,0,6,59
1296,16FT,0,6,59
1357,16FT,0,6,59
1368,16FT,0,6,59
1369,16FT,0,6,59
1380,16FT,0,6,59
1399,16FT,0,6,59
1404,16FT,0,6,59
1420,16FT,0,6,59
1467,16FT,0,6,59
1482,16FT,0,6,59
1509,16FT,0,6,59
1512,16FT,0,6,59
1517,16FT,0,6,59
1540,16FT,0,6,59
1553,16FT,0,6,59
1603,16FT,0,6,59
1653,16FT,0,6,59
1663,16FT,0,6,59
1680,16FT,0,6,59
1688,16FT,0,6,59
1717,16FT,0,6,59
1732,16FT,0,6,59
1755,16FT,0,6,59
1786,16FT,0,6,59
1795,16FT,0,6,59
1821,16FT,0,6,59
1865,16FT,0,6,59
1867,16FT,0,6,59
1876,16FT,0,6,59
1877,16FT,0,6,59
1881,16FT,0,6,59
1905,16FT,0,6,59
1906,16FT,0,6,59
1908,16FT,0,6,59
1917,16FT,0,6,59
1933,16FT,0,6,59
1958,16FT,0,6,59
1972,16FT,0,6,59
2020,16FT,0,6,59
2022,16FT,0,6,59
2026,16FT,0,6,59
2028,16FT,0,6,59
2032,16FT,0,6,59
2047,16FT,0,6,59
2067,16FT,0,6,59
2094,16FT,0,6,59
2095,16FT,0,6,59
2103,16FT,0,6,59
2139,16FT,0,6,59
2146,16FT,0,6,59
2150,16FT,0,6,59
