Market Number,Store Number,Total Season Pallets Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
1,853,19,18,15
1,866,41,39,34
1,904,17,17,15
1,934,12,11,10
1,991,29,26,23
1,1212,27,25,21
1,2748,10,9,8
1,4333,16,15,13
1,4581,13,13,12
1,5174,23,21,18
1,6173,18,16,14
2,562,13,13,12
2,670,32,29,28
2,762,13,12,12
2,1158,18,16,16
2,1711,14,11,9
2,2723,13,15,14
2,5113,29,23,20
2,7280,27,22,19
3,298,24,23,22
3,300,16,15,13
3,301,24,22,19
3,315,24,21,18
3,316,22,20,18
3,691,29,26,24
3,1201,22,21,20
3,2713,20,19,16
3,3386,24,23,20
3,5126,16,16,15
4,105,36,31,27
4,114,18,16,15
4,118,16,15,13
4,153,20,19,17
4,164,21,18,16
4,258,24,22,19
4,273,12,11,10
4,303,8,6,5
4,391,15,14,13
5,306,28,26,22
5,314,22,19,16
5,332,9,10,9
5,375,12,10,8
5,433,26,19,14
5,434,16,13,11
5,681,25,22,18
5,712,25,22,19
5,5197,22,20,17
5,6878,27,25,25
5,7324,11,12,11
7,604,33,28,26
7,723,17,15,14
7,734,30,27,25
7,740,21,18,15
7,1091,27,25,23
7,1134,24,23,21
7,1462,14,14,12
7,1638,14,15,14
7,2114,34,29,26
7,2534,28,26,22
8,424,14,12,11
8,483,18,16,15
8,700,20,19,19
8,930,13,8,8
8,938,15,14,13
8,1101,21,18,16
8,4318,25,26,23
8,4407,23,21,20
8,5348,20,15,12
9,3049,13,13,10
9,3143,14,13,11
9,3357,9,8,6
9,3377,22,20,17
9,4264,7,8,7
9,4293,10,8,8
9,4324,7,6,5
9,4473,21,18,16
9,4490,25,23,20
9,4603,10,7,7
9,5304,7,6,5
9,5725,14,13,12
10,329,15,14,13
10,355,25,18,15
10,356,13,12,10
10,432,12,11,10
10,726,16,14,13
10,730,17,16,15
10,733,15,15,13
10,809,26,24,22
10,863,16,13,12
10,1057,5,4,4
11,287,32,23,19
11,362,12,11,10
11,425,8,7,6
11,715,22,19,17
11,731,14,14,13
11,764,22,19,15
11,1052,10,8,8
11,2306,16,16,12
13,423,22,21,17
13,1229,17,15,13
13,1481,9,8,7
13,2111,14,13,12
13,3271,15,14,12
13,4330,16,15,14
13,4497,14,13,12
13,5262,14,11,10
14,990,55,51,47
14,1174,10,10,9
14,1222,37,36,32
14,1224,34,31,28
14,1493,13,13,12
14,1605,36,33,31
14,1620,20,17,14
14,2533,20,19,17
14,2739,14,12,12
14,2760,7,7,6
14,3484,23,25,22
14,3785,12,11,10
14,7247,8,7,7
15,818,13,11,11
15,919,24,22,19
15,944,33,30,27
15,1032,31,22,19
15,1207,29,27,23
15,1362,15,14,12
15,3075,19,18,17
15,3119,14,13,11
15,3439,24,23,20
15,5845,21,19,18
15,5872,9,8,7
16,494,24,21,19
16,614,21,17,16
16,932,28,25,22
16,1112,19,17,15
16,1284,25,22,18
16,1311,28,24,22
16,1338,16,14,13
16,3461,24,23,22
16,4200,25,19,18
16,4283,18,15,13
16,5363,24,20,17
18,515,36,33,30
18,1070,24,22,18
18,1122,20,19,19
18,1403,20,18,18
18,2513,18,18,16
18,2753,10,8,8
18,3485,25,25,22
18,3874,25,20,17
18,4616,21,20,18
18,5786,19,18,18
18,5812,19,19,16
18,7185,19,17,14
19,594,34,35,30
19,745,26,18,16
19,787,17,13,11
19,3201,19,18,16
19,3402,18,17,14
19,3609,18,14,12
19,5709,22,20,18
20,855,24,17,13
20,1047,17,15,13
20,3118,11,10,7
20,3401,12,13,11
20,3709,1,8,8
20,3710,13,13,12
20,6998,18,13,11
21,3,24,23,21
21,510,15,14,13
21,520,32,30,26
21,780,23,22,20
21,1111,14,13,13
21,1121,28,23,21
21,1363,19,18,16
21,1400,23,22,19
21,2811,26,16,13
21,3627,22,21,19
21,5482,17,14,10
22,615,19,17,16
22,722,25,21,17
22,727,17,16,14
22,856,20,19,17
22,1488,24,22,20
22,2732,24,23,21
22,3205,25,24,22
22,3741,31,12,9
22,4409,15,14,14
23,1184,15,12,11
23,1373,15,14,13
23,1720,36,34,32
23,2584,12,12,9
23,3067,8,8,7
23,3188,12,10,9
23,3621,21,18,17
24,518,22,20,18
24,878,12,11,9
24,1314,14,13,12
24,1578,11,9,8
24,1766,7,7,6
24,2154,15,13,11
24,2941,12,11,9
24,3462,33,17,13
24,4185,11,10,10
24,4436,13,10,8
24,5814,15,14,13
25,459,24,23,21
25,548,42,41,33
25,1340,11,9,8
25,2475,24,20,17
25,3388,20,18,15
25,3389,17,16,14
25,3786,22,22,19
25,4472,14,14,12
25,4558,18,17,15
25,5252,31,26,24
26,575,19,16,13
26,618,27,24,21
26,937,10,11,9
26,1181,17,15,12
26,1586,20,18,16
26,3403,28,27,24
26,3471,15,14,13
26,3611,18,18,16
26,3748,24,21,17
26,5275,26,24,23
26,5390,18,18,16
27,588,19,19,18
27,843,7,8,7
27,889,12,11,10
27,899,26,23,19
27,952,14,13,11
27,1006,19,17,14
27,1072,18,19,16
27,2615,22,21,18
27,5797,19,15,12
27,7194,14,13,12
27,7245,14,13,11
28,556,26,19,15
28,593,27,24,21
28,639,26,27,25
