Region ,Market ,Goal ,,,,,,
42,322,54.8%,,,,,,
42,323,66.6%,,,,,,
42,324,92.6%,,,,,,
42,325,59.7%,,,,,,
42,326,53.4%,,,,,,
42,327,83.2%,,,,,,
42,328,67.2%,,,,,,
42,334,68.6%,,,,,,
44,Region Total,70.6%,,,,,,
44,47,82.4%,,,,,,
44,344,72.9%,,,,,,
44,345,63.7%,,,,,,
44,347,60.1%,,,,,,
44,349,67.6%,,,,,,
44,350,77.5%,,,,,,
44,351,54.8%,,,,,,
44,352,79.0%,,,,,,
44,353,66.3%,,,,,,
44,356,71.4%,,,,,,
44,409,72.4%,,,,,,
44,410,77.5%,,,,,,
46,Region Total,77.6%,,,,,,
46,366,46.4%,,,,,,
46,367,62.1%,,,,,,
46,368,69.2%,,,,,,
46,369,77.8%,,,,,,
46,370,92.6%,,,,,,
46,371,77.9%,,,,,,
46,372,86.6%,,,,,,
46,373,76.8%,,,,,,
46,375,84.1%,,,,,,
46,384,91.9%,,,,,,
46,385,105.9%,,,,,,
46,387,72.5%,,,,,,
47,Region Total,78.7%,,,,,,
47,381,71.8%,,,,,,
47,382,87.0%,,,,,,
47,383,88.0%,,,,,,
47,406,63.0%,,,,,,
47,407,74.5%,,,,,,
47,411,82.2%,,,,,,
47,427,92.0%,,,,,,
47,429,98.4%,,,,,,
47,430,81.6%,,,,,,
47,432,68.8%,,,,,,
47,433,64.9%,,,,,,
52,Region Total,80.0%,,,,,,
52,412,88.7%,,,,,,
52,413,74.9%,,,,,,
52,414,82.3%,,,,,,
52,415,94.1%,,,,,,
52,418,78.1%,,,,,,
52,419,69.2%,,,,,,
52,421,69.0%,,,,,,
52,422,99.2%,,,,,,
52,423,87.1%,,,,,,
52,424,73.6%,,,,,,
52,426,65.6%,,,,,,
53,Region Total,80.8%,,,,,,
53,196,71.9%,,,,,,
53,263,95.2%,,,,,,
53,425,79.2%,,,,,,
53,435,74.8%,,,,,,
53,436,80.1%,,,,,,
53,438,79.9%,,,,,,
53,439,83.9%,,,,,,
53,440,81.9%,,,,,,
53,441,84.2%,,,,,,
53,442,76.6%,,,,,,
53,444,78.4%,,,,,,
54,Region Total,63.3%,,,,,,
54,376,59.6%,,,,,,
54,378,57.7%,,,,,,
54,379,64.4%,,,,,,
54,380,50.8%,,,,,,
54,388,75.4%,,,,,,
54,389,60.4%,,,,,,
54,391,54.8%,,,,,,
54,401,75.5%,,,,,,
54,403,67.9%,,,,,,
54,582,58.5%,,,,,,
54,585,72.1%,,,,,,
56,Region Total,63.3%,,,,,,
56,392,85.7%,,,,,,
56,399,62.8%,,,,,,
56,400,65.2%,,,,,,
56,450,50.4%,,,,,,
56,451,54.2%,,,,,,
56,452,73.1%,,,,,,
56,453,63.2%,,,,,,
56,454,50.8%,,,,,,
56,455,67.9%,,,,,,
56,457,62.5%,,,,,,
56,468,61.9%,,,,,,
56,511,56.8%,,,,,,
57,Region Total,60.6%,,,,,,
57,394,56.3%,,,,,,
57,396,51.5%,,,,,,
57,405,94.0%,,,,,,
57,446,71.2%,,,,,,
57,447,64.3%,,,,,,
57,448,47.8%,,,,,,
57,449,47.0%,,,,,,
57,465,67.9%,,,,,,
57,470,61.9%,,,,,,
57,484,55.6%,,,,,,
57,581,51.6%,,,,,,
58,Region Total,60.0%,,,,,,
58,364,65.7%,,,,,,
58,365,41.4%,,,,,,
58,445,51.3%,,,,,,
58,458,56.9%,,,,,,
58,459,80.7%,,,,,,
58,460,60.5%,,,,,,
58,461,67.7%,,,,,,
58,462,71.4%,,,,,,
58,463,43.6%,,,,,,
58,464,55.2%,,,,,,
58,466,76.3%,,,,,,
59,Region Total,63.5%,,,,,,
59,485,64.7%,,,,,,
59,494,76.6%,,,,,,
59,496,77.8%,,,,,,
59,497,57.3%,,,,,,
59,498,54.3%,,,,,,
59,499,53.9%,,,,,,
59,500,77.5%,,,,,,
59,502,85.1%,,,,,,
59,509,63.1%,,,,,,
59,516,48.9%,,,,,,
59,546,63.7%,,,,,,
59,554,50.1%,,,,,,
59,566,57.8%,,,,,,
60,Region Total,72.0%,,,,,,
60,467,69.9%,,,,,,
60,469,80.0%,,,,,,
60,471,72.3%,,,,,,
60,472,63.4%,,,,,,
60,473,61.0%,,,,,,
60,474,77.5%,,,,,,
60,475,65.7%,,,,,,
60,476,68.0%,,,,,,
60,477,81.4%,,,,,,
60,478,89.9%,,,,,,
60,514,64.6%,,,,,,
61,Region Total,66.2%,,,,,,
61,9,67.2%,,,,,,
61,397,61.6%,,,,,,
61,481,55.2%,,,,,,
61,490,64.8%,,,,,,
61,491,75.4%,,,,,,
61,510,57.7%,,,,,,
61,512,67.6%,,,,,,
61,515,54.4%,,,,,,
61,550,77.9%,,,,,,
61,551,77.0%,,,,,,
61,552,64.4%,,,,,,
61,557,68.2%,,,,,,
64,Region Total,63.7%,,,,,,
64,58,83.3%,,,,,,
64,504,51.9%,,,,,,
64,507,68.7%,,,,,,
64,526,31.3%,,,,,,
64,528,60.0%,,,,,,
64,533,58.4%,,,,,,
64,541,84.9%,,,,,,
64,542,67.9%,,,,,,
64,543,71.8%,,,,,,
64,561,50.9%,,,,,,
64,562,49.6%,,,,,,
64,570,81.0%,,,,,,
72,Region Total,59.9%,,,,,,
72,96,61.5%,,,,,,
72,102,58.7%,,,,,,
72,103,43.8%,,,,,,
72,488,67.3%,,,,,,
72,492,61.2%,,,,,,
72,534,48.4%,,,,,,
72,537,55.8%,,,,,,
72,538,57.3%,,,,,,
72,544,78.9%,,,,,,
72,545,67.6%,,,,,,
72,548,75.7%,,,,,,
72,549,48.4%,,,,,,
72,559,47.4%,,,,,,
75,Region Total,87.4%,,,,,,
75,281,95.6%,,,,,,
75,282,101.7%,,,,,,
75,287,81.7%,,,,,,
75,288,93.8%,,,,,,
75,289,104.6%,,,,,,
75,290,104.9%,,,,,,
75,291,63.5%,,,,,,
75,293,80.8%,,,,,,
75,312,88.0%,,,,,,
75,314,76.2%,,,,,,
75,315,85.9%,,,,,,
75,508,71.8%,,,,,,
76,Region Total,80.2%,,,,,,
76,189,89.7%,,,,,,
76,191,86.7%,,,,,,
76,192,106.0%,,,,,,
76,194,75.7%,,,,,,
76,195,89.3%,,,,,,
76,228,73.3%,,,,,,
76,231,84.0%,,,,,,
76,280,78.2%,,,,,,
76,283,85.4%,,,,,,
76,286,60.1%,,,,,,
76,292,44.6%,,,,,,
76,320,85.1%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
