Store Number,FOTL 6-PK Underwear,FOTL 6-PK Sock,Hanes 10-PK Underwear
1,,Y,Y
2,,Y,Y
3,Y,Y,Y
4,Y,Y,Y
5,,Y,Y
7,,Y,Y
8,,Y,
9,,Y,Y
10,,Y,Y
11,Y,Y,Y
12,,Y,Y
13,,Y,Y
14,,Y,Y
15,,Y,Y
17,,Y,Y
18,,Y,
19,,Y,Y
20,,Y,Y
21,,Y,Y
22,,Y,Y
23,,Y,Y
24,,Y,Y
25,,Y,Y
26,,Y,Y
28,,Y,Y
29,Y,Y,Y
31,,Y,Y
32,,,Y
34,,Y,
35,,Y,Y
36,Y,Y,Y
37,,Y,Y
38,,Y,
40,,Y,Y
41,,,Y
42,,Y,
43,,,Y
45,,Y,Y
46,,Y,Y
47,,Y,Y
49,,Y,
50,,Y,
51,,Y,
52,,Y,Y
54,,Y,Y
55,,Y,
56,,Y,
58,Y,Y,Y
59,,Y,Y
60,,Y,
61,,Y,Y
62,,Y,Y
63,,,Y
64,,Y,
65,,Y,Y
66,,Y,
67,,,Y
68,,Y,
69,,Y,Y
70,,Y,Y
71,,,Y
72,,Y,Y
73,,Y,Y
75,,Y,Y
76,,Y,Y
77,,Y,Y
78,,Y,
79,,Y,Y
80,,,Y
83,,Y,
85,,Y,Y
86,,Y,
87,,Y,Y
89,,Y,
91,,,Y
92,,Y,
93,,Y,Y
94,,Y,Y
95,,Y,Y
96,,Y,Y
97,,Y,
99,,Y,
100,Y,Y,Y
101,,Y,Y
103,Y,Y,Y
104,,,Y
105,,Y,Y
107,,,Y
108,,Y,
109,,Y,
110,,Y,Y
111,,Y,
112,,Y,Y
113,,Y,
114,,Y,Y
118,,Y,
119,Y,Y,Y
120,,Y,Y
121,,Y,Y
123,,,Y
124,,Y,Y
126,,,Y
127,,Y,Y
128,,Y,Y
129,,Y,Y
130,Y,Y,Y
131,,Y,Y
134,,,Y
135,,,Y
137,,Y,
138,,Y,Y
139,,Y,
140,Y,Y,Y
143,,Y,
144,,Y,Y
146,,Y,
147,,Y,Y
148,Y,Y,Y
149,,Y,
150,,Y,
151,,Y,Y
152,,Y,
153,,Y,Y
154,,Y,Y
155,,,Y
157,Y,Y,Y
158,,,Y
159,,Y,Y
160,,Y,Y
163,Y,Y,Y
164,,,Y
165,,Y,
167,,Y,
168,Y,,Y
170,,Y,Y
171,,Y,Y
172,,Y,Y
173,,Y,
174,,Y,Y
175,,Y,Y
177,,Y,Y
178,,Y,
179,,Y,Y
180,,Y,Y
181,,Y,
182,,Y,Y
184,,Y,Y
185,,Y,Y
188,,Y,Y
189,,Y,Y
190,,Y,Y
192,Y,Y,Y
194,Y,Y,Y
195,,Y,Y
196,,Y,
197,,Y,Y
198,,Y,
199,,Y,
200,,Y,Y
201,,Y,Y
203,,Y,
204,,Y,Y
205,,Y,
206,,Y,Y
211,,Y,Y
212,,Y,Y
213,,Y,
214,,Y,
216,,Y,Y
217,,Y,Y
218,,Y,
219,,Y,Y
220,Y,Y,Y
221,,,Y
222,,Y,
224,,Y,Y
226,,Y,
227,,,Y
228,Y,Y,Y
229,,Y,Y
231,Y,Y,Y
233,,Y,
234,,Y,Y
237,,Y,Y
238,,Y,Y
239,,,Y
240,,Y,
242,,Y,
243,,Y,Y
244,,Y,
248,,,Y
249,,Y,Y
251,,Y,Y
253,,Y,
254,,Y,
256,,,Y
258,Y,Y,Y
259,,Y,Y
260,Y,Y,Y
261,Y,Y,Y
262,,,Y
264,Y,Y,Y
265,,Y,Y
266,,Y,Y
267,,Y,Y
268,,,Y
269,,Y,Y
272,,Y,Y
273,,Y,
275,,Y,Y
276,,Y,
278,Y,Y,Y
280,,Y,
281,,Y,Y
282,,,Y
285,Y,Y,Y
286,,Y,Y
287,Y,Y,Y
289,,Y,
292,,Y,
294,,Y,
295,,,Y
296,,Y,
297,Y,Y,
298,,Y,Y
299,Y,Y,Y
300,,Y,Y
301,Y,Y,Y
302,,Y,
304,,Y,Y
305,,Y,Y
306,,Y,Y
307,,Y,Y
308,,Y,Y
309,,Y,
313,,Y,Y
314,,Y,
315,,,Y
316,,,Y
318,,Y,
319,,Y,Y
320,,,Y
321,,Y,Y
322,Y,Y,Y
328,,Y,Y
329,,Y,Y
331,Y,Y,Y
332,,Y,Y
333,,Y,
334,,Y,
335,,Y,Y
337,,,Y
340,,Y,Y
341,,Y,
342,,Y,
343,,Y,Y
345,Y,Y,Y
346,,Y,
348,,Y,
351,,Y,
353,,Y,
355,Y,Y,Y
356,,Y,Y
357,,Y,Y
359,Y,Y,Y
361,,Y,Y
363,,,Y
364,,Y,
365,,Y,Y
366,,Y,Y
370,,Y,
371,Y,Y,Y
372,Y,Y,Y
375,,,Y
376,,Y,Y
379,,Y,Y
381,Y,,Y
382,,Y,
383,,Y,Y
384,,,Y
386,,Y,Y
387,,Y,
389,,Y,Y
391,,Y,Y
392,,Y,
393,,Y,Y
394,,Y,Y
395,,Y,Y
396,,Y,Y
397,Y,Y,Y
398,Y,Y,Y
399,,Y,Y
400,Y,Y,Y
401,,Y,
402,,Y,
403,,,Y
404,Y,Y,Y
405,,Y,Y
406,,Y,Y
407,Y,Y,Y
408,Y,Y,Y
410,,Y,Y
412,,Y,Y
413,,,Y
414,,Y,Y
415,,Y,
416,,Y,Y
417,Y,Y,Y
420,,Y,Y
421,Y,Y,Y
423,,Y,Y
424,,Y,Y
425,,,Y
426,,,Y
427,,Y,Y
428,,,Y
429,,Y,
430,,Y,
431,,Y,Y
432,,Y,Y
433,,Y,Y
434,,Y,Y
435,,Y,Y
440,,Y,Y
442,,Y,Y
443,,Y,
444,Y,Y,Y
445,,Y,Y
447,Y,Y,Y
448,,Y,Y
449,,Y,Y
450,,Y,Y
451,,Y,
452,Y,Y,Y
454,,Y,
456,Y,Y,Y
457,,Y,Y
459,Y,Y,Y
461,Y,Y,Y
462,,Y,Y
463,,Y,
464,Y,Y,Y
465,,Y,Y
467,,Y,Y
468,,Y,
469,,Y,Y
470,Y,Y,Y
472,,Y,Y
476,,Y,
477,,,Y
479,,Y,Y
481,,Y,Y
483,,Y,Y
484,,Y,Y
485,,Y,
486,,Y,Y
489,Y,Y,Y
490,Y,Y,Y
491,Y,Y,Y
492,,Y,Y
493,,,Y
494,Y,Y,Y
495,,Y,Y
497,,Y,Y
498,,Y,
499,,Y,Y
500,Y,Y,Y
501,Y,Y,Y
504,Y,Y,Y
505,,Y,Y
507,,Y,Y
508,Y,Y,Y
510,,Y,Y
511,Y,Y,Y
512,Y,Y,Y
513,,Y,Y
514,,Y,Y
515,Y,Y,Y
516,,Y,Y
517,,Y,Y
518,,Y,Y
519,,Y,
520,,Y,Y
521,,Y,Y
523,,,Y
526,,Y,Y
527,,Y,
528,,Y,Y
529,,,Y
530,,Y,Y
531,Y,Y,Y
532,Y,Y,Y
533,,Y,Y
535,Y,Y,Y
536,,Y,Y
537,Y,Y,Y
538,Y,Y,Y
539,,Y,Y
540,,Y,
541,Y,Y,Y
542,,Y,Y
543,,Y,Y
544,,Y,Y
546,Y,Y,Y
547,,Y,Y
548,,Y,Y
549,Y,Y,Y
551,Y,Y,Y
553,Y,Y,Y
554,Y,Y,Y
555,Y,Y,Y
556,Y,Y,Y
557,,Y,Y
558,Y,Y,Y
559,,Y,Y
560,,Y,Y
561,,Y,
562,,Y,Y
563,,Y,Y
564,,Y,Y
565,,Y,Y
566,,Y,
568,,Y,
569,,Y,
571,Y,Y,Y
572,,Y,Y
575,,Y,Y
576,,Y,Y
577,Y,Y,Y
578,Y,Y,Y
579,Y,Y,Y
580,,Y,
581,,Y,Y
582,Y,Y,Y
584,,Y,Y
585,,Y,Y
586,Y,Y,Y
588,Y,Y,Y
589,,Y,Y
590,,Y,Y
591,,,Y
592,,Y,Y
593,,Y,Y
594,,Y,Y
595,Y,Y,Y
598,Y,Y,Y
599,Y,Y,Y
600,,,Y
601,Y,Y,Y
602,,Y,
603,,,Y
604,Y,Y,Y
605,Y,Y,Y
606,,Y,
608,Y,Y,Y
609,,Y,Y
610,Y,Y,Y
611,Y,Y,Y
613,Y,Y,Y
614,,Y,Y
615,Y,Y,Y
616,Y,Y,Y
618,,Y,Y
619,,Y,Y
620,,Y,Y
621,,Y,Y
622,Y,Y,Y
623,Y,Y,Y
624,,,Y
625,,Y,Y
627,,Y,Y
629,,Y,
630,,Y,Y
632,,Y,Y
634,,Y,Y
635,,Y,Y
636,,Y,
638,,Y,Y
639,Y,Y,Y
642,,Y,Y
643,,Y,Y
644,Y,Y,Y
645,Y,Y,Y
648,,Y,Y
649,Y,Y,Y
651,Y,Y,Y
652,,Y,Y
653,Y,Y,Y
655,,,Y
656,,Y,Y
657,,Y,Y
658,,Y,Y
659,,Y,Y
660,Y,Y,Y
661,,Y,Y
662,,Y,Y
663,Y,Y,Y
664,Y,Y,Y
665,,Y,Y
666,Y,Y,
668,Y,Y,Y
669,,Y,Y
670,Y,Y,Y
671,Y,Y,Y
672,Y,Y,Y
673,Y,Y,Y
674,,Y,
675,,Y,Y
676,,Y,Y
677,Y,Y,Y
678,,,Y
680,Y,Y,Y
681,,,Y
682,Y,Y,Y
683,,Y,Y
684,,Y,Y
685,Y,Y,Y
686,,Y,Y
687,Y,Y,Y
688,,Y,Y
689,Y,Y,Y
690,,Y,Y
691,Y,Y,Y
692,Y,,Y
694,,Y,Y
695,,Y,Y
696,,Y,Y
