Store Number,Market,Region,Sub Division,Modular
25,359,40,E,Yes
27,357,40,E,Yes
30,335,40,E,Wk37 Mod
82,335,40,E,Yes
88,357,40,E,Yes
99,340,40,E,Yes
145,339,40,E,Yes
198,272,25,E,Yes
203,359,40,E,Yes
222,271,41,E,Yes
233,271,41,E,Yes
237,271,41,E,Yes
252,271,41,E,Wk37 Mod
253,341,40,E,Yes
257,254,41,E,Yes
302,271,41,E,Yes
325,360,40,E,Yes
334,275,25,E,Wk37 Mod
337,335,40,E,Yes
343,275,25,E,Yes
354,336,40,E,Yes
357,336,40,E,Yes
422,273,25,E,Yes
454,272,25,E,Yes
486,362,40,E,Yes
493,259,21,E,Yes
507,260,41,E,Wk37 Mod
519,260,41,E,Wk37 Mod
526,242,41,E,Yes
550,273,25,E,Yes
569,257,41,E,Yes
584,260,41,E,Yes
665,257,41,E,Yes
702,259,21,E,Yes
798,273,25,E,Wk37 Mod
825,257,41,E,Yes
833,271,41,E,Yes
834,360,40,E,Yes
902,251,41,E,Yes
982,425,53,E,Yes
1048,257,41,E,Yes
1160,243,41,E,Yes
1170,256,41,E,Yes
1234,257,41,E,Yes
1239,217,21,E,Yes
1289,221,21,E,Wk37 Mod
1366,440,53,E,Wk37 Mod
1395,272,25,E,Yes
1407,221,21,E,Yes
1416,207,19,E,Yes
1422,204,19,E,Yes
1443,221,21,E,Yes
1445,213,19,E,Yes
1463,223,21,E,Yes
1503,223,21,E,Yes
1519,218,21,E,Yes
1531,270,25,E,Yes
1548,262,25,E,Yes
1569,259,21,E,Wk37 Mod
1628,213,19,E,Yes
1639,247,21,E,Yes
1642,202,19,E,Yes
1675,256,41,E,Yes
1727,439,53,E,Wk37 Mod
1733,203,19,E,Yes
1750,222,21,E,Wk37 Mod
1961,225,21,E,Yes
2035,239,21,E,Yes
2311,247,21,E,Yes
2429,223,21,E,Yes
2509,439,53,E,Yes
2548,316,20,E,Yes
2572,218,21,E,Yes
2613,213,19,E,Wk37 Mod
2646,317,20,E,Yes
2654,257,41,E,Yes
2761,311,20,E,Yes
2774,217,21,E,Yes
2792,316,20,E,Yes
2810,316,20,E,Yes
2849,316,20,E,Yes
2856,361,40,E,Yes
2934,273,25,E,Yes
2968,242,41,E,Yes
3245,436,53,E,Yes
3251,218,21,E,Yes
3282,218,21,E,Wk37 Mod
3303,311,20,E,Yes
3342,225,21,E,Yes
3480,311,20,E,Yes
3515,218,21,E,Wk37 Mod
3571,221,21,E,Yes
3581,216,20,E,Wk37 Mod
3632,205,19,E,Yes
3641,223,21,E,Yes
3643,440,53,E,Wk37 Mod
3772,311,20,E,Yes
3809,213,19,E,Wk37 Mod
4118,256,41,E,Yes
4278,317,20,E,Yes
4281,436,53,E,Yes
4461,259,21,E,Wk37 Mod
4699,262,25,E,Wk37 Mod
5044,263,53,E,Yes
5048,203,19,E,Yes
5097,204,19,E,Yes
5203,217,21,E,Wk37 Mod
5385,207,19,E,Yes
5499,221,21,E,Wk37 Mod
5668,435,53,E,Yes
6951,317,20,E,Yes
7087,243,41,E,Yes
341,407,47,M,Wk37 Mod
342,411,47,M,Wk37 Mod
369,406,47,M,Yes
370,406,47,M,Yes
378,411,47,M,Yes
418,407,47,M,Yes
419,406,47,M,Wk37 Mod
646,415,52,M,Wk37 Mod
647,414,52,M,Yes
748,414,52,M,Yes
784,418,52,M,Yes
985,418,52,M,Yes
1005,426,52,M,Yes
1054,411,47,M,Yes
1389,414,52,M,Wk37 Mod
1393,413,52,M,Yes
1435,413,52,M,Yes
1475,418,52,M,Yes
1491,413,52,M,Yes
1506,415,52,M,Wk37 Mod
1509,415,52,M,Wk37 Mod
1555,463,58,M,Yes
1621,418,52,M,Wk37 Mod
1645,581,57,M,Yes
1683,413,52,M,Wk37 Mod
1692,445,58,M,Yes
1725,582,54,M,Wk37 Mod
1732,414,52,M,Wk37 Mod
1805,463,58,M,Yes
1853,461,58,M,Yes
1859,463,58,M,Yes
1865,421,52,M,Yes
1989,447,57,M,Yes
2028,461,58,M,Yes
2032,446,57,M,Yes
2181,463,58,M,Yes
2242,464,58,M,Yes
2251,484,57,M,Yes
2277,449,57,M,Yes
2517,466,58,M,Yes
2562,406,47,M,Wk37 Mod
2607,383,47,M,Wk37 Mod
2672,389,54,M,Wk37 Mod
2714,426,52,M,Wk37 Mod
2935,413,52,M,Yes
2948,484,57,M,Yes
3177,378,54,M,Wk37 Mod
3394,413,52,M,Yes
3522,484,57,M,Yes
3789,401,54,M,Yes
3806,421,52,M,Yes
3947,458,58,M,Yes
4171,466,58,M,Wk37 Mod
4208,401,54,M,Wk37 Mod
4209,407,47,M,Yes
4238,449,57,M,Yes
4246,412,52,M,Yes
4249,474,60,M,Yes
4322,407,47,M,Yes
4337,365,58,M,Yes
4340,445,58,M,Yes
4471,381,47,M,Yes
4568,432,47,M,Yes
4569,427,47,M,Yes
4606,413,52,M,Wk37 Mod
4849,419,52,M,Yes
5219,411,47,M,Yes
5342,365,58,M,Yes
5394,581,57,M,Yes
5632,449,57,M,Yes
5641,464,58,M,Yes
5701,449,57,M,Yes
5859,581,57,M,Yes
5861,472,60,M,Yes
5869,475,60,M,Yes
5930,464,58,M,Yes
5956,581,57,M,Yes
6392,411,47,M,Yes
7129,429,47,M,Yes
