Region,Market,Store,Digital Shelf Labels,DSL Gen,DSL Start date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date
11,146,97,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,
42,135,98,,,,,,6011,Complete,6/20/2025,,Completed,Completed,
40,340,99,,,,,,6069,,,,8/5/2024,8/5/2024,
42,323,100,YES,Gen 3,5/19/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,,,,Completed,Completed,7/28/2024
40,336,101,,,,,,6069,,,,8/5/2024,8/5/2024,
42,327,102,,,,,,6018,12/20/2024,,,Completed,Completed,8/4/2024
44,351,103,,,,,,6094,,,,Completed,Completed,
11,146,104,,,,,,6066,,,,7/22/2024,7/22/2024,
11,4,105,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
11,146,106,,,,,,6066,,,,7/22/2024,7/22/2024,
11,146,107,,,,,,6066,,,,7/22/2024,7/22/2024,
44,344,108,,,,,,6094,,,,7/15/2024,7/15/2024,
40,360,109,,,,,,6035,5/21/2024,,,8/5/2024,8/5/2024,
3,89,110,,,,,,6020,Complete,,,6/24/2024,6/24/2024,7/24/2024
44,410,111,,,,,,6035,5/21/2024,,,7/15/2024,7/15/2024,
11,138,112,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
44,349,113,,,,,,6068,,,,Completed,Completed,
11,4,114,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
11,138,115,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
42,127,116,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,
44,47,117,,,,,,6018,12/20/2024,,,,,
11,4,118,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
42,328,119,,,,,,6018,12/20/2024,,,Completed,Completed,7/9/2024
11,146,120,,,,,,6066,,,,7/22/2024,7/22/2024,
44,351,121,,,,,,6094,,,,7/15/2024,7/15/2024,
40,335,122,,,,,,6069,,,,Completed,Completed,
44,351,123,,,,,,6094,,,,7/15/2024,7/15/2024,
42,324,124,,,,,,6018,12/20/2024,,,Completed,Completed,7/21/2024
42,321,125,,,,,,6094,,,,Completed,Completed,4/30/2024
42,324,126,,,,,,6018,12/20/2024,,,Completed,Completed,6/23/2024
42,325,127,,,,,,6018,12/20/2024,,,Completed,Completed,7/9/2024
11,329,128,,,,,,6018,12/20/2024,,,Completed,Completed,7/16/2024
44,350,129,,,,,,6068,,,,Completed,Completed,
44,347,130,,,,,,6094,,,,7/15/2024,7/15/2024,
44,47,131,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,
44,344,132,,,,,,6094,,,,7/15/2024,7/15/2024,
42,325,133,,,,,,6018,12/20/2024,,,9/16/2024,9/16/2024,7/23/2024
44,344,134,,,,,,6012,10/10/2024,,,Completed,Completed,
40,360,135,,,,,,6009,,,,8/5/2024,8/5/2024,
44,345,136,,,,,,6094,,,,7/15/2024,7/15/2024,
44,352,137,,,,,,6094,,,,7/15/2024,7/15/2024,
40,357,138,,,,,,6069,,,,Completed,Completed,
44,353,139,,,,,,6068,,,,Completed,Completed,
13,503,140,,,,,,6036,Complete,9/5/2024,,6/24/2024,6/24/2024,
42,321,141,,,,,,6094,,,,Completed,Completed,
41,253,143,,,,,,6066,,,,6/24/2024,6/24/2024,7/14/2024
42,322,144,,,,,,6094,,,,Completed,Completed,
40,339,145,,,,,,6009,,,,8/5/2024,8/5/2024,
13,46,146,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,9/29/2024
44,350,147,,,,,,6068,,,,Completed,Completed,
44,47,148,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,9/30/2024
42,135,149,,,,,,6048,,,,6/24/2024,6/24/2024,
44,344,150,,,,,,6012,10/10/2024,,,7/15/2024,7/15/2024,
44,350,151,,,,,,6094,,,,7/15/2024,7/15/2024,
40,335,152,,,,,,6069,,,,8/5/2024,8/5/2024,
11,4,153,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
20,311,154,,,,,,6039,Complete,2/6/2025,,6/24/2024,6/24/2024,7/30/2024
11,136,155,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,
42,328,157,,,,,,6018,12/20/2024,,,Completed,Completed,7/30/2024
44,350,158,,,,,,6036,Complete,9/5/2024,,Completed,Completed,
40,359,159,,,,,,6069,,,,8/5/2024,8/5/2024,
42,328,160,,,,,,6018,12/20/2024,,,Completed,Completed,
11,147,161,,,,,,6066,,,,7/22/2024,7/22/2024,
44,349,162,,,,,,6068,,,,Completed,Completed,
13,503,163,,,,,,6036,Complete,9/5/2024,,6/24/2024,6/24/2024,
11,4,164,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
13,46,165,,,,,,6036,Complete,9/5/2024,,6/24/2024,6/24/2024,9/18/2024
40,357,166,,,,,,6069,,,,8/5/2024,8/5/2024,
42,327,167,,,,,,6018,12/20/2024,,,Completed,Completed,
44,345,168,,,,,,6094,,,,7/15/2024,7/15/2024,
42,326,169,,,,,,6018,12/20/2024,,,Completed,Completed,7/29/2024
13,134,170,,,,,,6048,,,,6/24/2024,6/24/2024,
42,327,171,,,,,,6018,12/20/2024,,,Completed,Completed,7/14/2024
40,340,172,,,,,,6069,,,,8/5/2024,8/5/2024,
40,357,173,,,,,,6069,,,,8/5/2024,8/5/2024,
9,92,174,,,,,,7038,,,,Completed,Completed,9/24/2024
11,144,175,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,
11,4,176,,,,,,6006,7/2/2024,,,,,
11,146,177,,,,,,6066,,,,7/22/2024,7/22/2024,
44,344,178,,,,,,6094,,,,7/15/2024,7/15/2024,
40,357,179,,,,,,6094,,,,Completed,Completed,
13,46,180,,,,,,6036,Complete,9/5/2024,,6/24/2024,6/24/2024,9/25/2024
44,47,181,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,9/15/2024
11,136,182,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,
11,138,183,,,,,,6011,Complete,6/20/2025,,7/22/2024,7/22/2024,
40,361,184,,,,,,6035,5/21/2024,,,Completed,Completed,
44,350,185,,,,,,6068,,,,Completed,Completed,
44,409,186,,,,,,6035,5/21/2024,,,7/15/2024,7/15/2024,
40,335,188,,,,,,6069,,,,Completed,Completed,
40,359,189,,,,,,6009,,,,8/5/2024,8/5/2024,
11,329,190,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,
12,151,192,,,,,,6066,,,,6/24/2024,6/24/2024,
6,60,194,,,,,,7036,,,,6/24/2024,6/24/2024,9/16/2024
40,360,195,,,,,,6035,5/21/2024,,,Completed,Completed,
41,271,196,,,,,,6066,,,,Completed,Completed,
25,278,197,,,,,,6009,,,,8/5/2024,8/5/2024,
40,272,198,,,,,,6069,,,,Completed,Completed,
25,278,199,,,,,,6092,,,,7/22/2024,7/22/2024,
25,275,200,,,,,,6009,,,,8/5/2024,8/5/2024,
40,341,201,,,,,,6069,,,,Completed,Completed,
5,51,202,YES,Gen 2,4/7/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6068,,,,9/16/2024,9/16/2024,3/11/2024
40,359,203,,,,,,6009,,,,8/5/2024,8/5/2024,
41,253,204,,,,,,6066,,,,Completed,Completed,9/11/2024
11,138,205,,,,,,6011,Complete,6/20/2025,,7/22/2024,7/22/2024,
5,52,206,,,,,,6068,,,,Completed,Completed,3/12/2024
44,345,207,,,,,,6094,,,,7/15/2024,7/15/2024,
42,321,209,,,,,,6094,,,,Completed,Completed,5/1/2024
44,351,210,,,,,,6094,,,,,,
5,76,211,,,,,,6036,Complete,9/5/2024,,Completed,Completed,
44,353,212,,,,,,6068,,,,Completed,Completed,
40,272,213,,,,,,6069,,,,Completed,Completed,
13,503,214,,,,,,6036,Complete,9/5/2024,,6/24/2024,6/24/2024,
41,271,216,,,,,,6066,,,,Completed,Completed,
5,53,217,,,,,,6068,,,,9/16/2024,9/16/2024,3/4/2024
11,147,218,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
40,336,219,,,,,,6069,,,,8/5/2024,8/5/2024,
5,48,220,YES,Gen 2,6/4/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6068,,,,Completed,Completed,3/4/2024
44,344,221,,,,,,6094,,,,Completed,Completed,
41,271,222,,,,,,6069,,,,Completed,Completed,
40,272,224,,,,,,6069,,,,Completed,Completed,
44,350,225,,,,,,6068,,,,Completed,Completed,
44,47,226,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,
44,344,227,,,,,,6094,,,,Completed,Completed,
5,48,228,YES,Gen 2,4/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,9/5/2024,,Completed,Completed,3/10/2024
11,329,229,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,7/31/2024
42,321,230,,,,,,6094,,,,Completed,Completed,5/7/2024
44,351,231,,,,,,6068,,,,Completed,Completed,
44,350,232,,,,,,6068,,,,Completed,Completed,
41,271,233,,,,,,6066,,,,Completed,Completed,
40,360,234,,,,,,6035,5/21/2024,,,Completed,Completed,
13,503,236,,,,,,6036,Complete,9/5/2024,,6/24/2024,6/24/2024,
41,271,237,,,,,,6066,,,,Completed,Completed,
11,147,238,,,,,,6006,7/2/2024,,,6/24/2024,6/24/2024,
11,138,239,,,,,,6011,Complete,6/20/2025,,7/22/2024,7/22/2024,
44,47,240,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,9/23/2024
44,410,242,,,,,,6035,5/21/2024,,,Completed,Completed,
40,339,243,,,,,,6069,,,,8/5/2024,8/5/2024,
42,135,244,,,,,,6048,,,,6/24/2024,6/24/2024,
44,345,246,,,,,,6094,,,,7/15/2024,7/15/2024,
44,351,247,,,,,,6094,,,,,,
5,76,248,,,,,,6036,Complete,9/5/2024,,Completed,Completed,
13,503,249,,,,,,7036,,,,6/24/2024,6/24/2024,
40,357,250,,,,,,6069,,,,Completed,Completed,
5,45,251,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,
41,271,252,,,,,,6069,,,,Completed,Completed,
40,341,253,,,,,,6069,,,,8/5/2024,8/5/2024,
25,273,254,,,,,,6066,,,,Completed,Completed,
40,341,256,,,,,,6069,,,,Completed,Completed,
41,254,257,,,,,,6066,,,,Completed,Completed,
11,4,258,,,,,,6006,7/2/2024,,,7/22/2024,7/22/2024,
5,583,259,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,3/3/2024
5,55,260,,,,,,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,3/11/2024
42,325,261,,,,,,6018,12/20/2024,,,Completed,Completed,8/5/2024
41,271,262,,,,,,6066,,,,Completed,Completed,
12,149,264,,,,,,6066,,,,6/24/2024,6/24/2024,
5,45,265,YES,Gen 2,4/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,9/5/2024,,9/16/2024,9/16/2024,6/9/2024
