Market,Store,Actual Install Scheduled Date
47,148,
253,204,
50,266,
47,417,
52,467,
49,471,
242,526,
130,532,
37,586,
92,649,
152,674,
385,835,
130,839,
50,880,
375,966,
92,973,
130,1102,
42,1144,
125,1163,
115,1171,
130,1206,
217,1239,
380,1252,
312,1301,
128,1342,
36,1359,
413,1393,
413,1393,
61,1405,
218,1427,
413,1491,
223,1503,
223,1504,
415,1509,
233,1529,
369,1532,
369,1533,
388,1550,
394,1559,
396,1584,
553,1590,
219,1594,
39,1603,
232,1644,
413,1683,
413,1723,
413,1764,
413,1764,
232,1794,
284,1860,
508,1981,
283,1985,
217,1990,
292,2015,
233,2023,
281,2045,
311,2089,
380,2125,
232,2169,
233,2205,
233,2340,
280,2357,
514,2385,
514,2403,
293,2412,
217,2426,
217,2471,
232,2481,
394,2483,
514,2516,
233,2519,
514,2571,
50,2649,
55,2667,
125,2706,
426,2714,
217,2725,
219,2726,
508,2799,
290,2808,
421,2820,
394,2884,
233,2888,
129,2913,
132,2938,
108,2962,
49,3014,
125,3167,
289,3216,
192,3280,
64,3296,
97,3307,
394,3350,
394,3351,
49,3433,
14,3484,
514,3525,
585,3533,
160,3560,
380,3566,
219,3580,
109,3625,
232,3634,
20,3709,
394,3728,
413,3762,
221,3784,
219,3792,
514,3794,
64,3827,
116,3887,
42,4237,
110,4303,
294,4334,
287,4350,
392,4370,
233,4404,
41,4420,
242,4450,
44,4503,
41,4506,
396,4557,
413,4606,
130,4683,
585,4734,
125,5022,
514,5073,
315,5117,
283,5129,
44,5147,
233,5200,
403,5233,
403,5350,
242,5418,
385,5491,
63,5612,
380,5676,
455,5864,
53,5889,
585,5957,
292,5969,
127,6932,
204,1422,
203,1423,
204,1432,
205,1611,
204,1752,
197,1790,
200,1791,
191,1831,
160,1906,
164,1959,
159,1970,
188,1997,
160,2021,
159,2103,
188,2152,
160,2157,
194,2164,
160,2184,
159,2227,
173,2284,
163,2299,
162,2331,
159,2336,
159,2341,
163,2371,
164,2547,
173,2585,
203,2869,
163,2900,
157,3114,
163,5095,
172,5293,
173,5294,
172,5295,
173,5439,
190,5732,
,,
202,1593,
475,1817,
,,
180,2046,
427,4352,
477,5440,
,,
,,
427,3875,
477,5935,
,,
427,1649,
,,
427,1534,
412,1545,
478,3239,
179,1932,
427,2033,
427,3648,
477,1784,
,,
183,2153,
179,5076,
427,1695,
477,5368,
,,
179,1856,
468,1834,
478,5396,
179,1924,
,,
427,1636,
468,2069,
204,2644,
188,1940,
204,5097,
412,5806,
205,4243,
203,1733,
110,4303,
427,4569,
409,3283,
475,3380,
391,3805,
291,5343,
508,5779,
1,6173,
1,866,
291,1833,
291,2520,
389,3018,
409,4321,
473,5078,
1,853,
409,1507,
473,2269,
292,3077,
291,4258,
391,4335,
475,2241,
14,2739,
409,3492,
292,3639,
391,5123,
291,5731,
391,1896,
292,2038,
291,2136,
409,2428,
475,3261,
14,7247,
205,1928,
205,2273,
205,3726,
205,2693,
203,2700,
203,2618,
203,5893,
163,2719,
203,5048,
163,2965,
203,1754,
173,3543,
203,2866,
580,617,
173,3546,
203,4540,
173,3803,
109,3625,
205,3632,
200,5386,
162,2282,
205,1592,
200,1942,
163,2899,
426,2714,
280,1703,
52,3286,
258,552,
254,333,
257,689,
95,1029,
316,2548,
181,2224,
181,2332,
181,4156,
,,
,,
,,
326,7,
328,11,
328,18,
391,4335,
271,222,
271,237,
270,1377,
265,1401,TBD
269,1735,
263,1740,
278,3459,
270,3597,
265,4286,
270,4641,
270,5060,
238,2276,
247,2311,
238,2544,
24,1766,
380,3566,
243,2691,
580,4216,
387,3427,
387,4601,
81,476,
262,1307,
246,2020,
216,2149,
112,4681,
421,1473,
412,4244,
407,2784,
184,3549,
439,1727,
248,2819,
238,4631,
213,2613,
111,4690,
419,1609,
412,4253,
433,885,
407,4209,
263,958,
436,1446,
248,4230,
239,5374,
97,5172,
421,1858,
421,2820,
432,1671,
429,5170,
438,965,
436,1672,
191,1831,
197,1790,
200,1791,
247,4399,
405,4678,
112,5964,
419,2367,
433,350,
433,2432,
429,7129,
438,971,
440,2510,
205,1611,
183,2659,
180,1868,
160,2157,
204,1752,
160,2021,
179,1924,
,,
258,552,
271,596,
275,1451,
265,1779,
411,6392,
387,868,
221,1407,
104,988,
112,2627,
225,2967,
425,982,
412,2957,
429,637,
433,774,
184,2057,
438,1007,
441,1267,
440,1366,
436,3245,
438,5127,
285,2419,
219,3792,
257,689,
266,1497,
268,5485,
71,549,
387,1306,
213,1445,
97,1223,
111,2796,
259,4461,
425,1020,
424,1999,
424,3102,
433,645,
426,1332,
439,1202,
438,1277,
440,3268,
219,1594,
435,2828,
264,1898,
264,5352,
71,821,
384,2652,
71,2653,
384,5430,
216,1724,
14,1605,
111,1712,
112,1960,
112,3197,
425,1038,
421,3806,
429,2579,
183,2398,
180,2681,
436,1365,
436,4281,
383,2607,
284,1736,
217,1990,
285,2791,
321,230,
85,446,
85,473,
77,478,
61,482,
258,545,
73,626,
74,1078,
,,
,,
232,1794,
394,1838,
217,1239,
534,3654,6/5/2023
322,54,7/17/2023
321,141,7/19/2023
321,16,7/24/2023
322,2,7/26/2023
49,896,7/31/2023
51,1117,8/2/2023
55,5191,8/8/2023
53,2105,8/14/2023
504,6966,8/14/2023
283,5129,10/3/2023
322,359,10/9/2023
44,2978,2/25/2024
55,4164,2/25/2024
58,2979,2/26/2024
58,3392,2/26/2024
49,284,2/27/2024
48,371,2/28/2024
479,972,2/28/2024
561,2975,2/28/2024
58,3594,2/28/2024
583,259,3/3/2024
97,488,3/3/2024
260,720,3/3/2024
41,1286,3/3/2024
287,1525,3/3/2024
44,3284,3/3/2024
561,4046,3/3/2024
53,217,3/4/2024
48,220,3/4/2024
583,789,3/4/2024
583,1055,3/4/2024
260,1210,3/4/2024
41,4521,3/4/2024
479,940,3/5/2024
583,1800,3/5/2024
467,3531,3/5/2024
97,1077,3/6/2024
287,2795,3/6/2024
56,2926,3/6/2024
58,2981,3/6/2024
467,5853,3/6/2024
48,228,3/10/2024
259,493,3/10/2024
56,2086,3/10/2024
