Tienda,Espacio disponible (en pies)
1822,12
1854,96
2026,72
2067,48
2072,24
2085,68
2240,108
2302,24
2346,24
2423,72
2449,124
2501,192
2721,116
3693,72
3716,256
5793,8
5802,68
5803,20
