Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
118,36,9,2,1,3,1,7,0,0,14,14, 4.54 ,3.22%,1,11
127,36,42,2,1,3,1,7,0,0,14,14, 4.48 ,16.99%,2,20
10,36,14,2,1,3,1,7,0,0,14,14, 4.46 ,13.58%,3,23
328,36,42,2,1,3,1,7,0,0,14,14, 4.42 ,13.13%,4,33
329,36,12,2,1,3,1,7,0,0,14,14, 4.42 ,12.03%,5,34
145,36,12,2,1,3,1,7,0,0,14,14, 4.38 ,11.99%,6,40
8,36,14,2,1,3,1,7,0,0,14,14, 4.36 ,15.18%,7,43
144,36,12,2,1,3,1,7,0,0,14,14, 4.36 ,9.39%,8,45
327,36,42,2,1,3,1,7,0,0,14,14, 4.31 ,13.55%,9,51
325,36,42,2,1,3,1,0,0,0,7,7, 4.48 ,13.07%,10,57
112,36,9,2,1,3,1,0,0,0,7,7, 4.46 ,7.29%,11,60
322,36,42,2,1,3,1,0,0,0,7,7, 4.39 ,13.69%,12,66
101,36,3,2,1,3,1,0,0,0,7,7, 4.39 ,7.50%,13,67
153,36,12,2,1,3,1,0,0,0,7,7, 4.38 ,18.92%,14,69
114,36,9,2,1,3,1,0,0,0,7,7, 4.36 ,7.86%,15,70
110,36,9,2,0,3,1,0,0,0,6,6, 4.56 ,9.01%,16,87
18,36,2,2,1,3,0,0,0,0,6,6, 4.55 ,13.07%,17,88
109,36,9,2,0,3,1,0,0,0,6,6, 4.54 ,2.32%,18,92
4,36,12,2,1,3,0,0,0,0,6,6, 4.53 ,6.28%,19,95
136,36,12,2,1,3,0,0,0,0,6,6, 4.51 ,1.44%,20,107
121,36,2,2,0,3,1,0,0,0,6,6, 4.48 ,15.79%,21,112
115,36,9,2,1,3,0,0,0,0,6,6, 4.48 ,12.31%,22,113
11,36,14,2,1,3,0,0,0,0,6,6, 4.47 ,14.11%,23,122
553,36,9,2,0,3,1,0,0,0,6,6, 4.47 ,-2.22%,24,124
98,36,3,2,1,3,0,0,0,0,6,6, 4.46 ,10.63%,25,126
7,36,14,2,0,3,1,0,0,0,6,6, 4.43 ,15.58%,26,136
89,36,9,2,0,3,1,0,0,0,6,6, 4.41 ,6.61%,27,145
21,36,2,2,1,3,0,0,0,0,6,6, 4.39 ,11.48%,28,153
107,36,9,2,1,3,0,0,0,0,6,6, 4.39 ,4.44%,29,155
122,36,2,2,1,3,0,0,0,0,6,6, 4.37 ,13.64%,30,161
123,36,2,2,1,3,0,0,0,0,6,6, 4.36 ,16.38%,31,165
119,36,2,2,1,3,0,0,0,0,6,6, 4.33 ,14.93%,32,179
30,36,3,2,1,3,0,0,0,0,6,6, 4.31 ,7.73%,33,183
22,36,2,2,0,3,1,0,0,0,6,6, 4.27 ,12.99%,34,189
3,36,14,2,1,3,0,0,0,0,6,6, 4.27 ,11.93%,35,190
90,36,9,0,1,3,1,0,0,0,5,5, 4.55 ,7.04%,36,199
24,36,2,2,0,3,0,0,0,0,5,5, 4.49 ,8.20%,37,209
138,36,14,0,1,3,1,0,0,0,5,5, 4.49 ,7.26%,38,210
147,36,12,0,1,3,1,0,0,0,5,5, 4.48 ,16.30%,39,211
2,36,14,2,0,3,0,0,0,0,5,5, 4.45 ,15.65%,40,219
151,36,12,2,0,3,0,0,0,0,5,5, 4.43 ,15.68%,41,225
13,36,14,0,1,3,1,0,0,0,5,5, 4.43 ,11.56%,42,227
326,36,42,2,0,3,0,0,0,0,5,5, 4.41 ,12.61%,43,236
26,36,2,0,1,3,1,0,0,0,5,5, 4.39 ,11.69%,44,247
5,36,12,0,1,3,1,0,0,0,5,5, 4.36 ,17.44%,45,260
32,36,3,0,1,3,1,0,0,0,5,5, 4.36 ,14.26%,46,261
92,36,9,2,0,3,0,0,0,0,5,5, 4.36 ,0.97%,47,263
19,36,2,0,1,3,1,0,0,0,5,5, 4.34 ,6.27%,48,268
324,36,42,0,1,3,1,0,0,0,5,5, 4.33 ,12.66%,49,269
93,36,3,2,0,3,0,0,0,0,5,5, 4.33 ,8.50%,50,271
323,36,42,2,0,3,0,0,0,0,5,5, 4.31 ,16.53%,51,275
