Store,Dept.,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
1,17,120PC YANKEE CNDL HP,Half Stack,1,37,
1,22,MS Every Day Pillow,Full Stack,1,37,
1,40,13PC ZzzQuil Mxd PDQ,Full EC,2,37,
1,40,24 pc Family Bag,SDK,1,37,
1,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
1,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
1,92,Bruce's Yams 40 oz,Half EC,1,37,
1,92,Del Monte Corn 4pk,Half EC,2,37,
1,92,Del Monte Green Beans 4pk,Half EC,2,37,
1,92,GV Family Size Canned Green Beans,Half EC,1,37,
1,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
1,92,Stove Top Chicken Stuffing Twin Pack,Full EC,1,37,
1,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
1,95,Martinelli Display 5 Flavor,Full Stack,1,37,
2,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
2,7,Nerf Elite 2.0 Walmart Exclusive Half-Pallet,Half Stack,1,37,
2,14,Mainstays 12 Cup Coffee Programable,Full EC,1,37,
2,17,120PC YANKEE CNDL HP,Half Stack,1,37,
2,23,Sherpa Lined Fleece Lined Hooded Jacket,4-way,1,37,
2,72,ONN.10OZ 2PK,Full EC,1,37,
2,90,Pillsbury Grands Cinnamon Rolls 5CT,Bunker,1,37,
2,92,Del Monte Corn 4pk,Half EC,1,37,
2,92,Del Monte Green Beans 4pk,Half EC,1,37,
2,92,Stove Top Chicken Stuffing Twin Pack,Full EC,1,37,
2,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,1,37,
2,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
2,95,Blue Diamond 36ct Bold Snacking 6oz Can Sidekick,SDK,1,37,
3,2,Listerine Smart Rinse Bubble Blast & Mint 24pc SDK,SDK,1,37,
3,17,120PC YANKEE CNDL HP,Half Stack,1,37,
3,40,24 pc Family Bag,SDK,1,37,
3,92,Bottled HV Original Ranch 6/36fo,Half EC,1,37,
3,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
4,2,Dr. Teal's Bath Soak & Foam Asst,Full EC,1,37,
4,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
4,7,Model Car Kits,Full Stack,2,37,
4,7,MODEL KITS PLT 253pc,Full Stack,1,37,
4,17,120PC YANKEE CNDL HP,Half Stack,1,37,
4,71,"Kellum Media Fireplace Console for Tv's up to 58""",Full Stack,2,37,
4,71,"Mainstays Fireplace TV Stand for TVs up to 65"", Bl",Full Stack,2,37,
4,72,ONN.10OZ 2PK,Full EC,1,37,
4,79,Baby Trend 2 in 1 LTE Stroller Wagon,Half Stack,1,37,
4,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
4,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
4,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
4,92,Bottled HV Original Ranch 6/36fo,Half EC,1,37,
4,92,Del Monte Corn 4pk,Half EC,2,37,
4,92,Del Monte Green Beans 4pk,Half EC,2,37,
4,92,SM COCOA CAN 45.68OZ,Half EC,2,37,
4,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
4,95,CIRCUS TIME $1 BUTTER POPCORN,Full Stack,1,37,
4,95,CIRCUS TIME $1 CHEESE PUFFS,Full Stack,1,37,
5,7,12V Realtree UTV,Eaches,3,37,
5,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
5,7,HW Ultimate Car Wash Asst,Full EC,4,37,Cancel - extreme inventory constraint
5,7,Model Car Kits,Full Stack,1,37,
5,7,Power Wheels HW Racer,Full Stack,1,37,
5,9,9KBTU LP BUDDY HEAT,Full EC,1,37,
5,17,120PC YANKEE CNDL HP,Half Stack,1,37,
5,92,Del Monte Corn 4pk,Half EC,1,37,
5,92,Del Monte Green Beans 4pk,Half EC,1,37,
5,95,Martinelli Display 5 Flavor,Full Stack,3,37,
7,6,Sandisk Imagemate 128g Micro SD,SDK,1,37,
7,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
7,17,120PC YANKEE CNDL HP,Half Stack,1,37,
7,40,EQ Sinus Wash Kit 7ct PDQ,4-way,1,37,
7,40,Tums 29 pc PDQ,Full EC,1,37,
7,40,Vicks Warm Mist Humidifier,Full EC,1,37,
7,72,"TCL 55"" 4K ROKU TV",Full Stack,1,37,
7,92,Bruce's Yams 40 oz,Half EC,1,37,
7,92,Del Monte Corn 4pk,Half EC,1,37,
7,92,Del Monte Green Beans 4pk,Half EC,1,37,
7,92,Velveeta Shells & Cheese,Full EC,1,37,
8,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
8,9,9KBTU LP BUDDY HEAT,Full EC,1,37,
8,17,120PC YANKEE CNDL HP,Half Stack,1,37,
8,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,2,37,
8,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
8,92,Del Monte Corn 4pk,Half EC,1,37,
8,92,Del Monte Green Beans 4pk,Half EC,1,37,
8,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
9,7,Model Car Kits,Full Stack,1,37,
9,92,GV Family Size Canned Green Beans,Half EC,1,37,
9,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
9,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,37,
9,92,Taco Bell Mixed Pallet,Half Stack,1,37,
9,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
10,7,Model Car Kits,Full Stack,1,37,
10,9,MUDDY HORIZON TRIPOD,Eaches,1,37,
10,22,MS Every Day Pillow,Full Stack,1,37,
10,40,21pc GB Powder and Spray PDQ,Full EC,2,37,Cancel - supplier does not have product to ship due to supply issues
10,40,Claritin Adult 14pc PDQ,Full EC,2,37,
10,40,Emergen-C Feature,4-way,3,37,
10,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
10,40,PC42ALLNASXYZ PDQ,Full EC,1,37,
10,71,BHG 4 CUBE ORG WHT,Half EC,2,37,
10,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
10,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
10,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
10,92,Bottled HV Original Ranch 6/36fo,Half EC,1,37,
10,92,Del Monte Corn 4pk,Half EC,2,37,
10,92,Del Monte Green Beans 4pk,Half EC,2,37,
10,92,Dry HV Salad Dressing Original Ranch,Half EC,1,37,
10,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,37,
10,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
10,95,120ct Cheetos Halloween Tins,Full Stack,3,37,
10,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,2,37,
10,95,Circus Time $1 Butter Popcorn,Full Stack,1,37,
11,7,24V Realtree UTV,Eaches,1,37,
11,7,HW Monster Jam 1:64 Diecast Dump Bin,Half Stack,1,37,
11,7,HW Monster Truck Dump Bin,Half Stack,2,37,Cancel - extreme inventory constraint
11,8,OUTBACK DOG HOUSE,Full Stack,1,37,
11,9,28QT Enviro Foam Cooler,Half Stack,2,37,
11,9,9KBTU LP BUDDY HEAT,Full EC,1,37,
11,9,Ameristep CareTaker Run N Gun,Half Stack,1,37,
11,9,HART HEATED BLACK JACKET HP,Half Stack,1,37,
11,9,HART HEATED CAMO JACKET HP,Half Stack,1,37,
11,11,Daylight Savings GV 60w SW,Full EC,1,37,
11,12,Winter Mailbox Covers,SDK,1,37,
11,16,Black Max 20” Chainsaw,Half Stack,2,37,Cancel - high inventory
11,17,120PC YANKEE CNDL HP,Half Stack,1,37,
11,23,Insulated Flannel Lined Shirt Jacket,4-way,1,37,
11,71,"Kellum Media Fireplace Console for Tv's up to 58""",Full Stack,1,37,
11,71,"Mainstays Fireplace TV Stand for TVs up to 65"", Bl",Full Stack,1,37,
11,71,X ROCKER VORTEX,Full EC,2,37,
11,72,ONN.10OZ 2PK,Full EC,1,37,
11,80,PRS BRIE RND 8OZ,Bunker,1,37,
11,90,Pillsbury Grands Cinnamon Rolls 5CT,Bunker,1,37,
11,92,Del Monte Corn 4pk,Half EC,2,37,
11,92,Del Monte Green Beans 4pk,Half EC,2,37,
11,92,QKR Oats 42oz Mixed Pallet,Full Stack,1,37,
11,92,Quaker SQO 42oz ,Full Stack,2,37,
11,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
11,95,Kettle Brand Potato Chips,Full Stack,1,37,
12,9,GK T-POST FEEDER,4-way,1,37,
12,14,WANDAJUNE 1/2 PALLET,Half Stack,1,37,
12,17,BHG/SCTS HP WAX BIN,Half Stack,1,37,
12,23,TEC M CORE SKI BIB,Side-stack,1,37,
12,40,15PC SLEEP GUMMY,SDK,1,37,
12,40,21pc GB Powder and Spray PDQ,Full EC,2,37,Cancel - supplier does not have product to ship due to supply issues
12,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,2,37,
12,40,Carmex 3 Pk Qbin Display,Q-Bin,1,37,
12,40,Claritin Adult 14pc PDQ,Full EC,2,37,
12,40,Emergen-C Feature,4-way,1,37,
12,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
12,40,EQ Naprox cap 100,SDK,1,37,
12,40,PC42ALLNASXYZ PDQ,Full EC,1,37,
12,71,BHG 4 CUBE ORG WHT,Half EC,2,37,
12,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
12,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
12,92,Bottled HV Original Ranch 6/36fo,Half EC,1,37,
12,92,Bruce's Yams 40 oz,Half EC,1,37,
12,92,Del Monte Corn 4pk,Half EC,2,37,
12,92,Del Monte Green Beans 4pk,Half EC,2,37,
12,92,Dry HV Salad Dressing Original Ranch,Half EC,1,37,
12,92,HORMEL BACN POUCH 20OZ,Half EC,1,37,
12,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
12,92,Stove Top Chicken Stuffing Twin Pack,Full EC,1,37,
12,95,120ct Cheetos Halloween Tins,Full Stack,2,37,
12,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,2,37,
12,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
12,95,Circus Time $1 Butter Popcorn,Full Stack,2,37,
12,95,General Mills Chex Mix & Gardettos Pallet,Full Stack,1,37,
12,95,Mac's 11oz BBQ and Original Barrel Mixed Pallet 16,Full Stack,2,37,
13,2,Dr. Teal's Bath Soak & Foam Asst,Full EC,1,37,
13,2,Jergens Best Sellers PDQ,Full EC,1,37,
13,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
13,14,Mainstays 12 Cup Coffee Programable,Full EC,1,37,
13,14,WANDAJUNE 1/2 PALLET,Half Stack,1,37,
13,17,120PC YANKEE CNDL HP,Half Stack,1,37,
13,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,3,37,
13,40,EQ Ibuprofen Tablet 2x250ct,Full EC,3,37,
13,72,ONN.10OZ 2PK,Full EC,1,37,
13,92,Del Monte Corn 4pk,Half EC,1,37,
13,92,Del Monte Green Beans 4pk,Half EC,1,37,
13,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,37,
13,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
14,2,Listerine 108pc PocketPaks Sidekick:,SDK,1,37,
14,9,28QT Enviro Foam Cooler,Half Stack,1,37,
14,72,ONN.10OZ 2PK,Full EC,1,37,
14,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
14,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,1,37,
15,3,PG 92/20 COPY PAPER,Full EC,1,37,
15,9,10PC-BLAZE-COVER VEST,4-way,1,37,
15,11,GE Foam Asst,4-way,1,37,
15,17,MS 54X72 REMNANT,Full Stack,2,37,
15,41,Country 2 the Bone Long Sleeve Tees 4 way,4-way,1,37,
15,41,Southern Y'all Fall Tees 4 way,4-way,1,37,
15,92,Del Monte Green Beans 4pk,Half EC,1,37,
15,95,CIRCUS TIME $1 BUTTER POPCORN,Full Stack,1,37,
15,95,Martinelli Display 5 Flavor,Full Stack,2,37,
16,2,Dr. Teal's Bath Soak & Foam Asst,Full EC,1,37,
16,7,HW Basics Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
16,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
16,7,Model Car Kits,Full Stack,1,37,
16,9,OT TABLE WITH CHAIRS,Full EC,1,37,
16,16,Black Max 20” Chainsaw,Half Stack,3,37,Cancel - high inventory
16,17,120PC YANKEE CNDL HP,Half Stack,1,37,
16,23,Soft Shell Fleece Lined Vest,4-way,1,37,
16,40,Carmex 3 Pk Qbin Display,Q-Bin,1,37,
16,40,Dulcolax overnight relief,SDK,1,37,
16,40,Vicks Warm Mist Humidifier,Full EC,1,37,
16,41,Southern Y'all Fall Tees 4 way,4-way,1,37,
16,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
16,92,Del Monte Corn 4pk,Half EC,1,37,
16,92,Del Monte Green Beans 4pk,Half EC,1,37,
16,95,Kettle Brand Potato Chips,Full Stack,1,37,
16,95,Martinelli Display 5 Flavor,Full Stack,2,37,
17,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
17,7,Model Car Kits,Full Stack,2,37,
17,17,120PC YANKEE CNDL HP,Half Stack,1,37,
17,40,Emergen-C Feature,4-way,1,37,
17,92,Del Monte Corn 4pk,Half EC,1,37,
17,92,Del Monte Green Beans 4pk,Half EC,1,37,
17,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
18,2,27pc 2.7oz Working Hands Jar,SDK,1,37,
18,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
18,7,Model Car Kits,Full Stack,1,37,
18,9,MO CAMO BURLAP,Full EC,2,37,
18,17,120PC YANKEE CNDL HP,Half Stack,1,37,
18,22,MS Every Day Pillow,Full Stack,1,37,
18,71,"Kellum Media Fireplace Console for Tv's up to 58""",Full Stack,1,37,
18,72,ONN.10OZ 2PK,Full EC,1,37,
18,92,Bruce's Yams 40 oz,Half EC,1,37,
18,92,Del Monte Corn 4pk,Half EC,2,37,
18,92,Del Monte Green Beans 4pk,Half EC,2,37,
18,92,Quaker SQO 42oz ,Full Stack,1,37,
18,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,37,
18,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
18,95,120ct Cheetos Halloween Tins,Full Stack,2,37,
18,95,CIRCUS TIME $1 BUTTER POPCORN,Full Stack,1,37,
18,95,CIRCUS TIME $1 CHEESE PUFFS,Full Stack,1,37,
19,7,Model Car Kits,Full Stack,2,37,
19,9,"ProForm Cadence Compact 300 Folding Treadmill, Com",Full Stack,1,37,
19,9,Venum Heavy Bag,Full Stack,2,37,
19,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
19,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
19,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
19,95,CIRCUS TIME $1 BUTTER POPCORN,Full Stack,1,37,
19,95,CIRCUS TIME $1 CHEESE PUFFS,Full Stack,1,37,
20,7,12V Giant Quad,Half Stack,1,37,
20,7,6V Nascar Champion Racer,Half EC,1,37,
20,7,6V Trail Warrior UTV,Half Stack,1,37,
20,7,Holiday Puzzles 1/2 Pallet,Half Stack,1,37,
20,7,HW Monster Jam 1:64 Diecast Dump Bin,Half Stack,1,37,
20,7,HW Ultimate Car Wash Asst,Full EC,1,37,Cancel - extreme inventory constraint
20,7,MINNIE; 6V CONVERTIBLE,Eaches,1,37,
20,7,Model Car Kits,Full Stack,1,37,
20,7,Nerf Elite 2.0 Walmart Exclusive Half-Pallet,Half Stack,1,37,
20,14,Imusa 32qt/10qt Steamer Combo,Full EC,1,37,
20,14,Mainstays 12 Cup Coffee Programable,Full EC,1,37,
20,14,Mr. Coffee Iced Coffee,Full EC,1,37,
20,16,20IN SNOWSHVL COMBO,Full Stack,1,37,
20,16,SJEG700 Impact Reducing,Full Stack,1,37,
20,17,120PC YANKEE CNDL HP,Half Stack,1,37,
20,22,MS Every Day Pillow,Full Stack,1,37,
20,23,Insulated Flannel Lined Shirt Jacket,4-way,1,37,
20,23,Mens Mid Weight Eco Down Insulated Hooded Jacket,4-way,1,37,
20,71,"BHG 70"" CANTON CONSL",Full Stack,1,37,
20,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
