STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales,Right_STORE_NBR,2022 YTD SALES UNITS,2021 SALES UNITS,FYE21 SALES UNITS,FYE20 SALES UNITS,Right_REGION_NBR,CITY_NAME,STATE_PROV_CODE,REGION_NAME,Right_MARKET_AREA_NBR,FYE24 Modular,Total Items on FYE24 Store Modular,Store Set Expected Arrival Wk,DTS Shippments,F16,F17,F18,F19,F20,F21
1,13,20,45,48,39,1,45,93,98,73,42,ROGERS,AR,"AR, MO, LA",323,Angler - Low Volume,10,6,,,,,,,
2,13,115,362,400,376,2,374,766,408,303,42,HARRISON,AR,"AR, MO, LA",322,Avid Rec Combo,23,DTS 6,2,,,,,,
3,9,5,17,17,27,3,16,54,22,24,2,COMMERCE,GA,"TN, GA - Atlanta",21,LOW VOLUME/BASIC,6,5,,,,,,,
4,11,117,276,297,174,4,278,348,105,99,42,SILOAM SPRINGS,AR,"AR, MO, LA",323,Avid Rec Combo,23,DTS 6,1 (Store Set Only),,,,,,
5,16,6,39,42,48,5,39,96,22,82,42,CONWAY,AR,"AR, MO, LA",326,Angler - Low Volume,10,5,,,,,,,
7,12,1,18,19,38,7,18,76,18,33,42,SHERWOOD,AR,"AR, MO, LA",326,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
8,4,5,22,24,41,8,22,82,24,85,42,MORRILTON,AR,"AR, MO, LA",326,LOW VOLUME/BASIC,6,5,,,,,,,
9,6,10,23,26,28,9,24,56,45,49,40,SIKESTON,MO,Missouri,335,LOW VOLUME/BASIC,6,6,,,,,,,
10,90,35,363,408,417,10,381,838,296,149,44,TAHLEQUAH,OK,"Oklahoma, N TX",347,Avid Rec Combo,23,No Store Set Use Cur Inventory was DTS 6,2,,,,,,
11,148,70,455,504,414,11,471,828,315,369,42,MOUNTAIN HOME,AR,"AR, MO, LA",328,Avid Rec SOT,18,No Store Set Use Cur Inventory was DTS 5,3,,,,,,
12,8,13,43,46,39,12,43,78,71,84,44,CLAREMORE,OK,"Oklahoma, N TX",347,Angler - Low Volume,10,6,,,,,,,
13,10,11,60,65,54,13,61,110,36,82,42,CARTHAGE,MO,"AR, MO, LA",334,Angler - Low Volume,10,6,,,,,,,
14,30,28,253,281,150,14,263,306,173,175,40,LEBANON,MO,Missouri,357,Avid Angler SOT,19,No Store Set Use Cur Inventory was DTS 7,1,,,,,,
15,163,22,530,569,371,15,532,746,401,334,40,WEST PLAINS,MO,Missouri,333,Avid Angler SOT,19,No Store Set Use Cur Inventory was DTS 7,3,,,,,,
16,9,13,25,27,86,16,25,173,144,41,42,VAN BUREN,AR,"AR, MO, LA",321,Angler - Low Volume,10,6,,,,,,,
17,4,16,34,36,61,17,34,124,64,86,42,NEOSHO,MO,"AR, MO, LA",334,LOW VOLUME/BASIC,6,6,,,,,,,
18,0,0,0,No Kayak Modular would need to Request Modular,0,18,2,0,0,-1,42,NEWPORT,AR,"AR, MO, LA",328,No Modular,0,,,,,,,,
19,112,6,171,185,151,19,173,308,123,146,40,POPLAR BLUFF,MO,Missouri,335,Angler - Mid to High Volume,16,DTS 5,1 (Store Set Only),,,,,,
20,4,34,42,48,133,20,45,266,101,142,40,CLINTON,MO,Missouri,357,Angler - Mid to High Volume,16,7,,,,,,,
21,0,16,91,98,120,21,92,244,147,184,40,SAINT ROBERT,MO,Missouri,336,Angler - Mid to High Volume,16,7,,,,,,,
22,9,13,40,44,46,22,41,96,48,65,44,PRYOR,OK,"Oklahoma, N TX",347,Angler - Low Volume,10,6,,,,,,,
23,2,23,42,47,35,23,44,70,30,36,42,RUSTON,LA,"AR, MO, LA",135,Angler - Low Volume,10,4,,,,,,,
24,0,0,0,No Kayak Modular would need to Request Modular,2,24,0,4,0,-1,42,JACKSONVILLE,AR,"AR, MO, LA",326,No Modular,0,,,,,,,,
25,8,4,18,19,27,25,18,54,38,62,40,MEXICO,MO,Missouri,359,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk7,,,,,,,
26,5,14,38,42,49,26,39,100,19,37,47,LEAVENWORTH,KS,Frontier Region,411,Angler - Low Volume,10,7,,,,,,,
27,50,18,158,170,139,27,159,278,67,110,40,SALEM,MO,Missouri,357,Avid Rec SOT,18,No Store Set Use Cur Inventory was DTS 7,1 (Store Set Only),,,,,,
28,7,13,36,39,33,28,36,66,25,23,44,MIAMI,OK,"Oklahoma, N TX",347,Angler - Low Volume,10,6,,,,,,,
29,0,0,0,No Kayak Modular would need to Request Modular,0,29,0,0,0,1,40,JEFFERSON CITY,MO,Missouri,359,No Modular,0,,,,,,,,
30,4,8,0,No Kayak Modular would need to Request Modular,15,30,0,30,3,20,40,DEXTER,MO,Missouri,335,No Modular,0,,,,,,,,
31,0,0,0,No Kayak Modular would need to Request Modular,0,31,0,0,0,-1,44,POTEAU,OK,"Oklahoma, N TX",351,No Modular,0,,,,,,,,
32,8,4,19,21,26,32,20,52,27,5,40,BRANSON,MO,Missouri,333,LOW VOLUME/BASIC,6,6,,,,,,,
33,0,0,0,No Kayak Modular would need to Request Modular,1,33,0,2,0,0,42,NASHVILLE,AR,"AR, MO, LA",325,No Modular,0,,,,,,,,
34,2,7,16,17,8,34,16,16,25,9,42,NEVADA,MO,"AR, MO, LA",334,LOW VOLUME/BASIC,6,6,,,,,,,
35,14,9,57,61,42,35,57,84,32,62,47,MANHATTAN,KS,Frontier Region,407,Angler - Low Volume,10,7,,,,,,,
36,18,6,49,52,45,36,49,86,46,62,12,PARAGOULD,AR,"MS, AL, TN",329,Angler - Low Volume,10,5,,,,,,,
37,13,129,363,392,152,37,366,306,200,223,40,FARMINGTON,MO,Missouri,335,Avid Rec SOT,18,DTS 7,2,,,,,,
38,13,4,25,28,25,38,26,52,12,48,44,IDABEL,OK,"Oklahoma, N TX",47,LOW VOLUME/BASIC,6,5,,,,,,,
39,7,12,41,46,39,39,43,78,30,71,44,FORT SCOTT,KS,"Oklahoma, N TX",410,Angler - Low Volume,10,7,,,,,,,
40,11,23,59,63,40,40,59,84,60,107,40,MOBERLY,MO,Missouri,359,SOT,15,7,,,,,,,
41,3,6,33,36,32,41,34,64,31,60,44,BARTLESVILLE,OK,"Oklahoma, N TX",345,LOW VOLUME/BASIC,6,6,,,,,,,
42,8,5,24,26,28,42,24,60,13,15,44,COFFEYVILLE,KS,"Oklahoma, N TX",410,LOW VOLUME/BASIC,6,6,,,,,,,
43,12,12,53,57,43,43,53,82,29,88,47,JUNCTION CITY,KS,Frontier Region,407,Angler - Low Volume,10,7,,,,,,,
44,0,0,0,No Kayak Modular would need to Request Modular,0,44,0,0,0,0,40,ELDON,MO,Missouri,336,No Modular,0,,,,,,,,
45,6,4,25,28,25,45,26,50,5,21,12,JONESBORO,AR,"MS, AL, TN",329,LOW VOLUME/BASIC,6,5,,,,,,,
46,12,101,179,192,123,46,179,246,66,144,40,BOLIVAR,MO,Missouri,357,Angler - Mid to High Volume,16,DTS 7,1 (Store Set Only),,,,,,
47,6,4,12,17,6,47,16,12,1,5,44,SALLISAW,OK,"Oklahoma, N TX",351,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk6,,,,,,,
48,2,4,33,35,36,48,33,72,39,66,42,MONETT,MO,"AR, MO, LA",334,LOW VOLUME/BASIC,6,6,,,,,,,
49,19,9,48,56,67,49,52,134,53,82,44,HUGO,OK,"Oklahoma, N TX",47,Angler - Low Volume,10,4,,,,,,,
50,8,7,33,35,36,50,33,74,39,69,44,VINITA,OK,"Oklahoma, N TX",347,LOW VOLUME/BASIC,6,6,,,,,,,
51,0,0,-1,No Kayak Modular would need to Request Modular,0,51,-1,0,0,0,40,FULTON,MO,Missouri,339,No Modular,0,,,,,,,,
52,8,8,82,89,97,52,83,104,43,105,42,HOT SPRINGS,AR,"AR, MO, LA",325,Angler - Mid to High Volume,16,5,,,,,,,
54,3,8,37,40,27,54,37,28,48,66,42,SPRINGDALE,AR,"AR, MO, LA",322,LOW VOLUME/BASIC,6,6,,,,,,,
55,0,0,0,No Kayak Modular would need to Request Modular,5,55,0,5,0,0,42,BOONEVILLE,AR,"AR, MO, LA",321,No Modular,0,,,,,,,,
56,24,94,99,107,99,56,100,100,52,73,40,AVA,MO,Missouri,333,Angler - Mid to High Volume,16,DTS 7,1 (Store Set Only),,,,,,
57,1,0,0,No Kayak Modular would need to Request Modular,10,57,3,10,0,-1,42,WALNUT RIDGE,AR,"AR, MO, LA",328,No Modular,0,,,,,,,,
58,41,27,279,301,284,58,281,284,349,287,42,RUSSELLVILLE,AR,"AR, MO, LA",325,Avid Rec Combo,23,No Store Set Use Cur Inventory was DTS 5,2,,,,,,
59,6,36,94,104,51,59,97,51,77,65,42,JOPLIN,MO,"AR, MO, LA",334,Angler - Mid to High Volume,16,6,,,,,,,
60,9,16,37,40,29,60,37,29,30,51,40,TROY,MO,Missouri,339,Angler - Low Volume,10,7,,,,,,,
61,10,33,65,70,41,61,65,41,37,75,40,WARRENSBURG,MO,Missouri,361,Angler - Mid to High Volume,16,7,,,,,,,
62,0,0,1,No Kayak Modular would need to Request Modular,1,62,1,0,0,0,12,BLYTHEVILLE,AR,"MS, AL, TN",329,No Modular,0,,,,,,,,
63,14,13,54,59,38,63,55,38,43,72,44,WAGONER,OK,"Oklahoma, N TX",347,Angler - Low Volume,10,6,,,,,,,
64,0,0,0,No Kayak Modular would need to Request Modular,1,64,0,1,0,0,41,BROWNSVILLE,TN,Kentucky,146,No Modular,0,,,,,,,,
65,9,38,97,105,67,65,98,71,133,145,40,SULLIVAN,MO,Missouri,336,Angler - Mid to High Volume,16,7,,,,,,,
66,10,36,160,173,210,66,162,210,229,135,42,CLARKSVILLE,AR,"AR, MO, LA",321,Avid Rec Combo,23,DTS 6,1 (Store Set Only),,,,,,
67,8,44,51,55,143,67,51,143,74,130,42,MENA,AR,"AR, MO, LA",321,Angler - Mid to High Volume,16,6,,,,,,,
68,0,0,0,No Kayak Modular would need to Request Modular,0,68,0,0,0,0,12,WYNNE,AR,"MS, AL, TN",329,No Modular,0,,,,,,,,
69,3,112,110,125,104,69,117,110,81,124,40,FESTUS,MO,Missouri,335,Angler - Mid to High Volume,16,DTS 7,1 (Store Set Only),,,,,,
70,0,0,0,No Kayak Modular would need to Request Modular,0,70,0,0,0,0,12,WEST MEMPHIS,AR,"MS, AL, TN",329,No Modular,0,,,,,,,,
71,18,9,88,97,42,71,91,45,78,102,42,POCAHONTAS,AR,"AR, MO, LA",328,Angler - Mid to High Volume,16,5,,,,,,,
72,4,6,34,42,30,72,39,30,25,65,44,PITTSBURG,KS,"Oklahoma, N TX",410,LOW VOLUME/BASIC,6,6,,,,,,,
73,8,4,20,22,15,73,21,15,34,58,44,SAPULPA,OK,"Oklahoma, N TX",356,LOW VOLUME/BASIC,6,6,,,,,,,
74,0,0,0,No Kayak Modular would need to Request Modular,1,74,0,1,0,0,12,OSCEOLA,AR,"MS, AL, TN",329,No Modular,0,,,,,,,,
75,10,6,18,19,29,75,18,29,32,43,13,PINEVILLE,LA,"LA, MS",134,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk4,,,,,,,
76,13,36,61,64,119,76,60,123,99,138,42,BERRYVILLE,AR,"AR, MO, LA",322,Angler - Mid to High Volume,16,6,,,,,,,
77,21,10,23,26,56,77,24,56,34,29,5,TAYLOR,TX,Dallas,83,MID TIER REC,10,No Store Set Use Cur Inventory was wk4,,,,,,,
78,14,4,29,31,64,78,29,66,64,110,40,MARSHFIELD,MO,Missouri,357,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk7,,,,,,,
79,28,35,136,146,129,79,136,129,61,67,42,JOPLIN,MO,"AR, MO, LA",334,Combo,16,No Store Set Use Cur Inventory was DTS 6,1 (Store Set Only),,,,,,
80,0,0,0,No Kayak Modular would need to Request Modular,0,80,0,0,0,0,40,COLUMBIA,MO,Missouri,359,No Modular,0,,,,,,,,
81,6,5,25,27,30,81,25,30,13,38,44,STILWELL,OK,"Oklahoma, N TX",347,LOW VOLUME/BASIC,6,6,,,,,,,
82,20,105,107,117,51,82,109,53,64,123,40,PERRYVILLE,MO,Missouri,335,Angler - Mid to High Volume,16,DTS 7,1 (Store Set Only),,,,,,
83,0,0,0,No Kayak Modular would need to Request Modular,1,83,0,1,0,0,42,MAGNOLIA,AR,"AR, MO, LA",327,No Modular,0,,,,,,,,
85,4,6,27,30,32,85,28,32,14,50,42,BENTON,AR,"AR, MO, LA",324,LOW VOLUME/BASIC,6,5,,,,,,,
86,10,31,51,55,72,86,51,72,62,122,40,SPRINGFIELD,MO,Missouri,357,SIS,14,7,,,,,,,
87,11,7,40,44,23,87,41,24,22,35,42,MINDEN,LA,"AR, MO, LA",127,LOW VOLUME/BASIC,6,4,,,,,,,
88,0,7,32,35,32,88,33,32,44,98,40,MOUNTAIN GROVE,MO,Missouri,357,LOW VOLUME/BASIC,6,7,,,,,,,
89,86,34,310,333,266,89,311,269,356,267,40,CAMDENTON,MO,Missouri,336,Avid Rec Combo,23,No Store Set Use Cur Inventory was DTS 7,2,,,,,,
90,2,97,187,203,135,90,190,136,115,103,44,GROVE,OK,"Oklahoma, N TX",347,Angler - Mid to High Volume,16,DTS 6,1 (Store Set Only),,,,,,
91,0,0,0,No Kayak Modular would need to Request Modular,0,91,1,0,0,0,12,FORREST CITY,AR,"MS, AL, TN",329,No Modular,0,,,,,,,,
92,15,23,70,75,54,92,70,54,70,88,42,AURORA,MO,"AR, MO, LA",334,Angler - Mid to High Volume,16,6,,,,,,,
93,11,5,19,20,13,93,19,13,6,16,12,COVINGTON,TN,"MS, AL, TN",145,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
94,0,0,0,No Kayak Modular would need to Request Modular,1,94,0,1,0,20,12,MILLINGTON,TN,"MS, AL, TN",145,No Modular,0,,,,,,,,
95,4,110,184,198,159,95,185,162,152,168,40,DESLOGE,MO,Missouri,335,Avid Rec SOT,18,DTS 7,1 (Store Set Only),,,,,,
96,2,9,27,29,21,96,27,22,18,36,40,HARRISONVILLE,MO,Missouri,361,LOW VOLUME/BASIC,6,7,,,,,,,
97,0,0,0,No Kayak Modular would need to Request Modular,1,97,0,1,0,0,41,RIPLEY,TN,Kentucky,146,No Modular,0,,,,,,,,
98,3,2,13,14,19,98,13,19,3,20,42,BASTROP,LA,"AR, MO, LA",135,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk4,,,,,,,
99,1,9,33,35,28,99,33,32,37,79,40,UNION,MO,Missouri,336,LOW VOLUME/BASIC,6,7,,,,,,,
100,12,34,69,74,90,100,69,91,157,109,42,BENTONVILLE,AR,"AR, MO, LA",323,Angler - Mid to High Volume,16,6,,,,,,,
101,7,25,239,258,250,101,241,251,280,173,40,ROLLA,MO,Missouri,336,Avid Rec SOT,18,No Store Set Use Cur Inventory was DTS 7,1,,,,,,
102,0,0,0,No Kayak Modular would need to Request Modular,0,102,0,0,2,2,42,STUTTGART,AR,"AR, MO, LA",327,No Modular,0,,,,,,,,
103,8,13,39,42,17,103,39,18,22,68,44,SHAWNEE,OK,"Oklahoma, N TX",351,Angler - Low Volume,10,6,,,,,,,
104,13,14,44,48,30,104,45,32,42,35,41,MILAN,TN,Kentucky,146,Angler - Low Volume,10,6,,,,,,,
105,24,6,69,74,47,105,69,47,38,88,12,CORINTH,MS,"MS, AL, TN",4,Angler - Low Volume,10,5,,,,,,,
106,0,0,0,No Kayak Modular would need to Request Modular,0,106,0,0,0,-2,41,FULTON,KY,Kentucky,146,No Modular,0,,,,,,,,
107,17,14,46,49,37,107,46,38,98,38,41,MARTIN,TN,Kentucky,146,Angler - Low Volume,10,6,,,,,,,
108,5,4,31,33,21,108,31,21,32,22,44,GUTHRIE,OK,"Oklahoma, N TX",344,LOW VOLUME/BASIC,6,6,,,,,,,
109,4,8,29,32,38,109,30,38,59,91,40,CAMERON,MO,Missouri,360,LOW VOLUME/BASIC,6,7,,,,,,,
110,0,0,0,No Kayak Modular would need to Request Modular,-1,110,0,-1,0,-1,9,WINTER GARDEN,FL,Florida,89,No Modular,0,,,,,,,,
111,0,0,1,No Kayak Modular would need to Request Modular,0,111,1,0,0,2,44,CHANUTE,KS,"Oklahoma, N TX",410,No Modular,0,,,,,,,,
112,13,2,25,27,27,112,25,27,18,35,14,STARKVILLE,MS,"AL, FL",138,LOW VOLUME/BASIC,6,5,,,,,,,
113,18,8,57,61,38,113,57,38,23,45,44,CHICKASHA,OK,"Oklahoma, N TX",349,Angler - Low Volume,10,5,,,,,,,
114,28,6,36,41,48,114,38,48,32,33,12,BOONEVILLE,MS,"MS, AL, TN",4,Angler - Low Volume,10,No Store Set Use Cur Inventory was wk5,,,,,,,
115,0,0,0,No Kayak Modular would need to Request Modular,1,115,0,1,0,0,14,WEST POINT,MS,"AL, FL",138,No Modular,0,,,,,,,,
116,0,0,0,No Kayak Modular would need to Request Modular,1,116,0,1,0,2,42,VIVIAN,LA,"AR, MO, LA",127,No Modular,0,,,,,,,,
117,66,18,127,138,187,117,129,187,184,123,44,BROKEN BOW,OK,"Oklahoma, N TX",47,Avid Rec Combo,23,No Store Set Use Cur Inventory was DTS 5,1 (Store Set Only),,,,,,
118,9,3,25,27,7,118,25,7,14,33,12,AMORY,MS,"MS, AL, TN",4,LOW VOLUME/BASIC,6,5,,,,,,,
119,56,29,306,330,268,119,308,269,209,194,42,BATESVILLE,AR,"AR, MO, LA",328,Avid Rec SOT,18,No Store Set Use Cur Inventory was DTS 5,2,,,,,,
120,0,0,0,No Kayak Modular would need to Request Modular,0,120,0,0,0,6,41,HUMBOLDT,TN,Kentucky,146,No Modular,0,,,,,,,,
121,6,4,24,26,25,121,24,25,19,41,44,OKMULGEE,OK,"Oklahoma, N TX",351,LOW VOLUME/BASIC,6,6,,,,,,,
122,22,9,41,44,35,122,41,36,64,31,40,JACKSON,MO,Missouri,335,Angler - Low Volume,10,No Store Set Use Cur Inventory was wk7,,,,,,,
123,0,0,0,No Kayak Modular would need to Request Modular,3,123,0,3,0,0,44,SEMINOLE,OK,"Oklahoma, N TX",351,No Modular,0,,,,,,,,
124,1,0,0,No Kayak Modular would need to Request Modular,0,124,0,0,0,-1,42,LITTLE ROCK,AR,"AR, MO, LA",324,No Modular,0,,,,,,,,
125,19,30,43,46,79,125,43,78,66,89,42,FORT SMITH,AR,"AR, MO, LA",321,Angler - Mid to High Volume,16,6,,,,,,,
126,6,3,17,18,30,126,17,30,15,20,42,LITTLE ROCK,AR,"AR, MO, LA",324,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
127,4,6,24,28,31,127,26,31,35,78,42,MALVERN,AR,"AR, MO, LA",325,LOW VOLUME/BASIC,6,5,,,,,,,
128,6,6,24,26,34,128,24,34,17,37,12,JONESBORO,AR,"MS, AL, TN",329,LOW VOLUME/BASIC,6,5,,,,,,,
129,90,12,80,92,67,129,86,70,55,73,44,ARDMORE,OK,"Oklahoma, N TX",350,SOT,15,No Store Set Use Cur Inventory was wk5,,,,,,,
130,1,0,0,No Kayak Modular would need to Request Modular,0,130,0,0,-1,-2,44,MUSKOGEE,OK,"Oklahoma, N TX",347,No Modular,0,,,,,,,,
131,120,18,128,143,81,131,134,81,21,55,44,MOUNT PLEASANT,TX,"Oklahoma, N TX",47,Angler - Mid to High Volume,16,DTS 4,1 (Store Set Only),,,,,,
132,0,0,0,No Kayak Modular would need to Request Modular,0,132,0,0,0,0,44,KINGFISHER,OK,"Oklahoma, N TX",344,No Modular,0,,,,,,,,
133,0,0,0,No Kayak Modular would need to Request Modular,1,133,0,1,0,0,42,ASHDOWN,AR,"AR, MO, LA",325,No Modular,0,,,,,,,,
134,26,19,49,54,74,134,50,74,35,22,44,ELK CITY,OK,"Oklahoma, N TX",344,SOT,15,No Store Set Use Cur Inventory was DTS 5,1 (Store Set Only),,,,,,
135,3,12,35,37,69,135,35,69,73,87,40,CHILLICOTHE,MO,Missouri,360,MID TIER REC,10,10,,,,,,,
136,0,0,0,No Kayak Modular would need to Request Modular,2,136,0,2,0,0,44,BLACKWELL,OK,"Oklahoma, N TX",345,No Modular,0,,,,,,,,
137,12,13,48,52,58,137,49,58,47,40,44,STILLWATER,OK,"Oklahoma, N TX",352,Angler - Low Volume,10,6,,,,,,,
138,3,122,118,129,79,138,121,80,57,135,40,SPRINGFIELD,MO,Missouri,357,SOT,15,DTS 7,1 (Store Set Only),,,,,,
139,13,12,43,46,47,139,43,48,34,34,44,PURCELL,OK,"Oklahoma, N TX",353,MID TIER REC,10,5,,,,,,,
140,24,10,45,48,65,140,45,66,34,57,6,LUFKIN,TX,South Texas,503,Angler - Low Volume,10,No Store Set Use Cur Inventory was wk4,,,,,,,
141,7,14,35,40,38,141,37,38,42,62,42,FORT SMITH,AR,"AR, MO, LA",321,Angler - Low Volume,10,6,,,,,,,
143,31,10,175,188,196,143,176,196,132,133,41,BENTON,KY,Kentucky,253,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was DTS 6,1 (Store Set Only),,,,,,
144,6,36,83,89,105,144,83,105,129,166,42,FAYETTEVILLE,AR,"AR, MO, LA",322,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was wk6,,,,,,,
145,0,0,-1,No Kayak Modular would need to Request Modular,0,145,-1,0,0,0,40,BOWLING GREEN,MO,Missouri,339,No Modular,0,,,,,,,,
146,20,9,46,55,50,146,51,48,9,24,5,GILMER,TX,Dallas,46,Angler - Low Volume,10,4,,,,,,,
147,30,21,101,112,103,147,105,103,99,78,44,DENISON,TX,"Oklahoma, N TX",350,Angler - Mid to High Volume,16,DTS 5,1 (Store Set Only),,,,,,
148,128,13,132,146,67,148,136,69,21,28,44,PARIS,TX,"Oklahoma, N TX",47,Angler - Mid to High Volume,16,DTS 4,1 (Store Set Only),,,,,,
149,11,3,22,25,28,149,23,28,7,10,42,JONESBORO,LA,"AR, MO, LA",135,LOW VOLUME/BASIC,6,4,,,,,,,
150,0,0,0,No Kayak Modular would need to Request Modular,0,150,2,0,0,0,44,WOODWARD,OK,"Oklahoma, N TX",344,No Modular,0,,,,,,,,
151,11,23,73,78,103,151,73,106,61,99,44,MCALESTER,OK,"Oklahoma, N TX",351,Angler - Mid to High Volume,16,6,,,,,,,
152,7,102,116,124,131,152,116,140,85,154,40,DE SOTO,MO,Missouri,335,Angler - Mid to High Volume,16,DTS 7,1 (Store Set Only),,,,,,
153,12,1,20,21,31,153,20,31,27,41,12,NEW ALBANY,MS,"MS, AL, TN",4,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
154,71,18,124,135,180,154,126,182,179,183,20,ABINGDON,VA,"VA, OH, PA, WV",311,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was DTS 6,1 (Store Set Only),,,,,,
155,5,4,22,24,36,155,22,36,13,31,12,SENATOBIA,MS,"MS, AL, TN",136,LOW VOLUME/BASIC,6,5,,,,,,,
157,18,14,152,165,35,157,154,37,56,83,42,SEARCY,AR,"AR, MO, LA",328,SOT,15,No Store Set Use Cur Inventory was DTS 5,1 (Store Set Only),,,,,,
158,40,16,45,48,73,158,45,73,56,50,44,BONHAM,TX,"Oklahoma, N TX",350,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was wk4,,,,,,,
159,16,3,22,24,31,159,22,31,39,44,40,COLUMBIA,MO,Missouri,359,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk7,,,,,,,
160,62,29,498,540,376,160,505,373,284,340,42,ASH FLAT,AR,"AR, MO, LA",328,Avid Angler SOT,19,No Store Set Use Cur Inventory was DTS 5,3,,,,,,
161,69,19,87,94,90,161,88,90,96,29,12,HUNTINGDON,TN,"MS, AL, TN",147,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was wk6,,,,,,,
162,0,0,0,No Kayak Modular would need to Request Modular,0,162,0,0,0,0,44,ANADARKO,OK,"Oklahoma, N TX",349,No Modular,0,,,,,,,,
163,20,9,50,55,65,163,51,65,27,40,6,NACOGDOCHES,TX,South Texas,503,Angler - Low Volume,10,4,,,,,,,
164,0,0,0,No Kayak Modular would need to Request Modular,0,164,0,0,0,0,12,PONTOTOC,MS,"MS, AL, TN",4,No Modular,0,,,,,,,,
165,14,7,30,34,41,165,32,41,21,26,5,HENDERSON,TX,Dallas,46,LOW VOLUME/BASIC,6,4,,,,,,,
166,10,93,137,147,125,166,137,126,86,169,40,HOUSTON,MO,Missouri,357,Angler - Mid to High Volume,16,DTS 7,1 (Store Set Only),,,,,,
167,9,3,29,31,37,167,29,37,19,29,42,CROSSETT,AR,"AR, MO, LA",327,LOW VOLUME/BASIC,6,5,,,,,,,
168,12,22,84,92,34,168,86,40,13,64,44,OWASSO,OK,"Oklahoma, N TX",345,Angler - Mid to High Volume,16,6,,,,,,,
169,0,0,0,No Kayak Modular would need to Request Modular,2,169,0,2,0,0,42,LONOKE,AR,"AR, MO, LA",326,No Modular,0,,,,,,,,
170,15,5,23,25,20,170,23,20,16,24,13,NATCHITOCHES,LA,"LA, MS",134,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk4,,,,,,,
171,0,0,0,No Kayak Modular would need to Request Modular,1,171,2,1,0,0,42,CAMDEN,AR,"AR, MO, LA",327,No Modular,0,,,,,,,,
172,9,15,47,50,39,172,47,40,59,104,40,WASHINGTON,MO,Missouri,336,Angler - Low Volume,10,7,,,,,,,
173,22,18,39,42,42,173,39,42,55,77,40,POTOSI,MO,Missouri,357,Angler - Low Volume,10,7,,,,,,,
174,4,1,10,13,3,174,12,3,19,36,9,COCOA,FL,Florida,92,BARE BONES,3,No Store Set Use Cur Inventory was wk3,,,,,,,
175,0,0,0,No Kayak Modular would need to Request Modular,0,175,0,0,0,0,12,COLLIERVILLE,TN,"MS, AL, TN",144,No Modular,0,,,,,,,,
176,0,0,0,No Kayak Modular would need to Request Modular,0,176,0,0,0,0,12,RIPLEY,MS,"MS, AL, TN",4,No Modular,0,,,,,,,,
177,37,26,176,188,139,177,176,145,186,78,41,PARIS,TN,Kentucky,146,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was DTS 6,1 (Store Set Only),,,,,,
178,1,0,1,No Kayak Modular would need to Request Modular,50,178,1,50,9,0,44,ALVA,OK,"Oklahoma, N TX",344,No Modular,0,,,,,,,,
179,4,14,45,48,60,179,45,62,54,100,40,SPRINGFIELD,MO,Missouri,357,Angler - Low Volume,10,6,,,,,,,
180,29,8,41,47,72,180,44,71,34,34,5,JACKSONVILLE,TX,Dallas,46,Angler - Low Volume,10,No Store Set Use Cur Inventory was wk4,,,,,,,
181,18,2,11,13,15,181,12,15,5,9,44,NEW BOSTON,TX,"Oklahoma, N TX",47,BARE BONES,3,No Store Set Use Cur Inventory was wk4,,,,,,,
182,16,5,16,17,41,182,16,41,18,43,12,GREENVILLE,MS,"MS, AL, TN",136,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
183,1,0,1,No Kayak Modular would need to Request Modular,0,183,1,0,1,2,14,LOUISVILLE,MS,"AL, FL",138,No Modular,0,,,,,,,,
184,5,10,43,46,31,184,43,31,41,61,40,BLUE SPRINGS,MO,Missouri,361,Angler - Low Volume,10,7,,,,,,,
185,14,17,45,49,73,185,46,77,57,74,44,GAINESVILLE,TX,"Oklahoma, N TX",350,SOT,15,5,,,,,,,
186,5,12,43,46,30,186,43,30,31,71,44,EL DORADO,KS,"Oklahoma, N TX",409,Angler - Low Volume,10,7,,,,,,,
188,42,22,106,113,48,188,106,51,52,100,40,CAPE GIRARDEAU,MO,Missouri,335,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was DTS 7,1 (Store Set Only),,,,,,
