STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales,Right_STORE_NBR,2022 YTD SALES UNITS,2021 SALES UNITS,FYE21 SALES UNITS,FYE20 SALES UNITS,Right_REGION_NBR,CITY_NAME,STATE_PROV_CODE,REGION_NAME,Right_MARKET_AREA_NBR,FYE24 Modular,Total Items on FYE24 Store Modular,Store Set Expected Arrival Wk,DTS Shippments,F16,F17,F18,F19,F20,F21
2827,53,18,123,135,51,2827,126,51,39,56,52,CORALVILLE,IA,"MN, IA",418,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was DTS 10,1 (Store Set Only),,,,,,
2828,0,0,0,No Kayak Modular would need to Request Modular,0,2828,0,0,0,0,53,MILWAUKEE,WI,WISCONSIN,435,No Modular,0,,,,,,,,
2830,0,0,0,No Kayak Modular would need to Request Modular,1,2830,1,1,0,0,22,EDDYSTONE,PA,"PA, NJ",166,No Modular,0,,,,,,,,
2831,0,0,0,No Kayak Modular would need to Request Modular,10,2831,0,10,14,16,56,JEROME,ID,"N. CA, N. NV",400,No Modular,0,,,,,,,,
2832,22,6,13,14,22,2832,13,22,8,24,4,HARDEEVILLE,SC,North Carolina,29,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk4,,,,,,,
2833,2,7,37,44,38,2833,41,38,43,32,75,GRAFTON,WV,"DC, VA",320,LOW VOLUME/BASIC,6,6,,,,,,,
2834,7,6,15,18,23,2834,17,23,10,17,5,FORT WORTH,TX,Dallas,50,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
2835,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2836,0,0,0,No Kayak Modular would need to Request Modular,-1,2836,0,-1,-1,-1,26,FUQUAY VARINA,NC,Southeast,299,No Modular,0,,,,,,,,
2838,15,12,24,26,46,2838,24,46,35,44,57,HENDERSON,NV,LA and Vegas,396,MID TIER REC,10,3,,,,,,,
2839,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2840,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2841,10,7,28,30,29,2841,28,29,31,55,22,LUMBERTON,NJ,"PA, NJ",558,LOW VOLUME/BASIC,6,6,,,,,,,
2842,0,0,0,No Kayak Modular would need to Request Modular,1,2842,0,1,20,3,57,CORONA,CA,LA and Vegas,461,No Modular,0,,,,,,,,
2843,1,14,29,35,31,2843,33,31,22,33,9,SUMMERFIELD,FL,Florida,89,LOW VOLUME/BASIC,6,3,,,,,,,
2844,2,3,15,16,21,2844,15,21,15,45,17,CLIFTON PARK,NY,New York,188,LOW VOLUME/BASIC,6,10,,,,,,,
2845,9,4,22,24,16,2845,22,17,33,45,26,SILER CITY,NC,Southeast,296,LOW VOLUME/BASIC,6,5,,,,,,,
2846,2,0,10,12,22,2846,11,20,19,26,12,OLIVE BRANCH,MS,"MS, AL, TN",144,BARE BONES,3,No Store Set Use Cur Inventory was wk5,,,,,,,
2847,-1,9,26,30,26,2847,28,26,43,77,47,BELLEVUE,NE,Frontier Region,433,LOW VOLUME/BASIC,6,7,,,,,,,
2849,0,0,0,No Kayak Modular would need to Request Modular,8,2849,0,8,2,0,20,MASON,WV,"VA, OH, PA, WV",316,No Modular,0,,,,,,,,
2850,0,0,0,No Kayak Modular would need to Request Modular,0,2850,0,0,0,5,75,HAMPSTEAD,MD,"DC, VA",293,No Modular,0,,,,,,,,
2852,7,3,18,19,44,2852,18,44,42,100,20,MOUNDSVILLE,WV,"VA, OH, PA, WV",216,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk7,,,,,,,
2853,0,0,0,No Kayak Modular would need to Request Modular,-1,2853,0,-1,0,-1,75,LA PLATA,MD,"DC, VA",508,No Modular,0,,,,,,,,
2854,9,17,73,78,62,2854,73,61,97,87,17,LISBON,CT,New York,162,Angler - Mid to High Volume,16,10,,,,,,,
2855,0,0,0,No Kayak Modular would need to Request Modular,0,2855,0,0,0,0,40,SHAWNEE,KS,Missouri,362,No Modular,0,,,,,,,,
2856,0,0,1,No Kayak Modular would need to Request Modular,0,2856,1,0,0,0,40,OAK GROVE,MO,Missouri,361,No Modular,0,,,,,,,,
2857,0,10,36,39,18,2857,36,19,26,63,40,KANSAS CITY,MO,Missouri,360,LOW VOLUME/BASIC,6,7,,,,,,,
2858,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2859,0,0,0,No Kayak Modular would need to Request Modular,2,2859,0,2,0,-1,17,ROCHESTER,NY,New York,194,No Modular,0,,,,,,,,
2860,13,2,15,18,11,2860,17,11,8,38,4,POOLER,GA,North Carolina,29,BARE BONES,3,No Store Set Use Cur Inventory was wk4,,,,,,,
2861,20,10,56,70,69,2861,65,69,101,79,56,GARDEN CITY,ID,"N. CA, N. NV",399,MID TIER REC,10,4,,,,,,,
2862,28,19,71,76,106,2862,71,105,85,102,56,MERIDIAN,ID,"N. CA, N. NV",399,Angler - Mid to High Volume,16,4,,,,,,,
2864,20,0,6,7,13,2864,7,13,2,16,6,SAN ANTONIO,TX,South Texas,506,BARE BONES,3,No Store Set Use Cur Inventory was wk4,,,,,,,
2865,8,63,273,293,225,2865,274,225,294,208,60,SPOKANE,WA,"OR, WA, AK, HI",474,Avid Rec Combo,23,No Store Set Use Cur Inventory was DTS 6,1,,,,,,
2866,0,0,0,No Kayak Modular would need to Request Modular,0,2866,0,0,0,1,19,OKEMOS,MI,"Michigan, OH",203,No Modular,0,,,,,,,,
2867,12,2,15,17,30,2867,16,31,42,59,19,LANSING,MI,"Michigan, OH",203,BARE BONES,3,No Store Set Use Cur Inventory was wk11,,,,,,,
2869,2,3,28,30,25,2869,28,25,25,69,19,LANSING,MI,"Michigan, OH",203,LOW VOLUME/BASIC,6,11,,,,,,,
2870,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2871,0,0,0,No Kayak Modular would need to Request Modular,2,2871,0,2,0,0,22,CINNAMINSON,NJ,"PA, NJ",558,No Modular,0,,,,,,,,
2872,12,3,13,14,34,2872,13,34,29,15,19,BELLEVILLE,MI,"Michigan, OH",197,BARE BONES,3,No Store Set Use Cur Inventory was wk11,,,,,,,
2873,0,0,-1,No Kayak Modular would need to Request Modular,0,2873,-1,0,0,0,19,TROY,MI,"Michigan, OH",206,No Modular,0,,,,,,,,
2874,12,7,35,39,63,2874,36,62,27,72,17,GLENVILLE,NY,New York,189,Angler - Low Volume,10,10,,,,,,,
2875,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2876,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2877,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2878,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2880,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2881,5,2,4,4,3,2881,4,3,5,4,9,KISSIMMEE,FL,Florida,90,BARE BONES,3,No Store Set Use Cur Inventory was wk4,,,,,,,
2882,0,0,0,No Kayak Modular would need to Request Modular,30,2882,0,30,51,0,52,MAPLE GROVE,MN,"MN, IA",422,No Modular,0,,,,,,,,
2883,10,7,15,17,6,2883,16,6,6,15,5,PLANO,TX,Dallas,56,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
2884,27,6,36,44,45,2884,41,46,35,38,57,LAS VEGAS,NV,LA and Vegas,394,Angler - Low Volume,10,4,,,,,,,
2885,0,0,0,No Kayak Modular would need to Request Modular,0,2885,0,0,0,0,16,NEWPORT,RI,New England,161,No Modular,0,,,,,,,,
2886,0,0,0,No Kayak Modular would need to Request Modular,0,2886,0,0,0,4,57,PICO RIVERA,CA,LA and Vegas,484,No Modular,0,,,,,,,,
2887,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
