Store Number,Current # of Locker Doors,Current # of 18 Door Units,Current # of 36 Door Lockers,Current # of Locker Units ,18- Door Lockers to Remove,36- Door Lockers to Remove,Total Locker Units to Remove,Total Locker Units Remaining
32,126,1,3,4,1,3,4,0
56,108,0,3,3,,3,3,0
88,108,0,3,3,,3,3,0
89,108,0,3,3,,3,3,0
101,108,0,3,3,,3,3,0
115,72,0,2,2,,2,2,0
138,126,1,3,4,1,3,4,0
183,72,0,2,2,,2,2,0
185,72,0,2,2,,2,2,0
194,72,0,2,2,,2,2,0
205,72,0,2,2,,2,2,0
225,108,0,3,3,,3,3,0
305,72,0,2,2,,2,2,0
379,126,1,3,4,1,3,4,0
444,126,1,3,4,1,3,4,0
492,108,0,3,3,,3,3,0
527,108,0,3,3,,3,3,0
546,72,0,2,2,,2,2,0
575,72,0,2,2,,2,2,0
594,72,0,2,2,,2,2,0
673,72,0,2,2,,2,2,0
694,108,0,3,3,,3,3,0
708,72,0,2,2,,2,2,0
745,72,0,2,2,,2,2,0
750,72,0,2,2,,2,2,0
785,72,0,2,2,,2,2,0
807,126,1,3,4,1,3,4,0
808,108,0,3,3,,3,3,0
815,126,1,3,4,1,3,4,0
816,72,0,2,2,,2,2,0
845,54,1,1,2,1,1,2,0
915,126,1,3,4,1,3,4,0
979,72,0,2,2,,2,2,0
981,72,0,2,2,,2,2,0
1023,108,0,3,3,,3,3,0
1039,126,1,3,4,1,3,4,0
1069,72,0,2,2,,2,2,0
1075,108,0,3,3,,3,3,0
1109,144,0,4,4,,4,4,0
1181,72,0,2,2,,2,2,0
1197,108,0,3,3,,3,3,0
1295,108,0,3,3,,3,3,0
1338,36,0,1,1,,1,1,0
1340,72,0,2,2,,2,2,0
1354,108,0,3,3,,3,3,0
1365,72,0,2,2,,2,2,0
1405,108,0,3,3,,3,3,0
1489,72,0,2,2,,2,2,0
1546,72,0,2,2,,2,2,0
1578,72,0,2,2,,2,2,0
1641,126,1,3,4,1,3,4,0
1709,126,1,3,4,1,3,4,0
1710,72,0,2,2,,2,2,0
1733,72,0,2,2,,2,2,0
1735,108,0,3,3,,3,3,0
1752,72,0,2,2,,2,2,0
1755,72,0,2,2,,2,2,0
1828,72,0,2,2,,2,2,0
1849,108,0,3,3,,3,3,0
1881,72,0,2,2,,2,2,0
1911,72,0,2,2,,2,2,0
1998,108,0,3,3,,3,3,0
2048,72,0,2,2,,2,2,0
2068,126,1,3,4,1,3,4,0
2080,72,0,2,2,,2,2,0
2086,108,0,3,3,,3,3,0
2154,72,0,2,2,,2,2,0
2156,108,0,3,3,,3,3,0
2169,126,1,3,4,1,3,4,0
2175,108,0,3,3,,3,3,0
2247,108,0,3,3,,3,3,0
2266,72,0,2,2,,2,2,0
2286,108,0,3,3,,3,3,0
2316,36,0,1,1,,1,1,0
2360,72,0,2,2,,2,2,0
2439,126,1,3,4,1,3,4,0
2468,36,0,1,1,,1,1,0
2472,108,0,3,3,,3,3,0
2475,72,0,2,2,,2,2,0
2504,108,0,3,3,,3,3,0
2531,108,0,3,3,,3,3,0
2584,36,0,1,1,,1,1,0
2590,36,0,1,1,,1,1,0
2693,72,0,2,2,,2,2,0
2699,36,0,1,1,,1,1,0
2730,108,0,3,3,,3,3,0
2731,36,0,1,1,,1,1,0
2732,72,0,2,2,,2,2,0
2773,36,0,1,1,,1,1,0
2816,108,0,3,3,,3,3,0
2867,72,0,2,2,,2,2,0
2883,126,1,3,4,1,3,4,0
2906,126,1,3,4,1,3,4,0
2916,108,0,3,3,,3,3,0
2925,72,0,2,2,,2,2,0
2927,72,0,2,2,,2,2,0
2945,108,0,3,3,,3,3,0
2947,72,0,2,2,,2,2,0
3008,36,0,1,1,,1,1,0
3050,36,0,1,1,,1,1,0
3059,72,0,2,2,,2,2,0
3067,72,0,2,2,,2,2,0
3069,36,0,1,1,,1,1,0
3070,36,0,1,1,,1,1,0
3071,36,0,1,1,,1,1,0
3072,36,0,1,1,,1,1,0
3074,36,0,1,1,,1,1,0
3118,72,0,2,2,,2,2,0
3144,36,0,1,1,,1,1,0
3145,36,0,1,1,,1,1,0
3178,36,0,1,1,,1,1,0
3188,72,0,2,2,,2,2,0
3201,72,0,2,2,,2,2,0
3296,108,0,3,3,,3,3,0
3297,108,0,3,3,,3,3,0
3402,72,0,2,2,,2,2,0
3425,108,0,3,3,,3,3,0
3431,72,0,2,2,,2,2,0
3475,108,0,3,3,,3,3,0
3495,108,0,3,3,,3,3,0
3501,108,0,3,3,,3,3,0
3503,126,1,3,4,1,3,4,0
3516,72,0,2,2,,2,2,0
3541,108,0,3,3,,3,3,0
3544,72,0,2,2,,2,2,0
