Store,Format,Sub Division,Region,Market,City,State,Confirmed Delivery Date,Cash Vault,Amored Carrier, Pennies , Nickels , Dimes , Quarter , Total Dollar Value , Total Bag Count 
1644,WM Supercenter,E,22,232,LEWISBURG,PA,2/7/2022,Pennsauken 1,Loomis, $100.00 , $600.00 ," $2,500.00 "," $4,000.00 "," $7,200.00 ",23
1736,WM Supercenter,E,75,284,DOVER,DE,2/7/2022,Pennsauken 1,Loomis, $100.00 , $600.00 ," $2,500.00 "," $4,000.00 "," $7,200.00 ",23
1741,WM Supercenter,E,75,284,MILFORD,DE,2/7/2022,Pennsauken 1,Loomis, $100.00 , $600.00 ," $2,500.00 "," $4,000.00 "," $7,200.00 ",23
1794,WM Supercenter,E,22,232,BLOOMSBURG,PA,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
1807,WM Supercenter,E,22,165,WEST BERLIN,NJ,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,600.00 ",19
1887,Wal-Mart,E,22,232,MONTOURSVILLE,PA,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
1921,Wal-Mart,E,22,178,MANAHAWKIN,NJ,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
1977,WM Supercenter,E,22,178,BRICK,NJ,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,600.00 ",19
2185,WM Supercenter,E,22,232,SELINSGROVE,PA,2/7/2022,Pennsauken 1,Loomis, $100.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,400.00 ",23
2236,Wal-Mart,E,22,167,HARLEYSVILLE,PA,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2255,WM Supercenter,E,22,232,HAZLE TOWNSHIP,PA,2/7/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2263,WM Supercenter,E,22,167,POTTSTOWN,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2419,Wal-Mart,E,75,285,REHOBOTH BEACH,DE,2/7/2022,Pennsauken 1,Loomis, $75.00 , $700.00 ," $2,500.00 "," $4,000.00 "," $7,275.00 ",23
2481,WM Supercenter,E,22,232,COAL TOWNSHIP,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2528,WM Supercenter,E,22,232,MILL HALL,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2535,WM Supercenter,E,22,232,SAINT CLAIR,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
3337,WM Supercenter,E,22,178,RIO GRANDE,NJ,2/7/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3475,WM Supercenter,E,22,167,NORRISTOWN,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3634,WM Supercenter,E,22,232,TAMAQUA,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3810,WM Supercenter,E,22,168,EAST GREENVILLE,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
4687,WM Supercenter,E,22,167,KING OF PRUSSIA,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5239,WM Supercenter,E,22,167,BECHTELSVILLE,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $1,500.00 "," $2,000.00 "," $3,975.00 ",14
6330,Sam's Club,B,7,39,DOVER,DE,2/7/2022,Pennsauken 1,Loomis, $75.00 , $300.00 ," $2,000.00 "," $2,000.00 "," $4,375.00 ",14
6536,Sam's Club,B,7,39,ALLENTOWN,PA,2/7/2022,Pennsauken 1,Loomis, $75.00 , $200.00 ," $1,500.00 "," $2,000.00 "," $3,775.00 ",12
1670,Wal-Mart,E,22,168,WYOMISSING,PA,2/8/2022,Pennsauken 1,Loomis, $100.00 , $700.00 ," $2,500.00 "," $3,000.00 "," $6,300.00 ",22
1777,WM Supercenter,E,22,168,READING,PA,2/8/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,500.00 "," $4,000.00 "," $7,100.00 ",22
1869,Wal-Mart,E,22,165,MARLTON,NJ,2/8/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $1,500.00 "," $2,500.00 "," $4,600.00 ",17
2041,Wal-Mart,E,75,284,PENNSVILLE,NJ,2/8/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2145,WM Supercenter,E,22,168,WHITEHALL,PA,2/8/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2167,Wal-Mart,E,22,167,EXTON,PA,2/8/2022,Pennsauken 1,Loomis, $100.00 , $700.00 ," $2,500.00 "," $4,000.00 "," $7,300.00 ",24
2641,WM Supercenter,E,22,168,ALLENTOWN,PA,2/8/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2791,WM Supercenter,E,75,285,GEORGETOWN,DE,2/8/2022,Pennsauken 1,Loomis, $75.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,375.00 ",22
2830,Wal-Mart,E,22,166,EDDYSTONE,PA,2/8/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2945,WM Supercenter,E,22,233,PARKESBURG,PA,2/8/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
3339,WM Supercenter,E,22,165,VINELAND,NJ,2/8/2022,Pennsauken 1,Loomis, $75.00 , $700.00 ," $2,500.00 "," $3,000.00 "," $6,275.00 ",21
5047,Wal-Mart,E,22,558,AUDUBON,NJ,2/8/2022,Pennsauken 1,Loomis, $75.00 , $700.00 ," $2,500.00 "," $3,000.00 "," $6,275.00 ",21
5200,Wal-Mart,E,22,233,LANCASTER,PA,2/8/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5495,Wal-Mart,E,22,166,GLENOLDEN,PA,2/8/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $2,000.00 "," $4,475.00 ",15
5795,WM Supercenter,E,22,233,OXFORD,PA,2/8/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5944,WM Supercenter,E,22,558,MOUNT LAUREL,NJ,2/8/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
1623,WM Supercenter,E,17,226,WILKES BARRE,PA,2/9/2022,Pennsauken 1,Loomis, $100.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,400.00 ",23
1742,WM Supercenter,E,22,165,TURNERSVILLE,NJ,2/9/2022,Pennsauken 1,Loomis, $100.00 , $600.00 ," $2,500.00 "," $4,000.00 "," $7,200.00 ",23
1844,Wal-Mart,E,22,178,TOMS RIVER,NJ,2/9/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $1,500.00 "," $2,500.00 "," $4,600.00 ",17
2040,WM Supercenter,E,22,170,BURLINGTON,NJ,2/9/2022,Pennsauken 1,Loomis, $100.00 , $800.00 ," $2,500.00 "," $4,000.00 "," $7,400.00 ",25
