Store,Item Nbr,# of Whse Packs
1,676597872,6
1,676597873,6
1,676597874,7
2,676597872,6
2,676597873,7
2,676597874,8
3,676597872,6
3,676597873,6
3,676597874,7
5,676597872,6
5,676597873,5
5,676597874,6
10,676597872,6
10,676597873,6
10,676597874,7
11,676597872,6
11,676597873,7
11,676597874,8
12,676597872,6
12,676597873,7
12,676597874,7
16,676597872,6
16,676597873,5
16,676597874,6
19,676597872,6
19,676597873,5
19,676597874,6
22,676597872,6
22,676597873,5
22,676597874,6
24,676597872,6
24,676597873,5
24,676597874,6
25,676597872,6
25,676597873,6
25,676597874,7
27,676597872,6
27,676597873,5
27,676597874,6
28,676597872,6
28,676597873,5
28,676597874,6
29,676597872,6
29,676597873,7
29,676597874,8
31,676597872,6
31,676597873,5
31,676597874,6
35,676597872,6
35,676597873,7
35,676597874,8
36,676597872,6
36,676597873,5
36,676597874,6
40,676597872,6
40,676597873,6
40,676597874,7
42,676597872,6
42,676597873,5
42,676597874,6
45,676597872,6
45,676597873,7
45,676597874,7
47,676597872,6
47,676597873,5
47,676597874,6
58,676597872,6
58,676597873,5
58,676597874,6
59,676597872,6
59,676597873,6
59,676597874,7
66,676597872,6
66,676597873,5
66,676597874,6
72,676597872,6
72,676597873,5
72,676597874,6
76,676597872,6
76,676597873,7
76,676597874,7
85,676597872,6
85,676597873,7
85,676597874,8
87,676597872,6
87,676597873,5
87,676597874,6
94,676597872,6
94,676597873,7
94,676597874,8
95,676597872,6
95,676597873,6
95,676597874,7
101,676597872,6
101,676597873,7
101,676597874,7
103,676597872,6
103,676597873,7
103,676597874,8
104,676597872,6
104,676597873,5
104,676597874,6
105,676597872,6
105,676597873,7
105,676597874,7
108,676597872,6
108,676597873,5
108,676597874,6
111,676597872,6
111,676597873,5
111,676597874,6
119,676597872,6
119,676597873,5
119,676597874,6
121,676597872,6
121,676597873,5
121,676597874,6
125,676597872,6
125,676597873,7
125,676597874,8
129,676597872,6
129,676597873,7
129,676597874,7
130,676597872,6
130,676597873,7
130,676597874,7
131,676597872,6
131,676597873,7
131,676597874,7
134,676597872,6
134,676597873,5
134,676597874,6
137,676597872,6
137,676597873,7
137,676597874,8
141,676597872,6
141,676597873,7
141,676597874,7
144,676597872,6
144,676597873,7
144,676597874,8
148,676597872,6
148,676597873,5
148,676597874,6
149,676597872,6
149,676597873,5
149,676597874,6
151,676597872,6
151,676597873,5
151,676597874,6
155,676597872,6
155,676597873,5
155,676597874,6
157,676597872,6
157,676597873,7
157,676597874,7
159,676597872,6
159,676597873,7
159,676597874,7
160,676597872,6
160,676597873,5
160,676597874,6
168,676597872,6
168,676597873,7
168,676597874,7
173,676597872,6
173,676597873,5
173,676597874,6
174,676597872,6
174,676597873,6
174,676597874,7
177,676597872,6
177,676597873,5
177,676597874,6
180,676597872,6
180,676597873,5
180,676597874,6
184,676597872,6
184,676597873,7
184,676597874,8
186,676597872,6
186,676597873,5
186,676597874,6
188,676597872,6
188,676597873,7
188,676597874,8
195,676597872,6
195,676597873,5
195,676597874,6
196,676597872,6
196,676597873,5
196,676597874,6
205,676597872,6
205,676597873,5
205,676597874,6
212,676597872,6
212,676597873,7
212,676597874,7
214,676597872,6
214,676597873,5
214,676597874,6
219,676597872,6
219,676597873,7
219,676597874,8
224,676597872,6
224,676597873,6
224,676597874,7
228,676597872,6
228,676597873,7
228,676597874,7
231,676597872,6
231,676597873,7
231,676597874,7
234,676597872,6
234,676597873,6
234,676597874,7
242,676597872,6
242,676597873,5
242,676597874,6
251,676597872,6
251,676597873,5
251,676597874,6
259,676597872,6
259,676597873,7
259,676597874,7
260,676597872,6
260,676597873,7
260,676597874,7
268,676597872,6
268,676597873,5
268,676597874,6
269,676597872,6
269,676597873,7
269,676597874,8
278,676597872,6
278,676597873,5
278,676597874,6
285,676597872,6
285,676597873,5
285,676597874,6
287,676597872,6
287,676597873,7
287,676597874,7
299,676597872,6
299,676597873,7
299,676597874,7
300,676597872,6
300,676597873,5
300,676597874,6
307,676597872,6
307,676597873,5
307,676597874,6
309,676597872,6
309,676597873,5
309,676597874,6
313,676597872,6
313,676597873,7
313,676597874,7
314,676597872,6
314,676597873,5
314,676597874,6
322,676597872,6
322,676597873,5
322,676597874,6
331,676597872,6
331,676597873,7
331,676597874,7
335,676597872,6
335,676597873,5
335,676597874,6
340,676597872,6
340,676597873,5
340,676597874,6
346,676597872,6
346,676597873,5
346,676597874,6
348,676597872,6
348,676597873,5
348,676597874,6
355,676597872,6
355,676597873,5
355,676597874,6
359,676597872,6
359,676597873,7
359,676597874,8
363,676597872,6
363,676597873,5
363,676597874,6
371,676597872,6
371,676597873,7
371,676597874,7
372,676597872,6
372,676597873,6
372,676597874,7
379,676597872,6
379,676597873,7
379,676597874,8
382,676597872,6
382,676597873,7
382,676597874,7
391,676597872,6
391,676597873,5
391,676597874,6
392,676597872,6
392,676597873,5
392,676597874,6
393,676597872,6
393,676597873,5
393,676597874,6
394,676597872,6
394,676597873,5
394,676597874,6
399,676597872,6
399,676597873,6
399,676597874,7
400,676597872,6
400,676597873,5
400,676597874,6
407,676597872,6
407,676597873,5
407,676597874,6
408,676597872,6
408,676597873,5
408,676597874,6
410,676597872,6
410,676597873,6
410,676597874,7
413,676597872,6
413,676597873,5
413,676597874,6
414,676597872,6
414,676597873,5
414,676597874,6
416,676597872,6
416,676597873,5
416,676597874,6
417,676597872,6
