DC #,3/26/2022,3/27/2022,3/28/2022,3/29/2022,3/30/2022,3/31/2022,4/1/2022,4/2/2022,4/3/2022,4/4/2022,4/5/2022,4/6/2022,4/7/2022,4/8/2022,4/9/2022,4/10/2022,4/11/2022,4/12/2022,4/13/2022,4/14/2022,4/15/2022,Grand Total
6042,"1,051","1,517","1,584","2,250","3,120","2,127","1,398","1,634","1,903","1,421","1,660","2,523","2,802","2,035","2,593","2,261","1,384","1,716","4,567","2,339",679,"42,564"
6047,"1,976","2,277","2,738","3,807","3,997","2,877","2,905","2,055","1,869","2,612","3,149","4,113","3,629","4,300","4,195","2,769","2,732","3,602","6,005","3,259",621,"65,487"
6055,"2,745","2,654","3,106","3,122","5,411","3,829","3,450","2,709","2,078","2,442","4,101","4,230","5,120","3,980","5,356","3,742","2,397","3,091","8,099","5,301","1,811","78,774"
6056,"1,204","1,145","1,646","2,202","3,048","1,802","2,218","1,376","1,865","1,532","1,765","2,451","3,186","2,012","3,134","1,861","1,667","1,841","3,953","3,141",766,"43,815"
6057,"2,578","2,705","2,832","3,500","4,988","3,842","3,110","2,098","2,975","3,229","3,143","4,301","4,531","3,486","5,258","3,415","2,287","3,203","7,033","4,887",802,"74,203"
6059,"1,261","1,407","1,430","2,098","2,601","1,647","1,614","1,226","1,381","1,556","1,753","2,261","2,744","1,729","2,595","2,059","1,269","1,782","3,973","2,532",500,"39,418"
6062,"2,360","3,318","3,775","4,544","4,687","5,270","3,746","2,458","3,109","3,183","4,125","5,516","5,188","5,216","5,334","4,174","2,847","5,109","7,512","5,197","1,545","88,213"
6064,"2,806","4,869","3,653","4,824","6,341","5,546","4,296","3,540","3,002","4,295","4,967","6,414","6,044","6,003","6,470","4,937","3,816","5,074","9,178","5,426","2,148","103,649"
6065,"1,706","2,019","2,476","3,124","3,142","2,142","1,457","1,630","2,101","2,065","2,979","3,177","3,211","2,724","2,559","2,579","2,858","3,489","3,751","1,975",833,"51,997"
6071,"3,690","3,372","4,346","3,987","6,801","5,725","5,214","2,418","3,568","3,463","4,832","6,038","6,383","5,606","6,802","4,924","3,190","4,440","9,188","8,365","1,803","104,155"
6072,"2,201","2,774","2,895","3,873","4,609","3,268","2,906","2,045","2,680","2,817","3,586","4,410","4,275","3,695","4,678","3,225","2,313","4,407","6,643","4,591",997,"72,888"
6073,"2,249","2,636","2,947","4,745","4,587","3,851","3,677","2,379","2,654","2,926","3,354","5,030","4,554","4,413","4,779","4,013","2,117","4,185","7,346","5,336","1,182","78,960"
6074,"2,718","3,010","3,662","4,452","5,111","3,737","2,933","2,616","3,074","3,585","4,031","5,256","4,753","4,527","5,966","3,254","3,427","4,996","6,533","4,249","1,701","83,591"
6077,"1,968","2,307","3,350","4,307","4,311","3,434","2,956","2,016","2,735","2,736","3,804","4,240","4,335","4,208","4,620","2,930","2,665","4,344","6,059","4,486","1,262","73,073"
6082,"3,444","3,486","3,719","5,770","5,689","4,687","3,674","3,436","3,364","3,756","4,655","5,640","5,839","4,452","6,365","4,454","2,979","4,585","9,062","6,297","1,216","96,569"
6083,"5,186","3,494","5,130","7,080","6,666","5,628","5,272","4,359","4,277","4,959","6,287","7,142","7,338","6,450","7,535","5,544","3,778","7,257","9,789","6,914","3,301","123,386"
6084,"4,253","3,687","4,596","5,834","6,373","4,910","4,822","3,801","3,786","4,756","4,687","6,177","7,415","5,203","7,468","5,340","3,204","5,471","9,516","6,504","1,670","109,473"
6085,"2,481","2,800","3,255","4,499","4,805","3,488","3,293","2,695","2,747","3,165","3,256","5,163","4,754","3,955","5,558","3,538","2,500","4,084","6,864","4,432","1,056","78,388"
6090,"4,674","3,454","5,371","7,050","6,296","7,599","4,334","4,775","4,063","3,358","6,577","6,552","7,165","7,367","8,327","3,481","4,783","7,122","11,984","5,700","1,016","121,048"
6091,"1,672","2,293","1,981","2,366","3,468","2,923","1,970","1,285","2,268","1,933","2,495","3,316","3,370","2,875","3,394","2,148","2,081","2,540","4,963","2,943","1,197","53,481"
6095,"2,340","2,775","3,271","3,936","4,729","3,485","3,281","2,481","2,775","2,615","3,879","4,613","5,085","4,313","4,932","3,328","2,793","4,053","7,342","5,068","1,808","78,902"
6096,"2,038","2,414","3,373","4,476","3,924","2,805","2,093","2,379","2,380","3,108","3,440","4,288","3,862","3,727","3,574","3,143","2,691","4,485","5,317","2,625","1,023","67,165"
6097,"2,541","3,028","3,176","4,428","5,313","3,608","2,922","2,665","2,601","3,465","3,909","4,829","4,885","3,807","5,135","3,613","2,984","4,163","7,301","5,183",991,"80,547"
6099,"2,242","2,791","3,134","4,128","5,029","4,023","3,643","2,208","3,000","3,067","3,124","4,798","5,537","3,894","5,173","4,157","2,942","3,202","4,727","6,446","1,481","78,746"
6858,"2,283","2,911","2,960","3,857","4,024","3,283","2,954","2,295","2,465","2,743","3,384","4,626","4,099","3,780","4,396","3,076","2,901","3,880","5,952","3,237","1,456","70,562"
7010,"3,240","4,024","4,791","5,370","5,854","5,779","5,122","3,922","3,488","4,362","4,620","6,698","6,769","6,067","7,668","4,950","3,663","4,676","10,098","7,242","2,174","110,577"
7012,"1,501","1,821","2,414","3,064","3,109","2,580","1,888","1,606","2,159","2,240","2,830","2,915","3,364","2,974","3,015","2,220","1,866","3,716","4,139","2,466","1,481","53,368"
7013,"5,172","5,423","4,416","8,300","9,343","6,997","6,794","4,984","4,179","6,247","5,944","8,004","9,527","7,409","9,716","6,321","4,771","6,329","13,204","8,482","1,977","143,539"
7014,"1,994","2,921","3,601","4,136","4,728","3,781","2,562","2,687","2,480","3,133","4,322","4,244","4,706","4,136","3,972","3,225","3,163","4,837","5,849","3,157","1,682","75,316"
7015,"2,787","2,897","3,812","5,127","5,357","3,179","3,413","3,244","2,464","3,574","3,491","5,883","4,524","4,826","4,510","3,600","3,100","5,013","7,807","4,090","1,648","84,346"
7016,"3,227","4,540","4,346","6,363","7,996","4,864","5,071","3,235","3,996","4,789","5,503","7,058","7,361","5,839","7,156","4,610","4,558","5,842","9,954","6,518","2,001","114,827"
7017,"2,317","2,421","2,791","3,661","4,871","3,227","2,775","1,980","2,436","2,857","2,884","4,506","4,148","3,659","4,712","3,373","2,602","3,144","6,490","4,546",464,"69,864"
