Store Nbr,Assorted Pallet Train,Milk Pallet Train,Summer Seasonal Aisle,4-WAY
1,ASSORTMENT PALLET,0,0,4-WAY
2,ASSORTMENT PALLET,0,0,0
3,ASSORTMENT PALLET,0,0,0
4,ASSORTMENT PALLET,0,0,0
5,ASSORTMENT PALLET,0,0,4-WAY
7,0,0,0,4-WAY
8,ASSORTMENT PALLET,0,0,0
9,ASSORTMENT PALLET,0,0,0
10,ASSORTMENT PALLET,0,0,4-WAY
11,ASSORTMENT PALLET,0,0,4-WAY
12,ASSORTMENT PALLET,0,0,0
13,ASSORTMENT PALLET,0,0,0
14,ASSORTMENT PALLET,0,0,0
15,ASSORTMENT PALLET,MILK PALLET,0,0
16,ASSORTMENT PALLET,0,0,0
17,ASSORTMENT PALLET,0,0,0
18,ASSORTMENT PALLET,0,0,0
19,ASSORTMENT PALLET,0,0,0
20,ASSORTMENT PALLET,0,0,0
21,ASSORTMENT PALLET,0,0,0
22,ASSORTMENT PALLET,0,0,0
23,0,0,0,4-WAY
24,0,0,0,4-WAY
25,ASSORTMENT PALLET,0,0,0
26,ASSORTMENT PALLET,0,0,0
27,ASSORTMENT PALLET,0,0,0
28,ASSORTMENT PALLET,0,0,0
29,ASSORTMENT PALLET,0,0,0
30,ASSORTMENT PALLET,0,0,0
31,ASSORTMENT PALLET,0,0,0
32,ASSORTMENT PALLET,0,0,0
33,0,0,0,4-WAY
34,ASSORTMENT PALLET,0,0,0
35,ASSORTMENT PALLET,0,0,4-WAY
36,ASSORTMENT PALLET,0,0,0
37,ASSORTMENT PALLET,0,0,4-WAY
38,0,0,0,4-WAY
39,0,0,0,4-WAY
40,ASSORTMENT PALLET,0,0,4-WAY
41,ASSORTMENT PALLET,0,0,0
42,0,0,0,4-WAY
43,ASSORTMENT PALLET,0,0,0
44,0,0,0,4-WAY
45,0,0,0,4-WAY
46,ASSORTMENT PALLET,MILK PALLET,0,0
47,ASSORTMENT PALLET,0,0,0
48,ASSORTMENT PALLET,0,0,0
49,0,0,0,4-WAY
50,0,0,0,4-WAY
51,ASSORTMENT PALLET,0,0,0
52,ASSORTMENT PALLET,0,0,0
54,ASSORTMENT PALLET,0,0,0
55,ASSORTMENT PALLET,0,0,0
56,ASSORTMENT PALLET,0,0,0
57,0,0,0,4-WAY
58,ASSORTMENT PALLET,0,0,4-WAY
59,ASSORTMENT PALLET,0,0,0
60,ASSORTMENT PALLET,0,0,4-WAY
61,ASSORTMENT PALLET,0,0,4-WAY
62,0,0,0,4-WAY
63,ASSORTMENT PALLET,0,0,0
64,0,0,0,4-WAY
65,ASSORTMENT PALLET,0,0,0
66,ASSORTMENT PALLET,0,0,0
67,ASSORTMENT PALLET,0,0,0
68,ASSORTMENT PALLET,0,0,0
69,ASSORTMENT PALLET,MILK PALLET,0,0
70,0,0,0,4-WAY
71,ASSORTMENT PALLET,0,0,0
72,ASSORTMENT PALLET,0,0,0
73,0,0,0,4-WAY
74,0,0,0,4-WAY
75,0,0,0,4-WAY
76,ASSORTMENT PALLET,0,0,0
77,0,0,0,4-WAY
78,ASSORTMENT PALLET,0,0,0
79,ASSORTMENT PALLET,0,0,0
80,ASSORTMENT PALLET,0,0,0
81,0,0,0,4-WAY
82,ASSORTMENT PALLET,0,0,0
83,0,0,0,4-WAY
85,ASSORTMENT PALLET,0,0,0
86,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
87,0,0,0,4-WAY
88,ASSORTMENT PALLET,0,0,4-WAY
89,ASSORTMENT PALLET,MILK PALLET,0,0
90,ASSORTMENT PALLET,0,0,0
91,0,0,0,4-WAY
92,0,0,0,4-WAY
93,0,0,0,4-WAY
94,0,0,Summer Seasonal Aisle,4-WAY
95,ASSORTMENT PALLET,0,0,0
96,ASSORTMENT PALLET,0,0,0
97,0,0,0,4-WAY
98,0,0,0,4-WAY
99,0,0,0,4-WAY
100,ASSORTMENT PALLET,0,0,0
101,ASSORTMENT PALLET,0,0,0
102,0,0,0,4-WAY
103,ASSORTMENT PALLET,0,0,4-WAY
104,0,0,0,4-WAY
105,0,0,0,4-WAY
106,0,0,0,4-WAY
107,ASSORTMENT PALLET,0,0,0
108,0,0,0,4-WAY
109,ASSORTMENT PALLET,0,0,0
110,0,0,0,4-WAY
111,ASSORTMENT PALLET,0,0,0
112,0,0,0,4-WAY
113,ASSORTMENT PALLET,0,0,0
114,0,0,0,4-WAY
115,0,0,0,4-WAY
116,0,0,0,4-WAY
117,ASSORTMENT PALLET,MILK PALLET,0,0
118,0,0,0,4-WAY
119,ASSORTMENT PALLET,0,0,0
120,0,0,0,4-WAY
121,ASSORTMENT PALLET,0,0,0
122,ASSORTMENT PALLET,0,0,0
123,ASSORTMENT PALLET,0,0,0
124,0,0,0,4-WAY
125,ASSORTMENT PALLET,0,0,0
126,0,0,0,4-WAY
127,ASSORTMENT PALLET,0,0,0
128,ASSORTMENT PALLET,0,0,0
129,ASSORTMENT PALLET,0,0,0
130,ASSORTMENT PALLET,0,0,0
131,0,0,0,4-WAY
132,0,0,0,4-WAY
133,0,0,0,4-WAY
134,ASSORTMENT PALLET,0,0,0
135,ASSORTMENT PALLET,0,0,0
136,0,0,0,4-WAY
137,ASSORTMENT PALLET,0,0,0
138,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
139,0,0,0,4-WAY
140,ASSORTMENT PALLET,0,0,0
141,ASSORTMENT PALLET,0,0,0
143,ASSORTMENT PALLET,0,0,0
144,ASSORTMENT PALLET,0,0,0
145,ASSORTMENT PALLET,0,0,0
146,0,0,0,4-WAY
147,ASSORTMENT PALLET,0,0,0
148,0,0,0,4-WAY
149,0,0,0,4-WAY
150,0,0,0,4-WAY
151,ASSORTMENT PALLET,0,0,4-WAY
152,ASSORTMENT PALLET,0,0,0
153,0,0,0,4-WAY
154,ASSORTMENT PALLET,MILK PALLET,Summer Seasonal Aisle,0
155,0,0,0,4-WAY
157,0,0,0,4-WAY
