Old Item ,New Item Number
980380656,"980386878 505 DNM SWFT 3232
980386877 505 DNM SWFT 3230
980386883 505 DNM SWFT 3430
980386884 505 DNM SWFT 3432
980386885 505 DNM SWFT 3430
980386897 505 DNM SWFT 3630
980386888 505 DNM SWFT 3632
980386889 505 DNM SWFT 3634
980386890 505 DNM SWFT 3830
980386891 505 DNM SWFT 3832
980386893 505 DNM SWFT 4030
980386894 505 DNM SWFT 4032




"
980433033,"990288797 505 STRAIGHT FIT DNM
990288795 505 STRAIGHT FIT DNM
990288803 505 STRAIGHT FIT DNM
990288801 505 STRAIGHT FIT DNM
990288802 505 STRAIGHT FIT DNM
990288810 505 STRAIGHT FIT DNM
990288812 505 STRAIGHT FIT DNM
990288800 505 STRAIGHT FIT DNM
990288794 505 STRAIGHT FIT DNM
990288809 505 STRAIGHT FIT DNM
990288804 505 STRAIGHT FIT DNM
990288813 505 FRINGEHEAD 40X32







"
980435025,"971034977 10PK KID'S SOCK
 971034978 10PK KID'S SOCK
 971034979 10PK KID'S SOCK
 971034980 10PK KID'S SOCK
 971034981 10PK KID'S SOCK
 971034982 10PK KID'S SOCK
 971034983 10PK KID'S SOCK
 971034984 10PK KID'S SOCK
 971034985 10PK KID'S SOCK
 971034986 10PK KID'S SOCK
 971034987 10PK KID'S SOCK
 971034988 10PK KID'S SOCK"
984197210,"990334216 GIRLS ACTIVE LEGGING
 990334218 GIRLS ACTIVE LEGGING
 990334220 GIRLS ACTIVE LEGGING
 990334221 GIRLS ACTIVE LEGGING
 990334222 GIRLS ACTIVE LEGGING
 990334223 GIRLS ACTIVE LEGGING
 990334224 GIRLS ACTIVE LEGGING
 990334225 GIRLS ACTIVE LEGGING
 990334226 GIRLS ACTIVE LEGGING
 990334229 GIRLS ACTIVE LEGGING"
984208721,"971022164 5PK COTTON BIKINI
971022165 5PK COTTON BIKINI"
984209465,"971022276 5PK COTTON BIKINI
971022277 5PK COTTON BIKINI"
984209466,"971022279 5PK COTTON BIKINI
971022280 5PK COTTON BIKINI"
984209467,"971022282 5PK COTTON BIKINI
971022283 5PK COTTON BIKINI"
984209468,"971022285 5PK COTTON BIKINI
971022286 5PK COTTON BIKINI"
984223267,"990377969 2PK LOUNGE BRA
990377991 2PK LOUNGE BRA"
984224009,"990377956 2PK LOUNGE BRA
990377992 2PK LOUNGE BRA"
984224010,"990377972 2PK LOUNGE BRA
990377993 2PK LOUNGE BRA"
984224011,"990377987 2PK LOUNGE BRA
990377994 2PK LOUNGE BRA"
984224012,"990377995 2PK LOUNGE BRA
990377997 2PK LOUNGE BRA"
984224474,"990381856 NO SHOW SOCK
990381851 NO SHOW SOCK
990381850 NO SHOW SOCK
990381858 NO SHOW SOCK
990381857 NO SHOW SOCK
990381868 NO SHOW SOCK
990381866 NO SHOW SOCK
990381861 NO SHOW SOCK
990381860 NO SHOW SOCK
990005752 NO SHOW SOCK
990381870 NO SHOW SOCK
990381864 NO SHOW SOCK
990381863 NO SHOW SOCK"
984203819,"990350602 5PK HIPSTER
990351189 5PK HIPSTER
990423461 5PK HIPSTER
990423156 5PK HIPSTER"
984203820,"990351186 5PK HIPSTER
990351184 5PK HIPSTER
990423456 5PK HIPSTER
990423455 5PK HIPSTER"
984203821,"990351185 5PK HIPSTER
990351187 5PK HIPSTER
990423460 5PK HIPSTER
990423454 5PK HIPSTER"
984203822,"984203822 5PK HIPSTER
990351188 5PK HIPSTER
990351191 5PK HIPSTER
990423463 5PK HIPSTER
990423464 5PK HIPSTER"
984203823,"990351183 5PK HIPSTER
990351190 5PK HIPSTER
990423465 5PK HIPSTER
990423467 5PK HIPSTER"
170123,"971014961 RBK 8PK LOW CUT
980300342 8PK NO SHOW SOCK
980300343 8PK NO SHOW SOCK
980300344 8PK NO SHOW SOCK
980189762 MEN 8PK LC SOCK
980189763 MEN 8PK LC SOCK GRY
980189767 MEN 8PK LC SOCK WHTE"
573329,"971020319 RBK 8PK LDS NO SHOW
971020318 RBK 8PK LDS NO SHOW
990371324 8PK SOCKS
990371327 8PK SOCKS
990371329 8PK SOCKS
980300345 8PK NO SHOW SOCK
980300346 8PK NO SHOW SOCK
980300347 8PK NO SHOW SOCK
980300348 8PK NO SHOW SOCK
980356344 RBK 8PKSOCK BLK OS
980356348 RBK 8PKSOCK WHT OS
980356346 RBK 8PKSOCK GRY OS
971020320 ASST
980189768 LDS 8PK LC SOCK WHTE"
