STORE,Alignment Week,Alignment Date,Delivery Type,Current DC,New DC,Freezer SD/ND,Freezer Delivery Window,First Day Comments
1039,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Changes
1849,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
2472,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
2704,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
2793,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
3503,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
3626,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
6243,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
6263,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,13:00:00-22:00:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
6264,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,13:00:00-22:00:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
6789,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-23:59:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
6814,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,13:00:00-22:00:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
6828,29,8/19/2025,Freezer,6858,3010,Next Day Delivery,09:00:00-21:00:00,No Freezer Delivery on 8/19/25. Additional freight will be added to deliveries before alignment date
