Region,Market,Store,Actual Install Scheduled Date
44,47,148,
41,253,204,
5,50,266,
44,47,417,
5,52,467,
5,49,471,
,,,
41,242,526,
13,130,532,
4,37,586,
9,92,649,
12,152,674,
46,385,835,
13,130,839,
5,50,880,
46,375,966,
9,92,973,
13,130,1102,
4,42,1144,
13,125,1163,
9,115,1171,
13,130,1206,
21,217,1239,
54,380,1252,
75,312,1301,
13,128,1342,
4,36,1359,
52,413,1393,
52,413,1393,
6,61,1405,
21,218,1427,
52,413,1491,
21,223,1503,
21,223,1504,
52,415,1509,
22,233,1529,
46,369,1532,
46,369,1533,
54,388,1550,
57,394,1559,
57,396,1584,
9,553,1590,
21,219,1594,
4,39,1603,
22,232,1644,
52,413,1683,
52,413,1723,
52,413,1764,
52,413,1764,
22,232,1794,
22,284,1860,
75,508,1981,
76,283,1985,
21,217,1990,
76,292,2015,
22,233,2023,
75,281,2045,
20,311,2089,
54,380,2125,
22,232,2169,
22,233,2205,
22,233,2340,
76,280,2357,
60,514,2385,
60,514,2403,
75,293,2412,
21,217,2426,
21,217,2471,
22,232,2481,
57,394,2483,
60,514,2516,
22,233,2519,
60,514,2571,
5,50,2649,
5,55,2667,
13,125,2706,
52,426,2714,
21,217,2725,
21,219,2726,
75,508,2799,
75,290,2808,
52,421,2820,
57,394,2884,
22,233,2888,
13,129,2913,
13,132,2938,
9,108,2962,
5,49,3014,
13,125,3167,
75,289,3216,
76,192,3280,
6,64,3296,
14,97,3307,
57,394,3350,
57,394,3351,
5,49,3433,
14,14,3484,
60,514,3525,
54,585,3533,
16,160,3560,
54,380,3566,
21,219,3580,
9,109,3625,
22,232,3634,
2,20,3709,
57,394,3728,
52,413,3762,
21,221,3784,
21,219,3792,
60,514,3794,
6,64,3827,
9,116,3887,
4,42,4237,
9,110,4303,
4,294,4334,
75,287,4350,
56,392,4370,
22,233,4404,
4,41,4420,
41,242,4450,
5,44,4503,
4,41,4506,
57,396,4557,
52,413,4606,
13,130,4683,
54,585,4734,
13,125,5022,
60,514,5073,
75,315,5117,
76,283,5129,
5,44,5147,
22,233,5200,
54,403,5233,
54,403,5350,
41,242,5418,
46,385,5491,
6,63,5612,
54,380,5676,
56,455,5864,
5,53,5889,
54,585,5957,
76,292,5969,
42,127,6932,
19,204,1422,
19,203,1423,
19,204,1432,
19,205,1611,
19,204,1752,
19,197,1790,
19,200,1791,
76,191,1831,
16,160,1906,
17,164,1959,
16,159,1970,
16,188,1997,
16,160,2021,
16,159,2103,
16,188,2152,
16,160,2157,
76,194,2164,
16,160,2184,
16,159,2227,
17,173,2284,
17,163,2299,
17,162,2331,
16,159,2336,
16,159,2341,
17,163,2371,
17,164,2547,
17,173,2585,
19,203,2869,
17,163,2900,
16,157,3114,
17,163,5095,
17,172,5293,
17,173,5294,
17,172,5295,
17,173,5439,
17,190,5732,
,,,
19,202,1593,
60,475,1817,
,,,
16,180,2046,
47,427,4352,
60,477,5440,
,,,
,,,
47,427,3875,
60,477,5935,
,,,
47,427,1649,
,,,
47,427,1534,
52,412,1545,
60,478,3239,
16,179,1932,
47,427,2033,
47,427,3648,
60,477,1784,
,,,
16,183,2153,
16,179,5076,
47,427,1695,
60,477,5368,
,,,
16,179,1856,
56,468,1834,
60,478,5396,
16,179,1924,
,,,
47,427,1636,
56,468,2069,
19,204,2644,
16,188,1940,
19,204,5097,
52,412,5806,
19,205,4243,
19,203,1733,
9,110,4303,
47,427,4569,
44,409,3283,
60,475,3380,
54,391,3805,
75,291,5343,
75,508,5779,
14,1,6173,
14,1,866,
75,291,1833,
75,291,2520,
54,389,3018,
44,409,4321,
60,473,5078,
14,1,853,
44,409,1507,
60,473,2269,
76,292,3077,
75,291,4258,
54,391,4335,
60,475,2241,
14,14,2739,
44,409,3492,
76,292,3639,
54,391,5123,
75,291,5731,
54,391,1896,
76,292,2038,
75,291,2136,
44,409,2428,
60,475,3261,
14,14,7247,
19,205,1928,
19,205,2273,
19,205,3726,
19,205,2693,
19,203,2700,
19,203,2618,
19,203,5893,
17,163,2719,
19,203,5048,
17,163,2965,
19,203,1754,
17,173,3543,
19,203,2866,
41,580,617,
17,173,3546,
19,203,4540,
17,173,3803,
9,109,3625,
19,205,3632,
19,200,5386,
17,162,2282,
19,205,1592,
19,200,1942,
17,163,2899,
52,426,2714,
76,280,1703,
5,52,3286,
20,258,552,
41,254,333,
41,257,689,
3,95,1029,
20,316,2548,
16,181,2224,
16,181,2332,
16,181,4156,
,,,
,,,
,,,
42,326,7,
42,328,11,
42,328,18,
54,391,4335,
41,271,222,
41,271,237,
25,270,1377,
25,262,1386,
25,265,1401,
25,269,1735,
53,263,1740,
25,278,3459,
25,270,3597,
25,265,4286,
25,270,4641,
25,270,5060,
19,238,2276,
21,247,2311,
19,238,2544,
2,24,1766,
54,380,3566,
41,243,2691,
41,580,4216,
46,387,3427,
46,387,4601,
46,387,5155,
7,81,476,
,,,
42,321,230,
6,85,446,
6,85,473,
7,77,478,
6,61,482,
20,258,545,
7,73,626,
7,74,1078,
,,,
,,,
22,232,1794,
57,394,1838,
21,217,1239,
72,534,3654,6/5/2023
42,322,54,7/17/2023
42,321,141,7/19/2023
42,321,16,7/24/2023
42,322,2,7/26/2023
5,49,896,7/31/2023
5,51,1117,8/2/2023
5,55,5191,8/8/2023
5,53,2105,8/14/2023
64,504,6966,8/14/2023
76,283,5129,10/3/2023
42,322,359,10/9/2023
5,44,2978,2/25/2024
5,55,4164,2/25/2024
64,58,2979,2/26/2024
64,58,3392,2/26/2024
5,49,284,2/27/2024
5,48,371,2/28/2024
5,479,972,2/28/2024
64,561,2975,2/28/2024
64,58,3594,2/28/2024
5,583,259,3/3/2024
14,97,488,3/3/2024
41,260,720,3/3/2024
4,41,1286,3/3/2024
75,287,1525,3/3/2024
5,44,3284,3/3/2024
64,561,4046,3/3/2024
5,53,217,3/4/2024
5,48,220,3/4/2024
5,583,789,3/4/2024
5,583,1055,3/4/2024
41,260,1210,3/4/2024
4,41,4521,3/4/2024
5,479,940,3/5/2024
5,583,1800,3/5/2024
60,467,3531,3/5/2024
14,97,1077,3/6/2024
75,287,2795,3/6/2024
5,56,2926,3/6/2024
64,58,2981,3/6/2024
60,467,5853,3/6/2024
5,48,228,3/10/2024
21,259,493,3/10/2024
5,56,2086,3/10/2024
5,51,202,3/11/2024
5,55,260,3/11/2024
5,479,421,3/11/2024
41,260,571,3/11/2024
14,97,1375,3/11/2024
64,58,5614,3/11/2024
5,52,206,3/12/2024
5,55,286,3/12/2024
41,260,584,3/12/2024
14,97,1408,3/12/2024
