CLUB,ITEM #,CASES,22-Jun,24-Jun,26-Jun,28-Jun,30-Jun
4729,304626,90,13,18,18,18,23
4847,304626,44,6,9,9,9,11
4859,304626,39,5,8,8,8,10
4936,304626,49,7,10,10,10,12
4952,304626,39,5,8,8,8,10
6357,304626,74,11,15,15,15,18
6371,304626,66,10,13,13,13,17
6406,304626,75,11,15,15,15,19
6434,304626,60,9,12,12,12,15
6460,304626,30,4,6,6,6,8
6533,304626,35,5,7,7,7,9
6575,304626,44,6,9,9,9,11
6652,304626,49,7,10,10,10,12
6653,304626,84,12,17,17,17,21
6655,304626,166,25,33,33,33,42
6677,304626,86,13,17,17,17,22
6678,304626,38,5,8,8,8,9
6679,304626,75,11,15,15,15,19
8193,304626,49,7,10,10,10,12
4718,304626,28,3,6,6,6,7
4730,304626,55,8,11,11,11,14
4745,304626,139,21,28,28,28,34
4770,304626,74,11,15,15,15,18
4777,304626,136,21,27,27,27,34
4786,304626,24,3,5,5,5,6
4805,304626,48,7,10,10,10,11
4816,304626,95,14,19,19,19,24
4853,304626,67,9,14,14,14,16
4987,304626,48,7,10,10,10,11
6219,304626,72,10,15,15,15,17
6345,304626,52,7,11,11,11,12
6347,304626,95,14,19,19,19,24
6360,304626,72,11,14,14,14,19
6379,304626,59,8,12,12,12,15
6425,304626,72,11,14,14,14,19
6430,304626,76,11,15,15,15,20
6549,304626,89,13,18,18,18,22
6565,304626,95,14,19,19,19,24
6630,304626,59,8,12,12,12,15
6631,304626,176,26,35,35,35,45
6632,304626,82,12,16,16,16,22
6633,304626,59,8,12,12,12,15
6634,304626,49,7,10,10,10,12
6635,304626,53,8,10,10,10,15
6682,304626,51,7,10,10,10,14
6683,304626,27,4,5,5,5,8
6684,304626,52,7,10,10,10,15
6685,304626,62,9,12,12,12,17
6686,304626,56,8,11,11,11,15
8147,304626,47,7,9,9,9,13
8272,304626,82,12,16,16,16,22
4772,304626,102,15,20,20,20,27
4782,304626,141,21,28,28,28,36
4785,304626,161,24,32,32,32,41
4794,304626,136,20,27,27,27,35
4801,304626,185,27,37,37,37,47
