Store #,Install Date
1540,9/6/2022
2057,9/6/2022
2118,9/6/2022
2763,9/6/2022
2825,9/6/2022
2909,9/6/2022
3011,9/6/2022
3199,9/6/2022
4159,9/6/2022
4188,9/6/2022
5446,9/6/2022
5716,9/6/2022
7324,9/6/2022
154,9/6/2022
354,9/6/2022
771,9/6/2022
2531,9/6/2022
2870,9/6/2022
3301,9/6/2022
3419,9/6/2022
3562,9/6/2022
3607,9/6/2022
3887,9/6/2022
4644,9/6/2022
5498,9/6/2022
5705,9/6/2022
7099,9/6/2022
110,9/6/2022
457,9/6/2022
718,9/6/2022
1087,9/6/2022
2021,9/6/2022
2066,9/6/2022
2108,9/6/2022
2307,9/6/2022
2336,9/6/2022
2340,9/6/2022
2535,9/6/2022
2586,9/6/2022
2702,9/6/2022
2789,9/6/2022
2807,9/6/2022
2836,9/6/2022
3182,9/6/2022
3279,9/6/2022
3429,9/6/2022
3435,9/6/2022
3583,9/6/2022
3596,9/6/2022
3710,9/6/2022
3771,9/6/2022
3848,9/6/2022
4168,9/6/2022
4383,9/6/2022
4438,9/6/2022
5092,9/6/2022
5145,9/6/2022
5254,9/6/2022
5430,9/6/2022
6998,9/6/2022
315,9/7/2022
773,9/7/2022
1061,9/7/2022
2138,9/7/2022
2386,9/7/2022
3634,9/7/2022
4643,9/7/2022
5064,9/7/2022
5179,9/7/2022
5470,9/7/2022
6964,9/7/2022
7362,9/7/2022
1424,9/7/2022
1705,9/7/2022
2005,9/7/2022
2194,9/7/2022
2974,9/7/2022
3228,9/7/2022
4458,9/7/2022
4672,9/7/2022
6176,9/7/2022
7156,9/7/2022
310,9/8/2022
811,9/8/2022
861,9/8/2022
2061,9/8/2022
2705,9/8/2022
2910,9/8/2022
2963,9/8/2022
3475,9/8/2022
3869,9/8/2022
5040,9/8/2022
5356,9/8/2022
5649,9/8/2022
5927,9/8/2022
7280,9/8/2022
2262,9/6/2022
