Store Nbr,Go Live date
146,9/20/2022
165,9/20/2022
251,9/20/2022
259,9/20/2022
265,9/20/2022
398,9/20/2022
399,9/20/2022
412,9/20/2022
516,9/20/2022
523,9/20/2022
572,9/20/2022
827,9/20/2022
918,9/20/2022
1022,9/20/2022
1044,9/20/2022
2688,9/20/2022
3764,9/20/2022
3828,9/20/2022
4164,9/20/2022
4215,9/20/2022
5191,9/20/2022
5210,9/20/2022
5288,9/20/2022
5987,9/20/2022
6467,9/20/2022
206,9/27/2022
260,9/27/2022
471,9/27/2022
789,9/27/2022
1055,9/27/2022
1118,9/27/2022
1800,9/27/2022
2427,9/27/2022
2918,9/27/2022
2973,9/27/2022
3014,9/27/2022
3224,9/27/2022
3225,9/27/2022
3285,9/27/2022
3432,9/27/2022
3433,9/27/2022
4279,9/27/2022
5147,9/27/2022
5211,9/27/2022
5311,9/27/2022
5672,9/27/2022
5673,9/27/2022
5810,9/27/2022
5823,9/27/2022
7178,9/27/2022
202,10/4/2022
217,10/4/2022
426,10/4/2022
467,10/4/2022
1117,10/4/2022
1216,10/4/2022
2086,10/4/2022
2105,10/4/2022
2463,10/4/2022
2649,10/4/2022
2883,10/4/2022
2926,10/4/2022
2996,10/4/2022
3286,10/4/2022
3406,10/4/2022
3482,10/4/2022
3777,10/4/2022
4240,10/4/2022
4627,10/4/2022
5092,10/4/2022
5707,10/4/2022
5866,10/4/2022
5889,10/4/2022
6300,10/4/2022
