0,1,2,3,4,5,6,7
Store List,DEPT,CATG,CATG NAME,Week,Footage,Type,Modular
10,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
32,9,496,Beach/Resort/ Lake and Water toys,10,040,RESORT,Gondola
177,9,496,Beach/Resort/ Lake and Water toys,10,068,LAKE,Gondola
275,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
371,9,496,Beach/Resort/ Lake and Water toys,3,068,LAKE,Gondola
400,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
404,9,496,Beach/Resort/ Lake and Water toys,3,068,LAKE,Gondola
413,9,496,Beach/Resort/ Lake and Water toys,3,200,BEACH,Gondola
440,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
442,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
458,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
464,9,496,Beach/Resort/ Lake and Water toys,3,080,BEACH,Gondola
470,9,496,Beach/Resort/ Lake and Water toys,3,080,BEACH,Gondola
490,9,496,Beach/Resort/ Lake and Water toys,3,120,BEACH,Gondola
502,9,496,Beach/Resort/ Lake and Water toys,3,068,RESORT,Gondola
504,9,496,Beach/Resort/ Lake and Water toys,3,160,BEACH,Gondola
508,9,496,Beach/Resort/ Lake and Water toys,10,068,LAKE,Gondola
528,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
529,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
574,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
578,9,496,Beach/Resort/ Lake and Water toys,10,156,LAKE,Gondola
579,9,496,Beach/Resort/ Lake and Water toys,48,120,BEACH,Gondola
582,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
605,9,496,Beach/Resort/ Lake and Water toys,3,080,BEACH,Gondola
606,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
613,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
632,9,496,Beach/Resort/ Lake and Water toys,48,040,RESORT,Gondola
639,9,496,Beach/Resort/ Lake and Water toys,3,120,BEACH,Gondola
643,9,496,Beach/Resort/ Lake and Water toys,48,200,BEACH,Gondola
721,9,496,Beach/Resort/ Lake and Water toys,48,040,LAKE,Gondola
728,9,496,Beach/Resort/ Lake and Water toys,48,040,BEACH,Gondola
769,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
771,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
778,9,496,Beach/Resort/ Lake and Water toys,48,040,RESORT,Gondola
815,9,496,Beach/Resort/ Lake and Water toys,10,040,LAKE,Gondola
817,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
818,9,496,Beach/Resort/ Lake and Water toys,48,200,BEACH,Gondola
819,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
908,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
