Store,safety bowl div,Wk,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Total Points,YTD Points, Five Star ,Diff,Safety Bowl Div Rank
3164,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.82 ,0,1
4607,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.79 ,0,2
7137,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.78 ,0,3
3870,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.78 ,0,4
5702,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.78 ,0,5
3579,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.77 ,0,6
998,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,0,7
3359,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,0,8
5094,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,0,9
5805,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,0,10
3504,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,0,11
4619,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,0,12
3935,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.76 ,1,13
4617,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,-1,14
7043,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,15
3442,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,16
2876,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,17
6587,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,18
5829,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,19
5257,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,20
7309,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,21
7206,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,22
5716,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.75 ,0,23
3542,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.74 ,0,24
4673,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.74 ,0,25
7004,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.74 ,0,26
4373,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.74 ,0,27
4618,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,28
4220,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,29
5962,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,30
3574,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,31
5759,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,32
6786,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,33
2686,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,34
5774,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,35
5837,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,36
6165,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.73 ,0,37
5719,Safety Sweep,37,3,1,2,1,7,0,0,14,28, 4.72 ,-1,38
