BU,store,Region,Market,Set Week
A,8,42,326,Week 1
A,13,42,334,Week 1
A,17,42,334,Week 1
A,18,42,328,Week 14
B,22,44,347,Week 1
E,27,40,357,Week 1
E,32,40,333,Week 1
E,37,40,335,Week 1
B,38,44,47,Week 1
B,42,44,410,Week 1
M,43,47,407,Week 1
B,47,44,351,Week 14
B,49,44,47,Week 1
B,50,44,347,Week 1
E,51,40,359,Week 1
A,55,42,321,Week 1
E,56,40,333,Week 1
A,57,42,328,Week 1
A,62,11,329,Week 14
A,68,11,329,Week 1
B,72,44,410,TBD
A,74,11,329,Week 14
A,79,42,334,Week 14
E,80,40,359,TBD
A,83,42,327,Week 1
E,89,40,336,Week 14
B,90,44,347,Week 1
A,91,11,329,TBD
A,93,11,146,Week 14
A,97,11,146,Week 1
E,101,40,336,Week 1
A,102,42,327,Week 1
B,108,44,344,Week 14
E,109,40,360,Week 1
A,110,3,89,Week 1
B,111,44,410,Week 14
A,112,11,138,TBD
B,113,44,349,Week 14
A,114,11,4,Week 14
A,115,11,138,Week 1
A,118,11,4,Week 14
A,120,11,146,TBD
B,121,44,351,Week 14
E,122,40,335,Week 1
B,123,44,351,Week 1
A,124,42,324,Week 14
A,127,42,325,Week 1
B,129,44,350,Week 1
B,131,44,47,Week 1
B,132,44,344,TBD
E,135,40,360,Week 14
E,143,41,253,Week 1
B,147,44,350,Week 1
A,149,42,135,Week 1
A,153,11,4,TBD
A,155,11,136,TBD
B,158,44,350,Week 14
E,159,40,359,Week 14
A,160,42,328,Week 14
B,162,44,349,Week 14
A,164,11,4,TBD
E,166,40,357,Week 1
B,168,44,345,Week 1
A,177,11,146,Week 14
B,178,44,344,Week 14
B,180,13,46,Week 14
B,181,44,47,Week 1
A,190,11,329,Week 14
E,195,40,360,TBD
E,198,40,272,Week 14
E,200,25,275,Week 14
B,202,5,51,Week 1
B,202,5,51,TBD
E,203,40,359,Week 1
B,206,5,52,Box Original
B,207,44,345,Week 14
B,211,5,76,Week 14
B,217,5,53,Box Original
A,218,11,147,Week 1
B,220,5,48,TBD
B,221,44,344,Week 14
E,224,40,272,Week 1
B,225,44,350,Week 1
B,226,44,47,Week 14
B,227,44,344,Week 1
B,228,5,48,TBD
A,229,11,329,Week 1
E,233,41,271,Week 1
E,234,40,360,Week 1
A,238,11,147,TBD
A,239,11,138,Week 1
A,244,42,135,TBD
B,248,5,76,TBD
E,250,40,357,Week 1
B,251,5,45,Week 1
E,252,41,271,Week 14
E,257,41,254,TBD
B,259,5,583,TBD
B,260,5,55,TBD
B,265,5,45,TBD
B,266,5,50,TBD
A,267,42,334,Box Original
A,268,11,147,Week 1
B,271,44,349,Week 14
A,273,11,4,Week 14
B,276,44,351,Week 14
A,279,42,321,Week 1
B,280,7,83,Week 14
A,281,42,328,Week 1
E,282,41,253,TBD
B,283,13,66,TBD
B,284,5,49,TBD
B,286,5,55,TBD
A,287,11,11,Week 1
B,288,13,503,Week 1
B,290,7,77,Week 14
E,295,40,340,Week 1
A,296,42,325,Week 1
A,298,14,3,TBD
E,302,41,271,Week 1
A,308,12,152,Week 1
B,309,13,132,TBD
B,311,13,129,Week 1
B,312,13,134,Week 14
E,317,40,272,Week 1
E,319,40,361,Week 14
B,320,5,76,TBD
E,325,40,360,Week 1
E,328,40,341,Week 1
A,329,14,10,Week 1
A,332,12,5,Week 1
A,336,42,325,Week 1
E,337,40,335,Week 1
M,342,47,411,TBD
B,344,6,65,TBD
B,346,44,409,Week 1
B,351,13,68,Week 1
B,353,5,48,Week 1
A,362,11,11,Week 1
E,363,40,359,TBD
B,364,13,503,TBD
A,366,12,121,Week 14
B,368,44,410,Week 1
B,371,5,48,TBD
M,372,47,406,Week 1
A,375,12,5,Week 14
B,381,7,81,Week 1
B,382,44,410,Week 1
A,390,12,149,Week 1
B,392,44,344,Week 1
A,394,11,137,TBD
B,397,6,80,Week 1
B,398,13,46,Week 1
B,400,13,68,TBD
B,401,13,131,TBD
B,402,13,132,TBD
A,403,11,137,TBD
A,409,11,137,Week 1
B,412,5,45,TBD
A,416,12,151,TBD
B,417,44,47,Week 1
B,421,5,479,TBD
A,424,14,8,Week 1
B,426,5,53,TBD
B,428,13,130,TBD
E,435,40,272,Week 1
E,436,40,272,Week 1
B,463,6,84,TBD
A,466,11,147,Week 14
B,467,5,52,TBD
B,468,44,47,TBD
B,471,5,49,Week 1
B,472,44,356,Box Original
B,476,7,81,Week 1
A,477,12,119,Week 1
E,481,25,273,Week 1
E,491,41,253,Week 1
E,493,41,260,Week 1
A,510,2,21,Week 1
F,511,4,38,TBD
B,516,5,45,TBD
B,522,6,60,TBD
B,523,13,46,Week 14
E,526,41,242,TBD
A,530,42,327,Week 14
B,533,13,132,TBD
B,539,13,134,TBD
B,554,7,88,TBD
B,561,5,76,TBD
B,565,5,55,TBD
E,569,41,257,Week 1
B,572,13,46,TBD
A,583,12,121,TBD
E,589,41,256,Week 1
B,590,5,48,TBD
A,599,12,124,Week 14
F,606,4,29,TBD
B,610,5,76,TBD
E,612,25,273,TBD
A,614,14,16,Week 14
