Store Number,Store City and State ,Delivery Service Provider,"Go Live
Launch Date",,,,,
1224,"Pensacola, FL",Uber,Tue 04 26 2022,,,,,
1225,"Orange Park, FL",Uber,Tue 04 26 2022,,,,,
1227,"Augusta, GA",Uber,Tue 04 26 2022,,,,,
1240,"Sierra Vista, AZ",Uber,Tue 04 26 2022,,,,,
1270,"North Augusta, SC",Uber,Tue 04 26 2022,,,,,
1291,"Tucson, AZ",Uber,Tue 04 26 2022,,,,,
1293,"Augusta, GA",Uber,Tue 04 26 2022,,,,,
1313,"San Antonio, TX",Uber,Tue 04 26 2022,,,,,
1349,"Sunrise, FL",Uber,Tue 04 26 2022,,,,,
1359,"North Charleston, SC",Uber,Tue 04 26 2022,,,,,
1370,"Bullhead City, AZ",Uber,Tue 04 26 2022,,,,,
1372,"Raleigh, NC",Uber,Tue 04 26 2022,,,,,
1385,"Gastonia, NC",Uber,Tue 04 26 2022,,,,,
1387,"Coral Springs, FL",Uber,Tue 04 26 2022,,,,,
1398,"Lake Worth, FL",Uber,Tue 04 26 2022,,,,,
1406,"Winchester, VA",Uber,Tue 04 26 2022,,,,,
1407,"Lebanon, OH",Uber,Tue 04 26 2022,,,,,
1440,"Tooele, UT",Uber,Tue 04 26 2022,,,,,
1444,"Jacksonville, FL",Uber,Tue 04 26 2022,,,,,
1464,"Charlotte, NC",Uber,Tue 04 26 2022,,,,,
1481,"Homewood, AL",Uber,Tue 04 26 2022,,,,,
5608,"Vacaville, CA",Uber,Tue 04 26 2022,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
