Market,Academy Store #,City,State,Sup Intern HC,NHM Intern HC,Sup Emerging Coach HC,NHM Emerging Coach HC,Total
39,1130,LAURENS,SC,2,,3,,5
294,1179,ARDEN,NC,2,,3,,5
25,3388,LAWRENCEVILLE,GA,2,1,2,1,6
19,3402,STOCKBRIDGE,GA,2,,3,,5
119,3835,COLLEGEDALE,TN,2,,3,,5
122,4223,MARYVILLE,TN,2,,3,,5
24,4436,ALPHARETTA,GA,2,,4,,6
26,5275,WOODSTOCK,GA,2,,3,,5
93,551,PALATKA,FL,3,,2,,5
27,1006,CORDELE,GA,3,,2,,5
98,1172,JACKSONVILLE,FL,3,1,2,,6
97,1408,TALLAHASSEE,FL,3,,2,,5
30,3570,EVANS,GA,3,1,2,,6
16,5363,HAMPTON,GA,3,,2,1,6
38,630,FLORENCE,SC,2,,2,,4
304,1060,MORGANTON,NC,2,,3,,5
36,1358,WALTERBORO,SC,2,,3,,5
306,2005,KANNAPOLIS,NC,3,,2,,5
305,4274,DENVER,NC,2,,3,,5
42,4593,ROCK HILL,SC,3,,2,,5
74,536,ABILENE,TX,0,,0,,0
583,789,MESQUITE,TX,2,,3,,5
50,1178,BEDFORD,TX,0,,5,,5
53,1216,CARROLLTON,TX,0,,0,,0
82,2991,CEDAR PARK,TX,5,,0,,5
46,3828,LONGVIEW,TX,0,,5,,5
479,4165,FORT WORTH,TX,0,3,0,2,5
44,4279,MIDLOTHIAN,TX,0,,5,,5
51,5672,LUCAS,TX,0,,0,,0
85,322,BRYAN,TX,3,,2,,5
78,490,CORPUS CHRISTI,TX,3,,2,,5
86,999,SAN ANTONIO,TX,3,,2,,5
63,1062,FRIENDSWOOD,TX,3,,2,,5
506,2864,SAN ANTONIO,TX,3,,2,,5
68,3213,THE WOODLANDS,TX,3,,2,,5
64,3296,HOUSTON,TX,3,,2,,5
67,5045,TOMBALL,TX,3,,2,,5
80,5165,ALAMO,TX,3,,2,,5
91,943,CASSELBERRY,FL,2,,3,,5
111,1536,ST PETERSBURG,FL,3,,3,,6
110,2091,DORAL,FL,1,1,3,1,6
114,2387,BRANDON,FL,2,,3,,5
109,2591,PEMBROKE PINES,FL,3,,3,,6
89,2695,CLERMONT,FL,2,,3,,5
115,3474,BRADENTON,FL,1,1,3,1,6
107,3527,PORT ST LUCIE,FL,2,,3,,5
92,3538,MELBOURNE,FL,2,,3,,5
116,5035,MULBERRY,FL,2,,3,,5
104,5266,HUDSON,FL,2,,3,,5
105,5391,NAPLES,FL,2,,3,,5
4,164,PONTOTOC,MS,3,,2,,5
151,682,MURFREESBORO,TN,4,,2,,6
145,950,BARTLETT,TN,1,2,2,1,6
5,6878,HAZEL GREEN,AL,4,,2,,6
140,365,PEARL,MS,0,,5,,5
66,384,LUMBERTON,TX,0,,3,1,4
132,415,BROUSSARD,LA,0,,5,,5
141,501,LAUREL,MS,0,,4,,4
125,909,CHALMETTE,LA,0,4,1,1,6
130,935,DENHAM SPRINGS,LA,0,,5,,5
143,970,PICAYUNE,MS,0,,3,,3
3,301,GADSDEN,AL,2,,3,,5
8,1101,WETUMPKA,AL,3,,2,,5
15,3439,NAVARRE,FL,2,,3,,5
13,4330,CHELSEA,AL,0,2,3,1,6
1,4333,FAIRHOPE,AL,3,,2,,5
179,1856,BANGOR,ME,2,,3,,5
183,2055,CONCORD,NH,2,,3,,5
184,2142,SALEM,NH,2,,3,,5
161,2283,COVENTRY,RI,2,,3,,5
156,3409,LEICESTER,MA,2,,3,,5
226,1884,DICKSON CITY,PA,2,,3,,5
188,2056,SARATOGA SPRINGS,NY,2,,3,,5
195,2088,BATAVIA,NY,2,,3,,5
163,2371,WALLINGFORD,CT,2,,3,,5
172,2583,UNIONDALE,NY,2,,3,,5
191,3332,FULTON,NY,2,,3,,5
577,3795,NORTH BERGEN,NJ,2,,3,,5
175,4153,OLD BRIDGE,NJ,2,,3,,5
203,1733,OWOSSO,MI,2,,3,,5
206,4660,CLINTON TOWNSHIP,MI,0,,5,,5
201,5065,KALAMAZOO,MI,3,,2,,5
229,1568,HERMITAGE,PA,2,,3,,5
209,2313,STREETSBORO,OH,5,,0,,5
227,3738,NATRONA HEIGHTS,PA,2,,3,,5
316,5296,BARBOURSVILLE,WV,2,,3,,5
215,5410,CANTON,OH,0,,5,,5
218,1427,CIRCLEVILLE,OH,0,,5,,5
217,1595,MARYSVILLE,OH,0,,5,,5
221,2309,WEST CHESTER,OH,0,,5,,5
222,3840,FINDLAY,OH,0,,5,,5
248,4230,FORT WAYNE,IN,0,,5,,5
246,5403,URBANA,IL,0,,5,,5
233,1529,YORK,PA,2,,3,,5
237,2230,STATE COLLEGE,PA,2,,3,,5
170,2445,HATFIELD,PA,2,,3,,5
165,3774,WILLIAMSTOWN,NJ,2,,3,,5
279,796,PERU,IL,3,,2,,5
265,1401,NAPERVILLE,IL,3,,2,,5
270,1413,CRYSTAL LAKE,IL,3,,2,,5
266,1556,ORLAND HILLS,IL,0,,0,,0
482,2788,BROWNSBURG,IN,3,,2,,5
249,3435,GREENWOOD,IN,3,,2,,5
262,5038,PLAINFIELD,IL,3,,2,,5
310,1261,FAYETTEVILLE,NC,2,,2,1,5
308,1322,LEXINGTON,NC,2,,2,,4
297,4250,MORRISVILLE,NC,0,,0,,0
299,5743,GARNER,NC,2,,2,,4
301,5851,GREENVILLE,NC,2,2,2,,6
335,19,POPLAR BLUFF,MO,0,,3,,3
360,234,KANSAS CITY,MO,3,,0,,3
339,1161,SAINT CHARLES,MO,3,,0,,3
340,2213,SAINT LOUIS,MO,0,,3,,3
362,2855,SHAWNEE,KS,0,,3,,3
359,5477,JEFFERSON CITY,MO,0,,3,,3
146,177,PARIS,TN,3,,2,,5
257,569,COLUMBIA,KY,2,,2,,4
152,1376,HENDERSONVILLE,TN,2,,2,,4
254,3363,OWENSBORO,KY,3,,2,,5
260,3894,LEXINGTON,KY,2,,3,,5
242,7290,CRESTWOOD,KY,3,,2,,5
334,59,JOPLIN,MO,3,,2,,5
127,87,MINDEN,LA,3,,2,,5
328,119,BATESVILLE,AR,2,,2,,4
321,125,FORT SMITH,AR,2,,2,,4
325,318,ARKADELPHIA,AR,3,,2,,5
322,359,FAYETTEVILLE,AR,3,,2,,5
326,4168,BEEBE,AR,3,,2,,5
410,72,PITTSBURG,KS,4,,0,,4
344,108,GUTHRIE,OK,0,,5,,5
349,269,LAWTON,OK,4,,0,,4
352,389,EDMOND,OK,4,2,0,0,6
353,544,DEL CITY,OK,0,,5,1,6
47,2123,TEXARKANA,TX,0,,5,,5
409,4321,WICHITA,KS,0,,5,,5
356,4637,BROKEN ARROW,OK,4,,0,,4
387,806,LAS CRUCES,NM,2,,2,,4
384,1397,ALBUQUERQUE,NM,2,,2,,4
