Market,Store,Store Type,Launch Date,,
18,515,SUP, March 8,,
18,1070,SUP, March 8,,
18,1122,SUP, March 2,,
18,1403,SUP, March 2,,
18,2513,SUP, March 8,,
18,2753,SUP, March 2,,
18,3485,SUP, March 2,,
18,3874,SUP, March 2,,
18,4616,SUP, March 2,,
18,5786,SUP, March 2,,
18,5812,SUP, March 8,,
19,745,SUP, February 22,,
19,3201,SUP, February 22,,
19,3401,SUP, February 22,,
19,3402,SUP, February 22,,
19,3609,SUP, February 22,,
19,3709,SUP, March 8,,
19,3741,SUP, March 8,,
19,5709,SUP, February 22,,
19,6998,SUP, February 22,,
20,1184,SUP, February 22,,
20,1340,SUP,Already Launched ,,
20,2475,SUP, March 2,,
20,2584,SUP, March 2,,
20,3067,SUP, March 8,,
20,3118,SUP, March 8,,
20,3188,SUP, February 22,,
20,3710,SUP, February 22,,
20,4472,SUP, March 2,,
21,3,SUP, March 2,,
21,510,SUP, March 2,,
21,1111,SUP, March 2,,
21,1121,SUP, March 8,,
21,1400,SUP, March 2,,
21,2811,SUP, March 2,,
21,3627,SUP, March 2,,
22,594,SUP, March 8,,
22,722,SUP, March 2,,
22,727,SUP, March 2,,
22,787,SUP, February 22,,
22,855,SUP, February 22,,
22,856,SUP, March 8,,
22,1047,SUP, March 8,,
22,1488,SUP, February 22,,
22,2732,SUP, February 22,,
22,3205,SUP, March 2,,
22,4409,SUP, March 2,,
23,1181,SUP, March 2,,
23,1578,SUP, March 2,,
23,1766,SUP, March 2,,
23,2360,SUP, March 2,,
23,3008,SUP, March 8,,
23,3621,SUP, March 2,,
23,5390,SUP, March 8,,
24,575,SUP, February 22,,
24,878,SUP, March 2,,
24,1314,SUP,Already Launched ,,
24,1373,SUP,Already Launched ,,
24,2154,SUP, March 2,,
24,2941,SUP, March 2,,
24,3462,SUP, February 22,,
24,4185,SUP, March 2,,
24,4436,SUP, March 2,,
24,7185,SUP, March 2,,
25,459,SUP, March 2,,
25,520,SUP, March 2,,
25,548,SUP, February 22,,
25,780,SUP, March 2,,
25,1720,SUP, February 22,,
25,3388,SUP, February 22,,
25,3389,SUP, February 22,,
