store_number,all_links_item_number,all_links_item_description,Actual Return
19,672907440,WTC SEAMLESS BIKINI,12
19,672907322,WTC COTTON BIKINI,12
19,672907498,WTC SEAMLESS THONG,10
19,672907391,WTC COTTON HIPSTER,9
19,672907455,WTC SEAMLESS BIKINI,9
19,672907471,WTC SEAMLESS BOYSHRT,9
19,672907473,WTC SEAMLESS HIPSTER,9
19,672907349,WTC COTTON HIPSTER,8
19,672907347,WTC COTTON HIPSTER,7
19,672907419,WTC COTTON THONG,7
19,672907333,WTC COTTON HIPSTER,7
19,672907446,WTC SEAMLESS BOYSHRT,6
19,672907427,WTC COTTON THONG,6
19,672907387,WTC COTTON BOYSHORT,6
19,672907375,WTC COTTON BIKINI,6
19,672907385,WTC COTTON BIKINI,6
19,672907384,WTC COTTON BOYSHORT,5
19,672907488,WTC SEAMLESS HIPSTER,4
19,672907328,WTC COTTON BOYSHORT,4
19,672907503,WTC SEAMLESS THONG,4
19,672907474,WTC SEAMLESS HIPSTER,4
19,672907418,WTC COTTON THONG,3
19,672907478,WTC SEAMLESS HIPSTER,3
19,672907423,WTC COTTON THONG,3
19,672907465,WTC SEAMLESS BOYSHRT,3
19,672907381,WTC COTTON BOYSHORT,3
19,672907379,WTC COTTON BIKINI,2
19,672907448,WTC SEAMLESS BIKINI,1
19,672907479,WTC SEAMLESS BOYSHRT,0
19,672907340,WTC COTTON HIPSTER,0
19,672907476,WTC SEAMLESS BOYSHRT,0
19,672907326,WTC COTTON BOYSHORT,0
19,672907420,WTC COTTON THONG,0
19,672907496,WTC SEAMLESS THONG,0
19,672907449,WTC SEAMLESS BIKINI,0
19,672907500,WTC SEAMLESS THONG,0
19,672907462,WTC SEAMLESS BIKINI,0
19,672907377,WTC COTTON BIKINI,0
19,672907484,WTC SEAMLESS HIPSTER,0
19,672907502,WTC SEAMLESS THONG,0
41,672907479,WTC SEAMLESS BOYSHRT,62
41,672907384,WTC COTTON BOYSHORT,13
41,672907498,WTC SEAMLESS THONG,11
41,672907427,WTC COTTON THONG,11
41,672907503,WTC SEAMLESS THONG,10
41,672907322,WTC COTTON BIKINI,10
41,672907455,WTC SEAMLESS BIKINI,9
41,672907419,WTC COTTON THONG,9
41,672907349,WTC COTTON HIPSTER,9
41,672907347,WTC COTTON HIPSTER,8
41,672907471,WTC SEAMLESS BOYSHRT,8
41,672907385,WTC COTTON BIKINI,8
41,672907391,WTC COTTON HIPSTER,8
41,672907473,WTC SEAMLESS HIPSTER,8
41,672907474,WTC SEAMLESS HIPSTER,7
41,672907448,WTC SEAMLESS BIKINI,7
41,672907446,WTC SEAMLESS BOYSHRT,7
41,672907326,WTC COTTON BOYSHORT,6
41,672907333,WTC COTTON HIPSTER,5
41,672907449,WTC SEAMLESS BIKINI,5
41,672907375,WTC COTTON BIKINI,5
41,672907478,WTC SEAMLESS HIPSTER,4
41,672907387,WTC COTTON BOYSHORT,4
41,672907476,WTC SEAMLESS BOYSHRT,4
41,672907500,WTC SEAMLESS THONG,3
41,672907379,WTC COTTON BIKINI,3
41,672907465,WTC SEAMLESS BOYSHRT,3
41,672907440,WTC SEAMLESS BIKINI,2
41,672907381,WTC COTTON BOYSHORT,0
41,672907488,WTC SEAMLESS HIPSTER,0
41,672907340,WTC COTTON HIPSTER,0
41,672907420,WTC COTTON THONG,0
41,672907328,WTC COTTON BOYSHORT,0
41,672907502,WTC SEAMLESS THONG,0
41,672907377,WTC COTTON BIKINI,0
41,672907418,WTC COTTON THONG,0
41,672907496,WTC SEAMLESS THONG,0
41,672907423,WTC COTTON THONG,0
41,672907462,WTC SEAMLESS BIKINI,0
41,672907484,WTC SEAMLESS HIPSTER,0
103,672907471,WTC SEAMLESS BOYSHRT,29
103,672907465,WTC SEAMLESS BOYSHRT,19
103,672907503,WTC SEAMLESS THONG,16
103,672907498,WTC SEAMLESS THONG,14
103,672907455,WTC SEAMLESS BIKINI,13
103,672907419,WTC COTTON THONG,13
103,672907322,WTC COTTON BIKINI,13
103,672907385,WTC COTTON BIKINI,13
103,672907391,WTC COTTON HIPSTER,12
103,672907349,WTC COTTON HIPSTER,12
103,672907384,WTC COTTON BOYSHORT,12
103,672907440,WTC SEAMLESS BIKINI,10
103,672907375,WTC COTTON BIKINI,9
103,672907474,WTC SEAMLESS HIPSTER,9
103,672907427,WTC COTTON THONG,8
103,672907448,WTC SEAMLESS BIKINI,8
103,672907473,WTC SEAMLESS HIPSTER,8
103,672907387,WTC COTTON BOYSHORT,8
103,672907379,WTC COTTON BIKINI,7
103,672907478,WTC SEAMLESS HIPSTER,6
103,672907326,WTC COTTON BOYSHORT,6
103,672907446,WTC SEAMLESS BOYSHRT,6
103,672907449,WTC SEAMLESS BIKINI,5
103,672907328,WTC COTTON BOYSHORT,5
103,672907333,WTC COTTON HIPSTER,5
103,672907479,WTC SEAMLESS BOYSHRT,4
103,672907347,WTC COTTON HIPSTER,4
103,672907488,WTC SEAMLESS HIPSTER,3
103,672907476,WTC SEAMLESS BOYSHRT,3
103,672907420,WTC COTTON THONG,1
103,672907377,WTC COTTON BIKINI,0
103,672907340,WTC COTTON HIPSTER,0
103,672907418,WTC COTTON THONG,0
103,672907500,WTC SEAMLESS THONG,0
103,672907496,WTC SEAMLESS THONG,0
103,672907381,WTC COTTON BOYSHORT,0
103,672907462,WTC SEAMLESS BIKINI,0
103,672907423,WTC COTTON THONG,0
103,672907502,WTC SEAMLESS THONG,0
103,672907484,WTC SEAMLESS HIPSTER,0
199,672907440,WTC SEAMLESS BIKINI,1874
199,672907455,WTC SEAMLESS BIKINI,1531
199,672907498,WTC SEAMLESS THONG,1120
199,672907385,WTC COTTON BIKINI,943
199,672907474,WTC SEAMLESS HIPSTER,918
199,672907349,WTC COTTON HIPSTER,915
199,672907448,WTC SEAMLESS BIKINI,898
199,672907503,WTC SEAMLESS THONG,851
199,672907391,WTC COTTON HIPSTER,795
199,672907322,WTC COTTON BIKINI,722
199,672907478,WTC SEAMLESS HIPSTER,704
199,672907471,WTC SEAMLESS BOYSHRT,612
199,672907446,WTC SEAMLESS BOYSHRT,596
199,672907488,WTC SEAMLESS HIPSTER,559
199,672907419,WTC COTTON THONG,486
199,672907449,WTC SEAMLESS BIKINI,475
199,672907479,WTC SEAMLESS BOYSHRT,390
199,672907384,WTC COTTON BOYSHORT,382
199,672907375,WTC COTTON BIKINI,379
199,672907379,WTC COTTON BIKINI,322
199,672907347,WTC COTTON HIPSTER,295
199,672907427,WTC COTTON THONG,272
199,672907333,WTC COTTON HIPSTER,262
199,672907326,WTC COTTON BOYSHORT,261
