Region ,Region Average ,Market ,Average Returns volume ,Average Return Units Per day ,Average DotCom Return Units Per Day ,Average Marketplace Return Units  ,Average Marketplace Return Units Per Day,Average NPS ,Average Wait Time 
2,Region Average ,,25643,337,27,623,8,55,8
2,,18,21092,278,21,492,6,63,6
2,,19,27512,362,26,577,8,55,9
2,,20,23401,308,17,437,6,42,10
2,,21,22353,294,23,540,7,64,7
2,,22,23346,307,24,582,8,51,7
2,,23,24381,321,24,543,7,51,8
2,,24,34698,457,47,1056,14,52,8
2,,25,32041,422,30,725,10,52,9
2,,26,32807,432,37,826,11,55,7
2,,30,19839,261,20,491,6,60,7
2,,32,19194,253,18,454,6,54,8
3,Region Average ,,27843,366,27,702,9,60,7
3,,27,15829,208,14,357,5,66,7
3,,28,17450,230,16,406,5,65,8
3,,89,37928,499,38,968,13,59,7
3,,93,27274,359,24,672,9,55,7
3,,94,32744,431,32,841,11,64,7
3,,98,30265,398,34,782,10,62,7
3,,101,24774,326,24,606,8,67,7
3,,104,33377,439,32,915,12,66,7
3,,111,30023,395,28,801,11,52,9
3,,112,28079,369,29,693,9,54,8
3,,114,30744,405,28,738,10,52,9
4,Region Average ,,21624,285,21,514,7,55,8
4,,29,18633,245,16,410,5,55,9
4,,35,22062,290,25,587,8,58,7
4,,36,23199,305,24,504,7,41,11
4,,37,25265,332,22,621,8,63,6
4,,38,18244,240,15,410,5,60,8
4,,39,18734,246,17,427,6,54,7
4,,41,25676,338,25,614,8,46,8
4,,42,24781,326,27,679,9,51,7
4,,294,20743,273,19,474,6,54,7
4,,300,20874,275,21,515,7,65,7
4,,310,20541,270,20,432,6,60,8
5,Region Average ,,27011,355,29,626,8,58,8
5,,44,27290,359,24,542,7,58,8
5,,45,22692,299,19,436,6,66,7
5,,48,24192,318,25,551,7,66,6
5,,49,25235,332,24,561,7,53,8
5,,50,32096,422,37,873,11,61,8
5,,51,30566,402,37,773,10,51,8
5,,52,30200,397,37,740,10,53,7
5,,53,27170,358,33,603,8,52,10
5,,55,23048,303,20,441,6,55,9
5,,56,35406,466,49,1025,13,53,7
5,,76,18111,238,16,368,5,71,8
5,,479,26649,351,28,576,8,55,8
5,,583,31379,413,34,746,10,58,9
6,Region Average ,,27613,363,25,575,8,60,8
6,,59,32412,426,30,708,9,56,8
6,,60,25429,335,21,520,7,57,7
6,,61,23329,307,18,445,6,64,8
6,,62,35242,464,39,945,12,59,9
6,,63,32587,429,30,682,9,47,10
6,,64,31759,418,33,783,10,47,10
6,,65,32809,432,36,777,10,59,7
6,,67,34751,457,39,828,11,59,8
6,,78,23592,310,17,383,5,60,7
6,,80,32861,432,26,606,8,71,6
6,,84,12664,167,8,203,3,46,10
6,,85,15733,207,14,325,4,68,6
6,,569,31562,415,22,514,7,69,6
7,Region Average ,,23382,308,21,498,7,60,7
7,,70,14963,197,13,252,3,50,7
7,,71,18093,238,17,351,5,57,7
7,,73,14777,194,14,296,4,59,8
7,,74,13760,181,12,257,3,69,7
7,,77,20260,267,13,314,4,59,8
7,,81,20964,276,19,485,6,58,7
7,,82,31467,414,39,936,12,56,8
7,,83,22584,297,22,547,7,55,8
7,,86,29578,389,22,561,7,60,8
7,,87,26178,344,23,513,7,63,8
7,,88,22608,297,17,374,5,68,7
7,,505,38799,511,36,930,12,65,7
7,,506,29179,384,28,667,9,59,7
