DC,Location, Facility Phone Number,General Manager,AGM,People Manager,Automation Operations Manager,Automation Area Managers (name/shift),Senior Site Engineer,Automation Deployment
6006,"Cullman, AL",(256) 739-0763,Jerry Herrin,Ron Shook,Abby Miller,Richard Curtis,Brian Williams A1/Ryan Nisley A3/ Jessica Wells B1/ Alex Ayers B2,Open,Richard Hayden/Robert Lucas 
6010,"Douglas, GA",(912) 384-0390,Bill Buese ,Patrick Kobus,Julie Griffin,Patrick Cason,Veston Hurley S1. Matthew Anderson S2. S4-Open. Justin Harrell S5.,David Moorman,Richard Hayden/Robert Lucas 
6011,"Brookhaven, MS",(601) 835-3600,Flynn Hopkins,Tommy Davis ,Jacob Gazzo ,LaMarcus Nicholson,"Mike Esters, Randall Barnett, Jennifer Reeves, Libby King",Henry Wimbley,Richard Hayden/Robert Lucas 
6016,"New Braunfels, TX",(830) 620-3300,Dave Noble,Jimmy Gipson,Marina Cisneros,Holly Long,"Jonathon Martin, Hunter Safford",Gloria Kangas,Richard Hayden/Robert Lucas 
6017,"Seymour, IN",(812) 523-5600,Michael Baecke,Jeff Carlson,Erin Koons,James Sturges,"Chris Hammond, Angela Schmelzle",Michael Baker,Richard Hayden/Robert Lucas 
6018,"Searcy, AR",(501) 279-2024,Robert Housewright ,Adam Guidry,Melody Shoptaw,"Randall Thompson, Rebecca Olsen","Daniel Reed, Sid Davies, Taylor Cash, Dotty George, Will Foley",Chris Richards,Richard Hayden/Robert Lucas 
6020,"Brooksville, FL",(352) 799-6974,Maurice Gray,Mike Sackett,Shaneese Hernandez ,Mikail Williams A1/A2 (2.0) Gustavo Correa B1/B2 (2.0),Damarius Rivera A1/Mecole Northcross A2/Jesse Griffith B1/CJ Lesane B2,Vinodh Veerapan,Richard Hayden/Robert Lucas 
6020,"Brooksville, FL",(352) 799-6974,Maurice Gray,Mike Sackett,Shaneese Hernandez ,Rob Jacot (2.5 and 3.0),Ben Colburn A1/Roxanne Hall A2 (2.5) David Rivera A1/Ann Carter B1 (3.0),Vinodh Veerapan,Richard Hayden/Robert Lucas 
6023,"Sutherlnad, VA",(804) 862-9104,David Cadden,Joseph Kimble,Steven Pitts,Cory Doty,"Mike Travis, Kinika Jones, Matthew Lofton, Helen McCoy, Leandra Mathison",Joseph Delgado,Richard Hayden/Robert Lucas 
6024,"Grove City, OH",(614) 871-2333,David Heinrich,Terry Ward,Tonya Mouradian-Bower,Marc Flemming,"Anthony Jackson/A1, Mandy Cade/A2, Sarah Harnisch/A3, Kevin Hanks/B1, Andrew Christian/B2, Justin Doss, Wesley Pigman",Henry Richardson,Richard Hayden/Robert Lucas 
6025,"Menomonie, WI",(715) 232-9240,Marcea Weiss,Dale Deutsch ,Charisse Sutliff,Anthony (Tony) Savage,"Austin Jarvis, John Sauerwein, Benjamin Bryans, Beth Schlough",Paul Reines,Richard Hayden/Robert Lucas 
6026,"Red Bluff, CA",(530) 529-0916,David Hodgson,Chante Turnbow,Terri Hill,"Beau Holler, Sheena Walker","Keith Gore, Tim Ross, Neil Leslie, Dennis Martin, Christina Pritchett and Ryan Keebler",Justin Seitz,Richard Hayden/Robert Lucas 
6027,"Woodland, PA",(814) 857-5442,Eric Lumadue,Greg Jeffries,Jason Gustafson ,Scott Nishida,"James Masonis A1/ Vicky Richner A2/ Joseph Opaliski W1/ Nate Sabadoes Ws/ Richard Church, Haley Owens",Heath Dorey,Richard Hayden/Robert Lucas 
6030,"Raymond, NH",(603) 895-0066,Paul LeCain,Shaun Bilodeau,April Finn ,Jay Petros,Micahel Lacy S1/Molly Champagne S2&3/Michael Gerbino S4/,Pete Smolag,Richard Hayden/Robert Lucas 
6031,"Buckeye, AZ",(623) 386-3319,Kevin Starkey,Jeff Zakrzewski,Verdell Rhett,"Juan Quezada, Cornelius Slater ",,Leela Duggal,Richard Hayden/Robert Lucas 
6035,"Ottawa, KS",(785) 242-4555,Tony Kildow ,Grant Crowley ,Catherine Ostrander ,Larry Dalrymple,Chris Baker A2/ Tiffany Mills A3/  John Lichtenauer B2,Selman Ozyesil,Richard Hayden/Robert Lucas 
6036,"Palestine, TX",(903) 538-2254,Marty Denney,Matthew Nix,Selena Cryer ,Gerry Allen,Todd Whitfield S1/ Meagan Courvelle S2/ Kevin Hunt S3/ Daniel Gleason S4/ Thomas McClelland S5,Dawnya Brown,Richard Hayden/Robert Lucas 
6037,"Hermiston, OR",(541) 564-4600,JC Holler ,Beau Smith ,AMBER MARTIN ,David Keltz,"Chris Kloer - 1st, Ivan Macias - 2nd, Noe Sanchez - 3rd, Fareedah Harris - 4th, Abby Thomas - 5th ",Premsanth Sadasivam,Richard Hayden/Robert Lucas 
6038,"Marcy, NY",(315) 768-0150,Larry Raike,Mike Duckham,Maureen Sheedy,Christopher Johnson,Ryan Bosworth A1/Tarrance Edwards A2/Melissa DeCarlo A3/Pamela Smith B1/Katelynn Olney B2,Frank Wameling,Richard Hayden/Robert Lucas 
6039,"Midway, TN",(423) 235-2300,Ryan Walker,Travis Lovell,Christinia Greenlee ,Christopher Lanclos,Jacob Frost S1/Jacqueline Wilbur S1/Andrew Bradley S2/ Charlie Barnett S3/ Rhonda Garner S4 Ray Erickson S5,N/A,Richard Hayden/Robert Lucas 
6040,"Hope Mills, NC",(910) 426-5000,Stacey Brailsford ,Jeff Joyce ,Michelle Perez ,Gabriel Sarinana Jr.,Silas Bwire S1/Justin Locklear S2/Crystal Mullins S4/ Keisha Morrison S5/ Gregory Nation Flex,Dean Hoag,Richard Hayden/Robert Lucas 
