Store Number,Roses (20 Units),Mixed BQT (16 Units),Roses (90 Units),Mixed BQT (81 Untis),Single Rose (75 Units),Total Displays
2070,,,9,6,1,16
2071,,,2,13,4,19
2074,,,7,26,3,36
2188,,,5,14,1,20
2722,,,10,5,3,18
4359,,,11,4,2,17
4474,,,5,7,1,13
2710,7,13,,,,20
2711,8,21,,,,29
