Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2141,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2830,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3252,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3541,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5495,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5881,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5891,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2167,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2263,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2945,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3501,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5795,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2446,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3810,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2096,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2445,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3475,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3564,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
3565,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
4687,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5229,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2068,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
2650,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5103,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5130,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5131,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5649,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
5177,4.68,,2.4,,4.34,,2.23,,4.09,,2.11,,3.88,,2,,4.46,,2.29,
1670,4.32,,2.3,,3.98,,2.13,,3.72,,2,,3.51,,1.89,,4,,2.14,
1777,4.32,,2.3,,3.98,,2.13,,3.72,,2,,3.51,,1.89,,4,,2.14,
2614,4.32,,2.3,,3.98,,2.13,,3.72,,2,,3.51,,1.89,,4,,2.14,
