Store Number,Project Type,City,State,Planned Install Date,Possession Date
840,D8 Pet Cooler,Warner Robins,GA,10,4/3/2022
920,D8 Pet Cooler,Warner Robins,GA,10,4/3/2022
2433,D8 Pet Cooler,Garland,TX,10,4/3/2022
2745,D8 Pet Cooler,Fayetteville,AR,10,4/3/2022
2975,D8 Pet Cooler,Garland,TX,10,4/3/2022
2976,D8 Pet Cooler,Mesquite,TX,10,4/3/2022
2977,D8 Pet Cooler,Arlington,TX,10,4/3/2022
3015,D8 Pet Cooler,Dallas (Pleasant Grove),TX,10,4/3/2022
3110,D8 Pet Cooler,Chicago,IL,10,4/3/2022
3635,D8 Pet Cooler,Fort Oglethrope,GA,10,4/3/2022
4453,D8 Pet Cooler,Greenville,TX,10,4/3/2022
4530,D8 Pet Cooler,Savannah,GA,10,4/3/2022
4700,D8 Pet Cooler,Pleasant Grove,UT,10,4/3/2022
4706,D8 Pet Cooler,Magna,UT,10,4/3/2022
5198,D8 Pet Cooler,Tifton,GA,10,4/3/2022
5258,D8 Pet Cooler,Las Vegas,NV,10,4/3/2022
5408,D8 Pet Cooler,Indianapolis,IN,10,4/3/2022
5423,D8 Pet Cooler,Las Vegas,NV,10,4/3/2022
5695,D8 Pet Cooler,Mt. Pleasant,WI,10,4/3/2022
5737,D8 Pet Cooler,Fayetteville,AR,10,4/3/2022
5738,D8 Pet Cooler,Springdale,AR,10,4/3/2022
5780,D8 Pet Cooler,Paragould,AR,10,4/3/2022
5804,D8 Pet Cooler,Indianapolis,IN,10,4/3/2022
5824,D8 Pet Cooler,Mesquite,TX,10,4/3/2022
7347,D8 Pet Cooler,Hurst,TX,10,4/3/2022
2451,D8 Pet Cooler,Albuquerque,NM,11,4/10/2022
3385,D8 Pet Cooler,Albuquerque,NM,11,4/10/2022
3449,D8 Pet Cooler,Killeen,TX,11,4/10/2022
3450,D8 Pet Cooler,Killeen,TX,11,4/10/2022
3509,D8 Pet Cooler,Houston,TX,11,4/10/2022
3599,D8 Pet Cooler,Bartlett,TN,11,4/10/2022
3603,D8 Pet Cooler,Forest,VA,11,4/10/2022
3614,D8 Pet Cooler,Roanoke,VA,11,4/10/2022
3885,D8 Pet Cooler,Richmond,VA,11,4/10/2022
4373,D8 Pet Cooler,Wake Village,TX,11,4/10/2022
4388,D8 Pet Cooler,Waynesboro,VA,11,4/10/2022
4465,D8 Pet Cooler,Cypress,TX,11,4/10/2022
4469,D8 Pet Cooler,Clarksville,TN,11,4/10/2022
4589,D8 Pet Cooler,Clarksville,TN,11,4/10/2022
4591,D8 Pet Cooler,Clarksville,TN,11,4/10/2022
4619,D8 Pet Cooler,Tupelo,MS,11,4/10/2022
4674,D8 Pet Cooler,Nacogdoches,TX,11,4/10/2022
5094,D8 Pet Cooler,Houston,TX,11,4/10/2022
5148,D8 Pet Cooler,Murfreesboro,TN,11,4/10/2022
5353,D8 Pet Cooler,Spring,TX,11,4/10/2022
5467,D8 Pet Cooler,Morristown,TN,11,4/10/2022
5700,D8 Pet Cooler,Tyler,TX,11,4/10/2022
5734,D8 Pet Cooler,Kingsport,TN,11,4/10/2022
5754,D8 Pet Cooler,Williamsburg,VA,11,4/10/2022
5829,D8 Pet Cooler,Danville,VA,11,4/10/2022
377,D8 Pet Cooler,Sumter,SC,12,4/17/2022
3315,D8 Pet Cooler,Glendale,AZ,12,4/17/2022
3338,D8 Pet Cooler,Spartanburg,SC,12,4/17/2022
3359,D8 Pet Cooler,Fort Mill,SC,12,4/17/2022
3628,D8 Pet Cooler,Simpsonville,SC,12,4/17/2022
3661,D8 Pet Cooler,El Paso,TX,12,4/17/2022
3844,D8 Pet Cooler,Glendale,AZ,12,4/17/2022
3845,D8 Pet Cooler,Glendale,AZ,12,4/17/2022
4105,D8 Pet Cooler,El Paso,TX,12,4/17/2022
4145,D8 Pet Cooler,Greer,SC,12,4/17/2022
4275,D8 Pet Cooler,Peoria,AZ,12,4/17/2022
4443,D8 Pet Cooler,Anderson,SC,12,4/17/2022
4603,D8 Pet Cooler,Tucson,AZ,12,4/17/2022
5257,D8 Pet Cooler,Mesa,AZ,12,4/17/2022
5290,D8 Pet Cooler,San Antonio,TX,12,4/17/2022
5291,D8 Pet Cooler,Columbia,SC,12,4/17/2022
5332,D8 Pet Cooler,Mesa,AZ,12,4/17/2022
5371,D8 Pet Cooler,Simpsonville,SC,12,4/17/2022
5378,D8 Pet Cooler,Cayce,SC,12,4/17/2022
5960,D8 Pet Cooler,Socorro,TX,12,4/17/2022
5962,D8 Pet Cooler,El Paso,TX,12,4/17/2022
6098,D8 Pet Cooler,Mcallen,TX,12,4/17/2022
6159,D8 Pet Cooler,Weslaco,TX,12,4/17/2022
6587,D8 Pet Cooler,El Paso,TX,12,4/17/2022
7229,D8 Pet Cooler,El Paso,TX,12,4/17/2022
2442,D8 Pet Cooler,Kansas City,MO,13,4/24/2022
2487,D8 Pet Cooler,Corona,CA,13,4/24/2022
2984,D8 Pet Cooler,Lawton,OK,13,4/24/2022
3062,D8 Pet Cooler,Springfield,MO,13,4/24/2022
3084,D8 Pet Cooler,Escondido,CA,13,4/24/2022
3131,D8 Pet Cooler,Rialto,CA,13,4/24/2022
3132,D8 Pet Cooler,Pomona,CA,13,4/24/2022
3179,D8 Pet Cooler,Thousand Oaks,CA,13,4/24/2022
3411,D8 Pet Cooler,Fayetteville,NC,13,4/24/2022
3456,D8 Pet Cooler,Hope Mills,NC,13,4/24/2022
3615,D8 Pet Cooler,Oklahoma City,OK,13,4/24/2022
4478,D8 Pet Cooler,Joplin,MO,13,4/24/2022
4545,D8 Pet Cooler,Wilson,NC,13,4/24/2022
5314,D8 Pet Cooler,Oklahoma City,OK,13,4/24/2022
5323,D8 Pet Cooler,Oklahoma City,OK,13,4/24/2022
5393,D8 Pet Cooler,Greensboro,NC,13,4/24/2022
5702,D8 Pet Cooler,Lubbock,TX,13,4/24/2022
6172,D8 Pet Cooler,Kansas City,KS,13,4/24/2022
6243,D8 Pet Cooler,Clemmons,NC,13,4/24/2022
7137,D8 Pet Cooler,Jacksonville,NC,13,4/24/2022
7205,D8 Pet Cooler,Lexington,NC,13,4/24/2022
7206,D8 Pet Cooler,Archdale,NC,13,4/24/2022
7340,D8 Pet Cooler,Goldsboro,NC,13,4/24/2022
7362,D8 Pet Cooler,Amarillo,TX,13,4/24/2022
8958,D8 Pet Cooler,Indio,CA,13,4/24/2022
2689,D8 Pet Cooler,Fresno,CA,14,5/1/2022
2880,D8 Pet Cooler,Tulsa,OK,14,5/1/2022
3022,D8 Pet Cooler,Stockton,CA,14,5/1/2022
3340,D8 Pet Cooler,Tulsa,OK,14,5/1/2022
3442,D8 Pet Cooler,Murrells Inlet,SC,14,5/1/2022
3457,D8 Pet Cooler,Tulsa,OK,14,5/1/2022
3504,D8 Pet Cooler,Hickory,NC,14,5/1/2022
3713,D8 Pet Cooler,Ladson,SC,14,5/1/2022
4432,D8 Pet Cooler,Newton,NC,14,5/1/2022
4585,D8 Pet Cooler,Owasso,OK,14,5/1/2022
4625,D8 Pet Cooler,Garden City,KS,14,5/1/2022
4655,D8 Pet Cooler,Broken Arrow,OK,14,5/1/2022
5093,D8 Pet Cooler,Tulsa,OK,14,5/1/2022
5279,D8 Pet Cooler,Summerville,SC,14,5/1/2022
5286,D8 Pet Cooler,The Village,OK,14,5/1/2022
5308,D8 Pet Cooler,Shawnee,KS,14,5/1/2022
5923,D8 Pet Cooler,Myrtle Beach,SC,14,5/1/2022
5979,D8 Pet Cooler,Lincoln,CA,14,5/1/2022
5991,D8 Pet Cooler,Wichita,KS,14,5/1/2022
6174,D8 Pet Cooler,Summerville,SC,14,5/1/2022
6942,D8 Pet Cooler,Broken Arrow,OK,14,5/1/2022
7062,D8 Pet Cooler,Gastonia,NC,14,5/1/2022
7146,D8 Pet Cooler,Kings Mountain,NC,14,5/1/2022
7296,D8 Pet Cooler,Hudson,NC,14,5/1/2022
7315,D8 Pet Cooler,Hickory W,NC,14,5/1/2022
3013,D8 Pet Cooler,Pinellas Park,FL,15,5/8/2022
3637,D8 Pet Cooler,Yukon,OK,15,5/8/2022
3862,D8 Pet Cooler,Daytona Beach,FL,15,5/8/2022
4357,D8 Pet Cooler,Pensacola,FL,15,5/8/2022
4390,D8 Pet Cooler,Enid,OK,15,5/8/2022
4582,D8 Pet Cooler,Navarre (Joybrook),FL,15,5/8/2022
4657,D8 Pet Cooler,Mobile,AL,15,5/8/2022
4659,D8 Pet Cooler,Baton Rouge,LA,15,5/8/2022
4667,D8 Pet Cooler,Clearwater,FL,15,5/8/2022
4672,D8 Pet Cooler,Montgomery,AL,15,5/8/2022
5059,D8 Pet Cooler,Hopkinsville,KY,15,5/8/2022
5081,D8 Pet Cooler,Meraux,LA,15,5/8/2022
5102,D8 Pet Cooler,Gretna,LA,15,5/8/2022
5221,D8 Pet Cooler,Tampa,FL,15,5/8/2022
5248,D8 Pet Cooler,Northport,AL,15,5/8/2022
5256,D8 Pet Cooler,Tuscaloosa,AL,15,5/8/2022
5365,D8 Pet Cooler,Melbourne,FL,15,5/8/2022
5740,D8 Pet Cooler,Mobile,AL,15,5/8/2022
5744,D8 Pet Cooler,Theodore,AL,15,5/8/2022
5828,D8 Pet Cooler,Pueblo,CO,15,5/8/2022
6178,D8 Pet Cooler,Aurora,CO,15,5/8/2022
6577,D8 Pet Cooler,Slidell,LA,15,5/8/2022
7099,D8 Pet Cooler,Morgan City,LA,15,5/8/2022
7233,D8 Pet Cooler,Baton Rouge,LA,15,5/8/2022
2488,D8 Pet Cooler,Decatur,AL,16,5/15/2022
2940,D8 Pet Cooler,West Monroe,LA,16,5/15/2022
3183,D8 Pet Cooler,Homestead,FL,16,5/15/2022
3184,D8 Pet Cooler,Hoover,AL,16,5/15/2022
3746,D8 Pet Cooler,Shreveport,LA,16,5/15/2022
3935,D8 Pet Cooler,Naranja,FL,16,5/15/2022
4354,D8 Pet Cooler,Naples,FL,16,5/15/2022
4504,D8 Pet Cooler,Birmingham,AL,16,5/15/2022
4577,D8 Pet Cooler,Ruston,LA,16,5/15/2022
4756,D8 Pet Cooler,Alabaster,AL,16,5/15/2022
4826,D8 Pet Cooler,Davie,FL,16,5/15/2022
5125,D8 Pet Cooler,Opelousas,LA,16,5/15/2022
5615,D8 Pet Cooler,Hialeah Gardens,FL,16,5/15/2022
5704,D8 Pet Cooler,Port St. Lucie,FL,16,5/15/2022
5773,D8 Pet Cooler,New Iberia,LA,16,5/15/2022
6583,D8 Pet Cooler,Lake Charles,LA,16,5/15/2022
6937,D8 Pet Cooler,Port Charlotte,FL,16,5/15/2022
7299,D8 Pet Cooler,Port St Lucie,FL,16,5/15/2022
7307,D8 Pet Cooler,Bradenton,FL,16,5/15/2022
648,D8 Pet Cooler,SAINT PETERS,MO,15,5/9/2022
1331,D8 Pet Cooler,SIDNEY,OH,15,5/9/2022
3351,D8 Pet Cooler,NORTH LAS VEGAS (N),NV,15,5/9/2022
5162,D8 Pet Cooler,SANTA CLARITA (W),CA,15,5/9/2022
3348,D8 Pet Cooler,LAKE PARK (P.B. GARD),FL,15,5/9/2022
3897,D8 Pet Cooler,TWIN FALLS (N),ID,15,5/9/2022
3406,D8 Pet Cooler,DALLAS (PRESTWD),TX,15,5/9/2022
420,D8 Pet Cooler,WICHITA FALLS,TX,15,5/9/2022
618,D8 Pet Cooler,HIRAM,GA,15,5/9/2022
709,D8 Pet Cooler,ELIZABETHTOWN,KY,15,5/9/2022
1065,D8 Pet Cooler,HOPE,AR,15,5/9/2022
1283,D8 Pet Cooler,STARKE,FL,15,5/9/2022
1284,D8 Pet Cooler,PHENIX CITY,AL,15,5/9/2022
2051,D8 Pet Cooler,KINGMAN,AZ,15,5/9/2022
5309,D8 Pet Cooler,OBERLIN,OH,15,5/9/2022
5486,D8 Pet Cooler,COUNTRY CLUB HILLS,IL,15,5/9/2022
5497,D8 Pet Cooler,LERAY (EVANS MILLS),NY,15,5/9/2022
5726,D8 Pet Cooler,ALAMOGORDO,NM,15,5/9/2022
6149,D8 Pet Cooler,Orlando,FL,15,5/9/2022
7127,D8 Pet Cooler,POPLAR BLUFF,MO,15,5/9/2022
37,D8 Pet Cooler,FARMINGTON,MO,16,5/16/2022
1230,D8 Pet Cooler,SHOW LOW,AZ,16,5/16/2022
3259,D8 Pet Cooler,MISSOULA,MT,16,5/16/2022
1586,D8 Pet Cooler,AUSTELL,GA,16,5/16/2022
4286,D8 Pet Cooler,MONTGOMERY,IL,16,5/16/2022
5810,D8 Pet Cooler,DALLAS (CLARK & WHEATLAND),TX,16,5/16/2022
781,D8 Pet Cooler,MARBLE FALLS,TX,16,5/16/2022
1088,D8 Pet Cooler,BILOXI,MS,16,5/16/2022
1995,D8 Pet Cooler,CHUBBUCK,ID,16,5/16/2022
2556,D8 Pet Cooler,ARROYO GRANDE,CA,16,5/16/2022
4180,D8 Pet Cooler,NAMPA,ID,16,5/16/2022
5023,D8 Pet Cooler,NATIONAL CITY,CA,16,5/16/2022
5725,D8 Pet Cooler,Tucson,AZ,16,5/16/2022
1453,D8 Pet Cooler,GREEN BAY,WI,17,5/23/2022
2280,D8 Pet Cooler,MOUNTAIN VIEW,CA,17,5/23/2022
2266,D8 Pet Cooler,STRONGSVILLE,OH,17,5/23/2022
4375,D8 Pet Cooler,SPRINGDALE,AR,17,5/23/2022
2204,D8 Pet Cooler,FOREST PARK,IL,17,5/23/2022
1449,D8 Pet Cooler,MANITOWOC,WI,17,5/23/2022
4049,D8 Pet Cooler,OLYMPIA FIELDS,IL,17,5/23/2022
471,D8 Pet Cooler,LANCASTER,TX,17,5/23/2022
701,D8 Pet Cooler,OWENSBORO,KY,17,5/23/2022
731,D8 Pet Cooler,DEMOPOLIS,AL,17,5/23/2022
806,D8 Pet Cooler,LAS CRUCES,NM,17,5/23/2022
844,D8 Pet Cooler,MORRIS,IL,17,5/23/2022
1448,D8 Pet Cooler,ASHLAND,OH,17,5/23/2022
1679,D8 Pet Cooler,ONALASKA,WI,17,5/23/2022
2201,D8 Pet Cooler,EL PASO (C),TX,17,5/23/2022
2811,D8 Pet Cooler,ATHENS,GA,17,5/23/2022
2817,D8 Pet Cooler,LANSING,IL,17,5/23/2022
2818,D8 Pet Cooler,HAMMOND,IN,17,5/23/2022
2978,D8 Pet Cooler,FORT WORTH (S),TX,17,5/23/2022
3049,D8 Pet Cooler,TUCSON (KOLB),AZ,17,5/23/2022
3389,D8 Pet Cooler,SNELLVILLE (S),GA,17,5/23/2022
3621,D8 Pet Cooler,CHAMBLEE,GA,17,5/23/2022
3864,D8 Pet Cooler,JACKSONVILLE (S),NC,17,5/23/2022
4104,D8 Pet Cooler,DENTON,TX,17,5/23/2022
4256,D8 Pet Cooler,AMES (S),IA,17,5/23/2022
4323,D8 Pet Cooler,KANKAKEE,IL,17,5/23/2022
4673,D8 Pet Cooler,AUBURN,AL,17,5/23/2022
6960,D8 Pet Cooler,SILOAM SPRINGS,AR,17,5/23/2022
7177,D8 Pet Cooler,ROCKINGHAM,VA,17,5/23/2022
2681,D8 Pet Cooler,LITTLETON,NH,18,5/30/2022
991,D8 Pet Cooler,MOBILE,AL,18,5/30/2022
3408,D8 Pet Cooler,CARSON CITY (N),NV,18,5/30/2022
1042,D8 Pet Cooler,BASTROP,TX,18,5/30/2022
2667,D8 Pet Cooler,DALLAS,TX,18,5/30/2022
148,D8 Pet Cooler,PARIS,TX,18,5/30/2022
525,D8 Pet Cooler,LAKE MARY,FL,18,5/30/2022
3317,D8 Pet Cooler,ALBUQUERQUE (GOLF),NM,18,5/30/2022
3341,D8 Pet Cooler,DALLAS (HALL),TX,18,5/30/2022
3379,D8 Pet Cooler,ORO VALLEY,AZ,18,5/30/2022
4524,D8 Pet Cooler,LOUISVILLE (WEST),KY,18,5/30/2022
4605,D8 Pet Cooler,TYLER,TX,18,5/30/2022
5186,D8 Pet Cooler,GILBERT (E),AZ,18,5/30/2022
