Market,Club Number,PRIMARY TEAM,AVG $PCPW 1,SECONDARY TEAM,AVG $PCPW 2,TERTIARY TEAM,AVG $PCPW 3
24,8247,ALABAMA," $1,195 ",ALABAMA-BIRMINGHAM, $453 ,N/A , N/A 
24,4836,ALABAMA," $2,033 ",AUBURN, $968 ,N/A , N/A 
24,8102,ALABAMA," $2,050 ",AUBURN, $458 ,N/A , N/A 
24,4990,ALABAMA," $2,345 ",AUBURN, $956 ,N/A , N/A 
24,4817,ALABAMA," $2,472 ",AUBURN," $1,100 ",N/A , N/A 
29,8192,ALABAMA," $1,823 ",AUBURN," $1,662 ",N/A , N/A 
24,4724,ALABAMA," $2,929 ",AUBURN," $1,519 ",N/A , N/A 
23,8196,ALABAMA," $2,099 ",AUBURN, $317 ,N/A, N/A 
24,6435,ALABAMA," $3,677 ",N/A, $-   ,N/A, N/A 
23,4776,ALABAMA A&M," $3,314 ",ALABAMA," $1,317 ",N/A , N/A 
23,8107,ALABAMA," $1,885 ",AUBURN, $837 ,ALABAMA A&M, N/A 
24,8106,ALABAMA," $1,713 ",ALABAMA STATE," $1,516 ",TUSKEGEE, $551 
17,8271,ALCORN STATE," $2,781 ",MISSISSIPPI STATE," $1,679 ",N/A , N/A 
4,6692,ARIZONA," $3,163 ",ARIZONA CARDINALS, $799 ,N/A, N/A 
4,6604,NORTHERN ARIZONA," $2,047 ",ARIZONA CARDINALS, $622 ,N/A , N/A 
4,6213,ARIZONA CARDINALS," $1,554 ",ARIZONA STATE," $1,118 ",N/A , N/A 
4,6608,ARIZONA CARDINALS," $1,097 ",ARIZONA STATE, $566 ,N/A , N/A 
4,6605,ARIZONA STATE," $1,668 ",ARIZONA CARDINALS, $346 ,N/A, N/A 
4,4732,ARIZONA CARDINALS," $1,358 ",ARIZONA STATE, $709 ,N/A, N/A 
6,6347,N/A, $-   ,N/A, $-   ,N/A, N/A 
4,6606,N/A, $-   ,N/A, $-   ,N/A, N/A 
4,6205,ARIZONA CARDINALS," $1,195 ",N/A, $-   ,N/A, N/A 
4,4830,ARIZONA CARDINALS," $1,430 ",N/A, $-   ,N/A, N/A 
4,4955,N/A, $-   ,N/A, $-   ,N/A, N/A 
16,8104,ARKANSAS," $4,490 ",ARKANSAS PINE BLUFF," $1,505 ",N/A , N/A 
16,6377,ARKANSAS," $2,469 ",ARKANSAS STATE, $822 ,N/A , N/A 
16,4749,ARKANSAS," $4,754 ",CENTRAL ARKANSAS, $723 ,N/A , N/A 
16,4969,ARKANSAS," $8,635 ",N/A, $-   ,N/A, N/A 
16,4808,ARKANSAS," $6,565 ",N/A, $-   ,N/A, N/A 
16,8209,ARKANSAS," $4,473 ",N/A, $-   ,N/A, N/A 
16,8134,ARKANSAS," $2,699 ",N/A, $-   ,N/A, N/A 
16,4825,ARKANSAS," $4,200 ",N/A, $-   ,N/A, N/A 
16,8266,ARKANSAS," $5,434 ",N/A, $-   ,N/A, N/A 
28,8287,ATLANTA FALCONS," $1,758 ",GEORGIA, $776 ,SPELMAN, N/A 
28,6409,SPELMAN, $705 ,ATLANTA FALCONS," $1,033 ",N/A , N/A 
24,4989,AUBURN," $6,192 ",ALABAMA, $867 ,N/A , N/A 
4,4829,ARIZONA STATE," $1,204 ",ARIZONA CARDINALS, $694 ,N/A , N/A 
4,4956,ARIZONA STATE, CLUB REQUEST ,ARIZONA CARDINALS, CLUB REQUEST ,N/A , N/A 
38,8161,PHILADELPHIA EAGLES," $1,023 ",PENN STATE, $641 ,PITTSBURGH PENGUINS, $386 
38,6650,BALTIMORE RAVENS," $1,674 ",MORGAN STATE," $1,215 ",N/A , N/A 
38,4771,BALTIMORE RAVENS," $2,582 ",BOWIE STATE, $-   ,N/A, N/A 
38,6651,BALTIMORE RAVENS," $2,093 ",MARYLAND, $25 ,N/A, N/A 
38,6239,BALTIMORE RAVENS," $2,289 ",MORGAN STATE, $-   ,N/A, N/A 
38,6383,BALTIMORE RAVENS," $1,491 ",N/A, $-   ,N/A, N/A 
13,8286,BAYLOR," $2,794 ",DALLAS COWBOYS, $871 ,N/A , N/A 
37,6366,BUFFALO BILLS," $1,151 ",NEW YORK RANGERS, $633 ,N/A, N/A 
37,6539,N/A, $-   ,N/A, $-   ,N/A, N/A 
37,6431,BUFFALO BILLS, $-   ,N/A, $-   ,N/A, N/A 
37,6673,BUFFALO BILLS," $6,685 ",N/A, $-   ,N/A, N/A 
37,6406,BUFFALO BILLS," $6,652 ",N/A, $-   ,N/A, N/A 
3,6345,BYU, $501 ,N/A, $-   ,N/A, N/A 
3,6685,BYU," $3,067 ",N/A, $-   ,N/A, N/A 
30,6414,N CAROLINA, $977 ,CAROLINA PANTHERS, $557 ,N/A , N/A 
30,8219,CAROLINA PANTHERS, $863 ,JOHNSON C SMITH, $133 ,N/A, N/A 
30,6348,CAROLINA PANTHERS, $702 ,N CAROLINA, $-   ,N/A, N/A 
35,8129,N CAROLINA," $1,829 ",N CAROLINA WILMINGTN, $883 ,N/A, N/A 
30,4797,N/A, $-   ,N/A, $-   ,N/A, N/A 
30,4950,N/A, $-   ,N/A, $-   ,N/A, N/A 
35,6573,N/A, $-   ,N/A, $-   ,N/A, N/A 
35,4946,N CAROLINA STATE," $1,482 ",CAROLINA PANTHERS, $326 ,N CAROLINA CENTRAL, N/A 
34,4798,CAROLINA PANTHERS, $468 ,N CAROLINA, $-   ,WINSTON-SALEM STATE, N/A 
36,4785,CENTRAL FLORIDA," $1,592 ",BETHUNE-COOKMAN, $-   ,N/A, N/A 
36,4828,CENTRAL FLORIDA," $1,334 ",N/A, $-   ,N/A, N/A 
36,4782,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6189,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6212,CENTRAL FLORIDA," $1,410 ",N/A, $-   ,N/A, N/A 
25,4982,CENTRAL MICHIGAN," $2,452 ",DETROIT LIONS, $403 ,N/A , N/A 
21,4815,ILLINOIS STATE," $2,277 ",CHICAGO BEARS, $918 ,N/A , N/A 
21,8215,ILLINOIS," $2,381 ",CHICAGO BEARS, $504 ,N/A , N/A 
21,8174,CHICAGO BEARS," $2,697 ",PURDUE, $662 ,N/A , N/A 
20,4942,CHICAGO BLACKHAWKS, $531 ,CHICAGO BEARS, $-   ,N/A, N/A 
21,6485,CHICAGO BEARS," $2,732 ",CHICAGO BLACKHAWKS, $541 ,N/A, N/A 
20,6487,CHICAGO BEARS," $2,272 ",CHICAGO BLACKHAWKS, $298 ,N/A, N/A 
19,8285,ST. LOUIS BLUES," $2,004 ",KANSAS CITY CHIEFS, $-   ,N/A, N/A 
19,4878,ST. LOUIS BLUES," $2,716 ",KANSAS CITY CHIEFS, $-   ,N/A, N/A 
20,6228,CHICAGO BEARS," $1,533 ",NORTHWESTERN, $-   ,N/A, N/A 
20,6444,CHICAGO BEARS," $1,429 ",NORTHWESTERN, $97 ,N/A, N/A 
20,6328,CHICAGO BEARS," $2,961 ",NORTHWESTERN, CLUB REQUEST ,N/A, N/A 
21,6334,CHICAGO BEARS," $1,096 ",N/A, $-   ,N/A, N/A 
20,8184,CHICAGO BEARS," $2,219 ",N/A, $-   ,N/A, N/A 
21,8128,N/A, $-   ,N/A, $-   ,N/A, N/A 
20,6349,CHICAGO BEARS," $2,233 ",N/A, $-   ,N/A, N/A 
21,8298,CHICAGO BEARS," $2,070 ",N/A, $-   ,N/A, N/A 
20,6358,CHICAGO BEARS," $1,860 ",N/A, $-   ,N/A, N/A 
20,6339,CHICAGO BEARS," $2,831 ",N/A, $-   ,N/A, N/A 
20,8297,CHICAGO BEARS," $1,507 ",N/A, $-   ,N/A, N/A 
21,6489,CHICAGO BEARS," $2,456 ",N/A, $-   ,N/A, N/A 
20,6464,CHICAGO BEARS," $2,452 ",N/A, $-   ,N/A, N/A 
20,6388,CHICAGO BEARS," $3,015 ",N/A, $-   ,N/A, N/A 
19,4999,N/A, $-   ,N/A, $-   ,N/A, N/A 
20,6384,CHICAGO BEARS," $4,167 ",N/A, $-   ,N/A, N/A 
22,6528,CINCINNATI BENGALS," $2,158 ",CINCINNATI," $1,829 ",N/A , N/A 
22,8133,KENTUCKY," $2,647 ",CINCINNATI BENGALS," $1,089 ",N/A , N/A 
22,6450,CINCINNATI BENGALS," $4,130 ",CINCINNATI, $732 ,N/A, N/A 
22,8132,CINCINNATI," $2,296 ",CINCINNATI BENGALS, $481 ,N/A, N/A 
30,8142,S CAROLINA," $1,980 ",CLEMSON," $1,343 ",N/A , N/A 
30,6463,CLEMSON," $4,116 ",GEORGIA," $1,628 ",N/A , N/A 
30,8278,CLEMSON," $2,563 ",S CAROLINA, $338 ,N/A , N/A 
30,4901,CLEMSON," $3,366 ",S CAROLINA," $1,143 ",N/A , N/A 
29,8252,S CAROLINA," $2,019 ",CLEMSON," $1,576 ",N/A , N/A 
33,6305,CLEVELAND BROWNS," $2,280 ",OHIO STATE, $479 ,CLEVELAND CAVALIERS," $1,747 "
33,6314,CLEVELAND BROWNS," $2,628 ",OHIO STATE," $1,448 ",N/A , N/A 
33,4846,CLEVELAND BROWNS," $2,451 ",OHIO STATE," $1,443 ",N/A , N/A 
33,4750,CLEVELAND BROWNS," $1,441 ",OHIO STATE, $930 ,N/A , N/A 
33,6302,CLEVELAND BROWNS," $2,003 ",N/A, $-   ,N/A, N/A 
35,6353,COASTAL CAROLINA," $4,940 ",CLEMSON, $341 ,N/A , N/A 
5,6634,DENVER BRONCOS," $1,749 ",COLORADO," $1,195 ",N/A , N/A 
7,6633,COLORADO STATE," $1,272 ",DENVER BRONCOS, $665 ,N/A , N/A 
12,4939,TEXAS, $905 ,DALLAS COWBOYS, $699 ,SAN ANTONIO SPURS, $977 
12,8227,DALLAS COWBOYS," $1,909 ",UTSA," $1,094 ",SAN ANTONIO SPURS, $870 
11,4911,DALLAS COWBOYS," $1,482 ",BAYLOR, $412 ,N/A , N/A 
12,6471,TEXAS, $803 ,DALLAS COWBOYS," $1,008 ",N/A , N/A 
11,8288,TEXAS TECH," $1,803 ",DALLAS COWBOYS," $1,230 ",N/A , N/A 
14,6422,TEXAS," $1,909 ",DALLAS COWBOYS, $544 ,N/A , N/A 
12,4850,TEXAS," $1,568 ",DALLAS COWBOYS," $1,173 ",N/A , N/A 
10,8224,TEXAS, $754 ,DALLAS COWBOYS, $938 ,N/A , N/A 
13,8259,TEXAS," $2,385 ",DALLAS COWBOYS, $455 ,N/A , N/A 
11,6439,TEXAS TECH, $811 ,DALLAS COWBOYS," $1,214 ",N/A , N/A 
13,6245,TEXAS," $1,928 ",DALLAS COWBOYS, $426 ,N/A , N/A 
11,8210,TCU," $1,364 ",DALLAS COWBOYS, $340 ,N/A , N/A 
6,6246,TEXAS, $836 ,DALLAS COWBOYS, $775 ,N/A , N/A 
11,8277,TCU," $1,893 ",DALLAS COWBOYS, $307 ,N/A , N/A 
12,8250,DALLAS COWBOYS," $1,435 ",TEXAS," $1,440 ",N/A , N/A 
12,8156,DALLAS COWBOYS," $1,105 ",TEXAS, $795 ,N/A , N/A 
12,8267,DALLAS COWBOYS," $1,548 ",TEXAS, $917 ,N/A , N/A 
13,6188,TEXAS," $2,370 ",TEXAS A&M, $785 ,N/A , N/A 
11,4948,ANGELO STATE ," $1,953 ",TEXAS TECH, $881 ,N/A , N/A 
6,6502,TEXAS, $668 ,UTEP, $674 ,N/A , N/A 
6,7676,TEXAS TECH," $2,355 ",W TEXAS A&M," $1,831 ",N/A , N/A 
6,8279,TEXAS, $990 ,TEXAS TECH, $-   ,N/A , N/A 
13,6259,DALLAS COWBOYS," $1,160 ",BAYLOR, $-   ,N/A, N/A 
13,6336,DALLAS COWBOYS," $1,004 ",BAYLOR, $-   ,N/A, N/A 
14,4906,DALLAS COWBOYS," $1,407 ",BAYLOR, $211 ,N/A, N/A 
12,6269,DALLAS COWBOYS," $1,495 ",BAYLOR, $-   ,N/A, N/A 
16,8295,ARKANSAS," $3,212 ",DALLAS COWBOYS, $316 ,N/A, N/A 
11,4905,N TEXAS," $2,204 ",DALLAS COWBOYS, $183 ,N/A, N/A 
13,4713,TEXAS A&M," $1,401 ",DALLAS COWBOYS, $-   ,N/A, N/A 
13,6453,TEXAS," $2,695 ",DALLAS COWBOYS, $327 ,N/A, N/A 
10,6350,OKLAHOMA," $1,391 ",DALLAS COWBOYS, $771 ,N/A, N/A 
35,6443,E CAROLINA," $2,096 ",DALLAS COWBOYS, $-   ,N/A, N/A 
12,4914,SAN ANTONIO SPURS, $741 ,DALLAS COWBOYS, $-   ,N/A, N/A 
14,6376,TEXAS," $1,236 ",DALLAS COWBOYS, $741 ,N/A, N/A 
14,6381,DALLAS COWBOYS, $943 ,N TEXAS, $-   ,N/A, N/A 
12,8264,DALLAS COWBOYS," $2,154 ",SAN ANTONIO SPURS, $834 ,N/A, N/A 
11,6781,DALLAS COWBOYS," $1,736 ",TCU, $278 ,N/A, N/A 
11,8268,DALLAS COWBOYS," $1,012 ",TCU, $428 ,N/A, N/A 
14,6372,DALLAS COWBOYS," $1,707 ",TEXAS, $-   ,N/A, N/A 
14,6265,DALLAS COWBOYS," $1,335 ",TEXAS, $406 ,N/A, N/A 
11,4742,TCU," $2,296 ",N/A, $-   ,N/A, N/A 
6,8280,DALLAS COWBOYS," $2,218 ",N/A, $-   ,N/A, N/A 
14,4783,DALLAS COWBOYS," $2,081 ",N/A, $-   ,N/A, N/A 
14,8299,DALLAS COWBOYS, $856 ,N/A, $-   ,N/A, N/A 
6,8153,UTEP," $1,891 ",N/A, $-   ,N/A, N/A 
12,8262,DALLAS COWBOYS," $1,868 ",N/A, $-   ,N/A, N/A 
11,8282,DALLAS COWBOYS," $1,388 ",N/A, $-   ,N/A, N/A 
14,8284,N/A, $-   ,N/A, $-   ,N/A, N/A 
14,8242,DALLAS COWBOYS," $1,578 ",N/A, $-   ,N/A, N/A 
12,8126,DALLAS COWBOYS," $1,201 ",N/A, $-   ,N/A, N/A 
11,8269,DALLAS COWBOYS," $1,599 ",N/A, $-   ,N/A, N/A 
15,6202,DALLAS COWBOYS, $870 ,N/A, $-   ,N/A, N/A 
11,8226,DALLAS COWBOYS," $1,518 ",N/A, $-   ,N/A, N/A 
14,4743,DALLAS COWBOYS," $1,235 ",N/A, $-   ,N/A, N/A 
14,6482,DALLAS COWBOYS," $2,074 ",N/A, $-   ,N/A, N/A 
14,6255,DALLAS COWBOYS," $1,044 ",N/A, $-   ,N/A, N/A 
14,8248,DALLAS COWBOYS," $1,188 ",N/A, $-   ,N/A, N/A 
22,8136,OHIO STATE," $2,764 ",DAYTON," $1,802 ",CENTRAL STATE, N/A 
5,4745,DENVER BRONCOS," $1,781 ",COLORADO," $1,213 ",DENVER NUGGETS," $1,290 "
3,6360,DENVER BRONCOS," $1,902 ",COLORADO, $475 ,N/A , N/A 
5,6219,AIR FORCE ACADEMY, $932 ,DENVER BRONCOS," $1,039 ",N/A , N/A 
7,8147,COLORADO STATE, $944 ,DENVER BRONCOS," $1,077 ",N/A , N/A 
5,4777,COLORADO, $853 ,DENVER BRONCOS, $559 ,N/A , N/A 
7,4987,DENVER BRONCOS," $1,755 ",COLORADO, $-   ,N/A, N/A 
5,6631,DENVER BRONCOS," $2,256 ",COLORADO, $184 ,N/A, N/A 
5,8272,DENVER BRONCOS," $1,377 ",COLORADO, $-   ,N/A, N/A 
5,6630,DENVER BRONCOS," $1,865 ",COLORADO, $-   ,N/A, N/A 
5,4816,DENVER BRONCOS," $1,620 ",COLORADO AVALANCHE, $681 ,N/A, N/A 
5,4853,COLORADO AVALANCHE," $1,341 ",DENVER BRONCOS," $1,658 ",N/A, N/A 
5,6632,DENVER BRONCOS," $1,756 ",DENVER NUGGETS, $293 ,N/A, N/A 
5,6635,DENVER BRONCOS," $2,689 ",DENVER NUGGETS," $1,102 ",N/A, N/A 
5,6549,DENVER BRONCOS," $2,490 ",DENVER NUGGETS," $1,206 ",N/A, N/A 
7,4770,DENVER BRONCOS," $1,486 ",N/A, $-   ,N/A, N/A 
25,6562,MICHIGAN ," $1,661 ",DETROIT LIONS, $-   ,N/A , N/A 
25,6419,MICHIGAN ," $1,023 ",DETROIT LIONS, $813 ,N/A , N/A 
26,6659,MICHIGAN ," $1,576 ",DETROIT LIONS," $2,601 ",N/A , N/A 
26,4778,DETROIT LIONS," $1,474 ",MICHIGAN , $-   ,N/A, N/A 
26,6662,DETROIT LIONS," $5,726 ",N/A, $-   ,N/A, N/A 
35,6216,E CAROLINA," $5,355 ",N/A, $-   ,N/A, N/A 
35,8218,FAYETTEVILLE STATE," $2,843 ",N CAROLINA, $780 ,N/A , N/A 
24,6361,FLORIDA STATE, $878 ,FLORIDA, $954 ,N/A , N/A 
24,8119,ALABAMA," $2,222 ",FLORIDA STATE," $1,071 ",N/A , N/A 
32,4991,FLORIDA STATE, $689 ,TAMPA BAY BUCCANEERS, $660 ,N/A , N/A 
31,6441,TAMPA BAY BUCCANEERS, $963 ,FLORIDA STATE, $-   ,N/A, N/A 
29,8151,FLORIDA STATE," $1,600 ",N/A, $-   ,N/A, N/A 
31,4998,TAMPA BAY BUCCANEERS," $1,077 ",FLORIDA, $-   ,N/A, N/A 
31,4794,TAMPA BAY BUCCANEERS," $1,979 ",FLORIDA, $315 ,N/A, N/A 
31,4818,TAMPA BAY BUCCANEERS," $1,774 ",FLORIDA, $-   ,N/A, N/A 
31,6335,FLORIDA," $1,175 ",TAMPA BAY BUCCANEERS, $528 ,N/A, N/A 
31,8155,FLORIDA," $6,443 ",N/A, $-   ,N/A, N/A 
29,8120,FLORIDA A&M," $5,270 ",FLORIDA STATE," $1,589 ",N/A , N/A 
36,6218,N/A, $-   ,N/A, $-   ,N/A, N/A 
32,8157,MIAMI DOLPHINS," $1,344 ",FLORIDA A&M, $-   ,N/A, N/A 
1,4704,FRESNO STATE," $6,944 ",N/A, $-   ,N/A, N/A 
29,6506,GEORGIA," $2,719 ",ALBANY STATE, $921 ,N/A , N/A 
28,4739,GEORGIA," $2,340 ",ATLANTA FALCONS," $1,114 ",N/A , N/A 
28,4804,GEORGIA," $2,834 ",ATLANTA FALCONS, $460 ,N/A , N/A 
28,4789,GEORGIA," $3,255 ",ATLANTA FALCONS, $636 ,N/A , N/A 
24,8213,GEORGIA," $4,534 ",CLARK ATLANTA, $-   ,N/A , N/A 
29,8253,FLORIDA STATE," $1,048 ",GEORGIA, $508 ,N/A , N/A 
28,8158,GEORGIA," $3,311 ",KENNESAW STATE, $309 ,N/A , N/A 
29,8202,GEORGIA," $1,677 ",ATLANTA FALCONS, $-   ,N/A, N/A 
28,4780,GEORGIA," $2,252 ",ATLANTA FALCONS, $234 ,N/A, N/A 
28,4802,GEORGIA," $2,279 ",ATLANTA FALCONS, $537 ,N/A, N/A 
28,8166,GEORGIA," $1,233 ",MOREHOUSE COLLEGE, $-   ,N/A, N/A 
28,8203,GEORGIA," $1,539 ",MOREHOUSE COLLEGE, $-   ,N/A, N/A 
28,6643,ATLANTA FALCONS, $-   ,SPELMAN, $852 ,N/A, N/A 
24,6509,GEORGIA," $3,677 ",N/A, $-   ,N/A, N/A 
28,6644,GEORGIA," $4,232 ",N/A, $-   ,N/A, N/A 
28,8225,GEORGIA," $4,553 ",N/A, $-   ,N/A, N/A 
29,6204,GEORGIA," $3,999 ",N/A, $-   ,N/A, N/A 
28,6646,GEORGIA," $2,657 ",N/A, $-   ,N/A, N/A 
29,8115,GEORGIA," $4,915 ",N/A, $-   ,N/A, N/A 
28,8211,N/A, $-   ,N/A, $-   ,N/A, N/A 
29,7658,GEORGIA," $3,900 ",N/A, $-   ,N/A, N/A 
28,8194,GEORGIA," $5,550 ",N/A, $-   ,N/A, N/A 
17,8237,GRAMBLING STATE," $1,493 ",LOUISIANA-MONROE," $1,042 ",N/A , N/A 
18,8167,MILWAUKEE BUCKS," $1,108 ",GREEN BAY PACKERS," $1,663 ",WISCONSIN, $240 
18,6535,GREEN BAY PACKERS," $2,758 ",WISCONSIN," $1,278 ",MILWAUKEE BUCKS, $930 
18,8164,GREEN BAY PACKERS," $2,931 ",MILWAUKEE BUCKS," $1,757 ",N/A, N/A 
18,6324,GREEN BAY PACKERS," $1,539 ",WISCONSIN, $396 ,N/A, N/A 
20,6331,GREEN BAY PACKERS," $1,269 ",WISCONSIN, $512 ,N/A, N/A 
18,8149,GREEN BAY PACKERS," $4,012 ",N/A, $-   ,N/A, N/A 
34,6351,HAMPTON," $1,834 ",DALLAS COWBOYS, $-   ,N/A, N/A 
1,4755,HAWAII," $2,441 ",N/A, $-   ,N/A, N/A 
1,6410,HAWAII," $1,863 ",N/A, $-   ,N/A, N/A 
15,4702,HOUSTON TEXANS," $1,336 ",HOUSTON, $420 ,N/A , N/A 
15,4764,TEXAS A&M, $825 ,HOUSTON TEXANS, $788 ,N/A , N/A 
13,6367,HOUSTON TEXANS," $1,339 ",TEXAS, $722 ,N/A , N/A 
15,8275,HOUSTON TEXANS, $951 ,DALLAS COWBOYS, $333 ,N/A, N/A 
15,8281,HOUSTON TEXANS," $2,007 ",HOUSTON ROCKETS, $742 ,N/A, N/A 
15,8244,HOUSTON ROCKETS, $881 ,HOUSTON TEXANS," $1,207 ",N/A, N/A 
15,8246,HOUSTON ROCKETS, $144 ,HOUSTON TEXANS, $-   ,N/A, N/A 
13,6421,HOUSTON TEXANS," $1,655 ",PRAIRIE VIEW A&M, $-   ,N/A, N/A 
15,4843,HOUSTON TEXANS," $1,195 ",TEXAS, $650 ,N/A, N/A 
13,8245,HOUSTON TEXANS," $1,307 ",N/A, $-   ,N/A, N/A 
15,4763,HOUSTON TEXANS," $1,051 ",N/A, $-   ,N/A, N/A 
15,6867,HOUSTON TEXANS, $968 ,N/A, $-   ,N/A, N/A 
15,8190,HOUSTON TEXANS," $1,089 ",TEXAS A&M, CLUB REQUEST ,N/A, N/A 
15,4712,HOUSTON TEXANS," $1,043 ",HOUSTON ROCKETS, $320 ,TEXAS SOUTHERN, N/A 
38,6434,HOWARD," $1,390 ",BOWIE STATE, $131 ,N/A, N/A 
38,6653,MARYLAND," $1,995 ",BALTIMORE RAVENS, $-   ,HOWARD, N/A 
21,8197,ILLINOIS," $5,557 ",N/A, $-   ,N/A, N/A 
22,8123,INDIANA," $2,104 ",KENTUCKY, $381 ,N/A , N/A 
21,6437,INDIANA," $5,872 ",N/A , $-   ,N/A , N/A 
21,6325,INDIANA," $2,169 ",INDIANA PACERS," $1,319 ",INDIANAPOLIS COLTS, $831 
21,8168,INDIANA," $2,505 ",INDIANAPOLIS COLTS, $246 ,INDIANA PACERS," $1,155 "
22,4851,LOUISVILLE," $2,524 ",INDIANA, $798 ,N/A , N/A 
21,8135,INDIANA STATE, $968 ,INDIANAPOLIS COLTS, $838 ,N/A , N/A 
21,6304,INDIANAPOLIS COLTS, $836 ,N/A , $-   ,N/A , N/A 
21,4926,INDIANA," $2,107 ",INDIANAPOLIS COLTS, $-   ,N/A , N/A 
25,6313,N/A, $-   ,N/A, $-   ,N/A, N/A 
22,8111,LOUISVILLE," $3,698 ",KENTUCKY, $118 ,KENTUCKY STATE, N/A 
8,8238,IOWA," $2,136 ",CHICAGO BEARS, $433 ,N/A , N/A 
8,6344,IOWA," $2,316 ",IOWA STATE," $2,078 ",N/A , N/A 
8,6979,IOWA," $4,651 ",IOWA STATE," $4,275 ",N/A , N/A 
8,4973,IOWA," $1,482 ",KANSAS CITY CHIEFS, $915 ,N/A , N/A 
8,6472,IOWA," $2,049 ",KANSAS CITY CHIEFS, $483 ,N/A , N/A 
8,8162,IOWA," $3,237 ",N/A, $-   ,N/A, N/A 
17,4790,JACKSON STATE," $3,699 ",MISSISSIPPI STATE," $1,290 ",N/A , N/A 
29,6363,JACKSONVILLE JAGUARS," $2,236 ",FLORIDA," $1,128 ",N/A , N/A 
29,8116,JACKSONVILLE JAGUARS," $1,330 ",FLORIDA STATE, $635 ,N/A , N/A 
36,8138,BETHUNE-COOKMAN," $2,060 ",JACKSONVILLE JAGUARS, $-   ,N/A, N/A 
32,8141,N/A, $-   ,N/A, $-   ,N/A, N/A 
30,6540,N CAROLINA CHARLOTTE, $994 ,JOHNSON C SMITH, $727 ,N/A , N/A 
19,8182,KANSAS CITY CHIEFS," $1,464 ",MIZZOU," $1,231 ",ST. LOUIS BLUES, $898 
19,6479,KANSAS CITY CHIEFS," $1,737 ",SOUTHEAST MISSOURI , $43 ,ST. LOUIS BLUES," $1,259 "
19,8205,ST. LOUIS BLUES," $2,546 ",MIZZOU," $1,973 ",KANSAS CITY CHIEFS," $1,108 "
19,4741,ST. LOUIS BLUES, $982 ,KANSAS CITY CHIEFS," $1,731 ",MIZZOU," $1,100 "
19,4875,ST. LOUIS BLUES," $1,603 ",KANSAS CITY CHIEFS," $2,105 ",MIZZOU," $1,327 "
9,8254,KANSAS CITY CHIEFS," $1,566 ",OKLAHOMA, $-   ,WICHITA STATE, $767 
24,4871,MISSISSIPPI STATE," $1,383 ",ALABAMA, $993 ,N/A , N/A 
9,8208,KANSAS CITY CHIEFS," $5,303 ",KANSAS," $1,510 ",N/A , N/A 
9,8176,KANSAS CITY CHIEFS," $4,876 ",KANSAS," $1,266 ",N/A , N/A 
8,6432,IOWA," $1,505 ",KANSAS CITY CHIEFS," $1,473 ",N/A , N/A 
