Store #,Install Date
47,8/28/2022
125,8/28/2022
425,8/28/2022
494,8/28/2022
1039,8/28/2022
1168,8/28/2022
1271,8/28/2022
1293,8/28/2022
1300,8/28/2022
1350,8/28/2022
1379,8/28/2022
1687,8/28/2022
1695,8/28/2022
1816,8/28/2022
1994,8/28/2022
2063,8/28/2022
2120,8/28/2022
2151,8/28/2022
2208,8/28/2022
2424,8/28/2022
2664,8/28/2022
3291,8/28/2022
3741,8/28/2022
3772,8/28/2022
3884,8/28/2022
4250,8/28/2022
4669,8/28/2022
6395,8/28/2022
622,8/29/2022
691,8/29/2022
868,8/29/2022
915,8/29/2022
1080,8/29/2022
1196,8/29/2022
1197,8/29/2022
1296,8/29/2022
1482,8/29/2022
1636,8/29/2022
1807,8/29/2022
2225,8/29/2022
2278,8/29/2022
2300,8/29/2022
2445,8/29/2022
2522,8/29/2022
2644,8/29/2022
2693,8/29/2022
2694,8/29/2022
2830,8/29/2022
2855,8/29/2022
3224,8/29/2022
3292,8/29/2022
3409,8/29/2022
4193,8/29/2022
5056,8/29/2022
5066,8/29/2022
5242,8/29/2022
5251,8/29/2022
5384,8/29/2022
5439,8/29/2022
5471,8/29/2022
5780,8/29/2022
5923,8/29/2022
7298,8/29/2022
292,8/30/2022
488,8/30/2022
563,8/30/2022
1086,8/30/2022
1182,8/30/2022
1457,8/30/2022
1774,8/30/2022
2888,8/30/2022
3119,8/30/2022
3770,8/30/2022
4264,8/30/2022
4474,8/30/2022
5178,8/30/2022
5759,8/30/2022
1408,8/31/2022
1906,8/31/2022
2262,8/31/2022
2326,8/31/2022
2659,8/31/2022
2897,8/31/2022
3013,8/31/2022
3235,8/31/2022
3591,8/31/2022
4048,8/31/2022
4334,8/31/2022
4563,8/31/2022
5097,8/31/2022
7247,8/31/2022
542,9/1/2022
858,9/1/2022
1029,9/1/2022
1614,9/1/2022
2391,9/1/2022
2518,9/1/2022
2603,9/1/2022
3303,9/1/2022
3549,9/1/2022
4611,9/1/2022
5808,9/1/2022
5826,9/1/2022
5925,9/1/2022
6967,9/1/2022
850,8/30/2022
969,8/30/2022
2563,8/30/2022
4527,8/30/2022
144,8/30/2022
