Store #,Store Type,Shipping City,State,Zip Code,Tier Name,Article #
303,Supercenter,Holly Springs,MS,38635,Tier 03,100673607
304,Supercenter,Springfield,TN,37172,Tier 02 ,100673606
305,Supercenter,Carthage,MS,39051,Tier 01 ,100673605
306,Supercenter,Arab,AL,35016,Tier 04,100673608
307,Supercenter,Westmonroe,LA,71291,Tier 03,100673607
308,Supercenter,Manchester,TN,37355,Tier 02 ,100673606
309,Supercenter,Abbeville,LA,70510,Tier 05,100673609
310,Supercenter,Crowley,LA,70526,Tier 05,100673609
311,Wal-Mart,Franklin,LA,70538,Tier 05,100673609
312,Supercenter,Ville Platte,LA,70586,Tier 05,100673609
313,Supercenter,High Ridge,MO,63049,Tier 04,100673608
314,Supercenter,Fayetteville,TN,37334,Tier 02 ,100673606
315,Supercenter,Oneonta,AL,35121,Tier 01 ,100673605
316,Supercenter,Attalla,AL,35954,Tier 01 ,100673605
317,Supercenter,Vandalia,IL,62471,Tier 01 ,100673605
318,Supercenter,Arkadelphia,AR,71923,Tier 03,100673607
319,Supercenter,Raymore,MO,64083,Tier 05,100673609
320,Wal-Mart,Marlin,TX,76661,Tier 03,100673607
321,Supercenter,Brenham,TX,77833,Tier 03,100673607
322,Supercenter,Bryan,TX,77802,Tier 03,100673607
323,Supercenter,Mansfield,LA,71052,Tier 05,100673609
324,Supercenter,Bristow,OK,74010,Tier 03,100673607
325,Supercenter,Richmond,MO,64085,Tier 05,100673609
326,Wal-Mart,Higginsville,MO,64037,Tier 05,100673609
328,Supercenter,Waterloo,IL,62298,Tier 04,100673608
329,Supercenter,Anniston,AL,36206,Tier 01 ,100673605
330,Supercenter,Victoria,TX,77904,Tier 03,100673607
331,Supercenter,Sulphur,LA,70663,Tier 05,100673609
332,Supercenter,Huntsville,AL,35806,Tier 04,100673608
333,Supercenter,Beaver Dam,KY,42320,Tier 04,100673608
334,Supercenter,Carlinville,IL,62626,Tier 01 ,100673605
335,Supercenter,Jackson,TN,38305,Tier 03,100673607
336,Supercenter,Sheridan,AR,72150,Tier 03,100673607
337,Supercenter,Fredericktown,MO,63645,Tier 05,100673609
338,Supercenter,Lamar,MO,64759,Tier 05,100673609
339,Wal-Mart,Fordyce,AR,71742,Tier 04,100673608
340,Supercenter,Checotah,OK,74426,Tier 03,100673607
341,Supercenter,Marysville,KS,66508,Tier 05,100673609
342,Supercenter,Hiawatha,KS,66434,Tier 05,100673609
343,Supercenter,Taylorville,IL,62568,Tier 01 ,100673605
344,Supercenter,El Campo,TX,77437,Tier 05,100673609
345,Supercenter,Palestine,TX,75801,Tier 04,100673608
346,Supercenter,Augusta,KS,67010,Tier 05,100673609
347,Supercenter,Indianola,MS,38751,Tier 03,100673607
348,Supercenter,Monticello,AR,71655,Tier 03,100673607
350,Supercenter,York,NE,68467,Tier 05,100673609
351,Supercenter,Tomball,TX,77375,Tier 04,100673608
352,Wal-Mart,Chester,IL,62233,Tier 05,100673609
353,Supercenter,Graham,TX,76450,Tier 05,100673609
354,Supercenter,Owensville,MO,65066,Tier 05,100673609
355,Supercenter,Opelika,AL,36801,Tier 01 ,100673605
356,Supercenter,Auburn,AL,36832,Tier 01 ,100673605
357,Supercenter,Versailles,MO,65084,Tier 05,100673609
358,Supercenter,Alma,AR,72921,Tier 03,100673607
359,Supercenter,Fayetteville,AR,72703,Tier 03,100673607
360,Supercenter,Cushing,OK,74023,Tier 05,100673609
361,Supercenter,Collinsville,IL,62234,Tier 03,100673607
362,Supercenter,Winfield,AL,35594,Tier 02 ,100673606
363,Supercenter,Marshall,MO,65340,Tier 05,100673609
364,Supercenter,Center,TX,75935,Tier 04,100673608
365,Supercenter,Pearl,MS,39208,Tier 01 ,100673605
366,Supercenter,Madisonville,TN,37354,Tier 02 ,100673606
368,Supercenter,Parsons,KS,67357,Tier 05,100673609
369,Supercenter,Winfield,KS,67156,Tier 05,100673609
370,Supercenter,Wellington,KS,67152,Tier 05,100673609
371,Supercenter,Granbury,TX,76048,Tier 04,100673608
372,Supercenter,Dodge City,KS,67801,Tier 05,100673609
373,Supercenter,Huntsville,AR,72740,Tier 04,100673608
374,Supercenter,Coweta,OK,74429,Tier 03,100673607
375,Supercenter,Huntsville,AL,35801,Tier 04,100673608
376,Supercenter,Bossier City,LA,71111,Tier 03,100673607
377,Neighborhood Market,Sumter,SC,29150,Tier 04,100673608
378,Supercenter,Holton,KS,66436,Tier 05,100673609
379,Supercenter,Ozark,MO,65721,Tier 05,100673609
381,Supercenter,Copperas Cove,TX,76522,Tier 03,100673607
382,Supercenter,Ottawa,KS,66067,Tier 05,100673609
383,Supercenter,Silsbee,TX,77656,Tier 04,100673608
384,Supercenter,Lumberton,TX,77657,Tier 04,100673608
385,Wal-Mart,Cuero,TX,77954,Tier 03,100673607
386,Supercenter,Jennings,LA,70546,Tier 05,100673609
387,Supercenter,Chandler,OK,74834,Tier 05,100673609
388,Supercenter,Fort Smith,AR,72904,Tier 03,100673607
389,Supercenter,Edmond,OK,73034,Tier 03,100673607
390,Supercenter,Waverly,TN,37185,Tier 03,100673607
391,Supercenter,Tupelo,MS,38801,Tier 03,100673607
392,Supercenter,Weatherford,OK,73096,Tier 03,100673607
393,Supercenter,Jackson,TN,38301,Tier 03,100673607
394,Supercenter,Moulton,AL,35650,Tier 02 ,100673606
395,Supercenter,Mission,TX,78572,Tier 03,100673607
396,Supercenter,Anderson,SC,29621,Tier 03,100673607
397,Supercenter,McAllen,TX,78503,Tier 03,100673607
398,Supercenter,Longview,TX,75605,Tier 03,100673607
399,Supercenter,Longview,TX,75604,Tier 04,100673608
400,Supercenter,Conroe,TX,77304,Tier 03,100673607
401,Supercenter,Plaquemine,LA,70764,Tier 05,100673609
402,Supercenter,Breaux Bridge,LA,70517,Tier 05,100673609
403,Supercenter,Russellville,AL,35653,Tier 02 ,100673606
404,Supercenter,San Marcos,TX,78666,Tier 03,100673607
405,Supercenter,Leesville,LA,71446,Tier 05,100673609
406,Supercenter,Smyrna,TN,37167,Tier 02 ,100673606
407,Supercenter,Killeen,TX,76542,Tier 04,100673608
408,Supercenter,Port Arthur,TX,77640,Tier 04,100673608
409,Supercenter,Haleyville,AL,35565,Tier 02 ,100673606
410,Supercenter,Murray,KY,42071,Tier 03,100673607
411,Wal-Mart,Houston,MS,38851,Tier 01 ,100673605
412,Supercenter,Athens,TX,75751,Tier 04,100673608
413,Supercenter,Port Isabel,TX,78578,Tier 03,100673607
414,Supercenter,Wichita Falls,TX,76302,Tier 05,100673609
415,Supercenter,Broussard,LA,70518,Tier 05,100673609
416,Supercenter,Murfreesboro,TN,37127,Tier 03,100673607
417,Supercenter,Sulphur Springs,TX,75482,Tier 04,100673608
418,Supercenter,Fairbury,NE,68352,Tier 05,100673609
419,Supercenter,Pratt,KS,67124,Tier 05,100673609
420,Supercenter,Wichita Falls,TX,76306,Tier 05,100673609
421,Supercenter,Decatur,TX,76234,Tier 03,100673607
422,Supercenter,Robinson,IL,62454,Tier 05,100673609
423,Supercenter,Alabaster,AL,35007,Tier 02 ,100673606
424,Supercenter,Clanton,AL,35045,Tier 01 ,100673605
425,Supercenter,Brent,AL,35034,Tier 01 ,100673605
426,Supercenter,The Colony,TX,75056,Tier 03,100673607
427,Supercenter,Greenville,TX,75402,Tier 03,100673607
428,Supercenter,Zachary,LA,70791,Tier 05,100673609
429,Supercenter,Edinburg,TX,78539,Tier 03,100673607
430,Supercenter,Mayfield,KY,42066,Tier 03,100673607
431,Supercenter,Paducah,KY,42003,Tier 05,100673609
432,Supercenter,Talladega,AL,35160,Tier 01 ,100673605
433,Supercenter,Huntsville,AL,35810,Tier 04,100673608
434,Supercenter,Huntsville,AL,35803,Tier 04,100673608
435,Supercenter,Highland,IL,62249,Tier 05,100673609
436,Supercenter,Carlye,IL,62231,Tier 04,100673608
437,Supercenter,Sealy,TX,77474,Tier 04,100673608
438,Supercenter,Breckenridge,TX,76424,Tier 05,100673609
440,Supercenter,Rockport,TX,78382,Tier 03,100673607
442,Supercenter,Kingsville,TX,78363,Tier 03,100673607
443,Supercenter,Hondo,TX,78861,Tier 03,100673607
444,Supercenter,Springfield,MO,65807,Tier 05,100673609
445,Supercenter,Leitchfield,KY,42754,Tier 04,100673608
446,Wal-Mart,Madisonville,TX,77864,Tier 03,100673607
447,Supercenter,Del Rio,TX,78840,Tier 03,100673607
448,Supercenter,Shreveport,LA,71129,Tier 04,100673608
449,Supercenter,Port Arthur,TX,77642,Tier 04,100673608
450,Supercenter,Shreveport,LA,71118,Tier 03,100673607
451,Supercenter,Columbia,MO,65201,Tier 04,100673608
452,Supercenter,McAllen,TX,78504,Tier 03,100673607
453,Wal-Mart,Malden,MO,63863,Tier 05,100673609
454,Supercenter,Fairfield,IL,62837,Tier 05,100673609
456,Supercenter,Brownsville,TX,78520,Tier 03,100673607
457,Supercenter,Vidor,TX,77662,Tier 04,100673608
458,Supercenter,Aransas Pass,TX,78336,Tier 03,100673607
459,Supercenter,Covington,GA,30014,Tier 01 ,100673605
461,Supercenter,Eagle Pass,TX,78852,Tier 05,100673609
462,Supercenter,Alvin,TX,77511,Tier 03,100673607
463,Supercenter,Beeville,TX,78102,Tier 03,100673607
464,Supercenter,Corpus Christi,TX,78410,Tier 03,100673607
465,Supercenter,Floresville,TX,78114,Tier 03,100673607
466,Supercenter,Bolivar,TN,38008,Tier 03,100673607
467,Supercenter,Denton,TX,76205,Tier 03,100673607
468,Supercenter,Texarkana,AR,71854,Tier 03,100673607
469,Supercenter,Lake Charles,LA,70607,Tier 04,100673608
470,Supercenter,Corpus Christi,TX,78416,Tier 03,100673607
471,Supercenter,Lancaster,TX,75146,Tier 03,100673607
472,Supercenter,Broken Arrow,OK,74012,Tier 03,100673607
473,Wal-Mart,Giddings,TX,78942,Tier 03,100673607
475,Supercenter,Round Rock,TX,78664,Tier 03,100673607
476,Supercenter,Gatesville,TX,76528,Tier 03,100673607
477,Supercenter,Soddy Daisy,TN,37379,Tier 04,100673608
478,Wal-Mart,Pearsall,TX,78061,Tier 03,100673607
479,Supercenter,Altus,OK,73521,Tier 05,100673609
480,Wal-Mart,Pittsfield,IL,62363,Tier 04,100673608
481,Supercenter,Mattoon,IL,61938,Tier 05,100673609
482,Wal-Mart,West Columbia,TX,77486,Tier 04,100673608
483,Supercenter,Prattville,AL,36066,Tier 02 ,100673606
484,Supercenter,Lawrence,KS,66046,Tier 05,100673609
485,Supercenter,Donaldsonville,LA,70346,Tier 05,100673609
486,Supercenter,Bonner Springs,KS,66012,Tier 05,100673609
488,Supercenter,Quincy,FL,32351,Tier 01 ,100673605
489,Supercenter,Hammond,LA,70401,Tier 04,100673608
490,Supercenter,Corpus Christi,TX,78418,Tier 03,100673607
491,Supercenter,Paducah,KY,42001,Tier 05,100673609
492,Supercenter,Vincennes,IN,47591,Tier 05,100673609
493,Supercenter,Paris,KY,40361,Tier 05,100673609
494,Supercenter,Newnan,GA,30265,Tier 01 ,100673605
