Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
14,Same Day,18:00-06:00,Same Day,16:00-04:00,
19,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
21,Same Day,18:00-06:00,Same Day,16:00-04:00,
25,Same Day,18:00-06:00,Same Day,16:00-04:00,
27,Same Day,18:00-07:00,Same Day,16:00-04:00,
29,Same Day,18:00-06:00,Same Day,16:00-04:00,
33,Same Day,18:00-07:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
36,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
37,Same Day,18:00-06:00,Same Day,16:00-04:00,
40,Same Day,18:00-06:00,Same Day,16:00-04:00,
51,Same Day,18:00-07:00,Same Day,16:00-04:00,
60,Same Day,18:00-06:00,Same Day,16:00-04:00,
61,Same Day,18:00-06:00,Same Day,16:00-04:00,
62,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
64,Same Day,18:00-07:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
65,Same Day,18:00-06:00,Same Day,16:00-04:00,
67,Same Day,16:00-04:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
68,Same Day,18:00-07:00,Same Day,16:00-04:00,
69,Same Day,18:00-04:00,Same Day,16:00-04:00,
70,Same Day,18:00-06:00,Same Day,16:00-04:00,
74,Same Day,18:00-07:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
78,Same Day,18:00-06:00,Same Day,16:00-04:00,
80,Same Day,18:00-21:00,Same Day,16:00-20:00,
82,Same Day,18:00-06:00,Same Day,16:00-04:00,
88,Same Day,18:00-07:00,Same Day,16:00-04:00,
89,Same Day,18:00-06:00,Same Day,16:00-04:00,
91,Same Day,18:00-07:00,Same Day,16:00-04:00,
93,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 9, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
