Store Number,PO Number,Requested Arrival,Carrier Name,Pro Number,Shipped Date,ETA Date
1004,40350307,07/31/2025,CENTRAL TRANSPORT INC,909206661,07/14/2025,07/17/2025
1058,40350317,07/31/2025,CENTRAL TRANSPORT INC,909207141,07/14/2025,07/17/2025
1081,40350320,07/31/2025,CENTRAL TRANSPORT INC,909206942,07/14/2025,07/17/2025
1087,40350323,07/31/2025,CENTRAL TRANSPORT INC,909207117,07/14/2025,07/17/2025
1155,40350328,07/31/2025,CENTRAL TRANSPORT INC,909207508,07/14/2025,07/16/2025
1204,40350338,07/31/2025,CENTRAL TRANSPORT INC,909207443,07/14/2025,07/17/2025
1231,40350343,07/31/2025,CENTRAL TRANSPORT INC,909206880,07/14/2025,07/17/2025
1242,40350346,07/31/2025,CENTRAL TRANSPORT INC,909206834,07/14/2025,07/16/2025
1252,40350348,07/31/2025,CENTRAL TRANSPORT INC,909206686,07/14/2025,07/17/2025
1273,40350351,07/31/2025,CENTRAL TRANSPORT INC,909206778,07/14/2025,07/17/2025
1298,40350353,07/31/2025,CENTRAL TRANSPORT INC,909206801,07/14/2025,07/16/2025
1353,40350357,07/31/2025,CENTRAL TRANSPORT INC,909206964,07/14/2025,07/16/2025
1379,40350362,07/31/2025,CENTRAL TRANSPORT INC,909207607,07/14/2025,07/16/2025
1392,40350367,07/31/2025,CENTRAL TRANSPORT INC,909207550,07/14/2025,07/16/2025
1397,40350369,07/31/2025,CENTRAL TRANSPORT INC,909206702,07/14/2025,07/17/2025
1464,40350385,07/31/2025,CENTRAL TRANSPORT INC,909207503,07/14/2025,07/16/2025
1488,40350387,07/31/2025,CENTRAL TRANSPORT INC,909207575,07/14/2025,07/16/2025
1559,40350400,07/31/2025,CENTRAL TRANSPORT INC,909206993,07/14/2025,07/19/2025
1560,40350401,07/31/2025,CENTRAL TRANSPORT INC,909206974,07/14/2025,07/19/2025
1563,40350403,07/31/2025,CENTRAL TRANSPORT INC,909206990,07/14/2025,07/18/2025
1584,40350408,07/31/2025,CENTRAL TRANSPORT INC,909206986,07/14/2025,07/19/2025
1585,40350409,07/31/2025,CENTRAL TRANSPORT INC,909207474,07/14/2025,07/17/2025
1659,40350423,07/31/2025,CENTRAL TRANSPORT INC,909207366,07/14/2025,07/17/2025
1660,40350424,07/31/2025,CENTRAL TRANSPORT INC,909207108,07/14/2025,07/18/2025
1689,40350429,07/31/2025,CENTRAL TRANSPORT INC,909206730,07/14/2025,07/17/2025
1788,40350452,07/31/2025,CENTRAL TRANSPORT INC,909207561,07/14/2025,07/17/2025
1856,40350473,07/31/2025,CENTRAL TRANSPORT INC,909207580,07/14/2025,07/17/2025
1868,40350478,07/31/2025,CENTRAL TRANSPORT INC,909207560,07/14/2025,07/17/2025
1891,40350484,07/31/2025,CENTRAL TRANSPORT INC,909206671,07/14/2025,07/17/2025
2005,40350516,07/31/2025,CENTRAL TRANSPORT INC,909207512,07/14/2025,07/16/2025
2046,40350529,07/31/2025,CENTRAL TRANSPORT INC,909207487,07/14/2025,07/17/2025
2106,40350546,07/31/2025,CENTRAL TRANSPORT INC,909206721,07/14/2025,07/19/2025
2125,40350555,07/31/2025,CENTRAL TRANSPORT INC,909206822,07/14/2025,07/17/2025
2163,40350563,07/31/2025,CENTRAL TRANSPORT INC,909206758,07/14/2025,07/16/2025
2223,40350579,07/31/2025,CENTRAL TRANSPORT INC,909207532,07/14/2025,07/17/2025
2282,40350601,07/31/2025,CENTRAL TRANSPORT INC,909206627,07/14/2025,07/17/2025
23,40350607,07/31/2025,CENTRAL TRANSPORT INC,909206776,07/14/2025,07/16/2025
2483,40350638,07/31/2025,CENTRAL TRANSPORT INC,909206989,07/14/2025,07/19/2025
2585,40350678,07/31/2025,CENTRAL TRANSPORT INC,909206677,07/14/2025,07/16/2025
2592,40350681,07/31/2025,CENTRAL TRANSPORT INC,909206793,07/14/2025,07/19/2025
2593,40350682,07/31/2025,CENTRAL TRANSPORT INC,909206966,07/14/2025,07/19/2025
2706,40350723,07/31/2025,CENTRAL TRANSPORT INC,909206634,07/14/2025,07/16/2025
2719,40350729,07/31/2025,CENTRAL TRANSPORT INC,909207055,07/14/2025,07/17/2025
2729,40350731,07/31/2025,CENTRAL TRANSPORT INC,909206672,07/14/2025,07/17/2025
2751,40350734,07/31/2025,CENTRAL TRANSPORT INC,909206883,07/14/2025,07/17/2025
2838,40350752,07/31/2025,CENTRAL TRANSPORT INC,909206956,07/14/2025,07/19/2025
2854,40350756,07/31/2025,CENTRAL TRANSPORT INC,909207019,07/14/2025,07/17/2025
2884,40350763,07/31/2025,CENTRAL TRANSPORT INC,909206699,07/14/2025,07/19/2025
2924,40350777,07/31/2025,CENTRAL TRANSPORT INC,909207358,07/14/2025,07/17/2025
2950,40350781,07/31/2025,CENTRAL TRANSPORT INC,909207388,07/14/2025,07/18/2025
3259,40350816,07/31/2025,CENTRAL TRANSPORT INC,909206650,07/14/2025,07/17/2025
3313,40350827,07/31/2025,CENTRAL TRANSPORT INC,909206728,07/14/2025,07/17/2025
3350,40350831,07/31/2025,CENTRAL TRANSPORT INC,909206657,07/14/2025,07/19/2025
3351,40350832,07/31/2025,CENTRAL TRANSPORT INC,909206641,07/14/2025,07/19/2025
