Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
45,5,827,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202314,68.40%,100.00%,8.8,43.80%,85.70%,71.40%,76.90%
51,5,3406,ROADIE,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202314,87.50%,95.80%,9.1,93.30%,85.30%,85.80%,84.20%
51,5,3406,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202314,90.40%,96.40%,10,93.20%,86.30%,89.90%,92.30%
53,5,2427,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202314,72.50%,90.20%,8.1,80.00%,70.00%,44.40%,90.90%
55,5,260,POINTPICKUP,Scheduled Standard Delivery,37,Executive Review,-,Driver Supply Focus,202314,66.70%,100.00%,5.1,,,,66.70%
345,44,823,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202314,71.40%,96.50%,10,59.30%,74.20%,81.60%,74.20%
66,13,777,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202314,89.60%,97.40%,9.1,94.70%,91.30%,83.30%,88.20%
134,13,170,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202314,84.20%,96.80%,9.4,78.30%,83.60%,88.00%,88.70%
503,6,364,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202314,85.90%,98.00%,7.7,85.90%,98.00%,87.50%,74.60%
78,6,791,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202314,86.50%,99.60%,5.3,93.20%,86.80%,81.40%,84.30%
82,5,5317,UBER,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202314,90.70%,98.90%,9.4,91.80%,90.50%,93.90%,87.90%
83,5,77,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202314,85.00%,97.30%,6,91.70%,83.60%,86.20%,78.70%
86,6,999,POINTPICKUP,Scheduled Standard Delivery,29,Executive Review,Recovering,Driver Supply Focus,202314,72.70%,100.00%,6.3,100.00%,0.00%,50.00%,100.00%
371,46,5768,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202314,86.80%,95.70%,8.7,87.70%,84.00%,87.80%,87.80%
375,46,2656,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202314,85.00%,88.80%,8.6,79.60%,88.00%,86.60%,87.30%
242,41,1053,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202314,70.00%,91.30%,9.8,73.70%,75.00%,50.00%,81.80%
253,41,736,ROADIE,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202314,78.30%,98.30%,6.6,50.00%,94.70%,73.30%,81.30%
256,41,445,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202314,78.20%,96.80%,8.8,87.50%,77.80%,84.40%,53.80%
258,41,1247,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202314,89.00%,96.60%,9.8,91.30%,91.10%,86.90%,86.80%
260,41,720,POINTPICKUP,Scheduled Standard Delivery,46,Executive Review,Degrading,Driver Supply Focus,202314,79.10%,94.40%,8.7,69.70%,71.70%,84.80%,82.50%
200,19,2567,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202314,92.40%,96.70%,9,94.00%,94.50%,89.60%,91.50%
201,19,5065,SPARK,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202314,92.20%,89.60%,7,94.70%,93.70%,91.10%,89.40%
202,19,5411,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202314,89.10%,94.30%,7,89.20%,87.60%,91.60%,88.10%
213,19,1445,ROADIE,Scheduled Standard Delivery,26,Executive Review,-,Driver Supply Focus,202314,75.00%,100.00%,5.4,,,,75.00%
213,19,1445,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202314,70.90%,98.90%,4.7,73.70%,89.70%,64.30%,30.00%
246,21,2491,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202314,90.30%,90.40%,9.9,90.30%,94.60%,91.10%,86.20%
246,21,3255,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202314,90.30%,90.20%,9.8,92.10%,89.90%,90.30%,88.40%
270,25,1211,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202314,86.10%,97.30%,5.6,80.90%,89.60%,87.70%,85.70%
275,25,200,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202314,94.30%,96.10%,9.1,96.40%,92.20%,98.40%,88.80%
279,25,796,SPARK,Scheduled Standard Delivery,35,Executive Review,Recovering,Driver Supply Focus,202314,92.50%,96.80%,10,94.90%,94.70%,91.00%,89.50%
208,20,1948,ROADIE,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202314,80.00%,99.30%,7.7,78.40%,80.00%,70.40%,88.90%
208,20,1948,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202314,93.20%,98.70%,8.1,94.00%,96.90%,96.60%,85.20%
209,20,5387,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202314,90.10%,93.40%,7.7,94.40%,90.50%,87.00%,87.80%
227,20,2603,SPARK,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,202314,87.80%,98.20%,5.1,83.80%,88.50%,85.60%,93.90%
227,20,5040,SPARK,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,202314,79.20%,93.00%,7.8,74.30%,83.70%,75.60%,83.10%
227,20,5088,SPARK,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202314,91.00%,97.30%,7.9,94.60%,85.90%,93.40%,90.30%
229,20,2287,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202314,85.90%,97.00%,9.5,86.20%,85.20%,84.30%,87.90%
311,20,3270,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202314,93.00%,99.80%,6.9,94.00%,93.90%,97.00%,87.60%
316,20,2576,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202314,23.10%,92.90%,8.5,50.00%,0.00%,25.00%,0.00%
317,20,1351,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202314,86.70%,100.00%,5.9,83.30%,,,88.90%
335,40,37,POINTPICKUP,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202314,92.30%,97.40%,5.7,100.00%,100.00%,90.90%,75.00%
339,40,1021,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202314,89.60%,94.40%,10,89.70%,95.10%,88.60%,85.30%
425,53,1657,SPARK,Scheduled Standard Delivery,31,Executive Review,Recovering,Driver Supply Focus,202314,88.80%,94.40%,8,91.60%,79.60%,91.50%,91.70%
436,53,2421,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202314,69.20%,99.30%,4.8,65.70%,63.30%,72.40%,78.30%
