Store Number,Patio Set Week,Parking Lot Set
2039,52,52
2040,6,6
2041,8,8
2043,10,10
2044,52,52
2045,7,7
2046,8,8
2047,8,8
2048,1,1
2049,7,7
2050,52,No Set
2051,1,1
2052,4,4
2053,5,5
2054,1,1
2055,8,8
2056,10,10
2057,8,8
2058,6,No Set
2059,7,7
2061,7,7
2062,7,7
2063,8,8
2064,7,7
2065,6,6
2066,52,No Set
2068,6,6
2069,2,2
2073,7,7
2075,7,7
2077,52,52
2078,8,8
2079,10,10
2080,7,7
2081,49,No Set
2082,52,No Set
2083,8,8
2084,13,13
2086,1,No Set
2087,9,No Set
2088,10,10
2089,8,8
2090,9,9
2091,52,No Set
2092,8,8
2093,10,10
2094,1,No Set
2095,7,No Set
2096,6,6
2097,9,9
2098,4,No Set
2099,1,1
2100,7,7
2101,4,4
2102,7,7
2103,8,8
2104,9,9
2105,52,No Set
2106,52,52
2107,10,10
2108,6,6
2109,6,6
2110,52,No Set
2111,1,1
2112,52,No Set
2113,52,No Set
2114,52,52
2115,8,8
2116,10,10
2117,1,No Set
2118,8,No Set
2119,1,No Set
2120,10,10
2121,3,3
2122,7,No Set
2123,4,4
2124,6,No Set
2125,11,11
2127,9,9
2128,8,8
2129,7,7
2130,8,8
2131,5,5
2132,51,No Set
2133,2,2
2134,6,6
2135,10,10
2136,6,6
2137,4,No Set
2138,8,8
2139,8,8
2140,8,8
2141,4,No Set
2142,8,8
2143,8,8
2144,8,8
2145,6,6
2146,10,10
2147,11,11
2149,8,8
2150,1,1
2151,49,No Set
2152,7,No Set
2153,8,8
2154,6,6
2155,8,No Set
2156,9,9
2157,8,No Set
2158,7,7
2159,10,10
2160,4,4
2161,2,2
2163,8,8
2164,10,10
2166,10,10
2167,6,6
2169,6,6
2170,8,8
2174,8,No Set
2175,4,4
2176,49,No Set
2177,1,1
2178,8,8
2180,8,8
2181,52,52
2183,8,8
2184,7,No Set
2185,7,7
2187,5,5
2189,1,1
2190,6,6
2191,7,7
2192,10,10
2193,8,8
2194,6,6
2195,6,6
2196,3,3
2197,8,8
2198,9,No Set
2199,8,8
2200,8,8
2201,52,52
2202,8,8
2204,7,7
2205,6,6
2206,52,No Set
2207,11,11
2208,7,7
2209,8,8
2210,10,10
2211,6,No Set
2213,4,4
2214,2,No Set
2215,7,7
2218,52,No Set
2221,4,4
2222,8,8
2223,11,11
2224,8,8
2225,8,8
2226,No Set,No Set
2227,8,8
2228,8,8
2230,7,7
2231,7,7
2232,8,8
2233,7,7
2234,10,10
2236,4,No Set
2237,52,52
2238,5,No Set
2239,52,No Set
2241,4,4
2242,52,No Set
2243,7,7
2244,8,8
2245,2,2
2247,4,No Set
2248,6,No Set
2249,3,3
2250,6,6
2251,52,No Set
2252,6,6
2253,52,52
2254,8,8
2255,7,7
2256,4,No Set
2257,52,52
2258,6,6
2259,11,11
2261,8,8
2262,10,10
2263,6,6
2264,10,10
2265,6,6
2266,9,9
2267,8,No Set
2269,4,4
2270,13,13
2271,9,9
2272,7,7
2273,7,No Set
2274,12,12
2275,6,6
2276,7,7
2277,1,No Set
2278,7,7
2279,6,No Set
2280,52,52
2281,7,7
2282,8,8
2283,8,8
2284,8,8
2285,10,10
2286,6,No Set
2287,7,7
2288,52,No Set
2289,7,No Set
2291,52,No Set
2292,52,No Set
2293,11,11
2294,9,9
2295,4,No Set
2297,52,52
2299,8,8
2300,7,7
2306,1,No Set
2307,11,11
2309,6,No Set
2310,6,6
2311,6,6
2312,4,No Set
2313,9,9
2315,3,3
2316,9,9
2317,3,3
2318,7,7
2319,3,3
2320,3,3
2322,2,No Set
2323,8,8
2325,3,3
2326,10,10
2328,4,No Set
2329,8,No Set
2330,8,8
2331,8,8
2332,7,No Set
2333,2,2
2334,6,6
2335,8,8
2336,8,8
2337,8,8
2338,5,No Set
2339,5,5
2340,6,6
2341,8,8
2348,52,No Set
2350,7,7
2351,9,9
2352,12,12
2354,7,No Set
2355,10,10
2357,7,No Set
2358,7,7
2359,9,9
2360,4,No Set
2361,8,8
2362,7,No Set
2365,7,7
2366,8,No Set
2367,12,12
2368,6,6
2369,8,8
2370,9,9
2371,8,8
2373,8,8
2385,3,3
2386,8,8
2387,49,No Set
2388,6,6
2391,49,No Set
2392,49,No Set
2393,1,No Set
2394,1,No Set
2395,2,No Set
2396,49,No Set
2397,No Set,No Set
2398,7,No Set
2399,7,No Set
2400,6,6
2401,52,No Set
2402,13,13
2403,2,2
2404,1,No Set
2405,10,10
2406,49,No Set
2412,7,7
2414,4,No Set
2417,5,5
2418,2,2
2419,6,No Set
2420,7,7
2421,9,9
2422,3,3
2424,10,10
2425,3,No Set
2426,6,6
2427,1,No Set
2428,5,5
2429,6,6
2431,1,No Set
2432,11,11
2433,No Set,No Set
2434,10,10
2435,7,7
2436,7,No Set
2437,6,6
2438,6,6
2439,52,52
2440,8,8
2441,6,No Set
2442,3,No Set
2443,12,12
2444,10,10
2445,4,No Set
2446,6,6
2447,6,No Set
2448,9,9
2450,3,3
2451,No Set,No Set
2452,6,No Set
2453,52,52
2455,13,13
2457,1,No Set
2458,1,No Set
2459,49,No Set
2460,6,6
2463,2,2
2464,1,1
2465,4,No Set
2468,No Set,No Set
2469,3,3
2471,6,6
2472,6,No Set
2474,8,8
2475,6,No Set
2476,4,4
2477,3,3
2479,1,No Set
2480,7,7
2481,7,7
2482,52,No Set
2483,52,No Set
2484,52,52
2485,7,7
2486,No Set,No Set
2487,No Set,No Set
2488,No Set,No Set
2490,5,5
2491,5,No Set
2492,4,4
2493,5,No Set
2494,52,52
2495,52,No Set
2496,8,8
2497,9,9
2499,49,No Set
2502,7,7
2503,9,9
2504,9,9
2505,52,No Set
2506,9,9
2507,4,4
2508,8,8
2509,9,9
2510,9,9
2511,11,11
2512,52,No Set
2513,6,6
2514,6,6
2515,52,No Set
2516,3,3
2517,52,No Set
2518,8,8
2519,6,6
2520,6,6
2522,10,10
2523,52,No Set
2526,52,52
2527,1,No Set
2528,7,7
2529,5,5
2530,8,8
2531,7,No Set
2532,8,8
2533,52,No Set
2534,1,No Set
2535,6,6
2536,2,2
2537,1,1
2538,3,3
2539,5,5
2540,7,7
2541,8,8
2542,7,7
2543,7,7
2544,7,7
2545,9,9
2546,52,No Set
2547,7,No Set
2548,6,6
2549,5,5
2550,3,3
2551,7,7
2552,3,3
2553,6,6
2554,52,No Set
2555,6,No Set
2556,1,No Set
2557,52,52
2558,7,No Set
2559,7,7
2560,7,7
2561,7,7
2562,5,5
2563,5,5
2564,8,8
2565,8,No Set
2566,8,8
2567,5,No Set
2568,52,No Set
2571,2,2
2572,6,6
2574,6,No Set
2575,1,1
2576,8,8
2577,7,No Set
2579,13,13
2580,2,2
2581,10,10
2582,9,9
2583,9,9
2584,4,No Set
2585,7,7
2586,10,10
2587,1,1
2588,7,7
2590,2,No Set
2591,49,No Set
2592,52,No Set
2593,2,No Set
2594,2,2
2595,3,3
2596,2,2
2597,7,7
2598,1,1
2599,52,No Set
2600,4,No Set
2603,7,7
2604,9,9
2605,6,6
2607,11,11
2608,13,13
2609,52,No Set
2610,8,8
2611,7,7
2612,2,No Set
2613,6,6
2614,6,6
2615,4,4
2616,4,4
2617,13,13
2618,7,No Set
2619,7,7
2620,7,7
2621,52,52
2626,52,52
2627,49,No Set
2628,6,6
2629,8,8
2630,52,52
2631,7,7
2632,No Set,No Set
2633,9,No Set
2634,8,8
2636,52,52
2637,9,9
2638,6,6
2639,7,7
2640,8,8
2641,6,6
2642,9,No Set
2643,9,No Set
2644,5,No Set
2645,4,No Set
2646,8,8
2647,8,8
2648,2,No Set
2649,1,No Set
2650,4,No Set
2651,9,No Set
2652,11,11
2653,6,6
2654,4,No Set
2656,11,11
2658,8,8
2659,8,No Set
2660,8,8
2662,8,8
2663,7,7
2664,7,7
2665,50,No Set
2666,6,No Set
2667,52,52
2668,6,6
2671,52,No Set
2672,11,11
2674,7,7
2678,5,5
2679,7,7
2680,5,5
2681,8,8
2682,8,No Set
2683,8,No Set
2684,8,8
2685,2,No Set
2686,2,No Set
2687,4,4
2688,4,4
2689,No Set,No Set
2690,1,1
2691,5,5
2692,7,No Set
2693,7,No Set
2694,4,4
2695,49,No Set
2696,8,8
2697,2,2
2699,4,No Set
2700,7,No Set
2702,4,4
2703,2,No Set
2704,6,6
2705,3,No Set
2706,50,No Set
2708,4,4
2712,52,52
2713,1,No Set
2714,7,7
2715,52,52
2716,7,7
2717,52,No Set
2718,52,No Set
2719,8,8
2720,1,No Set
2723,1,No Set
2724,1,1
2725,6,No Set
2726,6,6
2727,52,No Set
2728,7,7
2729,11,11
2730,2,2
2731,4,No Set
2732,6,6
2733,4,4
2734,3,3
2735,1,No Set
2739,52,52
2740,52,No Set
2741,2,No Set
2742,2,No Set
2743,52,No Set
2744,2,No Set
2745,2,No Set
2747,8,8
2748,5,No Set
2749,8,8
2751,11,11
2752,11,No Set
2753,8,8
2754,2,2
2755,1,1
2756,7,7
2757,2,No Set
2758,8,8
2760,52,52
2761,8,8
2762,5,No Set
2763,52,No Set
2764,7,7
2765,52,No Set
2766,52,No Set
2767,52,No Set
2768,52,No Set
2769,1,1
2771,6,6
2772,52,52
2773,4,No Set
2774,6,6
2777,1,No Set
2778,52,No Set
2780,8,8
2781,8,8
2782,11,11
2783,6,6
2784,11,11
2785,8,No Set
2786,6,6
2787,5,5
2788,6,6
2789,49,No Set
2790,7,No Set
2791,6,6
2792,6,No Set
2793,6,6
2794,13,13
2795,6,6
2796,52,52
2797,8,8
2799,7,No Set
2801,3,No Set
2803,3,3
2804,3,3
2805,4,No Set
2806,6,6
2807,8,8
2808,6,6
2809,8,8
2810,6,No Set
2811,6,No Set
2812,12,12
2813,9,9
2814,49,No Set
2815,7,7
2816,7,7
2817,5,No Set
2818,7,7
2819,6,6
2820,12,12
2821,6,No Set
2822,51,No Set
2823,8,8
2825,6,No Set
2826,No Set,No Set
2827,7,7
2828,6,No Set
2830,6,6
2831,11,11
2832,52,52
2833,6,No Set
2834,No Set,No Set
2835,No Set,No Set
2836,4,4
2838,52,No Set
2839,5,No Set
2840,4,No Set
2841,8,8
2842,52,52
2843,52,52
2844,10,10
2845,6,No Set
2846,1,1
2847,11,11
2849,6,No Set
2850,7,7
2852,8,8
2853,7,7
2854,7,No Set
2855,5,5
2856,5,5
2857,5,5
2858,3,No Set
2859,8,8
2860,51,No Set
2861,8,8
2862,8,8
2864,1,1
2865,5,5
2866,7,7
2867,5,No Set
2869,7,7
2870,3,No Set
2871,6,6
2872,5,No Set
2873,7,7
2874,10,10
2875,2,No Set
2876,1,No Set
2877,1,No Set
2878,1,No Set
2880,2,No Set
2881,52,No Set
2882,9,9
2883,1,No Set
2884,1,No Set
2885,7,No Set
2886,52,No Set
2887,3,No Set
2888,6,6
2889,7,7
2890,2,No Set
2891,1,1
2892,11,11
2893,5,5
2894,7,No Set
2897,7,No Set
2898,8,8
2899,8,No Set
2900,7,No Set
2901,8,No Set
2902,7,7
2903,8,8
2904,7,7
2905,9,No Set
2906,9,9
2907,49,No Set
2908,6,6
2909,7,7
2910,8,8
2911,10,10
2912,7,7
2913,50,No Set
2914,8,8
2915,9,9
2916,6,No Set
2917,6,No Set
2918,1,No Set
2919,No Set,No Set
2920,52,No Set
2921,11,11
2922,52,No Set
2923,11,11
2924,No Set,No Set
2925,2,2
2926,1,No Set
2927,2,2
2928,52,52
2929,4,4
2930,49,No Set
2931,7,7
2932,6,6
2933,8,8
2934,5,5
2935,7,7
2936,6,No Set
2937,13,13
2938,51,No Set
2939,52,52
2940,No Set,No Set
2941,4,No Set
2944,49,No Set
2945,6,6
2946,49,No Set
2947,3,3
2948,52,No Set
2950,52,No Set
2951,52,No Set
2952,1,1
2953,8,8
2954,8,No Set
2955,5,5
2956,7,7
2957,13,13
2958,9,9
2959,5,No Set
2962,49,No Set
2963,52,No Set
2964,8,8
2965,7,No Set
2966,9,9
2967,4,No Set
2968,6,6
2973,52,No Set
2974,No Set,No Set
2975,No Set,No Set
2976,No Set,No Set
2977,No Set,No Set
2978,52,52
2979,No Set,No Set
2980,1,1
2981,No Set,No Set
2984,1,No Set
2985,1,No Set
2986,9,9
2987,52,No Set
2988,6,6
2989,1,No Set
2990,12,12
2991,52,52
2992,10,10
2993,4,4
2994,4,4
2995,No Set,No Set
2996,1,No Set
2997,2,No Set
2998,No Set,No Set
3004,7,7
3008,4,No Set
3011,49,No Set
3013,49,No Set
3014,2,No Set
3015,No Set,No Set
3017,2,No Set
3018,11,11
3019,No Set,No Set
3022,No Set,No Set
3023,No Set,No Set
3026,No Set,No Set
3035,No Set,No Set
3042,No Set,No Set
3043,No Set,No Set
3044,3,No Set
3046,No Set,No Set
3047,No Set,No Set
3049,No Set,No Set
3050,2,No Set
3053,2,No Set
3055,4,4
3056,4,4
3057,52,No Set
3058,52,No Set
3059,52,No Set
3060,52,52
3061,4,4
3062,5,No Set
3066,49,No Set
3067,4,No Set
3069,4,No Set
3070,4,No Set
3071,4,No Set
3072,4,No Set
3074,4,No Set
3075,51,No Set
3077,6,6
3078,6,6
3081,1,No Set
3082,No Set,No Set
3083,No Set,No Set
3084,No Set,No Set
3087,52,No Set
3088,12,12
3090,No Set,No Set
3093,8,8
3094,No Set,No Set
3098,2,No Set
3099,No Set,No Set
3101,No Set,No Set
3102,12,12
3103,5,5
3104,49,No Set
3106,52,52
3107,52,No Set
3110,6,No Set
3111,5,No Set
3112,1,1
3114,7,No Set
3118,4,No Set
3119,51,No Set
3123,No Set,No Set
3126,No Set,No Set
3127,No Set,No Set
3128,No Set,No Set
3131,No Set,No Set
3132,No Set,No Set
3133,No Set,No Set
3135,No Set,No Set
3136,1,1
3137,2,No Set
3138,No Set,No Set
3139,No Set,No Set
3140,No Set,No Set
3141,No Set,No Set
3143,No Set,No Set
3144,2,No Set
3145,2,No Set
3146,2,No Set
3147,No Set,No Set
3150,11,11
3151,No Set,No Set
3152,No Set,No Set
3153,No Set,No Set
3154,No Set,No Set
3155,3,No Set
3156,4,No Set
3157,5,No Set
3159,6,No Set
3161,49,No Set
3162,49,No Set
3163,52,No Set
3164,2,No Set
3166,6,No Set
3167,50,No Set
3168,52,No Set
3169,52,52
3170,52,52
3172,No Set,No Set
3173,No Set,No Set
3175,No Set,No Set
3176,No Set,No Set
3177,11,11
3178,2,No Set
3179,No Set,No Set
3180,52,No Set
3182,6,No Set
3183,49,No Set
3184,No Set,No Set
3185,No Set,No Set
3188,4,No Set
3191,6,6
3192,6,6
3197,49,No Set
3198,No Set,No Set
3199,No Set,No Set
3200,8,8
3201,4,4
3202,1,No Set
3204,No Set,No Set
3205,4,No Set
3206,7,7
3207,52,52
3208,11,11
3209,12,12
3210,7,7
3212,9,9
3213,4,4
3214,5,5
3215,8,8
3216,5,5
3217,4,4
3218,3,3
3219,5,5
3220,4,4
3221,10,10
3222,4,4
3223,7,7
3224,1,1
3225,2,2
3226,1,1
3227,13,13
3228,7,7
3229,4,4
3230,1,1
3231,4,4
3232,11,11
3233,13,13
3234,6,6
3235,49,No Set
3236,8,8
3237,12,12
3238,5,No Set
3239,3,3
3241,1,No Set
3243,8,No Set
3245,9,9
3247,8,8
3248,52,No Set
3250,9,9
3251,6,6
3252,6,No Set
3253,7,7
3254,2,2
3255,7,7
3258,3,3
3259,11,11
3260,5,5
3261,4,4
3262,8,8
3265,5,5
3266,8,8
3267,11,11
3268,9,9
3269,8,8
3270,5,No Set
3271,52,52
3273,5,5
3274,2,2
3275,1,No Set
3276,52,No Set
3277,52,No Set
3278,11,11
3279,52,No Set
3280,8,No Set
3281,7,7
3282,6,6
3283,5,5
3284,2,2
3285,1,No Set
3286,1,No Set
3287,No Set,No Set
3288,52,No Set
3289,8,8
3291,9,9
3292,6,No Set
3293,9,9
3294,6,6
3295,4,4
3296,52,No Set
3297,1,1
3298,1,1
3299,4,No Set
3300,5,5
3301,8,8
3302,52,52
3303,8,No Set
3304,4,No Set
3305,6,6
3307,52,52
3308,52,No Set
3309,51,No Set
3310,50,No Set
3311,49,No Set
3313,11,11
3314,No Set,No Set
3315,No Set,No Set
3317,No Set,No Set
3319,1,1
3320,52,No Set
3322,8,8
3324,6,6
3327,1,No Set
3328,7,No Set
3329,10,10
3330,4,No Set
3331,52,52
3332,10,10
3334,10,10
3336,7,7
3337,4,4
3338,4,No Set
3339,6,6
3340,2,No Set
3341,No Set,No Set
3342,6,No Set
3344,8,8
3347,49,No Set
3348,49,No Set
3349,52,52
3350,52,No Set
3351,52,No Set
3352,2,No Set
3354,No Set,No Set
3355,No Set,No Set
3356,No Set,No Set
3357,No Set,No Set
3359,4,No Set
3360,52,No Set
3362,2,No Set
3363,5,No Set
3364,9,No Set
3366,11,11
3367,51,51
3370,52,52
3371,4,No Set
3372,49,No Set
3377,No Set,No Set
3379,1,No Set
3380,4,4
3381,2,2
3382,11,11
3383,1,1
3384,1,1
3385,No Set,No Set
3386,1,No Set
3387,52,52
3388,4,No Set
3389,4,No Set
3390,1,No Set
3391,4,4
3392,No Set,No Set
3394,7,7
3395,11,11
3397,52,No Set
3400,7,7
3401,4,No Set
3402,6,6
3403,6,6
3404,9,No Set
3406,52,No Set
3407,52,No Set
3408,52,52
3409,8,No Set
3411,4,No Set
3412,6,6
3414,49,No Set
3415,49,No Set
3417,49,No Set
3418,49,No Set
3419,No Set,No Set
3420,9,9
3422,6,6
3423,11,11
3424,No Set,No Set
3425,52,52
3427,6,6
3428,11,11
3429,7,7
3430,3,3
3431,3,No Set
3432,2,No Set
3433,1,1
3434,7,7
3435,6,No Set
3436,7,7
3439,52,52
3442,3,No Set
3443,9,No Set
3445,7,7
3447,6,No Set
3449,No Set,No Set
3450,No Set,No Set
3452,No Set,No Set
3453,7,7
3454,11,11
3455,1,No Set
3456,4,No Set
3457,2,No Set
3458,7,7
3459,7,7
3460,7,7
3461,6,6
3462,4,No Set
3463,52,52
3464,52,No Set
3465,52,No Set
3469,6,No Set
3471,4,No Set
3472,5,5
3473,52,No Set
3474,52,52
3475,6,No Set
3476,5,No Set
3477,52,52
3479,2,No Set
3480,8,8
3481,6,No Set
3482,1,1
3483,51,No Set
3484,52,52
3485,8,8
3486,6,6
3487,7,No Set
3488,8,8
3489,6,No Set
3490,6,No Set
3491,7,No Set
3492,5,5
3493,1,1
3494,4,No Set
3495,2,No Set
3497,8,8
3498,9,9
3499,8,8
3500,52,52
3501,6,6
3502,6,6
3503,6,6
3504,4,No Set
3505,6,6
3508,2,No Set
3509,No Set,No Set
3510,1,1
3511,5,5
3512,No Set,No Set
3513,12,12
3514,7,7
3515,6,6
3516,52,No Set
3517,No Set,No Set
3518,2,2
3520,6,No Set
3521,No Set,No Set
3522,52,No Set
3523,52,52
3524,52,No Set
3525,3,3
3526,52,No Set
3527,49,No Set
3528,1,1
3529,4,4
3530,No Set,No Set
3531,3,3
3533,11,11
3534,12,12
3535,8,8
3537,3,3
3538,52,52
3541,6,6
3542,No Set,No Set
3543,8,8
3544,8,No Set
3545,7,No Set
3546,8,No Set
3547,8,No Set
3548,7,No Set
3549,7,No Set
3560,7,No Set
3561,7,No Set
3562,9,No Set
3563,4,No Set
3564,4,No Set
3566,11,11
3567,52,52
3568,11,11
3569,52,No Set
3570,2,2
3571,6,6
3572,52,52
3573,6,6
3574,No Set,No Set
3579,No Set,No Set
3580,6,6
3581,8,8
3582,13,13
3583,9,9
3584,52,52
3585,52,52
3587,1,No Set
3588,6,6
3589,No Set,No Set
3590,7,7
3591,1,1
3593,No Set,No Set
3594,No Set,No Set
3595,4,No Set
3596,No Set,No Set
3597,7,7
3598,9,No Set
3599,No Set,No Set
3600,4,No Set
3601,7,7
3602,5,No Set
3603,5,No Set
3604,No Set,No Set
3605,5,No Set
3606,49,No Set
3607,10,10
3608,9,9
3609,4,No Set
3610,4,4
3611,4,No Set
3612,4,No Set
3614,4,No Set
3615,1,No Set
3616,51,No Set
3617,49,No Set
3619,5,No Set
3620,11,11
3621,4,No Set
3622,4,No Set
3623,52,52
3624,12,12
3625,49,No Set
3626,6,No Set
3627,6,6
3628,4,No Set
3629,49,No Set
3630,7,7
3631,52,52
3632,7,7
3633,6,6
3634,6,6
3635,4,No Set
3637,1,No Set
3638,4,No Set
3639,6,6
3640,52,52
3641,6,6
3643,9,9
3644,5,5
3645,2,No Set
3646,3,No Set
3648,13,13
3650,52,No Set
3652,2,No Set
3653,No Set,No Set
3654,2,No Set
3655,No Set,No Set
3656,4,No Set
3658,4,No Set
3659,2,2
3660,4,4
3661,No Set,No Set
3700,4,No Set
3701,4,No Set
3702,51,No Set
3703,No Set,No Set
3705,3,3
3708,2,No Set
3709,4,No Set
3710,4,No Set
3712,52,No Set
3713,4,No Set
3717,2,No Set
3720,7,No Set
3722,9,9
3723,2,No Set
3724,4,No Set
3725,7,7
3726,7,No Set
3727,No Set,No Set
3728,52,No Set
3729,4,4
3730,2,2
3731,8,8
3732,8,8
3733,6,6
3734,8,8
3736,No Set,No Set
3738,7,7
3739,8,8
3740,No Set,No Set
3741,4,No Set
3742,3,3
3743,No Set,No Set
3745,No Set,No Set
3746,No Set,No Set
3747,3,No Set
3748,6,No Set
3749,4,No Set
3750,4,4
3751,1,1
3752,No Set,No Set
3754,7,7
3757,3,3
3758,9,No Set
3760,12,12
3761,13,13
3762,5,No Set
3763,52,52
3764,1,1
3765,4,4
3768,8,8
3770,6,6
3771,52,No Set
3772,8,8
3773,52,52
3774,8,8
3775,4,No Set
3777,1,No Set
3778,13,13
3780,7,7
3781,4,No Set
3782,52,No Set
3783,6,No Set
3784,6,No Set
3785,51,No Set
3786,6,6
3788,No Set,No Set
3789,No Set,No Set
3790,7,7
3791,5,No Set
3792,6,6
3794,3,3
3795,9,No Set
3796,52,52
3799,52,No Set
3801,3,3
3802,6,6
3803,7,No Set
3804,6,No Set
3805,15,15
3806,12,12
3807,4,4
3809,7,7
3810,6,6
3812,4,No Set
3817,49,No Set
3823,11,11
3824,11,11
3825,4,No Set
3826,2,No Set
3827,52,No Set
3828,1,No Set
3829,6,6
3830,6,6
3831,5,No Set
3833,1,1
3835,2,2
3837,7,7
3838,7,7
3840,6,6
3842,10,10
3843,7,7
3844,No Set,No Set
3845,No Set,No Set
3846,No Set,No Set
3847,2,No Set
3848,11,11
3850,3,3
3851,3,3
3852,8,8
3853,9,No Set
3857,8,8
3858,52,No Set
3860,8,8
3861,52,No Set
3862,49,No Set
3864,4,No Set
3867,11,11
3868,1,No Set
3869,4,No Set
3870,No Set,No Set
3872,8,8
3874,6,6
3875,13,13
3876,5,No Set
3877,51,No Set
3880,5,No Set
3884,52,No Set
3885,5,No Set
3886,52,No Set
3887,52,52
3888,52,No Set
3889,4,No Set
3891,7,7
3893,7,7
3894,6,No Set
3896,52,No Set
3897,11,11
3899,3,No Set
3912,8,No Set
3935,49,No Set
3947,1,No Set
3959,5,No Set
3988,No Set,No Set
3990,No Set,No Set
4046,No Set,No Set
4048,No Set,No Set
4049,5,No Set
4053,3,No Set
4054,4,No Set
4055,52,No Set
4056,No Set,No Set
4057,3,No Set
4063,52,No Set
4064,5,5
4065,52,No Set
4068,11,11
4100,No Set,No Set
4101,52,No Set
4102,52,52
4103,52,52
4104,No Set,No Set
4105,No Set,No Set
4108,2,2
4111,1,No Set
4112,52,No Set
4114,No Set,No Set
4115,52,52
4118,6,6
4127,No Set,No Set
4128,2,No Set
4129,52,No Set
4130,52,No Set
4131,1,1
4132,52,No Set
4134,No Set,No Set
4137,3,3
4138,No Set,No Set
4139,No Set,No Set
4140,49,No Set
4141,49,No Set
4142,49,No Set
4144,2,No Set
4145,4,No Set
4147,4,No Set
4148,4,No Set
4153,9,9
4156,8,No Set
4157,4,No Set
4159,49,No Set
4160,49,No Set
4161,49,No Set
4162,52,No Set
4163,52,52
4164,1,1
4165,3,No Set
4166,4,No Set
4168,2,2
4169,No Set,No Set
4171,52,No Set
4174,No Set,No Set
4176,3,3
4178,2,No Set
4180,No Set,No Set
4182,No Set,No Set
4183,52,No Set
4184,No Set,No Set
4185,6,6
4187,1,No Set
4188,No Set,No Set
4189,No Set,No Set
4191,4,4
4193,No Set,No Set
4194,52,52
4195,3,No Set
4196,No Set,No Set
4197,49,No Set
4198,3,No Set
4200,4,4
4201,13,13
4202,52,52
4203,52,No Set
4206,4,No Set
4208,11,11
4209,11,11
4210,5,No Set
4211,49,No Set
4215,2,2
4216,5,No Set
4218,No Set,No Set
4219,52,52
4220,5,No Set
4221,3,3
4223,6,6
4224,6,No Set
4226,2,2
4230,7,7
4231,7,7
4232,52,No Set
4233,No Set,No Set
4235,5,5
4237,6,6
4238,2,2
4239,4,4
4240,1,1
4241,4,4
4243,7,No Set
4244,13,13
4246,13,13
4247,13,13
4249,7,7
4250,4,No Set
4252,52,No Set
4253,13,13
4255,9,9
4256,7,7
4257,12,12
4258,4,4
4259,7,7
4260,52,No Set
4262,52,No Set
4264,No Set,No Set
4272,13,13
4273,52,52
4274,4,4
4275,No Set,No Set
4276,7,7
4277,8,8
4278,6,No Set
4279,1,No Set
4281,9,9
4283,2,No Set
4284,11,11
4285,7,No Set
4286,7,7
4288,11,11
4293,No Set,No Set
4295,52,No Set
4298,52,No Set
4299,1,1
4303,49,No Set
4309,1,No Set
4317,52,52
4318,1,1
4321,5,5
4322,11,No Set
4323,7,7
4324,No Set,No Set
4325,1,No Set
4330,1,No Set
4332,49,No Set
4333,52,52
4334,8,8
4335,13,13
4336,52,No Set
4337,1,No Set
4339,No Set,No Set
4340,1,1
4341,8,8
4348,7,7
4350,5,5
4352,13,13
4354,49,No Set
4355,52,No Set
4356,52,No Set
4357,No Set,No Set
4358,11,11
4365,52,No Set
4366,No Set,No Set
4367,No Set,No Set
4368,52,No Set
4370,52,No Set
4371,No Set,No Set
4372,6,No Set
4373,No Set,No Set
4374,12,12
4375,2,No Set
4376,2,No Set
4377,15,15
4378,7,7
4380,49,No Set
4381,4,4
4383,7,No Set
4384,52,52
4387,8,No Set
4388,5,No Set
4389,8,8
4390,2,No Set
4392,1,1
4393,1,No Set
4394,5,5
4395,5,5
4399,7,7
4403,10,10
4404,6,6
4405,7,7
4407,52,52
4409,6,6
4410,6,6
4412,11,11
4413,4,No Set
4414,2,2
4415,No Set,No Set
4416,52,No Set
4417,6,6
4420,2,No Set
4421,3,No Set
4423,8,8
4424,7,7
4425,49,No Set
4426,4,No Set
4427,51,No Set
4428,5,5
4430,52,No Set
4431,4,No Set
4432,4,No Set
4434,49,No Set
4435,2,No Set
4436,6,6
4438,11,11
4439,7,7
4440,4,4
4441,49,No Set
4443,4,No Set
4444,51,No Set
4445,4,No Set
4446,49,No Set
4450,6,6
4451,1,No Set
4452,4,No Set
4453,No Set,No Set
4456,8,8
4457,2,No Set
4458,6,No Set
4459,4,4
4460,1,1
4461,6,6
4464,No Set,No Set
4465,No Set,No Set
4466,No Set,No Set
4468,No Set,No Set
4469,No Set,No Set
4470,3,No Set
4471,No Set,No Set
4472,4,No Set
4473,No Set,No Set
4475,5,5
4476,6,6
4477,6,No Set
4478,3,No Set
4479,7,7
4482,2,No Set
4483,2,No Set
4484,4,No Set
4487,4,No Set
4488,1,1
4490,No Set,No Set
4491,No Set,No Set
4494,No Set,No Set
4497,52,No Set
4498,49,No Set
4499,6,6
4501,7,7
4503,1,No Set
4504,No Set,No Set
4506,4,No Set
4508,52,No Set
4509,52,52
4511,7,7
4512,52,52
4514,8,8
4516,2,No Set
4517,4,No Set
4519,3,No Set
4520,52,No Set
4521,4,No Set
4524,4,No Set
4525,3,No Set
4526,52,52
4527,4,No Set
4528,4,No Set
4529,7,7
4530,3,No Set
4531,7,7
4533,2,2
4538,52,52
4540,5,No Set
4543,52,No Set
4545,4,No Set
4546,49,No Set
4553,3,No Set
4554,2,2
4556,51,No Set
4557,52,No Set
4558,6,6
