DC Number,DC Network,DC Hours,Will Gates be OPEN?,Live or Drops Appointments
8092,Claims,Normal hours,OPEN,Live and drops
8677,Claims,Normal hours,OPEN,Live and drops
9153,Claims,Normal hours,OPEN,Live and drops
9193,Claims,Normal hours,OPEN,Live and drops
9195,Claims,Normal hours,OPEN,Live and drops
9196,Claims,Normal hours,OPEN,Live and drops
4121,CP Ambient,Close @15:00PM,"Yes, 24/7",Both
6909,CP Ambient,24 hrs ,"Yes, 24/7",Both
7100,CP Ambient,Close @ 23:00PM,"Yes, 24/7",Both
7101,CP Ambient,Close @ 23:00PM,"Yes, 24/7",Both
7183,CP Ambient,24hrs,"Yes, 24/7",Both
7184,CP Ambient,24hrs,"Yes, 24/7",Both
7840,CP Ambient,Close @23:00PM,"Yes, 24/7",Both
7976,CP Ambient,24hrs,"Yes, 24/7",Both
8767 (2301),CP Perishable,Inbound only(12a-8a),OPEN,Live and drops
9652 (3109),CP Perishable,Normal hours,OPEN,Live and drops
3699 (9173),CP Perishable,Normal hours,OPEN,Live and drops
4867 (9314),CP Perishable,Normal hours,OPEN,Drops Only
9604 (7688),CP Perishable,Normal hours,OPEN,Live and drops
6907 (7095),CP Perishable,Normal hours,OPEN,Live and drops
6956,CP Perishable,Normal hours,OPEN,Live and drops
6974,CP Perishable,Normal hours,OPEN,Live and drops
3006,DOTCOM,Normal hours,OPEN,Live and drops
2217,DOTCOM,Normal hours,OPEN,Live and drops
3108,DOTCOM,Normal hours,OPEN,Live and drops
3859,DOTCOM,Normal hours,OPEN,Live and drops
3865,DOTCOM,Normal hours,OPEN,Live and drops
3967,DOTCOM,Normal hours,OPEN,Live and drops
4013,DOTCOM,Normal hours,OPEN,Live and drops
4027,DOTCOM,Normal hours,OPEN,Live and drops
4034,DOTCOM,Normal hours,OPEN,Live and drops
6086,DOTCOM,Normal hours,OPEN,Live and drops
6280,DOTCOM,Normal hours,OPEN,Live and drops
6833,DOTCOM,Normal hours,OPEN,Live and drops
6955,DOTCOM,Normal hours,OPEN,Live and drops
7005,DOTCOM,Normal hours,OPEN,Live and drops
7049,DOTCOM,Normal hours,OPEN,Live and drops
7356,DOTCOM,Normal hours,OPEN,Live and drops
7422,DOTCOM,Normal hours,OPEN,Live and drops
7767,DOTCOM,Normal hours,OPEN,Live and drops
7853,DOTCOM,Normal hours,OPEN,Live and drops
8103,DOTCOM,Normal hours,OPEN,Live and drops
8240,DOTCOM,Normal hours,OPEN,Live and drops
8905,DOTCOM,Normal hours,OPEN,Live and drops
6005,Fashion,Normal,Yes,Both
6014,Fashion,Normal,Yes,Both
6022,Fashion,Normal,Yes,Both
6029,Fashion,Normal,Yes,Both
6041,Fashion,Normal,Yes,Both
7842,Fashion,Normal,Yes,Live unloads only
4020,GDC,Normal,Yes,Both
4047,GDC,Normal,Yes,Both
4154,GDC,Normal,Yes,Both
6042,GDC,Normal,Yes,Both
6047,GDC,Normal,Yes,Both
6055,GDC,Normal,Yes,Both
6056,GDC,Normal,Yes,Both
6057,GDC,Normal,Yes,Both
6059,GDC,Normal,Yes,Both
6062,GDC,Normal,Yes,Both
6064,GDC,Normal,Yes,Both
6065,GDC,Normal,Yes,Both
6071,GDC,Normal,Yes,Both
6072,GDC,Normal,Yes,Both
6073,GDC,Normal,Yes,Both
6074,GDC,Normal,Yes,Both
6077,GDC,Normal,Yes,Both
6082,GDC,Normal,Yes,Both
6083,GDC,Normal,Yes,Both
6084,GDC,Normal,Yes,Both
6085,GDC,Normal,Yes,Both
6090,GDC,Normal,Yes,Both
6091,GDC,Normal,Yes,Both
6095,GDC,Normal,Yes,Both
6096,GDC,Normal,Yes,Both
6097,GDC,Normal,Yes,Both
6099,GDC,Normal,Yes,Both
6858,GDC,Normal,Yes,Both
