STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales
1,4,4,45,48,39
2,0,11,362,400,376
3,5,0,17,17,27
4,0,11,276,297,174
5,7,4,39,42,48
7,12,2,18,19,38
8,2,2,22,24,41
9,6,2,23,26,28
10,94,10,363,408,417
11,165,6,455,504,414
12,0,4,43,46,39
13,5,3,60,65,54
14,28,8,253,281,150
15,132,8,530,569,371
16,3,4,25,27,86
17,2,2,34,36,61
18,0,0,0,No Kayak Modular would need to Request Modular,0
19,11,9,171,185,151
20,0,10,42,48,133
21,2,0,91,98,120
22,4,4,40,44,46
23,1,4,42,47,35
24,0,0,0,No Kayak Modular would need to Request Modular,2
25,8,2,18,19,27
26,1,4,38,42,49
27,48,6,158,170,139
28,2,4,36,39,33
29,0,0,0,No Kayak Modular would need to Request Modular,0
30,1,4,0,No Kayak Modular would need to Request Modular,15
31,0,0,0,No Kayak Modular would need to Request Modular,0
32,9,0,19,21,26
33,0,0,0,No Kayak Modular would need to Request Modular,1
34,1,2,16,17,8
35,11,4,57,61,42
36,6,4,49,52,45
37,10,6,363,392,152
38,10,2,25,28,25
39,3,4,41,46,39
40,11,4,59,63,40
41,5,2,33,36,32
42,7,2,24,26,28
43,9,4,53,57,43
44,0,0,0,No Kayak Modular would need to Request Modular,0
45,4,2,25,28,25
46,13,11,179,192,123
47,6,2,12,17,6
48,2,2,33,35,36
49,11,4,48,56,67
50,7,2,33,35,36
51,0,0,-1,No Kayak Modular would need to Request Modular,0
52,0,10,82,89,97
54,3,0,37,40,27
55,0,0,0,No Kayak Modular would need to Request Modular,5
56,22,13,99,107,99
57,1,0,0,No Kayak Modular would need to Request Modular,10
58,34,12,279,301,284
59,4,10,94,104,51
60,5,4,37,40,29
61,6,10,65,70,41
62,0,0,1,No Kayak Modular would need to Request Modular,1
63,9,4,54,59,38
64,0,0,0,No Kayak Modular would need to Request Modular,1
65,8,11,97,105,67
66,3,8,160,173,210
67,2,10,51,55,143
68,0,0,0,No Kayak Modular would need to Request Modular,0
69,1,13,110,125,104
70,0,0,0,No Kayak Modular would need to Request Modular,0
71,2,10,88,97,42
72,2,2,34,42,30
73,7,2,20,22,15
74,0,0,0,No Kayak Modular would need to Request Modular,1
75,10,0,18,19,29
76,11,10,61,64,119
77,20,2,23,26,56
78,15,2,29,31,64
79,26,2,136,146,129
80,0,0,0,No Kayak Modular would need to Request Modular,0
81,6,0,25,27,30
82,16,11,107,117,51
