Store #,Expected Delivery Date,Quantity
749,09/06/2024,2
2030,09/05/2024,2
2028,09/05/2024,2
2025,09/05/2024,2
2002,09/05/2024,2
2001,09/05/2024,2
1992,09/05/2024,2
1989,09/05/2024,2
1988,09/05/2024,2
1979,09/05/2024,2
1972,09/05/2024,2
1963,09/05/2024,2
1941,09/05/2024,2
1922,09/05/2024,2
1917,09/05/2024,2
1915,09/05/2024,2
3215,09/05/2024,1
2056,09/05/2024,2
2897,09/05/2024,2
6370,09/03/2024,2
5616,09/03/2024,2
5467,09/03/2024,1
5182,09/03/2024,1
5148,09/03/2024,1
5119,09/03/2024,1
5057,09/03/2024,2
4533,09/03/2024,2
4482,09/03/2024,2
4435,09/03/2024,2
3835,09/03/2024,2
3717,09/03/2024,2
2757,09/03/2024,2
1194,09/03/2024,1
1159,09/03/2024,2
688,09/03/2024,2
685,09/03/2024,1
682,09/03/2024,2
678,09/03/2024,2
659,09/03/2024,2
416,09/03/2024,2
177,09/03/2024,1
94,09/03/2024,2
1996,08/30/2024,2
1960,08/30/2024,2
1957,08/30/2024,2
7020,08/30/2024,2
6807,08/30/2024,2
5196,08/30/2024,2
5122,08/30/2024,1
5107,08/30/2024,1
5043,08/30/2024,1
4223,08/30/2024,1
3959,08/30/2024,1
2932,08/30/2024,2
2065,08/30/2024,2
1561,08/30/2024,2
1320,08/30/2024,2
1248,08/30/2024,2
879,08/30/2024,1
741,08/30/2024,1
737,08/30/2024,2
695,08/30/2024,2
684,08/30/2024,2
683,08/30/2024,2
668,08/30/2024,2
366,08/30/2024,2
308,08/30/2024,1
107,08/30/2024,1
104,08/30/2024,2
1838,08/29/2024,2
1914,08/29/2024,2
1912,08/29/2024,2
1910,08/29/2024,2
1903,08/29/2024,2
1899,08/29/2024,2
1882,08/29/2024,2
1881,08/29/2024,2
1879,08/29/2024,1
1877,08/29/2024,2
1862,08/29/2024,2
1859,08/29/2024,2
1853,08/29/2024,2
1840,08/29/2024,2
1832,08/29/2024,2
1888,08/29/2024,2
635,08/29/2024,2
5734,08/29/2024,1
3829,08/29/2024,2
2310,08/29/2024,1
1606,08/29/2024,2
1467,08/29/2024,2
1466,08/29/2024,2
1376,08/29/2024,2
1319,08/29/2024,1
1318,08/29/2024,1
1115,08/29/2024,2
1089,08/29/2024,1
1080,08/29/2024,1
742,08/29/2024,2
724,08/29/2024,2
710,08/29/2024,2
680,08/29/2024,2
674,08/29/2024,2
599,08/29/2024,1
393,08/29/2024,2
335,08/29/2024,1
314,08/29/2024,2
161,08/29/2024,1
120,08/29/2024,2
4334,08/28/2024,2
5693,08/28/2024,1
5692,08/28/2024,1
5427,08/28/2024,1
5421,08/28/2024,1
3238,08/28/2024,1
1021,08/28/2024,1
837,08/28/2024,2
357,08/28/2024,1
267,08/28/2024,1
250,08/28/2024,2
243,08/28/2024,1
172,08/28/2024,2
99,08/28/2024,2
65,08/28/2024,1
61,08/28/2024,1
60,08/28/2024,1
15,08/28/2024,1
1826,08/27/2024,2
1815,08/27/2024,1
1805,08/27/2024,2
1760,08/27/2024,2
1756,08/27/2024,2
1755,08/27/2024,2
1747,08/27/2024,2
1704,08/27/2024,2
1697,08/27/2024,2
1693,08/27/2024,2
1692,08/27/2024,2
1874,08/27/2024,1
1851,08/27/2024,2
1847,08/27/2024,2
1845,08/27/2024,2
7199,08/27/2024,1
7127,08/27/2024,1
5261,08/27/2024,1
3111,08/27/2024,1
3062,08/27/2024,1
2994,08/27/2024,2
2839,08/27/2024,1
5263,08/27/2024,2
5251,08/27/2024,2
5188,08/27/2024,1
5175,08/27/2024,2
5143,08/27/2024,1
5058,08/27/2024,2
4692,08/27/2024,1
4635,08/27/2024,1
4591,08/27/2024,1
4589,08/27/2024,1
4469,08/27/2024,1
4226,08/27/2024,1
3660,08/27/2024,2
3659,08/27/2024,1
3619,08/27/2024,1
3599,08/27/2024,1
3495,08/27/2024,2
3137,08/27/2024,2
2322,08/27/2024,2
1469,08/27/2024,2
1226,08/27/2024,2
1075,08/27/2024,2
950,08/27/2024,2
738,08/27/2024,1
690,08/27/2024,2
687,08/27/2024,1
677,08/27/2024,2
673,08/27/2024,2
672,08/27/2024,1
663,08/27/2024,1
657,08/27/2024,2
568,08/27/2024,2
466,08/27/2024,2
264,08/27/2024,1
175,08/27/2024,2
93,08/27/2024,2
64,08/27/2024,1
2221,08/27/2024,1
1265,08/27/2024,2
1161,08/27/2024,1
1094,08/27/2024,2
1009,08/27/2024,2
815,08/27/2024,2
648,08/27/2024,1
560,08/27/2024,2
444,08/27/2024,1
354,08/27/2024,2
325,08/27/2024,2
319,08/27/2024,2
219,08/27/2024,1
179,08/27/2024,1
173,08/27/2024,1
138,08/27/2024,2
101,08/27/2024,1
86,08/27/2024,1
27,08/27/2024,1
21,08/27/2024,1
19,08/27/2024,1
9,08/27/2024,2
1671,08/26/2024,2
1827,08/26/2024,2
1768,08/26/2024,2
1708,08/26/2024,2
