Store_Number,Event_Code,Flow Week,Set Week,Flow Type
1,GMCMASWK40,39,40,Set
1,GCCMASWK38,37,38,Replenishment
1,GCCMASWK37,36,37,Set/Replenishment
1,GCCMASWK42,41,42,Replenishment
1,GMCMASWK43,42,43,Replenishment
1,GMCMASWK42,41,42,Replenishment
1,GCCMASWK40,39,40,Replenishment
1,GCCMASWK43,42,43,Replenishment
1,GMCMASWK44,43,44,Replenishment
1,GCCMASWK34,33,34,Set
1,HFGMCMAS34,33,34,Set
1,WOWCMAS_40,39,40,Set
1,GCCMASWK39,38,39,Replenishment
1,GCCMASWK45,44,45,Replenishment
1,GCCMASWK41,40,41,Replenishment
2,GCCMASWK45,44,45,Replenishment
2,GCCMASWK39,38,39,Replenishment
2,HFGMCMAS34,33,34,Set
2,GCCMASWK34,33,34,Set
2,GMCMASWK44,43,44,Replenishment
2,GCCMASWK41,40,41,Replenishment
2,GCCMASWK43,42,43,Replenishment
2,GMCMASWK42,41,42,Replenishment
2,GCCMASWK40,39,40,Replenishment
2,GCCMASWK37,36,37,Set/Replenishment
2,GCCMASWK38,37,38,Replenishment
2,GMCMASWK43,42,43,Replenishment
2,GMCMASWK40,39,40,Set
2,GCCMASWK42,41,42,Replenishment
3,GMCMASWK43,42,43,Replenishment
3,GCCMASWK37,36,37,Set/Replenishment
3,GCCMASWK41,40,41,Replenishment
3,GCCMASWK42,41,42,Replenishment
3,GCCMASWK40,39,40,Replenishment
3,GCCMASWK34,33,34,Set
3,GCCMASWK39,38,39,Replenishment
3,GCCMASWK38,37,38,Replenishment
3,GCCMASWK45,44,45,Replenishment
3,GCCMASWK43,42,43,Replenishment
3,GMCMASWK44,43,44,Replenishment
3,GMCMASWK42,41,42,Replenishment
3,HFGMCMAS34,33,34,Set
3,GMCMASWK40,39,40,Set
4,HFGMCMAS34,33,34,Set
4,GCCMASWK38,37,38,Replenishment
4,GMCMASWK42,41,42,Replenishment
4,GMCMASWK44,43,44,Replenishment
4,GCCMASWK45,44,45,Replenishment
4,GMCMASWK43,42,43,Replenishment
4,GCCMASWK39,38,39,Replenishment
4,GCCMASWK40,39,40,Replenishment
4,GMCMASWK40,39,40,Set
4,GCCMASWK34,33,34,Set
4,WOWCMAS_40,39,40,Set
4,GCCMASWK37,36,37,Set/Replenishment
4,GCCMASWK41,40,41,Replenishment
4,GCCMASWK42,41,42,Replenishment
4,GCCMASWK43,42,43,Replenishment
5,GMCMASWK40,39,40,Set
5,GMCMASWK44,43,44,Replenishment
5,GCCMASWK43,42,43,Replenishment
5,GCCMASWK39,38,39,Replenishment
5,GCCMASWK37,36,37,Set/Replenishment
5,HFGMCMAS34,33,34,Set
5,GMCMASWK42,41,42,Replenishment
5,GCCMASWK45,44,45,Replenishment
5,GCCMASWK41,40,41,Replenishment
5,GCCMASWK42,41,42,Replenishment
5,GCCMASWK38,37,38,Replenishment
5,GCCMASWK34,33,34,Set
5,GMCMASWK43,42,43,Replenishment
5,GCCMASWK40,39,40,Replenishment
5,WOWCMAS_40,39,40,Set
7,GCCMASWK43,42,43,Replenishment
7,GCCMASWK39,38,39,Replenishment
7,GCCMASWK34,33,34,Set
7,GCCMASWK42,41,42,Replenishment
7,GMCMASWK42,41,42,Replenishment
7,GMCMASWK44,43,44,Replenishment
7,GCCMASWK40,39,40,Replenishment
7,WOWCMAS_40,39,40,Set
7,GMCMASWK43,42,43,Replenishment
7,GCCMASWK37,36,37,Set/Replenishment
7,GCCMASWK41,40,41,Replenishment
7,GMCMASWK40,39,40,Set
7,HFGMCMAS34,33,34,Set
7,GCCMASWK45,44,45,Replenishment
7,GCCMASWK38,37,38,Replenishment
8,GMCMASWK42,41,42,Replenishment
8,GMCMASWK40,39,40,Set
8,GCCMASWK41,40,41,Replenishment
8,GCCMASWK34,33,34,Set
8,HFGMCMAS34,33,34,Set
8,GCCMASWK37,36,37,Set/Replenishment
8,GCCMASWK40,39,40,Replenishment
8,GCCMASWK39,38,39,Replenishment
8,GCCMASWK42,41,42,Replenishment
8,GCCMASWK45,44,45,Replenishment
8,GMCMASWK43,42,43,Replenishment
8,GCCMASWK38,37,38,Replenishment
8,GCCMASWK43,42,43,Replenishment
8,GMCMASWK44,43,44,Replenishment
9,GMCMASWK43,42,43,Replenishment
9,GCCMASWK34,33,34,Set
9,GMCMASWK44,43,44,Replenishment
9,GCCMASWK42,41,42,Replenishment
9,GCCMASWK41,40,41,Replenishment
9,GCCMASWK43,42,43,Replenishment
9,GCCMASWK39,38,39,Replenishment
9,GCCMASWK38,37,38,Replenishment
9,GMCMASWK40,39,40,Set
9,GCCMASWK40,39,40,Replenishment
9,GMCMASWK42,41,42,Replenishment
9,GCCMASWK45,44,45,Replenishment
9,GCCMASWK37,36,37,Set/Replenishment
9,HFGMCMAS34,33,34,Set
10,GCCMASWK38,37,38,Replenishment
10,GMCMASWK44,43,44,Replenishment
10,GCCMASWK41,40,41,Replenishment
10,GMCMASWK40,39,40,Set
10,GCCMASWK34,33,34,Set
10,HFGMCMAS34,33,34,Set
10,GCCMASWK45,44,45,Replenishment
10,GCCMASWK43,42,43,Replenishment
10,GCCMASWK42,41,42,Replenishment
10,GCCMASWK39,38,39,Replenishment
10,GCCMASWK40,39,40,Replenishment
10,GCCMASWK37,36,37,Set/Replenishment
10,GMCMASWK43,42,43,Replenishment
10,GMCMASWK42,41,42,Replenishment
11,GMCMASWK40,39,40,Set
11,GCCMASWK43,42,43,Replenishment
11,GCCMASWK39,38,39,Replenishment
11,GCCMASWK42,41,42,Replenishment
11,GCCMASWK45,44,45,Replenishment
11,GCCMASWK38,37,38,Replenishment
11,GCCMASWK37,36,37,Set/Replenishment
11,GCCMASWK41,40,41,Replenishment
11,HFGMCMAS34,33,34,Set
11,GMCMASWK42,41,42,Replenishment
11,GMCMASWK43,42,43,Replenishment
11,GMCMASWK44,43,44,Replenishment
11,GCCMASWK34,33,34,Set
11,GCCMASWK40,39,40,Replenishment
12,GCCMASWK38,37,38,Replenishment
12,GMCMASWK44,43,44,Replenishment
12,GCCMASWK37,36,37,Set/Replenishment
12,GCCMASWK42,41,42,Replenishment
12,HFGMCMAS34,33,34,Set
12,GCCMASWK40,39,40,Replenishment
12,GMCMASWK42,41,42,Replenishment
12,GCCMASWK45,44,45,Replenishment
12,GCCMASWK41,40,41,Replenishment
12,GMCMASWK43,42,43,Replenishment
12,GMCMASWK40,39,40,Set
12,GCCMASWK43,42,43,Replenishment
12,GCCMASWK39,38,39,Replenishment
12,GCCMASWK34,33,34,Set
13,GCCMASWK41,40,41,Replenishment
13,GMCMASWK40,39,40,Set
13,GMCMASWK42,41,42,Replenishment
13,GCCMASWK43,42,43,Replenishment
13,GMCMASWK43,42,43,Replenishment
13,GCCMASWK37,36,37,Set/Replenishment
13,GCCMASWK39,38,39,Replenishment
13,GCCMASWK45,44,45,Replenishment
13,GMCMASWK44,43,44,Replenishment
13,HFGMCMAS34,33,34,Set
13,GCCMASWK40,39,40,Replenishment
13,GCCMASWK34,33,34,Set
13,GCCMASWK38,37,38,Replenishment
13,GCCMASWK42,41,42,Replenishment
14,HFGMCMAS34,33,34,Set
14,GCCMASWK41,40,41,Replenishment
14,GCCMASWK39,38,39,Replenishment
14,GMCMASWK42,41,42,Replenishment
14,GCCMASWK42,41,42,Replenishment
14,GCCMASWK45,44,45,Replenishment
14,GCCMASWK37,36,37,Set/Replenishment
14,GCCMASWK34,33,34,Set
14,GCCMASWK40,39,40,Replenishment
14,GMCMASWK40,39,40,Set
14,GCCMASWK38,37,38,Replenishment
14,WOWCMAS_40,39,40,Set
14,GCCMASWK43,42,43,Replenishment
14,GMCMASWK43,42,43,Replenishment
14,GMCMASWK44,43,44,Replenishment
15,GCCMASWK38,37,38,Replenishment
15,GCCMASWK45,44,45,Replenishment
15,GMCMASWK42,41,42,Replenishment
15,GMCMASWK40,39,40,Set
15,GCCMASWK39,38,39,Replenishment
15,GCCMASWK37,36,37,Set/Replenishment
15,GCCMASWK34,33,34,Set
15,GCCMASWK43,42,43,Replenishment
15,GCCMASWK41,40,41,Replenishment
15,WOWCMAS_40,39,40,Set
15,GCCMASWK40,39,40,Replenishment
15,GCCMASWK42,41,42,Replenishment
15,GMCMASWK43,42,43,Replenishment
15,HFGMCMAS34,33,34,Set
15,GMCMASWK44,43,44,Replenishment
16,GCCMASWK41,40,41,Replenishment
16,GCCMASWK38,37,38,Replenishment
16,HFGMCMAS34,33,34,Set
16,GMCMASWK40,39,40,Set
16,GCCMASWK42,41,42,Replenishment
16,GCCMASWK45,44,45,Replenishment
16,GMCMASWK43,42,43,Replenishment
16,GMCMASWK42,41,42,Replenishment
16,GCCMASWK34,33,34,Set
16,GCCMASWK37,36,37,Set/Replenishment
16,GMCMASWK44,43,44,Replenishment
16,GCCMASWK43,42,43,Replenishment
16,GCCMASWK39,38,39,Replenishment
16,GCCMASWK40,39,40,Replenishment
17,GMCMASWK40,39,40,Set
17,GCCMASWK43,42,43,Replenishment
17,GCCMASWK41,40,41,Replenishment
17,GMCMASWK44,43,44,Replenishment
17,GCCMASWK34,33,34,Set
17,HFGMCMAS34,33,34,Set
17,GCCMASWK38,37,38,Replenishment
17,GCCMASWK42,41,42,Replenishment
17,GCCMASWK40,39,40,Replenishment
17,GCCMASWK37,36,37,Set/Replenishment
17,GCCMASWK45,44,45,Replenishment
17,GCCMASWK39,38,39,Replenishment
17,GMCMASWK42,41,42,Replenishment
17,GMCMASWK43,42,43,Replenishment
18,GMCMASWK44,43,44,Replenishment
18,GCCMASWK40,39,40,Replenishment
18,GCCMASWK39,38,39,Replenishment
18,GCCMASWK45,44,45,Replenishment
18,GCCMASWK42,41,42,Replenishment
18,GCCMASWK37,36,37,Set/Replenishment
18,GMCMASWK40,39,40,Set
18,GCCMASWK38,37,38,Replenishment
18,GCCMASWK41,40,41,Replenishment
18,GMCMASWK43,42,43,Replenishment
18,HFGMCMAS34,33,34,Set
18,GCCMASWK43,42,43,Replenishment
18,GCCMASWK34,33,34,Set
19,GCCMASWK38,37,38,Replenishment
19,GCCMASWK40,39,40,Replenishment
19,GCCMASWK41,40,41,Replenishment
19,GCCMASWK43,42,43,Replenishment
19,GMCMASWK43,42,43,Replenishment
19,GMCMASWK42,41,42,Replenishment
19,GMCMASWK40,39,40,Set
19,GCCMASWK42,41,42,Replenishment
19,HFGMCMAS34,33,34,Set
19,GCCMASWK39,38,39,Replenishment
19,GCCMASWK37,36,37,Set/Replenishment
19,GCCMASWK34,33,34,Set
19,GMCMASWK44,43,44,Replenishment
19,GCCMASWK45,44,45,Replenishment
20,GCCMASWK37,36,37,Set/Replenishment
20,GCCMASWK38,37,38,Replenishment
20,GMCMASWK43,42,43,Replenishment
