Recipient company ,Tracking Number,Ship date ,Status ,Delivered date,Status with details 
7329,417358776699,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:43 pm Signed for by:HHOWARD; Saint Pauls, NC"
7307,417358776725,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 5:04 pm Signed for by:AVASQUEZ; Bradenton, FL"
7299,417358776747,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:44 am Signed for by:JJULIE; Port Saint Lucie, FL"
7298,417358776758,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:51 pm Signed for by:BBRI; Sarasota, FL"
7221,417358776791,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:37 am Signed for by:IIRINA; North Port, FL"
7209,417358776817,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:25 pm Signed for by:WWALMART; Lumberton, NC"
7174,417358776861,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:27 pm Signed for by:EJONES; Richmond, VA"
7168,417358776872,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 9:51 am Signed for by:FBRICKS; Herriman, UT"
7162,417358776883,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:08 am Signed for by:LALLEN; Hampstead, NC"
7137,417358776909,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:59 am Signed for by:CJONES; Jacksonville, NC"
7098,417358776910,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:48 pm Signed for by:SSRA; Newport, NC"
6968,417358776953,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:13 pm Signed for by:SGG; Riverview, FL"
6967,417358776964,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:33 pm Signed for by:NSASHA; Lake Worth, FL"
6941,417358776986,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 9:58 am Signed for by:EERICK; Cape Coral, FL"
6937,417358776997,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:35 pm Signed for by:PPHYLLIS; Port Charlotte, FL"
6894,417358777011,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 9:36 am Signed for by:PHILLIPA; Apopka, FL"
6586,417358777066,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:11 pm Signed for by:DRUMPLE; Concord, NC"
6398,417358777088,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:18 am Signed for by:KKELLEY; Deltona, FL"
6207,417358777147,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:32 pm Signed for by:DDEBBIE; Spring Hill, FL"
6174,417358777169,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:46 am Signed for by:ABRITTON; Summerville, SC"
6149,417358777170,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:43 pm Signed for by:CCARAVALLO; Orlando, FL"
5988,417358777180,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:58 pm Signed for by:YMALDONADO; Orlando, FL"
5819,417358777320,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:14 am Signed for by:KREGINE; Saint Johns, FL"
5818,417358777331,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:15 pm Signed for by:VHAZELQOOD; Jacksonville, FL"
5816,417358777353,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:36 pm Signed for by:JTHOMAS; Jacksonville, FL"
5758,417358777386,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:58 am Signed for by:TTAIMMY; Lake Worth, FL"
5741,417358777412,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:58 am Signed for by:EELIZABETH; Orlando, FL"
5734,417358777423,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:15 pm Signed for by:BBUTLER; Kingsport, TN"
5719,417358777434,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:05 am Signed for by:LSANCHEZ; Miami, FL"
5704,417358777445,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:21 am Signed for by:BHEATHER; Port Saint Lucie, FL"
5675,417358777504,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:43 pm Signed for by:TGARCIA; Albuquerque, NM"
5622,417358777640,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:56 pm Signed for by:RRUIZ; Riverview, FL"
5611,417358777662,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:26 pm Signed for by:NORA; Pleasanton, CA"
5610,417358777673,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:33 am Signed for by:LLINDA; San Ramon, CA"
5608,417358777695,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:16 am Signed for by:PMORENO; Vacaville, CA"
5606,417358777700,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:59 am Signed for by:LBLACKMON; Woodland, CA"
5453,417358777787,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 9:50 am Signed for by:MMARK; Cape Coral, FL"
5451,417358777798,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:27 am Signed for by:MMARYA; Cape Coral, FL"
5321,417358777857,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:07 am Signed for by:DDEBBIE; Fort Myers, FL"
5269,417358777890,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:40 pm Signed for by:IIRENA; Las Vegas, NV"
5265,417358777905,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 4:02 pm Signed for by:AANDREZ; Saint Cloud, FL"
5259,417358777916,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:14 pm Signed for by:MMAGANODAL; Las Vegas, NV"
5179,417358777982,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:36 pm Signed for by:SSIDA; Orlando, FL"
5132,417358778007,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:14 pm Signed for by:CCHARLES; Winter Springs, FL"
5106,417358778040,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:39 am Signed for by:GGWEN; Oviedo, FL"
5005,417358778073,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:24 am Signed for by:WWALMART; Jacksonville, FL"
5007,417358778084,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:25 pm Signed for by:JELTON; Vacaville, CA"
4759,417358778110,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:15 am Signed for by:JJENNIFER; Citrus Heights, CA"
4676,417358778165,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 7:51 am Signed for by:DTINA; Albuquerque, NM"
4617,417358778187,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:43 am Signed for by:JJAN; Pompano Beach, FL"
4565,417358778198,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 4:33 pm Signed for by:GKLAY; The Villages, FL"
4595,417358778202,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:33 pm Signed for by:MMIRTA; Fort Lauderdale, FL"
4561,417358778213,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:30 pm Signed for by:JJXNXX; Jacksonville, FL"
4563,417358778224,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:58 am Signed for by:JJEOVANESSA; Dania Beach, FL"
4560,417358778246,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:48 pm Signed for by:MMICHAEL; West Palm Beach, FL"
4498,417358778327,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:01 am Signed for by:DDAVE; Pompano Beach, FL"
4441,417358778338,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:09 am Signed for by:AASHELY; West Palm Beach, FL"
4425,417358778371,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:06 am Signed for by:SCLEMENTE; Orlando, FL"
4380,417358778420,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 1:15 pm Signed for by:DDOROTHY; Coral Springs, FL"
4197,417358778452,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 10:44 am Signed for by:XDEA; Orlando, FL"
4211,417358778463,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:01 am Signed for by:HHILDA; Orlando, FL"
4174,417358778500,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:14 pm Signed for by:EEVAN; San Jose, CA"
4160,417358778522,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 2:40 pm Signed for by:MMARIA; Orlando, FL"
4157,417358778544,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 5:31 pm Signed for by:KYKYLYN; Cary, NC"
4142,417358778555,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:54 pm Signed for by:CFRANCE; Orlando, FL"
3935,417358778636,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 12:09 pm Signed for by:EELBA; Homestead, FL"
3862,417358778670,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:43 pm Signed for by:CSMITH; Daytona Beach, FL"
3817,417358778680,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 11:54 am Signed for by:ETAYLOR; Orlando, FL"
3713,417358778706,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:07 pm Signed for by:BBBRENT; Ladson, SC"
3629,417358778740,9/27/2024,Delivered,9/30/2024,"Delivered: 9/30/2024 3:13 pm Signed for by:AHILLQER; Port Orange, FL"
