Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,2,Eucerin 16.9oz Lotion 20pc PDQ,Full EC,1,2,
1,92,147pc Malt O Meal Bag Cereal Pallet,Full Stack,1,2,
1,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,2,2,
2,22,Every Day Pillow 50 PC Pallet,Full Stack,2,2,
2,23,PATRIOTIC Assorted Caps,Side-stack,1,2,
2,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,2,
2,95,Sensible Portions 14oz Veggie Straws 192ct pallet,Full Stack,1,2,
3,11,Pine Mountain 6pk/3hr Firelog,Full Stack,1,2,
3,20,Freshee Beach Towel Assortment Pallet (400 PCS),Full EC,1,2,
3,40,GAS-X 18ct Flavored Tablet Sidekick,SDK,1,2,
3,92,Heinz Art of the Burger Pallet 484 units,Full Stack,1,2,
4,20,Beach Rollup Mat End Cap (48 Pcs),Full EC,1,2,
4,80,"Bella Rosa Party Savors Entertain Tray, 36 units",Bunker,1,2,
4,80,"President Coeur de Brie, Heart Shaped,  42 units",Bunker,1,2,
4,92,Jambalaya Girl Gumbo and Jambalaya Mix,Half EC,1,2,
4,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,2,2,
9,92,WM GMI CHOCO STRAWBERRY CHEERIOS 252PC,Full Stack,1,2,
10,22,Every Day Pillow 50 PC Pallet,Full Stack,1,2,
10,40,20 PC Prilosec Sidekick,SDK,1,2,
10,92,Heinz Art of the Burger Pallet 484 units,Full Stack,1,2,
10,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,2,
10,95,23 oz Utz Cheddar Cheese Balls Barrel,Full Stack,1,2,
10,95,OTB Café Style 16.5oz Pallet (152 Ct),Full Stack,2,2,
10,95,Sensible Portions 14oz Veggie Straws 192ct pallet,Full Stack,1,2,
11,80,"Bella Rosa Party Savors Entertain Tray, 36 units",Bunker,1,2,
11,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,2,2,
12,2,Eucerin 16.9oz Lotion 20pc PDQ,Full EC,1,2,
12,22,Every Day Pillow 50 PC Pallet,Full Stack,2,2,
12,80,"Bella Rosa Party Savors Entertain Tray, 36 units",Bunker,1,2,
12,92,147pc Malt O Meal Bag Cereal Pallet,Full Stack,1,2,
12,92,"Cereal in a Cup Dump Bin Pallet, 960 units",Full Stack,1,2,
12,92,Heinz Art of the Burger Pallet 484 units,Full Stack,1,2,
12,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,2,
12,95,23 oz Utz Cheddar Cheese Balls Barrel,Full Stack,1,2,
12,95,OTB Café Style 16.5oz Pallet (152 Ct),Full Stack,2,2,
13,17,Fuzzy Bolster Pillow AA Pallet (144 pieces),Full Stack,1,2,
13,92,Heinz Art of the Burger Pallet 484 units,Full Stack,1,2,
