Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL
1973,5/9/2025,288539212084,350 E Fairmount Ave,Lakewood,NY,14750,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539212084
2911,5/9/2025,288539211158,3018 East Ave,Central Square,NY,13036,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211158
1610,5/9/2025,288539211022,100 Elmridge Center Dr,Greece,NY,14626,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211022
2097,5/9/2025,288539210243,460 Fairview Ave,Hudson,NY,12534,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539210243
1705,5/9/2025,288539211607,1860 N Road,Waterloo,NY,13165,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211607
2056,5/9/2025,288539211103,16 Old Gick Rd,Saratoga Springs,NY,12866,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211103
2285,5/9/2025,288539211662,103 N Caroline St,Herkimer,NY,13350,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211662
3332,5/9/2025,288539211309,1818 State Route #3,Fulton,NY,13069,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211309
2531,5/9/2025,288539212783,3133 E Main St,Mohegan Lake,NY,10547,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539212783
2992,5/9/2025,288539210611,3217 Silverback Ln,Painted Post,NY,14870,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539210611
2146,5/9/2025,288539206090,101 Sanford Farms Shopping Ctr,Amsterdam,NY,12010,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539206090
2905,5/9/2025,288539209950,250 Route 59,Suffern,NY,10901,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539209950
1806,5/9/2025,288539210622,329 S Kingsboro Ave Ext,Gloversville,NY,12078,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539210622
2785,5/9/2025,288539211240,441 Commerce Dr,Victor,NY,14564,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211240
1993,5/9/2025,288539211559,6265 Brockport Spencerport Rd,Brockport,NY,14420,https://www.fedex.com/apps/fedextrack/?tracknumbers=288539211559
