Store,Market,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2660,157,Half Pallet,39
805,340,Half Pallet,39
2180,157,Half Pallet,39
2502,231,Half Pallet,39
1341,254,Half Pallet,39
729,256,Half Pallet,39
2318,231,Half Pallet,39
3265,288,Half Pallet,39
603,278,Half Pallet,39
1301,312,Half Pallet,39
2297,448,Half Pallet,39
2054,450,Half Pallet,39
990,14,Half Pallet,39
4451,373,Half Pallet,39
1126,506,Half Pallet,39
4567,379,Half Pallet,39
886,426,Half Pallet,39
1757,419,Half Pallet,39
936,272,Half Pallet,39
1504,221,Half Pallet,39
1532,369,Half Pallet,39
2291,458,Half Pallet,39
2059,231,Half Pallet,39
3516,458,Half Pallet,39
1935,231,Half Pallet,39
1012,444,Half Pallet,39
2803,352,Half Pallet,39
2332,181,Half Pallet,39
2052,453,Half Pallet,39
3633,234,Half Pallet,39
2551,280,Half Pallet,39
892,414,Half Pallet,39
2199,216,Half Pallet,39
4279,44,Half Pallet,39
689,257,Half Pallet,39
3620,403,Half Pallet,39
2206,466,Half Pallet,39
10,347,Half Pallet,39
29,336,Half Pallet,39
31,351,Half Pallet,39
37,335,Half Pallet,39
69,335,Half Pallet,39
101,336,Half Pallet,39
103,351,Half Pallet,39
112,138,Half Pallet,39
141,321,Half Pallet,39
172,340,Half Pallet,39
188,335,Half Pallet,39
216,271,Half Pallet,39
231,351,Half Pallet,39
243,339,Half Pallet,39
272,153,Half Pallet,39
310,132,Half Pallet,39
372,406,Half Pallet,39
398,46,Half Pallet,39
452,80,Half Pallet,39
481,273,Half Pallet,39
492,580,Half Pallet,39
500,505,Half Pallet,39
512,505,Half Pallet,39
531,132,Half Pallet,39
532,130,Half Pallet,39
549,71,Half Pallet,39
554,88,Half Pallet,39
559,418,Half Pallet,39
577,362,Half Pallet,39
579,94,Half Pallet,39
581,414,Half Pallet,39
592,406,Half Pallet,39
632,36,Half Pallet,39
645,433,Half Pallet,39
670,2,Half Pallet,39
682,151,Half Pallet,39
694,254,Half Pallet,39
701,254,Half Pallet,39
721,118,Half Pallet,39
734,7,Half Pallet,39
746,76,Half Pallet,39
766,137,Half Pallet,39
775,279,Half Pallet,39
776,432,Half Pallet,39
797,418,Half Pallet,39
802,263,Half Pallet,39
804,48,Half Pallet,39
814,107,Half Pallet,39
821,71,Half Pallet,39
823,345,Half Pallet,39
842,389,Half Pallet,39
860,94,Half Pallet,39
870,580,Half Pallet,39
881,41,Half Pallet,39
890,91,Half Pallet,39
891,279,Half Pallet,39
906,384,Half Pallet,39
908,90,Half Pallet,39
910,442,Half Pallet,39
913,425,Half Pallet,39
928,98,Half Pallet,39
943,91,Half Pallet,39
948,304,Half Pallet,39
956,92,Half Pallet,39
958,263,Half Pallet,39
961,129,Half Pallet,39
972,479,Half Pallet,39
973,92,Half Pallet,39
975,350,Half Pallet,39
1035,42,Half Pallet,39
1055,583,Half Pallet,39
1062,63,Half Pallet,39
1072,27,Half Pallet,39
1081,93,Half Pallet,39
1085,104,Half Pallet,39
1086,90,Half Pallet,39
1097,309,Half Pallet,39
1117,51,Half Pallet,39
1125,278,Half Pallet,39
1132,298,Half Pallet,39
1152,426,Half Pallet,39
1160,243,Half Pallet,39
1176,441,Half Pallet,39
1178,50,Half Pallet,39
1194,122,Half Pallet,39
1238,310,Half Pallet,39
1241,418,Half Pallet,39
1242,294,Half Pallet,39
1264,222,Half Pallet,39
1267,441,Half Pallet,39
1280,388,Half Pallet,39
1289,221,Half Pallet,39
1300,302,Half Pallet,39
1313,77,Half Pallet,39
1326,429,Half Pallet,39
1327,243,Half Pallet,39
1333,222,Half Pallet,39
1337,304,Half Pallet,39
1348,300,Half Pallet,39
1350,315,Half Pallet,39
1353,128,Half Pallet,39
1355,302,Half Pallet,39
1371,580,Half Pallet,39
1376,152,Half Pallet,39
1377,270,Half Pallet,39
1378,247,Half Pallet,39
1390,111,Half Pallet,39
1406,286,Half Pallet,39
1410,223,Half Pallet,39
1411,366,Half Pallet,39
1420,264,Half Pallet,39
1423,203,Half Pallet,39
1430,439,Half Pallet,39
1433,222,Half Pallet,39
1441,221,Half Pallet,39
1447,419,Half Pallet,39
1449,439,Half Pallet,39
1454,275,Half Pallet,39
1460,429,Half Pallet,39
1473,421,Half Pallet,39
1483,430,Half Pallet,39
1489,269,Half Pallet,39
1490,263,Half Pallet,39
1495,223,Half Pallet,39
1496,415,Half Pallet,39
1500,430,Half Pallet,39
1522,320,Half Pallet,39
1523,287,Half Pallet,39
1529,233,Half Pallet,39
1533,369,Half Pallet,39
1535,430,Half Pallet,39
1536,111,Half Pallet,39
1538,430,Half Pallet,39
1545,412,Half Pallet,39
1553,264,Half Pallet,39
1557,482,Half Pallet,39
1564,218,Half Pallet,39
1566,247,Half Pallet,39
1567,427,Half Pallet,39
1571,442,Half Pallet,39
1575,457,Half Pallet,39
1577,424,Half Pallet,39
1581,427,Half Pallet,39
1588,445,Half Pallet,39
1600,447,Half Pallet,39
1612,366,Half Pallet,39
1618,238,Half Pallet,39
1624,447,Half Pallet,39
1626,352,Half Pallet,39
1627,427,Half Pallet,39
1632,412,Half Pallet,39
1647,248,Half Pallet,39
1654,419,Half Pallet,39
1655,482,Half Pallet,39
1656,228,Half Pallet,39
1660,448,Half Pallet,39
1662,304,Half Pallet,39
1665,239,Half Pallet,39
1671,433,Half Pallet,39
1673,192,Half Pallet,39
1677,189,Half Pallet,39
1679,438,Half Pallet,39
1685,430,Half Pallet,39
1689,376,Half Pallet,39
1698,183,Half Pallet,39
1699,401,Half Pallet,39
1703,280,Half Pallet,39
1708,401,Half Pallet,39
1709,248,Half Pallet,39
1718,222,Half Pallet,39
1722,421,Half Pallet,39
1738,421,Half Pallet,39
1742,165,Half Pallet,39
1744,192,Half Pallet,39
1749,183,Half Pallet,39
1752,204,Half Pallet,39
1755,453,Half Pallet,39
1759,288,Half Pallet,39
1762,157,Half Pallet,39
1764,413,Half Pallet,39
1768,582,Half Pallet,39
1776,442,Half Pallet,39
1779,265,Half Pallet,39
1780,315,Half Pallet,39
1784,477,Half Pallet,39
1788,183,Half Pallet,39
1789,452,Half Pallet,39
1790,197,Half Pallet,39
1796,184,Half Pallet,39
1802,411,Half Pallet,39
1805,463,Half Pallet,39
1806,189,Half Pallet,39
1810,164,Half Pallet,39
1828,439,Half Pallet,39
1830,191,Half Pallet,39
1831,191,Half Pallet,39
1833,291,Half Pallet,39
1835,190,Half Pallet,39
1843,477,Half Pallet,39
1844,178,Half Pallet,39
1853,461,Half Pallet,39
1856,179,Half Pallet,39
1859,463,Half Pallet,39
1861,422,Half Pallet,39
1862,462,Half Pallet,39
1868,180,Half Pallet,39
1871,187,Half Pallet,39
1885,229,Half Pallet,39
1886,234,Half Pallet,39
1887,232,Half Pallet,39
1899,461,Half Pallet,39
1901,383,Half Pallet,39
1904,292,Half Pallet,39
1909,195,Half Pallet,39
1918,156,Half Pallet,39
1923,200,Half Pallet,39
1929,419,Half Pallet,39
1931,440,Half Pallet,39
1936,196,Half Pallet,39
1939,180,Half Pallet,39
1954,183,Half Pallet,39
1956,382,Half Pallet,39
1961,225,Half Pallet,39
1964,161,Half Pallet,39
1969,290,Half Pallet,39
1971,425,Half Pallet,39
1976,190,Half Pallet,39
1983,450,Half Pallet,39
1987,205,Half Pallet,39
1988,455,Half Pallet,39
1996,553,Half Pallet,39
1999,424,Half Pallet,39
2002,451,Half Pallet,39
2004,415,Half Pallet,39
2010,201,Half Pallet,39
2022,162,Half Pallet,39
2030,450,Half Pallet,39
2032,446,Half Pallet,39
2055,183,Half Pallet,39
2077,460,Half Pallet,39
2078,216,Half Pallet,39
2086,56,Half Pallet,39
2088,195,Half Pallet,39
2091,110,Half Pallet,39
2104,164,Half Pallet,39
2107,195,Half Pallet,39
2111,13,Half Pallet,39
2116,187,Half Pallet,39
2127,440,Half Pallet,39
2130,183,Half Pallet,39
2133,82,Half Pallet,39
2140,180,Half Pallet,39
2146,189,Half Pallet,39
2150,458,Half Pallet,39
2153,183,Half Pallet,39
2158,156,Half Pallet,39
2177,459,Half Pallet,39
2191,207,Half Pallet,39
2200,162,Half Pallet,39
2202,180,Half Pallet,39
2204,267,Half Pallet,39
2210,195,Half Pallet,39
2221,333,Half Pallet,39
2227,159,Half Pallet,39
2228,154,Half Pallet,39
2233,280,Half Pallet,39
2236,167,Half Pallet,39
2243,478,Half Pallet,39
2249,467,Half Pallet,39
2252,168,Half Pallet,39
2266,214,Half Pallet,39
2270,375,Half Pallet,39
2273,205,Half Pallet,39
