store_number,IDC,Islander Trait
1234,7067,Games and Exploratory
2621,6060,Games and Exploratory
2555,6088,Games and Exploratory
548,6061,Games and Exploratory
5446,8980,Games and Exploratory
527,7042,Games and Exploratory
2534,6061,Games and Exploratory
420,7042,Games and Exploratory
530,7067,Games and Exploratory
5054,6061,Games and Exploratory
137,7042,Games and Exploratory
5261,7042,Games and Exploratory
2238,7078,Games and Exploratory
1905,6060,Games and Exploratory
5419,7067,Games and Exploratory
801,7042,Games and Exploratory
5129,6088,Games and Exploratory
1735,7078,Games and Exploratory
2902,6088,Games and Exploratory
315,7067,Games and Exploratory
5932,6061,Games and Exploratory
1164,8980,Games and Exploratory
2436,8980,Games and Exploratory
2782,6060,Games and Exploratory
1771,7078,Games and Exploratory
2256,6088,Games and Exploratory
1249,7042,Games and Exploratory
913,7078,Games and Exploratory
1609,7078,Games and Exploratory
1422,7078,Games and Exploratory
1142,7067,Games and Exploratory
5853,6060,Games and Exploratory
4477,8980,Games and Exploratory
4049,7078,Games and Exploratory
2853,6088,Games and Exploratory
180,7042,Games and Exploratory
4697,8980,Games and Exploratory
4200,6061,Games and Exploratory
2367,7078,Games and Exploratory
2811,6061,Games and Exploratory
1864,7078,Games and Exploratory
388,7042,Games and Exploratory
1578,6061,Games and Exploratory
2215,7078,Games and Exploratory
2740,6061,Games and Exploratory
1861,7078,Games and Exploratory
2417,7078,Games and Exploratory
1968,6088,Games and Exploratory
5416,7042,Games and Exploratory
404,7042,Games and Exploratory
2313,6088,Games and Exploratory
78,7067,Games and Exploratory
1362,6061,Games and Exploratory
1553,7078,Games and Exploratory
3893,7078,Games and Exploratory
3302,7042,Games and Exploratory
910,7078,Games and Exploratory
2644,7078,Games and Exploratory
5092,7042,Games and Exploratory
1661,8980,Games and Exploratory
1897,7078,Games and Exploratory
2947,6060,Games and Exploratory
1185,7042,Games and Exploratory
5210,7042,Games and Exploratory
4416,7042,Games and Exploratory
1690,7078,Games and Exploratory
580,6061,Games and Exploratory
199,7078,Games and Exploratory
4348,6088,Games and Exploratory
251,7042,Games and Exploratory
3404,7078,Games and Exploratory
333,7067,Games and Exploratory
1335,8980,Games and Exploratory
93,7067,Games and Exploratory
1947,6060,Games and Exploratory
540,7067,Games and Exploratory
468,7067,Games and Exploratory
412,7042,Games and Exploratory
2054,6060,Games and Exploratory
414,7042,Games and Exploratory
211,7042,Games and Exploratory
1670,6088,Games and Exploratory
4849,7078,Games and Exploratory
2538,6060,Games and Exploratory
3482,7042,Games and Exploratory
1137,7042,Games and Exploratory
1399,8980,Games and Exploratory
1283,6061,Games and Exploratory
2962,6061,Games and Exploratory
23,7067,Games and Exploratory
5111,6088,Games and Exploratory
1244,8980,Games and Exploratory
1580,7067,Games and Exploratory
2866,7078,Games and Exploratory
1963,6060,Games and Exploratory
4484,8980,Games and Exploratory
3505,7078,Games and Exploratory
5470,6088,Games and Exploratory
3857,7078,Games and Exploratory
2918,7042,Games and Exploratory
5033,7042,Games and Exploratory
3526,6061,Games and Exploratory
2843,6061,Games and Exploratory
822,7042,Games and Exploratory
1571,7078,Games and Exploratory
695,7067,Games and Exploratory
353,7042,Games and Exploratory
3561,6088,Games and Exploratory
1293,6061,Games and Exploratory
3280,6088,Games and Exploratory
1236,8980,Games and Exploratory
1396,7078,Games and Exploratory
4520,6061,Games and Exploratory
5276,7078,Games and Exploratory
4161,6061,Games and Exploratory
1284,6061,Games and Exploratory
667,7067,Games and Exploratory
2828,7078,Games and Exploratory
2911,6088,Games and Exploratory
2200,6088,Games and Exploratory
4358,7042,Games and Exploratory
4231,7078,Games and Exploratory
5488,6088,Games and Exploratory
2102,7078,Games and Exploratory
3490,8980,Games and Exploratory
2114,6061,Games and Exploratory
3349,6061,Games and Exploratory
5340,6088,Games and Exploratory
5854,6061,Games and Exploratory
959,6061,Games and Exploratory
2258,6088,Games and Exploratory
2131,7042,Games and Exploratory
1173,6061,Games and Exploratory
773,7067,Games and Exploratory
2643,7078,Games and Exploratory
2097,6088,Games and Exploratory
3388,6061,Games and Exploratory
2247,8980,Games and Exploratory
605,6061,Games and Exploratory
253,7067,Games and Exploratory
318,7067,Games and Exploratory
1388,7078,Games and Exploratory
2867,7078,Games and Exploratory
435,7067,Games and Exploratory
4284,7042,Games and Exploratory
2817,7078,Games and Exploratory
526,7067,Games and Exploratory
4514,8980,Games and Exploratory
1121,6061,Games and Exploratory
1916,6061,Games and Exploratory
314,7067,Games and Exploratory
2723,7067,Games and Exploratory
1076,6061,Games and Exploratory
186,7042,Games and Exploratory
3307,6061,Games and Exploratory
1101,7067,Games and Exploratory
2633,6088,Games and Exploratory
2520,6088,Games and Exploratory
1347,7042,Games and Exploratory
2728,7078,Games and Exploratory
4285,8980,Games and Exploratory
1325,6060,Games and Exploratory
3489,6088,Games and Exploratory
1688,6088,Games and Exploratory
3367,6061,Games and Exploratory
3389,6061,Games and Exploratory
1695,7078,Games and Exploratory
4250,8980,Games and Exploratory
7032,6088,Games and Exploratory
2565,8980,Games and Exploratory
3277,6060,Games and Exploratory
5812,8980,Games and Exploratory
402,7067,Games and Exploratory
329,7067,Games and Exploratory
973,6061,Games and Exploratory
2000,6088,Games and Exploratory
5779,6088,Games and Exploratory
2117,6060,Games and Exploratory
5118,8980,Games and Exploratory
2769,7042,Games and Exploratory
2062,7078,Games and Exploratory
3301,6088,Games and Exploratory
758,6061,Games and Exploratory
449,7067,Games and Exploratory
2820,7078,Games and Exploratory
3252,6088,Games and Exploratory
1021,7067,Games and Exploratory
1312,8980,Games and Exploratory
1068,6061,Games and Exploratory
1128,7067,Games and Exploratory
2771,7078,Games and Exploratory
1721,7078,Games and Exploratory
587,7067,Games and Exploratory
121,7042,Games and Exploratory
855,6061,Games and Exploratory
1691,7042,Games and Exploratory
2582,6088,Games and Exploratory
3432,7042,Games and Exploratory
5397,7078,Games and Exploratory
2048,6060,Games and Exploratory
4687,6088,Games and Exploratory
5398,7078,Games and Exploratory
4103,7042,Games and Exploratory
4278,8980,Games and Exploratory
4734,7042,Games and Exploratory
202,7042,Games and Exploratory
961,7067,Games and Exploratory
5034,6061,Games and Exploratory
3488,7078,Games and Exploratory
5458,7042,Games and Exploratory
778,6061,Games and Exploratory
2904,6088,Games and Exploratory
504,7042,Games and Exploratory
5058,7067,Games and Exploratory
3205,6061,Games and Exploratory
375,7067,Games and Exploratory
2137,8980,Games and Exploratory
4407,6061,Games and Exploratory
723,6061,Games and Exploratory
1226,7067,Games and Exploratory
155,7067,Games and Exploratory
3501,6088,Games and Exploratory
3781,7067,Games and Exploratory
3529,7067,Games and Exploratory
1206,7067,Games and Exploratory
2427,7042,Games and Exploratory
874,7067,Games and Exploratory
4643,6088,Games and Exploratory
5442,7078,Games and Exploratory
2041,6088,Games and Exploratory
4497,7067,Games and Exploratory
2901,6088,Games and Exploratory
5495,6088,Games and Exploratory
1562,7078,Games and Exploratory
730,7067,Games and Exploratory
1404,7078,Games and Exploratory
811,6061,Games and Exploratory
5363,6061,Games and Exploratory
1277,7078,Games and Exploratory
281,7067,Games and Exploratory
1136,7067,Games and Exploratory
126,7067,Games and Exploratory
2514,6088,Games and Exploratory
6173,7067,Games and Exploratory
2996,7042,Games and Exploratory
1467,7067,Games and Exploratory
448,7042,Games and Exploratory
5104,8980,Games and Exploratory
2832,6061,Games and Exploratory
1540,7078,Games and Exploratory
2198,7078,Games and Exploratory
1513,6061,Games and Exploratory
938,6061,Games and Exploratory
82,7067,Games and Exploratory
1895,8980,Games and Exploratory
1266,7067,Games and Exploratory
624,8980,Games and Exploratory
51,7067,Games and Exploratory
3831,6088,Games and Exploratory
433,7067,Games and Exploratory
5022,7067,Games and Exploratory
2190,6060,Games and Exploratory
1635,7078,Games and Exploratory
4191,6088,Games and Exploratory
1171,6061,Games and Exploratory
769,6061,Games and Exploratory
1711,7067,Games and Exploratory
5229,6088,Games and Exploratory
91,7067,Games and Exploratory
4414,7067,Games and Exploratory
1481,7067,Games and Exploratory
1821,8980,Games and Exploratory
847,7078,Games and Exploratory
1115,7067,Games and Exploratory
4249,6060,Games and Exploratory
700,7067,Games and Exploratory
1077,6061,Games and Exploratory
759,6061,Games and Exploratory
3311,6061,Games and Exploratory
5218,6061,Games and Exploratory
3497,7078,Games and Exploratory
1340,6061,Games and Exploratory
875,7067,Games and Exploratory
1187,7042,Games and Exploratory
2496,8980,Games and Exploratory
716,7067,Games and Exploratory
413,7042,Games and Exploratory
3167,7067,Games and Exploratory
977,6061,Games and Exploratory
1257,7042,Games and Exploratory
1057,6061,Games and Exploratory
