Region,Team,Start Time,End Time,Session,Location/Room
EAST,ASSET PROTECTION,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
NEIGHBORHOOD MARKET,ASSET PROTECTION,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
NORTH,ASSET PROTECTION,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
SOUTHEAST,ASSET PROTECTION,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
SOUTHWEST,ASSET PROTECTION,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
WEST,ASSET PROTECTION,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
EAST,DELIVERY,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
NEIGHBORHOOD MARKET,DELIVERY,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
NORTH,DELIVERY,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
SOUTHEAST,DELIVERY,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
SOUTHWEST,DELIVERY,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
WEST,DELIVERY,Feb. 27th 8 am,Feb. 27th 5:30 pm,REGIONAL LEADERSHIP MEETING,TRINITY BALLROOM - ANATOLE HILTON HOTEL
