Market Number,Store Number,Total Season Pallet Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
37,621,3,3,3
37,625,5,4,5
37,643,5,4,4
37,1829,2,2,3
37,2712,5,4,5
37,4664,6,5,5
37,5087,7,6,6
37,5705,6,4,4
38,511,6,5,6
38,616,9,8,9
38,627,6,4,4
38,630,9,7,8
38,634,11,9,10
38,642,11,8,8
38,1017,3,3,3
38,1030,16,11,11
38,1135,6,5,6
38,2703,6,5,5
38,4457,4,4,4
38,7188,7,5,5
39,396,9,8,9
39,514,9,8,9
39,624,11,9,9
39,644,11,9,10
39,795,4,3,3
39,1130,9,7,8
39,1270,12,9,10
39,1382,6,5,6
39,4487,4,3,3
39,6576,12,10,9
39,6887,7,6,7
41,881,10,8,9
41,1164,9,7,7
41,1183,9,6,7
41,1286,9,6,6
41,1339,14,11,13
41,2214,6,5,6
41,4420,12,10,11
41,4440,11,8,9
41,4506,9,6,6
41,4521,15,11,12
42,585,8,6,7
42,629,9,6,7
42,638,12,10,10
42,1035,12,9,10
42,1144,7,6,6
42,1281,11,8,9
42,1603,4,4,4
42,2806,10,8,9
42,3733,5,4,4
42,4237,5,4,4
42,4593,8,6,6
44,1455,10,8,9
44,1801,10,8,9
44,2978,14,9,10
44,3284,9,8,9
44,3285,14,12,14
44,3631,13,8,9
44,4279,15,10,10
44,4503,16,11,11
44,5147,13,11,13
45,251,7,7,7
45,265,9,7,8
45,412,13,10,11
45,516,15,13,13
45,827,11,10,11
45,1022,10,8,8
45,1044,10,7,8
45,2688,11,9,9
45,3764,9,7,8
45,6467,8,7,7
46,146,9,8,9
46,165,13,8,8
46,180,11,10,10
46,345,13,10,12
46,398,11,10,11
46,399,9,8,10
46,523,6,4,4
46,572,7,7,8
46,918,7,7,8
46,3828,7,6,7
47,38,10,9,10
47,49,7,6,7
47,131,9,8,9
47,148,13,11,12
47,181,8,6,7
47,226,6,5,6
47,240,6,5,6
47,417,15,12,14
47,427,11,10,11
47,468,8,7,8
47,2123,13,12,13
48,220,14,10,10
48,228,15,11,11
48,353,10,6,6
48,371,14,9,10
48,590,13,8,9
48,804,14,9,10
48,963,18,13,14
48,3431,14,10,10
48,4509,12,7,7
48,5359,19,14,15
49,284,14,8,9
49,471,13,11,12
49,896,18,13,13
49,3014,8,6,7
49,3432,8,7,8
49,3433,15,10,11
49,5288,13,12,12
49,5810,9,8,9
50,266,5,4,5
50,807,6,5,5
50,880,14,8,9
50,1178,6,5,6
50,2649,6,6,6
50,2834,10,6,6
50,3044,10,6,6
50,3274,6,5,6
50,5080,5,4,5
50,5416,9,5,5
51,202,2,1,1
51,1117,5,4,5
51,2918,3,3,3
51,2973,4,3,4
51,3406,3,2,2
51,3482,4,3,4
51,5210,8,7,8
51,5672,4,3,4
51,5673,6,5,6
52,206,7,5,6
52,467,5,5,5
52,3286,6,5,6
52,4627,10,9,10
52,5211,4,4,4
52,5311,5,4,4
52,5707,9,7,7
52,6963,9,8,9
53,217,6,5,6
53,426,4,4,4
53,1216,6,5,6
53,2105,7,5,6
53,2427,2,2,2
53,2996,3,3,3
53,4240,7,6,7
53,5092,5,4,5
53,5889,2,2,2
55,260,9,7,8
55,286,8,7,8
55,565,10,8,8
55,1118,11,9,11
55,2667,10,9,10
55,4164,12,10,12
55,4215,9,8,9
55,5191,13,12,12
56,2086,3,2,2
56,2463,3,3,3
56,2883,4,3,3
56,2926,2,2,2
56,3777,5,4,5
56,5866,2,2,2
56,6300,5,4,4
56,7178,8,7,8
58,2979,3,3,3
58,2981,2,1,2
58,3043,2,1,2
58,3135,2,2,2
58,3341,2,2,2
58,3392,2,2,2
58,3419,2,2,2
58,3594,3,2,3
58,3653,3,2,2
58,5613,3,2,3
58,5614,2,2,2
58,5624,2,2,2
58,6578,2,3,3
58,7251,3,2,3
58,7347,2,2,2
59,297,8,6,7
59,744,9,7,8
59,849,8,6,6
59,1103,7,6,7
59,1279,9,7,7
59,1837,8,6,7
59,4298,10,7,8
59,6579,10,8,9
60,194,8,6,6
60,522,10,9,9
60,1137,10,9,9
60,1186,10,8,9
60,2439,8,6,7
60,3298,5,4,4
60,3500,11,9,10
60,5116,8,7,7
61,462,8,7,8
61,504,6,5,5
61,527,5,3,3
61,529,8,7,7
61,808,8,6,7
61,1405,3,2,3
61,5388,5,4,4
62,546,7,5,6
62,872,6,4,5
62,915,5,4,4
62,2505,5,4,4
62,2993,4,3,3
62,3510,6,4,4
62,3572,7,5,6
62,5449,4,3,4
63,752,7,6,6
63,1062,5,4,4
63,2724,6,5,5
63,3425,6,4,4
63,4526,10,7,8
63,5612,8,6,6
63,5959,5,4,4
64,772,4,2,3
64,2066,3,2,2
64,3296,4,3,3
64,3302,3,2,2
64,3584,4,2,2
64,3827,3,2,2
65,344,2,1,1
65,768,6,5,5
65,1040,7,5,5
65,1409,3,2,2
65,3226,5,4,4
65,3640,4,2,2
65,4111,4,2,2
65,4512,6,4,4
65,5246,2,1,1
66,331,6,5,6
66,383,9,8,9
66,384,10,7,8
66,408,7,5,5
66,449,5,4,4
66,457,11,10,10
66,469,6,5,5
66,521,6,5,5
66,651,6,5,6
66,777,10,8,9
66,1204,11,9,10
67,703,6,4,5
67,2257,6,3,3
67,3297,5,3,4
67,4416,7,5,6
67,4538,6,4,4
67,5045,6,5,5
67,5091,6,5,5
68,351,3,2,2
68,400,9,7,8
68,602,4,3,3
68,3213,6,4,5
68,3390,4,3,3
68,3585,4,3,4
68,3591,6,5,6
68,5287,6,4,4
70,600,7,6,7
70,755,13,9,10
70,793,8,5,5
70,812,8,5,6
70,822,11,8,8
70,900,4,3,3
70,1516,7,5,6
70,3383,12,8,8
70,3384,9,5,6
70,5216,15,10,11
71,549,24,19,19
71,821,17,13,15
71,861,11,6,6
71,927,12,7,7
71,945,13,8,8
71,1051,9,4,4
71,2653,8,5,5
71,3826,8,3,4
71,4299,13,7,8
71,6898,9,5,5
73,513,7,5,5
73,537,18,14,14
73,608,12,9,10
73,897,8,6,6
73,2891,9,7,7
73,3645,15,8,8
74,438,8,3,3
74,535,14,9,9
74,536,12,7,7
74,601,8,5,5
74,1249,6,4,5
74,1257,7,3,4
74,1272,6,4,5
74,3381,5,4,4
74,7281,5,3,3
76,211,8,6,7
76,248,7,5,5
76,561,7,4,5
76,610,12,7,8
76,746,6,5,5
76,939,4,3,4
76,1254,7,5,6
76,5389,6,4,4
76,6929,6,5,5
76,7156,4,3,4
77,290,2,1,2
77,465,3,2,2
77,757,4,2,3
77,901,6,5,5
77,1313,4,3,3
77,3112,4,3,3
77,3279,4,3,3
77,4103,3,2,3
77,5144,5,3,4
77,5245,4,3,3
78,440,3,2,2
78,442,3,2,3
78,458,3,2,2
78,464,7,5,5
78,470,4,2,2
78,490,3,2,2
78,791,4,3,3
78,1494,2,2,2
78,5460,3,2,2
78,5898,4,3,3
80,395,3,2,2
80,397,3,2,2
80,429,4,3,3
80,452,3,2,2
80,1958,2,1,1
80,3320,3,2,2
80,3567,3,3,3
80,3886,5,4,4
80,4508,2,1,1
80,5165,3,2,2
80,5809,5,4,4
81,381,8,6,6
81,407,7,6,6
81,476,4,3,3
81,781,5,4,4
81,813,14,10,11
81,917,4,3,3
81,1073,4,3,3
81,1232,5,4,4
81,1303,6,4,4
81,3319,7,6,7
81,6286,7,5,5
82,1129,2,1,1
82,1253,3,2,2
82,2133,2,1,2
82,2991,5,3,3
82,4130,4,3,4
82,4163,3,2,2
82,4219,3,2,2
82,4554,2,1,1
82,5317,3,2,2
83,77,3,2,2
83,280,5,4,4
83,475,3,2,2
83,1185,2,1,2
83,3169,3,2,2
83,3170,3,2,2
83,3569,3,2,2
83,5479,3,2,2
83,5480,4,3,3
84,330,4,3,3
84,437,6,5,5
84,463,3,2,3
84,524,2,1,1
84,1098,3,2,2
84,4194,3,2,2
85,321,5,3,3
85,322,7,5,6
85,846,4,3,3
85,1042,6,4,5
85,1150,5,4,4
85,4183,3,2,2
86,999,4,3,4
86,1235,2,1,1
86,2239,4,3,3
86,2599,3,2,2
86,3058,3,2,2
86,3106,6,4,4
86,3888,6,4,5
86,4102,2,2,2
86,5145,3,2,2
87,292,3,2,2
87,404,4,3,3
87,765,4,3,3
87,865,6,4,4
87,1347,2,1,1
87,1803,2,1,1
87,2404,2,1,1
87,2769,3,2,2
87,3391,3,2,3
87,4055,5,4,5
87,4115,5,4,4
88,443,3,2,2
88,447,6,4,5
88,461,7,5,5
88,782,10,7,8
88,3518,4,2,2
88,3623,2,1,1
88,5713,3,2,2
89,110,4,4,4
89,705,16,12,13
89,800,11,9,11
89,942,12,10,11
89,959,7,7,7
89,2695,14,11,13
89,2843,11,9,10
89,4262,11,9,10
89,5299,8,7,7
90,817,6,5,6
90,908,7,4,5
90,1086,9,8,9
90,1220,7,5,6
90,2881,9,7,7
90,4332,4,3,3
90,4365,7,5,6
90,5214,6,5,6
90,5250,13,10,11
90,5420,4,3,4
91,890,12,11,11
91,943,11,9,9
91,955,12,10,11
91,3782,7,6,6
91,4588,9,7,8
91,5871,3,2,2
91,5894,6,5,5
92,174,11,9,10
92,649,14,12,13
92,771,5,4,5
92,931,9,6,7
92,973,12,10,11
92,974,13,11,12
92,1068,7,6,7
92,1702,9,8,9
92,3538,8,7,8
92,5455,16,13,13
93,538,10,8,9
93,551,16,14,16
93,697,18,15,16
93,960,11,10,11
93,1081,11,9,11
93,1283,11,10,11
93,1297,14,12,14
93,1847,14,12,13
93,3877,8,6,7
93,4368,10,9,11
93,5326,13,12,14
94,563,12,9,10
94,579,7,7,8
94,582,8,7,8
94,613,11,9,10
94,857,10,8,9
94,860,13,10,11
94,1079,7,6,6
94,1182,11,9,11
94,1391,9,7,8
94,3207,9,7,8
94,3310,12,10,11
96,2499,2,2,2
96,3162,5,4,5
96,4142,4,3,3
96,4160,4,3,4
96,4197,3,2,3
96,4211,3,3,3
96,4425,4,3,3
96,5106,3,2,2
96,5132,3,3,3
96,5179,3,3,3
96,5365,3,3,3
96,5366,3,3,3
96,6894,4,3,4
97,488,6,5,6
97,858,6,4,4
97,1077,9,7,8
97,1223,6,5,6
97,1375,14,12,14
97,1408,9,8,8
97,3307,9,8,9
97,4427,6,5,5
97,4520,5,4,5
97,5172,7,6,7
97,5422,11,8,8
98,928,8,6,7
98,1082,5,4,5
98,1172,6,5,5
98,1173,7,5,6
98,1444,10,8,9
98,3309,7,5,6
98,3702,12,11,12
98,4444,6,5,6
98,5037,13,11,13
98,5054,7,6,7
101,767,16,14,15
101,1083,12,11,12
101,1090,6,5,6
101,1205,10,9,10
101,1219,14,11,12
101,1225,9,8,9
101,2626,11,10,11
101,2920,9,8,10
101,3308,15,13,15
101,6978,11,9,10
102,2392,1,1,1
102,3066,3,2,3
102,4354,1,1,1
102,5321,2,1,2
102,5451,2,2,2
102,5453,4,3,4
102,5622,4,3,4
102,5826,3,2,2
102,6937,3,2,2
102,6941,3,2,3
102,6968,6,5,6
102,7221,3,2,3
102,7298,1,1,1
102,7307,1,1,1
103,2907,6,5,5
103,2930,1,1,1
103,3183,3,3,3
103,3935,3,3,3
103,4140,2,2,2
103,4498,1,1,1
103,4563,2,2,2
103,4595,2,2,2
103,4617,3,2,3
103,4826,3,2,3
103,5615,2,1,2
103,5719,3,3,3
103,5945,2,2,2
104,967,11,9,10
104,988,11,9,10
104,994,11,9,11
104,1029,11,8,9
104,1085,10,8,9
104,1104,11,8,8
104,1213,13,11,12
104,3415,5,4,4
104,3526,7,6,6
104,5266,13,11,11
104,5772,11,9,9
105,819,7,5,6
105,987,5,4,5
105,1957,2,2,2
105,3417,3,2,3
105,4063,3,2,2
105,5034,7,6,7
105,5055,3,3,3
105,5347,6,5,6
105,5391,5,4,5
107,814,10,9,10
107,929,10,8,9
107,1087,8,7,8
107,1436,5,3,4
107,1541,14,9,9
107,2176,5,4,4
107,3348,9,8,9
107,3527,11,9,10
107,4260,11,9,10
107,4446,10,7,8
107,5301,4,4,4
108,1387,7,6,6
108,1398,4,3,4
108,1517,3,2,2
108,1589,3,2,2
108,1916,4,3,4
108,2789,6,5,6
108,2962,8,7,8
108,2963,4,4,4
108,3858,2,2,2
108,5882,2,1,1
108,5911,3,3,3
109,1349,6,5,6
109,1845,4,3,4
109,1851,7,6,7
109,2151,3,3,3
109,2591,8,6,7
109,2946,10,8,9
109,2987,7,6,7
109,3625,6,5,6
109,5325,4,4,4
109,5932,7,6,7
110,1680,6,5,6
110,2091,7,6,7
110,2727,12,10,12
110,2814,8,6,6
110,4161,3,2,2
110,5671,9,8,9
110,5854,4,3,4
110,5912,8,6,7
110,6397,10,7,8
111,1390,11,9,9
111,1513,4,3,4
111,1536,9,6,7
111,1712,7,5,6
111,2081,7,5,6
111,2796,7,5,5
111,3372,6,5,6
111,4690,7,5,5
111,5218,11,8,9
112,1960,7,5,6
112,2627,6,4,4
112,2740,8,6,7
112,3197,8,6,6
112,3418,10,8,9
112,4681,7,5,5
112,5036,9,7,8
112,5220,4,3,3
112,5964,12,10,11
114,547,12,9,9
114,706,23,13,12
114,718,16,13,14
114,725,11,10,11
114,779,9,7,7
114,1245,15,13,15
114,2387,12,10,11
114,3463,15,12,12
115,528,7,6,7
115,666,11,8,9
115,769,4,3,4
115,1004,9,7,9
115,1171,5,4,4
115,2459,3,3,4
115,3370,10,8,9
115,3474,6,6,6
115,3887,9,8,9
115,5264,3,2,2
115,5727,4,4,4
116,580,13,10,12
116,759,4,4,4
116,859,11,9,10
116,941,9,6,7
116,968,13,11,12
116,1203,12,10,11
116,3347,13,10,10
116,5035,17,14,15
116,5300,11,8,8
118,623,10,8,8
118,721,8,7,8
118,778,7,6,7
118,811,6,5,5
118,1874,4,3,4
118,2237,11,8,9
118,2484,8,7,8
118,3349,6,6,6
118,3387,7,6,7
118,6190,8,7,7
119,477,10,8,9
119,619,14,12,12
119,663,15,12,14
119,698,14,12,14
119,1089,11,9,10
119,1606,11,9,10
119,3659,7,5,6
119,3835,11,9,9
119,4226,12,10,11
119,5263,15,13,14
120,658,12,10,11
120,669,12,10,12
120,756,10,9,9
120,1215,14,12,14
120,1458,16,14,16
120,1469,8,6,6
120,2988,11,9,11
120,3660,7,6,6
120,5151,11,10,11
120,5173,15,12,14
120,5251,8,5,6
121,366,13,10,11
121,583,11,8,9
121,676,15,13,14
121,687,15,13,14
121,741,11,9,10
121,1466,18,15,16
121,1467,11,8,9
121,4166,11,8,9
121,4635,13,10,11
122,672,13,10,10
122,1194,12,9,10
122,1318,10,8,9
122,1319,13,10,12
122,1320,12,9,11
122,2065,8,6,7
122,2932,7,5,5
122,4223,13,12,12
123,578,8,7,8
123,678,14,13,14
123,680,13,11,12
123,685,14,11,13
123,724,13,10,12
123,2310,10,8,9
123,3234,12,10,10
123,6370,12,9,10
124,599,15,12,13
124,620,10,8,9
124,690,18,14,16
124,742,17,13,15
124,1080,12,9,10
124,1694,11,10,11
124,2496,0,0,0
124,2749,13,12,12
124,3289,9,8,9
124,3829,11,9,10
124,3852,6,4,5
125,553,13,10,11
125,909,17,13,14
125,912,14,10,11
125,1163,11,8,9
125,2665,14,10,12
125,2706,13,11,11
125,3167,8,6,7
125,5022,13,8,7
127,87,8,7,8
127,278,8,7,8
127,323,4,3,3
127,376,8,7,8
127,448,11,9,9
127,450,10,8,9
127,876,8,6,7
127,1169,4,4,4
127,3868,5,5,5
127,6932,9,8,9
128,489,16,12,14
128,541,14,10,11
128,803,10,8,9
128,911,19,14,16
128,989,13,11,11
128,1342,10,8,9
128,1353,21,13,12
128,3616,15,12,13
128,4129,19,15,15
129,485,7,4,5
129,502,8,5,5
129,540,10,7,8
129,542,8,6,6
129,761,8,5,6
129,961,13,9,10
129,1016,10,7,7
129,2913,12,9,10
129,3483,9,6,7
130,428,12,9,10
130,532,16,11,11
130,839,17,13,15
130,935,16,13,13
130,1102,15,10,10
130,1206,13,8,8
130,1266,10,7,7
130,4683,7,4,4
131,401,3,3,3
131,1136,8,6,6
131,1196,8,5,6
131,2132,11,8,8
131,2822,13,9,10
131,3288,13,9,10
131,4679,14,11,11
131,5056,10,7,7
132,309,7,7,8
132,310,10,8,9
132,386,9,8,9
132,402,6,6,6
132,415,6,6,6
132,531,8,7,8
132,533,7,6,7
132,543,11,9,10
132,2938,5,5,6
132,7301,11,10,11
134,75,13,9,10
134,170,7,6,7
134,312,7,6,7
134,405,12,10,11
134,498,10,8,8
134,505,16,13,14
134,539,11,9,9
134,773,10,8,9
134,1107,8,8,8
134,1128,12,8,9
134,4295,11,8,8
135,23,10,7,8
135,98,9,6,6
135,149,5,4,4
135,244,4,3,3
135,307,13,9,9
135,976,10,7,7
135,1108,6,5,6
135,1109,8,5,5
135,1110,7,4,4
135,1193,11,7,7
136,155,15,12,14
136,182,14,12,12
136,347,7,5,6
136,699,9,7,8
136,707,10,7,8
136,716,9,7,7
136,1074,13,11,12
136,1468,9,8,9
136,1530,9,7,8
137,394,11,9,10
137,403,8,7,8
137,409,6,5,5
137,660,12,10,11
137,661,17,15,15
137,662,11,9,10
137,766,14,11,13
137,1100,7,6,7
137,1124,10,7,8
137,2690,6,5,5
137,4187,12,9,9
137,5703,11,8,9
138,112,10,8,9
138,115,6,4,4
138,183,8,7,7
138,205,10,9,10
138,239,11,9,10
138,305,8,5,6
138,495,18,15,15
138,981,16,12,13
138,1059,8,7,8
138,1069,9,8,8
138,1271,8,7,7
140,365,14,11,13
140,708,17,15,15
140,875,8,6,6
140,903,13,10,10
140,1710,11,8,9
140,2720,13,11,12
140,2755,14,10,11
140,2939,11,9,10
140,3059,7,5,6
140,3060,9,8,9
140,6469,12,10,11
141,501,19,16,18
141,785,15,12,12
141,816,21,16,18
141,874,14,9,10
141,887,12,10,11
141,916,14,11,12
141,954,11,8,9
141,1025,24,20,21
141,1106,11,7,8
141,1168,17,12,12
141,1192,15,10,10
141,2717,10,7,8
143,969,15,11,13
143,970,18,12,13
143,1066,14,12,14
143,1088,9,6,7
143,1195,14,11,12
143,1260,14,12,13
143,1346,13,11,13
143,2715,15,11,12
143,3528,13,9,9
143,5079,13,9,10
144,175,12,10,11
144,848,15,12,14
144,1248,10,8,9
144,2846,18,13,15
144,5196,9,7,8
144,5419,12,10,11
144,6964,13,11,12
145,94,17,14,16
145,950,13,8,9
145,1561,8,7,8
145,2322,7,6,6
145,4533,9,8,8
145,6807,8,7,7
146,64,7,5,6
146,93,11,9,11
146,97,8,7,7
146,104,10,8,9
146,106,5,5,6
146,107,11,9,9
146,120,10,7,8
146,177,12,9,11
146,335,13,10,11
146,410,12,10,11
146,675,10,8,9
146,677,17,13,15
147,161,7,6,7
147,218,8,6,7
147,238,12,9,10
147,268,14,12,14
147,393,14,12,13
147,466,8,6,6
147,683,15,12,13
147,684,16,14,16
147,738,8,7,8
147,1115,10,8,8
149,264,17,14,16
149,304,14,10,11
149,390,8,6,7
149,673,13,11,12
149,695,8,7,7
149,1075,13,10,12
149,1226,8,6,7
149,3137,8,7,8
149,3495,15,13,14
149,4435,6,5,5
149,4483,8,7,7
151,192,14,11,13
151,406,11,9,9
151,416,8,7,7
151,656,13,10,12
151,667,11,8,10
151,682,8,7,8
151,735,14,11,13
151,737,9,7,8
151,2757,10,8,9
151,3017,8,6,7
151,5057,17,15,15
152,308,13,10,11
152,568,7,6,6
152,587,10,8,9
152,657,12,10,11
152,668,17,15,16
152,671,12,10,11
152,674,12,9,10
152,879,11,10,10
152,1376,8,7,8
152,4414,7,5,6
152,5175,13,11,12
153,272,6,5,5
153,659,6,4,5
153,688,5,4,4
153,710,8,7,7
153,3717,2,1,1
153,4482,8,5,6
153,5058,5,3,4
153,5616,3,2,2
153,7020,10,8,8
154,1967,6,4,5
154,1984,6,4,4
154,2174,6,4,4
154,2289,5,4,4
154,2386,8,5,5
154,5278,8,6,6
156,2012,6,4,4
156,2155,4,3,3
156,2158,3,2,2
156,2329,3,2,2
156,2629,5,4,4
156,2964,4,3,3
156,3409,6,4,5
156,4387,5,4,4
157,1762,4,3,3
157,2222,3,1,2
157,3114,3,2,2
157,3535,4,2,2
159,1970,2,1,1
159,2103,4,2,3
159,2122,7,4,5
159,2128,3,2,2
159,2227,0,0,0
159,2336,4,2,2
160,2021,7,6,6
160,2095,6,4,4
160,2157,9,7,7
160,2366,6,5,5
160,2953,8,6,7
160,3560,10,6,6
160,5448,5,3,3
161,1873,6,4,4
161,1964,4,3,3
161,2225,8,6,6
161,2261,4,3,3
161,2283,7,5,6
162,1891,5,4,4
162,1980,6,4,5
162,2022,6,5,5
162,2282,10,6,6
162,2331,7,5,5
162,2854,8,7,7
162,5777,7,6,6
163,2299,5,4,4
163,2371,8,6,6
163,5095,6,4,5
163,5439,8,5,4
164,1810,5,3,3
164,1959,6,4,5
164,2104,6,4,4
164,2547,5,3,3
164,2637,5,3,3
164,2905,0,0,0
164,4570,4,3,3
165,1742,5,4,4
165,2108,3,2,3
165,3212,3,2,2
165,3337,4,3,3
165,3339,5,4,4
165,3774,5,4,4
165,5476,6,5,5
166,2141,7,5,5
166,2830,0,0,0
166,5881,5,3,3
166,5891,4,3,3
167,2263,4,3,3
167,2945,5,4,5
167,3475,3,2,2
167,3501,5,3,3
167,3541,4,2,3
