store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK03,12,0,
1,WK06,6,0,
1,WK07,4,0,
2,WK03,28,0,
2,WK04,7,0,
2,WK06,8,107,
2,WK07,5,0,
3,WK03,6,0,
3,WK05,4,0,
3,WK07,1,0,
4,WK03,28,0,
4,WK04,7,0,
4,WK06,8,107,
4,WK07,6,0,
5,WK03,12,0,
5,WK05,4,0,
5,WK06,3,0,
5,WK07,1,0,
7,WK03,6,0,
7,WK04,2,0,
8,WK03,6,0,
8,WK04,2,0,
8,WK05,3,0,
8,WK07,1,0,
9,WK03,8,0,
9,WK06,4,0,
9,WK07,1,0,
10,WK03,28,0,
10,WK04,6,0,
10,WK07,2,0,
11,WK03,16,110,
11,WK04,4,0,
11,WK06,1,0,
12,WK03,12,0,
12,WK06,6,0,
12,WK07,3,0,
13,WK03,11,0,
13,WK06,6,0,
13,WK07,3,0,
14,WK03,20,0,
14,WK04,4,0,
14,WK07,6,0,
14,WK08,2,0,
15,WK03,20,0,
15,WK04,4,0,
15,WK08,2,0,
16,WK03,12,0,
16,WK06,5,0,
16,WK07,4,0,
17,WK03,6,0,
17,WK04,2,0,
17,WK06,5,0,
17,WK07,1,0,
19,WK03,18,0,
19,WK04,7,0,
19,WK05,3,96,
19,WK06,2,0,
19,WK07,1,0,
20,WK03,20,0,
20,WK04,6,0,
20,WK07,14,0,
21,WK07,16,0,
21,WK08,4,0,
22,WK03,12,0,
22,WK06,6,0,
22,WK07,3,0,
23,WK03,12,0,
23,WK04,3,0,
23,WK06,2,0,
25,WK03,6,0,
25,WK04,2,0,
25,WK07,1,0,
26,WK03,12,0,
26,WK07,9,0,
26,WK08,1,0,
27,WK03,16,0,
27,WK04,4,0,
27,WK08,1,0,
28,WK03,12,0,
28,WK06,5,0,
28,WK07,4,0,
30,WK03,4,0,
32,WK03,6,0,
32,WK06,3,0,
32,WK07,1,0,
34,WK03,6,0,
34,WK04,2,0,
34,WK06,4,0,
34,WK07,1,0,
35,WK03,12,0,
35,WK07,7,0,
35,WK10,1,0,
36,WK03,12,0,
36,WK05,6,0,
36,WK06,2,0,
36,WK07,1,0,
37,WK03,16,0,
37,WK04,4,0,
37,WK07,5,118,
37,WK08,1,0,
38,WK03,6,0,
38,WK04,2,0,
38,WK05,4,0,
38,WK07,1,0,
39,WK03,12,0,
39,WK07,7,0,
39,WK10,2,0,
40,WK03,12,0,
40,WK04,4,0,
40,WK07,9,0,
41,WK03,6,0,
41,WK04,2,0,
41,WK06,2,0,
41,WK07,1,0,
42,WK03,6,0,
42,WK04,2,0,
42,WK06,3,0,
42,WK07,1,0,
43,WK03,12,0,
43,WK07,6,0,
45,WK03,6,0,
45,WK04,2,0,
45,WK05,3,0,
45,WK07,1,0,
46,WK03,19,0,
46,WK04,6,0,
46,WK07,3,115,
46,WK08,2,0,
47,WK03,6,0,
47,WK04,2,0,
47,WK07,1,0,
48,WK03,6,0,
48,WK04,2,0,
48,WK06,2,0,
48,WK07,1,0,
49,WK03,12,0,
49,WK04,4,0,
49,WK05,2,0,
49,WK07,1,0,
50,WK03,6,0,
50,WK04,2,0,
50,WK06,4,0,
50,WK07,1,0,
52,WK03,18,0,
52,WK04,8,0,
52,WK05,7,0,
52,WK06,2,0,
52,WK07,1,0,
54,WK03,6,0,
54,WK06,4,0,
54,WK07,1,0,
56,WK03,21,0,
56,WK04,6,0,
56,WK07,4,102,
56,WK08,2,0,
58,WK03,28,0,
58,WK04,8,0,
58,WK05,4,0,
58,WK06,2,0,
58,WK07,1,0,
59,WK03,18,0,
59,WK04,6,0,
59,WK06,12,0,
59,WK07,5,0,
60,WK03,12,0,
60,WK07,7,0,
60,WK08,2,0,
61,WK03,18,0,
61,WK04,6,0,
61,WK07,12,0,
63,WK03,12,0,
63,WK06,6,0,
63,WK07,3,0,
65,WK03,19,0,
65,WK04,6,0,
65,WK07,16,0,
65,WK08,2,0,
66,WK03,28,0,
66,WK04,4,0,
66,WK06,7,0,
66,WK07,5,0,
67,WK03,22,0,
67,WK04,4,0,
67,WK06,11,0,
67,WK07,7,0,
69,WK03,23,0,
69,WK04,6,0,
69,WK07,4,109,
69,WK08,2,0,
71,WK03,18,0,
71,WK04,8,0,
71,WK05,11,0,
71,WK06,2,0,
71,WK07,1,0,
72,WK03,6,0,
72,WK04,2,0,
72,WK06,4,0,
72,WK07,1,0,
73,WK03,6,0,
73,WK04,2,0,
73,WK06,3,0,
73,WK07,1,0,
75,WK03,6,0,
75,WK04,1,0,
76,WK03,22,0,
76,WK04,4,0,
76,WK06,11,0,
76,WK07,4,0,
77,WK03,4,0,
77,WK04,2,0,
77,WK06,1,0,
78,WK03,6,0,
78,WK04,2,0,
78,WK07,1,0,
79,WK03,16,0,
79,WK06,9,0,
79,WK07,4,0,
81,WK03,6,0,
81,WK06,2,0,
81,WK07,1,0,
82,WK03,19,0,
82,WK04,6,0,
82,WK07,4,108,
82,WK08,2,0,
85,WK03,6,0,
85,WK04,2,0,
85,WK05,4,0,
85,WK07,1,0,
86,WK03,18,0,
86,WK04,4,0,
86,WK07,10,0,
86,WK08,2,0,
87,WK03,6,0,
87,WK04,3,0,
87,WK07,1,0,
88,WK03,6,0,
88,WK04,2,0,
88,WK07,5,0,
89,WK03,28,0,
89,WK04,7,0,
89,WK08,2,0,
90,WK03,19,0,
90,WK04,3,0,
90,WK06,2,109,
90,WK07,4,0,
92,WK03,22,0,
92,WK04,2,0,
