Store Number,Outpost in Week 20,Outpost in March,Had an Outpost,Have an Organic Table,Have a Nut Rack,
1,Yes,,,Yes,,
2,Yes,,,Yes,,
3,,Yes,,Yes,,
4,Yes,,,Yes,Yes,
5,Yes,,,Yes,Yes,
7,Yes,,,Yes,Yes,
8,Yes,,,,,
9,Yes,,,Yes,Yes,
10,Yes,,,Yes,Yes,
11,,,Yes,Yes,Yes,
12,Yes,,,Yes,Yes,
13,,,Yes,Yes,,
14,Yes,,,Yes,,
15,Yes,,,Yes,,
16,Yes,,,Yes,,
17,,,Yes,Yes,Yes,
18,Yes,,,,,
19,Yes,,,Yes,,
20,Yes,,,Yes,,
21,Yes,,,Yes,,
22,Yes,,,Yes,,
23,Yes,,,Yes,Yes,
24,Yes,,,Yes,Yes,
26,,,Yes,Yes,Yes,
28,Yes,,,Yes,Yes,
29,,,Yes,Yes,Yes,
31,Yes,,,Yes,Yes,
33,Yes,,,,,
34,Yes,,,,,
35,Yes,,,Yes,,
36,Yes,,,Yes,,
37,Yes,,,Yes,Yes,
38,Yes,,,,,
39,Yes,,,,,
40,Yes,,,Yes,Yes,
41,,,Yes,Yes,Yes,
42,Yes,,,,,
43,Yes,,,Yes,,
45,Yes,,,Yes,Yes,
46,Yes,,,Yes,Yes,
47,Yes,,,Yes,,
48,,,Yes,Yes,,
49,Yes,,,,,
50,Yes,,,,,
51,Yes,,,Yes,,
52,Yes,,,Yes,,
54,Yes,,,Yes,Yes,
55,Yes,,,,,
317,Yes,,,,,
58,,,Yes,Yes,Yes,
59,,,Yes,Yes,Yes,
60,Yes,,,Yes,,
61,,,Yes,Yes,Yes,
62,Yes,,,,,
63,Yes,,,,,
64,Yes,,,,,
65,Yes,,,Yes,,
66,Yes,,,Yes,Yes,
67,Yes,,,Yes,,
68,Yes,,,,,
69,Yes,,,Yes,,
70,Yes,,,Yes,Yes,
71,Yes,,,,,
72,Yes,,,Yes,,
73,Yes,,,Yes,Yes,
74,Yes,,,,,
75,Yes,,,Yes,,
76,,,Yes,Yes,,
77,Yes,,,,,
78,Yes,,,Yes,Yes,
79,,,Yes,Yes,,
80,Yes,,,Yes,,
81,Yes,,,,,
83,Yes,,,Yes,,
85,,Yes,,Yes,Yes,
86,Yes,,,Yes,Yes,
87,Yes,,,Yes,Yes,
89,Yes,,,Yes,Yes,
90,Yes,,,Yes,Yes,
91,Yes,,,,,
92,Yes,,,,,
93,Yes,,,,,
94,Yes,,,Yes,,
95,Yes,,,Yes,Yes,
96,Yes,,,Yes,,
97,Yes,,,,,
98,Yes,,,,,
100,Yes,,,Yes,,
101,Yes,,,Yes,Yes,
102,Yes,,,,,
103,Yes,,,Yes,Yes,
104,Yes,,,Yes,Yes,
105,,Yes,,Yes,Yes,
106,Yes,,,,,
107,Yes,,,Yes,,
108,Yes,,,Yes,,
109,Yes,,,Yes,,
110,,Yes,,Yes,Yes,
111,Yes,,,,,
112,Yes,,,Yes,Yes,
113,Yes,,,Yes,,
114,Yes,,,,,
115,Yes,,,,,
118,Yes,,,,,
119,Yes,,,Yes,Yes,
120,Yes,,,,,
121,Yes,,,Yes,Yes,
122,Yes,,,Yes,,
123,Yes,,,,,
124,,Yes,,Yes,Yes,
125,,,Yes,Yes,Yes,
126,,,Yes,Yes,,
127,Yes,,,Yes,,
128,Yes,,,Yes,,
129,Yes,,,Yes,Yes,
130,Yes,,,Yes,,
131,,,Yes,Yes,Yes,
132,,,Yes,,,
133,Yes,,,,,
134,Yes,,,Yes,Yes,
137,Yes,,,Yes,Yes,
138,Yes,,,Yes,Yes,
139,Yes,,,Yes,,
140,Yes,,,Yes,Yes,
141,Yes,,,Yes,Yes,
143,Yes,,,Yes,,
