Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
14,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,1,,
15,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,,
15,Dept 08,"6 Qt Round Heated Pet Bowl, Blue, 40 units",Full Endcap,1,,
15,Dept 14,Holiday Time Gadgets,Full Stack,1,,
15,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,3,,
15,Dept 16,27IN SNOW ROLLER,PDQ,3,,
15,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
15,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,3,,
15,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,2,,
15,Dept 23,"Mens Wrangler Thermals, Socks, Beanie, And Sleep",Full Stack,1,,
15,Dept 24,200 PC LEVIS SIGNATURE BOYS HAT GLOVE SET,Half Stack,1,,
15,Dept 24,72 PC TEC ONE SKI JACKETS & SNOW BIBS,4-way,1,,
15,Dept 24,"96 PC ICEBURG SNOW JKT, PUFFER & FLANNEL SHACKET",4-way,1,,
15,Dept 31,180pc Muk Luks 2pk Beanie & 3pk Glove Sets,Half Stack,1,,
15,Dept 31,216pc Licensed CW - Half Pallet - AI,Half Stack,1,,
15,Dept 31,360pc Ozark Trail Ski Acc - Full Pallet,Full Stack,1,,
15,Dept 31,428pc Licensed Character Sets (feature has multi pricepoints),Half Stack,1,,
15,Dept 33,2 Heavyweight Jackets and 3 Snow Pants,4-way,1,,
15,Dept 33,2 Quilted Ski and Snow Jackets and 3 Snow Bibs,4-way,1,,
15,Dept 33,6 World Famous Girls Insulated Down Jackets,4-way,1,,
15,Dept 34,Heavyweight Outerwear Removable Hood (2 prices),4-way,1,,
15,Dept 34,"Micro Fleece Jacket, Vest & FullZip Jkt (2 prices)",4-way,1,,
15,Dept 34,Quilted Down Outerwear Vests (2 pricepoints),4-way,1,,
15,Dept 34,"Tec-One Ski, Snow Jacket & Bib (2 prices)",4-way,1,,
15,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,,
15,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,1,,Cancel due to tariffs.
15,Dept 71,"MS 6FT FLD TABLE BLK, 10 units",Full Endcap,1,,Cancel due to tariffs.
