STORE,Alignment Week,Alignment Date,Delivery Type,Current DC,New DC,Freezer SD/ND,Freezer Delivery Window,First Day Comments
220,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
228,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
353,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
371,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
421,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
438,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
561,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
590,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
610,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,Store will receive two Freezer trucks 8/19
804,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
807,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
940,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
963,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
972,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
1455,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
1801,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
2834,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
2978,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-21:00:00,No Change
2979,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-21:00:00,No Change
2980,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
2981,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-18:00:00,No Change
3043,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3044,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3135,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3274,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3419,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3431,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3594,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3631,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3653,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-21:00:00,No Change
3773,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
3870,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
4165,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
4509,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
5080,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
5247,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
5312,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
5316,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
5359,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
5764,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
6578,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
7251,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
7347,29,8/19/2025,Freezer,6064,8348,Same Day Delivery,09:00:00-23:59:00,No Change
