,900,901,902,903,904,905,584 (SPRING 27'),804
STORE #,JOYSPUN COMBO BRA&UW,NB COMBO BRAS&UW,HANES COMBO BRA&UW,FOL COMBO BRA&UW,WARNERS COMBO BRA&UW,VF COMBO BRA&UW,REEBOK COMBO BRA&UW,JESSICA SIMPSON
1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,Yes,No,Yes,Yes,Yes,Yes,Yes,No
3,No,No,No,No,No,No,Yes,No
4,Yes,No,Yes,Yes,Yes,Yes,Yes,No
5,Yes,No,Yes,Yes,Yes,Yes,Yes,No
7,Yes,No,Yes,Yes,Yes,Yes,Yes,No
8,Yes,No,Yes,Yes,Yes,Yes,Yes,No
9,No,No,No,No,No,No,Yes,No
10,Yes,No,Yes,Yes,Yes,Yes,Yes,No
11,Yes,No,No,Yes,Yes,Yes,Yes,No
12,No,No,No,No,No,No,Yes,No
13,Yes,No,Yes,Yes,Yes,Yes,Yes,No
14,Yes,No,Yes,Yes,Yes,Yes,Yes,No
15,Yes,No,Yes,Yes,Yes,Yes,Yes,No
16,Yes,No,Yes,Yes,Yes,Yes,Yes,No
17,Yes,No,Yes,Yes,Yes,Yes,Yes,No
18,Yes,No,Yes,Yes,Yes,Yes,No,No
19,No,No,No,No,No,No,Yes,No
20,Yes,No,Yes,Yes,Yes,Yes,Yes,No
21,Yes,No,Yes,Yes,Yes,Yes,Yes,No
22,No,No,No,No,No,No,Yes,No
23,Yes,No,Yes,Yes,Yes,Yes,Yes,No
24,Yes,No,Yes,Yes,Yes,Yes,Yes,No
25,Yes,No,Yes,Yes,Yes,Yes,Yes,No
26,Yes,No,Yes,Yes,Yes,Yes,Yes,No
27,Yes,No,Yes,Yes,Yes,Yes,No,No
28,Yes,No,Yes,Yes,Yes,Yes,Yes,No
29,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
30,Yes,No,Yes,Yes,Yes,Yes,Yes,No
31,Yes,No,Yes,Yes,Yes,Yes,Yes,No
32,Yes,No,Yes,Yes,Yes,Yes,No,No
33,No,No,No,No,No,No,No,No
34,No,No,No,No,No,No,Yes,No
35,Yes,No,Yes,Yes,Yes,Yes,Yes,No
36,No,No,No,No,No,No,Yes,No
37,Yes,No,Yes,Yes,Yes,Yes,Yes,No
38,No,No,No,No,No,No,Yes,No
39,Yes,No,Yes,Yes,Yes,Yes,Yes,No
40,No,No,No,No,No,No,Yes,No
41,No,No,No,No,No,No,No,No
42,No,No,No,No,No,No,No,No
43,Yes,No,Yes,Yes,Yes,Yes,Yes,No
44,Yes,No,Yes,Yes,Yes,Yes,No,No
45,Yes,No,Yes,Yes,Yes,Yes,Yes,No
46,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
47,Yes,No,Yes,Yes,Yes,Yes,Yes,No
48,Yes,No,Yes,Yes,Yes,Yes,Yes,No
49,Yes,No,Yes,Yes,Yes,Yes,Yes,No
50,No,No,No,No,No,No,Yes,No
51,Yes,No,Yes,Yes,Yes,Yes,Yes,No
52,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
54,Yes,No,Yes,Yes,Yes,Yes,Yes,No
55,Yes,No,Yes,Yes,Yes,Yes,Yes,No
56,Yes,No,Yes,Yes,Yes,Yes,Yes,No
57,Yes,No,Yes,Yes,Yes,Yes,No,No
58,Yes,No,Yes,Yes,Yes,Yes,Yes,No
59,Yes,No,Yes,Yes,Yes,Yes,Yes,No
60,Yes,No,Yes,Yes,Yes,Yes,Yes,No
61,No,No,No,No,No,No,Yes,No
62,Yes,No,Yes,Yes,Yes,Yes,Yes,No
63,No,No,No,No,No,No,No,No
64,Yes,No,Yes,Yes,Yes,Yes,No,No
65,Yes,No,Yes,Yes,Yes,Yes,Yes,No
66,Yes,No,Yes,Yes,Yes,Yes,Yes,No
67,Yes,No,Yes,Yes,Yes,Yes,Yes,No
68,No,No,No,No,No,No,No,No
69,Yes,No,Yes,Yes,Yes,Yes,Yes,No
70,Yes,No,Yes,Yes,Yes,Yes,Yes,No
71,Yes,No,Yes,Yes,Yes,Yes,Yes,No
72,Yes,No,Yes,Yes,Yes,Yes,Yes,No
73,Yes,No,Yes,Yes,Yes,Yes,Yes,No
74,No,No,No,No,No,No,No,No
75,No,No,No,No,No,No,No,No
76,Yes,No,Yes,Yes,Yes,Yes,Yes,No
77,Yes,No,Yes,Yes,Yes,Yes,Yes,No
78,Yes,No,Yes,Yes,Yes,Yes,Yes,No
79,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
80,Yes,No,Yes,Yes,Yes,Yes,No,No
81,Yes,No,Yes,Yes,Yes,Yes,No,No
82,Yes,No,Yes,Yes,Yes,Yes,Yes,No
83,No,No,No,No,No,No,No,No
85,Yes,No,Yes,Yes,Yes,Yes,Yes,No
86,Yes,No,Yes,Yes,Yes,Yes,Yes,No
87,No,No,No,No,No,No,No,No
88,Yes,No,Yes,Yes,Yes,Yes,Yes,No
89,Yes,No,Yes,Yes,Yes,Yes,Yes,No
90,Yes,No,Yes,Yes,Yes,Yes,Yes,No
91,Yes,No,Yes,Yes,Yes,Yes,Yes,No
92,Yes,No,Yes,Yes,Yes,Yes,Yes,No
93,Yes,No,Yes,Yes,Yes,Yes,Yes,No
94,Yes,No,Yes,Yes,Yes,Yes,Yes,No
95,Yes,No,Yes,Yes,Yes,Yes,Yes,No
96,Yes,No,Yes,Yes,Yes,Yes,Yes,No
97,Yes,No,Yes,Yes,Yes,Yes,No,No
98,Yes,No,Yes,Yes,Yes,Yes,Yes,No
99,Yes,No,Yes,Yes,Yes,Yes,Yes,No
100,Yes,No,Yes,Yes,Yes,Yes,Yes,No
101,Yes,No,Yes,Yes,Yes,Yes,Yes,No
102,Yes,No,Yes,Yes,Yes,Yes,Yes,No
103,No,No,No,No,No,No,Yes,No
104,Yes,No,Yes,Yes,Yes,Yes,Yes,No
105,No,No,No,No,No,No,Yes,No
106,Yes,No,Yes,Yes,Yes,Yes,No,No
107,Yes,No,Yes,Yes,Yes,Yes,No,No
108,Yes,No,Yes,Yes,Yes,Yes,Yes,No
109,Yes,No,Yes,Yes,Yes,Yes,Yes,No
110,Yes,No,Yes,Yes,Yes,Yes,Yes,No
111,No,No,No,No,No,No,No,No
112,Yes,No,Yes,Yes,Yes,Yes,Yes,No
113,Yes,No,Yes,Yes,Yes,Yes,Yes,No
114,Yes,No,Yes,Yes,Yes,Yes,No,No
115,Yes,No,Yes,Yes,Yes,Yes,No,No
116,No,No,No,No,No,No,No,No
117,Yes,No,Yes,Yes,Yes,Yes,No,No
118,Yes,No,Yes,Yes,Yes,Yes,No,No
119,Yes,No,Yes,Yes,Yes,Yes,Yes,No
120,Yes,No,Yes,Yes,Yes,Yes,Yes,No
121,No,No,No,No,No,No,No,No
122,Yes,No,Yes,Yes,Yes,Yes,Yes,No
123,No,No,No,No,No,No,No,No
124,Yes,No,Yes,Yes,Yes,Yes,Yes,No
125,Yes,No,Yes,Yes,Yes,Yes,Yes,No
126,Yes,No,Yes,Yes,Yes,Yes,Yes,No
127,Yes,No,Yes,Yes,Yes,Yes,No,No
128,Yes,No,Yes,Yes,Yes,Yes,Yes,No
129,Yes,No,Yes,Yes,Yes,Yes,Yes,No
130,Yes,No,Yes,Yes,Yes,Yes,Yes,No
131,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
132,Yes,No,Yes,Yes,Yes,Yes,No,No
133,No,No,No,No,No,No,No,No
134,Yes,No,Yes,Yes,Yes,Yes,Yes,No
135,Yes,No,Yes,Yes,Yes,Yes,Yes,No
136,Yes,No,Yes,Yes,Yes,No,No,No
137,Yes,No,Yes,Yes,Yes,Yes,Yes,No
138,Yes,No,Yes,Yes,Yes,Yes,Yes,No
139,Yes,No,Yes,Yes,Yes,Yes,Yes,No
140,Yes,No,Yes,Yes,Yes,Yes,Yes,No
141,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
143,Yes,No,Yes,Yes,Yes,Yes,Yes,No
144,Yes,No,Yes,Yes,Yes,Yes,Yes,No
145,Yes,No,Yes,Yes,Yes,Yes,No,No
146,Yes,No,Yes,Yes,Yes,Yes,Yes,No
147,Yes,No,Yes,Yes,Yes,Yes,Yes,No
148,Yes,No,Yes,Yes,Yes,Yes,Yes,No
149,No,No,No,No,No,No,Yes,No
150,No,No,No,No,No,No,Yes,No
151,Yes,No,Yes,Yes,Yes,Yes,Yes,No
