Market Number,Store Number,Total Season Pallet Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
1,853,16,14,16
1,866,21,19,21
1,904,14,12,14
1,934,12,11,12
1,991,19,16,18
1,1212,21,20,21
1,2748,7,6,6
1,4333,12,10,11
1,4581,11,9,10
1,5174,18,16,17
1,6173,13,11,13
2,562,12,11,12
2,670,23,21,21
2,762,12,11,12
2,1158,13,12,12
2,1711,13,10,12
2,2723,14,11,13
2,5113,20,17,19
2,7280,18,16,17
3,298,18,15,17
3,300,12,11,12
3,301,16,14,15
3,315,17,14,16
3,316,14,12,13
3,691,17,16,16
3,1201,20,18,20
3,2713,16,14,15
3,3386,16,15,15
3,5126,13,12,13
4,105,19,17,19
4,114,12,12,12
4,118,16,12,14
4,153,16,13,15
4,164,17,14,16
4,258,17,16,16
4,273,11,10,11
4,303,9,7,7
4,391,13,11,12
5,306,15,14,14
5,314,15,12,13
5,332,8,7,8
5,375,8,7,7
5,433,8,7,7
5,434,11,8,9
5,681,15,13,14
5,712,17,14,16
5,5197,11,10,10
5,6878,17,15,16
5,7324,11,9,9
7,604,19,18,18
7,723,18,15,17
7,734,19,16,18
7,740,12,10,10
7,1091,17,15,17
7,1134,17,15,17
7,1462,13,10,12
7,1638,11,10,10
7,2114,16,13,14
7,2534,16,15,17
8,424,14,12,13
8,483,20,15,15
8,700,13,10,10
8,930,14,11,11
8,938,13,10,12
8,1101,15,14,14
8,4318,16,13,14
8,4407,12,10,11
8,5348,12,10,10
9,3049,6,5,5
9,3143,4,4,4
9,3357,4,4,4
9,3377,9,7,8
9,4264,3,3,3
9,4293,6,6,6
9,4324,3,3,3
9,4473,8,6,6
9,4490,9,8,8
9,4603,4,4,4
9,5304,4,4,4
9,5725,7,5,6
10,329,12,12,12
10,355,15,13,14
10,356,9,8,8
10,432,9,8,8
10,726,12,11,11
10,730,16,14,16
10,733,14,11,13
10,809,18,16,18
10,863,13,10,11
10,1057,9,6,7
11,287,19,16,18
11,362,8,7,8
11,425,8,8,8
11,715,17,14,15
11,731,14,11,12
