Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,1118,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202411,89.80%,98.70%,7.8,88.70%,91.20%,93.50%,85.90%
7,781,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202411,91.20%,95.60%,8.3,97.20%,93.00%,89.00%,85.30%
44,38,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202411,81.40%,99.00%,7.3,67.50%,76.60%,94.70%,84.80%
44,427,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202411,79.50%,92.70%,9.9,81.20%,72.30%,80.80%,83.20%
44,276,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202411,84.90%,99.20%,5.4,93.30%,76.10%,87.10%,83.10%
64,5327,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202411,92.80%,93.40%,8,90.70%,96.10%,96.70%,87.80%
13,4683,UBER,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202411,92.50%,99.50%,7.3,94.40%,95.20%,93.50%,84.60%
13,3167,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202411,93.10%,97.70%,8.9,90.40%,96.00%,96.10%,89.70%
7,2133,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202411,87.30%,91.00%,9.9,89.70%,87.70%,84.30%,87.80%
7,3106,UBER,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202411,90.60%,98.70%,9.5,90.40%,81.10%,97.30%,93.30%
6,1098,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202411,86.40%,99.80%,5.5,81.80%,91.50%,82.00%,89.70%
6,482,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Driver Supply Focus,202411,90.10%,100.00%,3.5,86.70%,100.00%,94.40%,80.00%
6,4526,UBER,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202411,88.10%,96.20%,9.4,91.20%,85.10%,89.10%,86.60%
6,5612,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202411,86.70%,96.40%,8.7,87.40%,85.60%,88.40%,85.50%
6,5612,UBER,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202411,86.30%,95.00%,8.9,88.50%,81.40%,88.20%,87.00%
6,5959,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202411,83.60%,99.00%,7.9,84.70%,83.00%,82.60%,83.90%
6,293,SPARK,Scheduled Standard Delivery,38,Executive Review,Recovering,Driver Supply Focus,202411,84.10%,98.90%,4,91.30%,90.00%,80.00%,76.00%
6,567,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202411,75.00%,100.00%,4.9,81.80%,30.00%,100.00%,81.80%
46,1746,UBER,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202411,80.00%,98.80%,9.9,72.40%,80.50%,84.10%,81.80%
59,5804,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202411,90.10%,92.50%,6.3,88.20%,,100.00%,95.00%
41,4450,UBER,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202411,90.30%,96.10%,9.5,90.50%,92.60%,88.40%,90.10%
