Store #:,Launch Week:,Launch Date:
195,Week 35,9/29/2022
297,Week 35,9/29/2022
484,Week 35,9/29/2022
575,Week 35,9/27/2022
577,Week 35,9/27/2022
602,Week 35,9/29/2022
674,Week 35,9/29/2022
703,Week 35,9/29/2022
768,Week 35,9/29/2022
880,Week 35,9/27/2022
942,Week 35,9/27/2022
1047,Week 35,9/27/2022
1178,Week 35,9/27/2022
1256,Week 35,9/29/2022
1443,Week 35,9/27/2022
1510,Week 35,9/29/2022
1521,Week 35,9/27/2022
1533,Week 35,9/29/2022
1578,Week 35,9/27/2022
1588,Week 35,9/29/2022
1674,Week 35,9/27/2022
1734,Week 35,9/27/2022
1747,Week 35,9/27/2022
1837,Week 35,9/27/2022
1842,Week 35,9/27/2022
1913,Week 35,9/29/2022
1961,Week 35,9/29/2022
2005,Week 35,9/27/2022
2113,Week 35,9/29/2022
2233,Week 35,9/27/2022
2360,Week 35,9/29/2022
2448,Week 35,9/29/2022
2618,Week 35,9/27/2022
2671,Week 35,9/29/2022
2735,Week 35,9/29/2022
2881,Week 35,9/27/2022
2912,Week 35,9/27/2022
3004,Week 35,9/27/2022
3224,Week 35,9/29/2022
3225,Week 35,9/27/2022
3297,Week 35,9/27/2022
3403,Week 35,9/27/2022
3445,Week 35,9/27/2022
3633,Week 35,9/27/2022
3658,Week 35,9/29/2022
3700,Week 35,9/27/2022
3782,Week 35,9/27/2022
3799,Week 35,9/29/2022
4111,Week 35,9/27/2022
4336,Week 35,9/29/2022
4340,Week 35,9/29/2022
4393,Week 35,9/29/2022
4436,Week 35,9/29/2022
4479,Week 35,9/29/2022
4588,Week 35,9/29/2022
5028,Week 35,9/27/2022
5045,Week 35,9/29/2022
5063,Week 35,9/29/2022
5085,Week 35,9/29/2022
5137,Week 35,9/27/2022
5142,Week 35,9/27/2022
5192,Week 35,9/27/2022
5193,Week 35,9/29/2022
5298,Week 35,9/27/2022
5334,Week 35,9/29/2022
