Store Type,Item Description,Item Number,Kit Contents
Legacy,D88 NEB Small Manager's Special Beanflips ,676116892,100 Beanflips
Legacy,D88 NEB Manager's Special Digital Shelf Label Beanflips ,676116891,500 Beanflips
Legacy,D88 NEB Manager's Special Insert 16x4 ENG,675775532,15 Inserts 
Legacy,D88 NEB Manager's Special Insert 16x4 BIL,676314247,15 Inserts
Legacy,D88 NEB Manager's Special Insert 30x6.5 ENG,675776209,15 Inserts 
Legacy,D88 NEB Manager's Special Insert 30x6.5 BIL,675775412,15 Inserts 
Legacy,D88 NEB Manager's Special Insert 12.5x4 ENG,676314246,15 Inserts
Legacy,D88 NEB Manager's Special Insert 12.5x4 BIL,676314241,15 Inserts
Legacy,D88 NEB Manager's Special Outdoor Insert 12.5x4 ENG ,676314240,15 Inserts
Legacy,D88 NEB Manager's Special Outdoor Insert 12.5x4 BIL,676314250,15 Inserts
Swipe Up,D88 NEB Small Manager's Special Beanflips ,676116892,100 Beanflips
Swipe Up,D88 NEB Manager's Special Digital Shelf Label Beanflips ,676116891,500 Beanflips
Swipe Up,D88 NEB Manager's Special Insert 16x4 ENG,675775532,15 Inserts 
Swipe Up,D88 NEB Manager's Special Insert 16x4 BIL,676314247,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 30x6.5 ENG,675776209,15 Inserts 
Swipe Up,D88 NEB Manager's Special Insert 30x6.5 BIL,675775412,15 Inserts 
Swipe Up,D88 NEB Manager's Special Insert 12.5x4 ENG,676314246,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 12.5x4 BIL,676314241,15 Inserts
Swipe Up,D88 NEB Manager's Special Outdoor Insert 12.5x4 ENG ,676314240,15 Inserts
Swipe Up,D88 NEB Manager's Special Outdoor Insert 12.5x4 BIL,676314250,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 12x5.75 ENG,675775257,15 Inserts 
Swipe Up,D88 NEB Manager's Special Insert 12x5.75 BIL,675778181,15 Inserts 
Swipe Up,D88 NEB Manager's Special Outdoor Insert 12x5.75 ENG,676314245,15 Inserts
Swipe Up,D88 NEB Manager's Special Outdoor Insert 12x5.75 BIL,676314239,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 23.75x5.75 ENG,676314252,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 23.75x5.75 BIL,676314251,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 29.75x5.75 ENG,676314244,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 29.75x5.75 BIL,676314243,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 35.75x5.75 ENG,676314242,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 35.75x5.75 BIL,676314249,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 47.75x5.75 ENG,676314248,15 Inserts
Swipe Up,D88 NEB Manager's Special Insert 47.75x5.75 BIL,676314253,15 Inserts
