Store Number,Current # of Locker Doors,Current # of 18 Door Units,Current # of 36 Door Lockers,Current # of Locker Units ,18- Door Lockers to Remove,36- Door Lockers to Remove,Total Locker Units to Remove,Total Locker Units Remaining,Updates
11,72,0,2,2,,2,2,0,
99,108,0,3,3,,3,3,0,
110,36,0,1,1,,1,1,0,
112,108,0,3,3,,1,1,2,
153,72,0,2,2,,2,2,0,
155,36,0,1,1,,1,1,0,
164,72,0,2,2,,2,2,0,
177,162,1,4,5,1,4,5,0,
201,72,0,2,2,,2,2,0,
202,72,0,2,2,,2,2,0,
307,72,0,2,2,,2,2,0,
318,126,1,3,4,1,1,2,2,
352,72,0,2,2,,2,2,0,
355,72,0,2,2,,2,2,0,
411,36,0,1,1,,1,1,0,
420,72,0,2,2,,2,2,0,
480,72,0,2,2,,2,2,0,
611,72,0,2,2,,2,2,0,
626,72,0,2,2,,2,2,0,
733,72,0,2,2,,2,2,0,
760,72,0,2,2,,2,2,0,
783,72,0,2,2,,2,2,0,
817,108,0,3,3,,3,3,0,
849,72,0,2,2,,2,2,0,
890,162,1,4,5,1,4,5,0,
895,72,0,2,2,,2,2,0,
900,72,0,2,2,,2,2,0,
903,72,0,2,2,,2,2,0,
908,108,0,3,3,,3,3,0,
910,126,1,3,4,1,3,4,0,
947,36,0,1,1,,1,1,0,
948,126,1,3,4,1,1,2,2,
955,108,0,3,3,,3,3,0,
987,108,0,3,3,,3,3,0,
992,72,0,2,2,,2,2,0,
1033,126,1,3,4,1,3,4,0,
1056,126,1,3,4,1,3,4,0,
1084,72,0,2,2,,2,2,0,
1091,72,0,2,2,,2,2,0,
1118,108,0,3,3,,3,3,0,
1131,126,1,3,4,1,3,4,0,
1132,108,0,3,3,,3,3,0,
1167,126,1,3,4,1,3,4,0,
1193,72,0,2,2,,2,2,0,
1203,72,0,2,2,,2,2,0,
1238,108,0,3,3,,1,1,2,
1239,72,0,2,2,,2,2,0,
1257,72,0,2,2,,2,2,0,
1261,108,0,3,3,,3,3,0,
1264,108,0,3,3,,3,3,0,
1272,72,0,2,2,,2,2,0,
1303,108,0,3,3,,3,3,0,
1312,144,0,4,4,,2,2,2,
1331,126,1,3,4,1,3,4,0,
1337,108,0,3,3,,3,3,0,
1390,108,0,3,3,,3,3,0,
1455,108,0,3,3,,3,3,0,
1490,126,1,3,4,1,3,4,0,
1552,72,0,2,2,,2,2,0,
1566,72,0,2,2,,2,2,0,
1617,126,1,3,4,1,3,4,0,
1619,108,0,3,3,,3,3,0,
1647,108,0,3,3,,3,3,0,
1718,72,0,2,2,,2,2,0,
1838,72,0,2,2,,2,2,0,
1897,72,0,2,2,,2,2,0,
1966,126,1,3,4,1,3,4,0,
2005,162,1,4,5,1,4,5,0,
2024,108,0,3,3,,3,3,0,
2036,72,0,2,2,,2,2,0,
2078,126,1,3,4,1,3,4,0,
2125,108,0,3,3,,3,3,0,
2133,72,0,2,2,,2,2,0,
2158,108,0,3,3,,3,3,0,
2208,108,0,3,3,,3,3,0,
2267,108,0,3,3,,3,3,0,
2326,108,0,3,3,,3,3,0,
2394,36,0,1,1,,1,1,0,
2395,36,0,1,1,,1,1,0,
2419,72,0,2,2,,2,2,0,
2429,72,0,2,2,,2,2,0,
2434,72,0,2,2,,2,2,0,
2480,126,1,3,4,1,3,4,0,
2499,36,0,1,1,,1,1,0,
2505,108,0,3,3,,3,3,0,
2629,144,0,4,4,,4,4,0,
2678,72,0,2,2,,2,2,0,
2691,126,1,3,4,1,3,4,0,
2718,72,0,2,2,,2,2,0,
2804,72,0,2,2,,2,2,0,
2828,108,0,3,3,,3,3,0,
2880,36,0,1,1,,1,1,0,
2890,72,0,2,2,,2,2,0,
2919,36,0,1,1,,1,1,0,
2929,126,1,3,4,1,1,2,2,
2940,36,0,1,1,,1,1,0,
2991,126,1,3,4,1,3,4,0,
2992,108,0,3,3,,3,3,0,
3127,36,0,1,1,,1,1,0,
3128,36,0,1,1,,1,1,0,
3162,36,0,1,1,,1,1,0,
3168,36,0,1,1,,1,1,0,
3225,108,0,3,3,,3,3,0,
3247,126,1,3,4,1,3,4,0,
3295,72,0,2,2,,2,2,0,
3347,108,0,3,3,,3,3,0,
3348,126,1,3,4,1,3,4,0,
3411,36,0,1,1,,1,1,0,
3456,36,0,1,1,,1,1,0,
3500,108,0,3,3,,3,3,0,
3504,36,0,1,1,,1,1,0,
3508,36,0,1,1,,1,1,0,
3510,72,0,2,2,,2,2,0,
3533,126,1,3,4,1,3,4,0,
3566,126,1,3,4,1,3,4,0,
3584,72,0,2,2,,2,2,0,
3594,36,0,1,1,,1,1,0,
3600,36,0,1,1,,1,1,0,
3601,72,0,2,2,,2,2,0,
3617,36,0,1,1,,1,1,0,
3622,36,0,1,1,,1,1,0,
3723,36,0,1,1,,1,1,0,
3743,36,0,1,1,,1,1,0,
3745,36,0,1,1,,1,1,0,
3788,36,0,1,1,,1,1,0,
3857,126,1,3,4,1,3,4,0,
3891,126,1,3,4,1,3,4,0,
4128,36,0,1,1,,1,1,0,
4163,36,0,1,1,,1,1,0,
4219,108,0,3,3,,3,3,0,
4298,72,0,2,2,,2,2,0,
4339,36,0,1,1,,1,1,0,
4376,36,0,1,1,,1,1,0,
4387,144,0,4,4,,4,4,0,
4399,72,0,2,2,,2,2,0,
4460,72,0,2,2,,2,2,0,
4464,36,0,1,1,,1,1,0,
4469,36,0,1,1,,1,1,0,
4557,36,0,1,1,,1,1,0,
4585,36,0,1,1,,1,1,0,
4588,108,0,3,3,,3,3,0,
4589,36,0,1,1,,1,1,0,
4591,36,0,1,1,,1,1,0,
4600,72,0,2,2,,2,2,0,
4619,36,0,1,1,,1,1,0,
4641,126,1,3,4,1,3,4,0,
4681,108,0,3,3,,3,3,0,
5094,36,0,1,1,,1,1,0,
5129,36,0,1,1,,1,1,0,
5235,108,0,3,3,,3,3,0,
5258,36,0,1,1,,1,1,0,
5259,36,0,1,1,,1,1,0,
5336,36,0,1,1,,1,1,0,
5353,36,0,1,1,,1,1,0,
5398,36,0,1,1,,1,1,0,
5463,126,1,3,4,1,3,4,0,
5492,72,0,2,2,,2,2,0,
5614,36,0,1,1,,1,1,0,
5670,36,0,1,1,,1,1,0,
5787,72,0,2,2,,2,2,0,
5789,36,0,1,1,,1,1,0,
5790,36,0,1,1,,1,1,0,
5826,36,0,1,1,,1,1,0,
5866,72,0,2,2,,2,2,0,
5988,36,0,1,1,,1,1,0,
6149,36,0,1,1,,1,1,0,
6243,36,0,1,1,,1,1,0,
6828,36,0,1,1,,1,1,0,
6894,36,0,1,1,,1,1,0,
6936,36,0,1,1,,1,1,0,
6958,72,0,2,2,,2,2,0,
7309,36,0,1,1,,1,1,0,
7315,36,0,1,1,,1,1,0,
7349,36,0,1,1,,1,1,0,
7362,36,0,1,1,,1,1,0,
