DC,BANNER,PICK TYPE,DESC,WEEK 31,WEEK 32,WEEK 33,WEEK 34,WEEK 35,WEEK 36,WEEK 37,WEEK 38,WEEK 39
3010,WM,FPP,PUMPKIN,637,273,378,630,686,1547,2387,2863,300
6042,SAMS,FPP,PUMPKIN,335,350,350,400,550,550,700,650,0
6042,WM,FPP,AUTUMN COLOURS,139,0,0,0,0,0,0,0,0
6042,WM,FPP,PUMPKIN,315,175,273,588,945,1134,1638,1813,220
6042,WM,FPP,PUMPKIN WHITE,69,0,0,0,0,0,0,0,0
6042,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6042,WM,Case Pick,GOURDS,4,0,0,0,0,0,0,0,0
6042,WM,Case Pick,ORNAMENTALS,53,0,0,0,0,0,0,0,0
6042,WM,Case Pick,PIE PUMPKIN,57,8,0,0,0,0,0,0,0
6042,WM,Case Pick,MINI PUMPKIN,4,0,0,0,0,0,0,0,0
6042,WM,Case Pick,TIGER PUMPKIN ,4,0,0,0,0,0,0,0,0
6047,SAMS,FPP,PUMPKIN,338,220,220,350,400,450,450,350,0
6047,WM,FPP,AUTUMN COLOURS,142,0,0,0,0,0,0,0,0
6047,WM,FPP,PUMPKIN,322,126,154,329,343,742,973,1183,260
6047,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6047,WM,Case Pick,ORNAMENTALS,75,0,0,0,0,0,0,0,0
6047,WM,Case Pick,PIE PUMPKIN,90,0,0,0,0,0,0,0,0
6047,WM,Case Pick,TIGER PUMPKIN,4,0,0,0,0,0,0,0,0
6055,SAMS,FPP,PUMPKIN,656,350,450,450,600,750,1050,750,0
6055,WM,FPP,AUTUMN COLOURS,153,0,0,0,0,0,0,0,0
6055,WM,FPP,PUMPKIN,196,49,70,161,238,378,497,693,75
6055,WM,FPP,PUMPKIN WHITE,87,0,0,0,0,0,0,0,0
6055,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6055,WM,Case Pick,GOURDS,5,0,0,0,0,0,0,0,0
6055,WM,Case Pick,ORNAMENTALS,69,0,0,0,0,0,0,0,0
6055,WM,Case Pick,PIE PUMPKIN,0,0,0,0,0,0,0,0,0
6055,WM,Case Pick,MINI PUMPKIN,5,0,0,0,0,0,0,0,0
6055,WM,Case Pick,TIGER PUMPKIN,5,0,0,0,0,0,0,0,0
6056,SAMS,FPP,PUMPKIN,1058,600,600,700,1100,1100,1500,1250,0
6056,WM,FPP,AUTUMN COLOURS,123,0,0,0,0,0,0,0,0
6056,WM,FPP,PUMPKIN WHITE,117,0,0,0,0,0,0,0,0
6056,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6056,WM,Case Pick,GOURDS,3,0,0,0,0,0,0,0,0
6056,WM,Case Pick,ORNAMENTALS,36,0,0,0,0,0,0,0,0
6056,WM,Case Pick,PIE PUMPKIN,43,0,0,0,0,0,0,0,0
6056,WM,Case Pick,MINI PUMPKIN,3,0,0,0,0,0,0,0,0
6056,WM,Case Pick,TIGER PUMPKIN,3,0,0,0,0,0,0,0,0
6057,SAMS,FPP,PUMPKIN,354,200,200,250,400,450,450,400,0
6057,WM,FPP,AUTUMN COLOURS,208,0,0,0,0,0,0,0,0
6057,WM,FPP,PUMPKIN,357,63,105,266,343,665,889,1113,230
6057,WM,FPP,PUMPKIN WHITE,100,0,0,0,0,0,0,0,0
6057,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6057,WM,Case Pick,GOURDS,8,0,0,0,0,0,0,0,0
6057,WM,Case Pick,ORNAMENTALS,69,0,0,0,0,0,0,0,0
6057,WM,Case Pick,PIE PUMPKIN,83,15,0,0,0,0,0,0,0
6057,WM,Case Pick,MINI PUMPKIN,8,0,0,0,0,0,0,0,0
6057,WM,Case Pick,TIGER PUMPKIN,8,0,0,0,0,0,0,0,0
6059,SAMS,FPP,PUMPKIN,678,400,450,600,1000,1100,1300,1200,0
6059,WM,FPP,AUTUMN COLOURS,139,0,0,0,0,0,0,0,0
6059,WM,FPP,PUMPKIN,350,119,154,308,469,763,1064,1225,205
6059,WM,FPP,PUMPKIN WHITE,76,1,0,0,0,0,0,0,0
6059,WM,FPP,CANDY CORN PUMPKIN,74,0,0,0,0,0,0,0,0
6059,WM,Case Pick,GOURDS,4,0,0,0,0,0,0,0,0
6059,WM,Case Pick,ORNAMENTALS,71,0,0,0,0,0,0,0,0
6059,WM,Case Pick,PIE PUMPKIN,86,0,0,0,0,0,0,0,0
6059,WM,Case Pick,MINI PUMPKIN,4,0,0,0,0,0,0,0,0
6059,WM,Case Pick,TIGER PUMPKIN,4,0,0,0,0,0,0,0,0
6062,WM,FPP,AUTUMN COLOURS,208,0,0,0,0,0,0,0,0
6062,WM,FPP,PUMPKIN,525,168,301,609,861,1449,2191,2534,300
6062,WM,FPP,PUMPKIN WHITE,151,0,0,0,0,0,0,0,0
6062,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6062,WM,Case Pick,GOURDS,7,0,0,0,0,0,0,0,0
6062,WM,Case Pick,ORNAMENTALS,96,0,0,0,0,0,0,0,0
6062,WM,Case Pick,PIE PUMPKIN,113,0,0,0,0,0,0,0,0
6062,WM,Case Pick,MINI PUMPKIN,7,0,0,0,0,0,0,0,0
6062,WM,Case Pick,TIGER PUMPKIN,7,0,0,0,0,0,0,0,0
6064,WM,FPP,AUTUMN COLOURS,161,23,0,0,0,0,0,0,0
6064,WM,FPP,PUMPKIN,252,84,112,315,553,658,1127,1386,200
6064,WM,FPP,PUMPKIN WHITE,139,0,0,0,0,0,0,0,0
6064,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6064,WM,Case Pick,GOURDS,3,2,0,0,0,0,0,0,0
6064,WM,Case Pick,ORNAMENTALS,62,0,0,0,0,0,0,0,0
6064,WM,Case Pick,PIE PUMPKIN,71,8,0,0,0,0,0,0,0
6064,WM,Case Pick,MINI PUMPKIN,5,0,0,0,0,0,0,0,0
6064,WM,Case Pick,TIGER PUMPKIN,5,0,0,0,0,0,0,0,0
6065,SAMS,FPP,PUMPKIN,400,315,380,530,700,800,900,1025,0
6065,WM,FPP,AUTUMN COLOURS,139,0,0,0,0,0,0,0,0
6065,WM,FPP,PUMPKIN,266,126,147,336,560,749,1057,1190,155
6065,WM,FPP,PUMPKIN WHITE,69,0,0,0,0,0,0,0,0
6065,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6065,WM,Case Pick,GOURDS,6,0,0,0,0,0,0,0,0
6065,WM,Case Pick,ORNAMENTALS,60,0,0,0,0,0,0,0,0
6065,WM,Case Pick,PIE PUMPKIN,68,0,0,0,0,0,0,0,0
6065,WM,Case Pick,MINI PUMPKIN,6,0,0,0,0,0,0,0,0
6065,WM,Case Pick,TIGER PUMPKIN,6,0,0,0,0,0,0,0,0
6071,WM,FPP,PUMPKIN,399,84,112,294,357,350,840,1106,120
6071,WM,FPP,PUMPKIN WHITE,51,0,0,0,0,0,0,0,0
6071,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6071,WM,Case Pick,GOURDS,3,0,0,0,0,0,0,0,0
6071,WM,Case Pick,ORNAMENTALS,12,2,0,0,0,0,0,0,0
6071,WM,Case Pick,TIGER PUMPKIN,3,0,0,0,0,0,0,0,0
6072,WM,FPP,AUTUMN COLOURS,210,0,0,0,0,0,0,0,0
6072,WM,FPP,PUMPKIN,497,91,147,420,581,994,1603,1911,355
6072,WM,FPP,PUMPKIN WHITE,151,0,0,0,0,0,0,0,0
6072,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6072,WM,Case Pick,GOURDS,7,0,0,0,0,0,0,0,0
6072,WM,Case Pick,ORNAMENTALS,100,0,0,0,0,0,0,0,0
6072,WM,Case Pick,PIE PUMPKIN,114,0,0,0,0,0,0,0,0
6072,WM,Case Pick,MINI PUMPKIN,7,0,0,0,0,0,0,0,0
6072,WM,Case Pick,TIGER PUMPKIN,7,0,0,0,0,0,0,0,0
6073,WM,FPP,PUMPKIN,427,154,203,427,651,1015,1365,1820,260
6073,WM,FPP,PUMPKIN WHITE,51,0,0,0,0,0,0,0,0
6073,WM,FPP,CANDY CORN PUMPKIN,0,69,0,0,0,0,0,0,0
6073,WM,Case Pick,GOURDS,3,0,0,0,0,0,0,0,0
6073,WM,Case Pick,ORNAMENTALS,9,1,0,0,0,0,0,0,0
6073,WM,Case Pick,TIGER PUMPKIN,3,0,0,0,0,0,0,0,0
6074,SAMS,FPP,PUMPKIN,325,135,160,250,310,400,500,335,0
6074,WM,FPP,AUTUMN COLOURS,278,0,0,0,0,0,0,0,0
6074,WM,FPP,PUMPKIN,539,98,140,392,371,1015,1323,1631,165
6074,WM,FPP,PUMPKIN WHITE,139,0,0,0,0,0,0,0,0
6074,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6074,WM,Case Pick,GOURDS,8,0,0,0,0,0,0,0,0
6074,WM,Case Pick,ORNAMENTALS,107,0,0,0,0,0,0,0,0
6074,WM,Case Pick,PIE PUMPKIN,4,0,0,0,0,0,0,0,0
6074,WM,Case Pick,MINI PUMPKIN,8,0,0,0,0,0,0,0,0
6074,WM,Case Pick,TIGER PUMPKIN,8,0,0,0,0,0,0,0,0
6077,WM,FPP,AUTUMN COLOURS,221,0,0,0,0,0,0,0,0
6077,WM,FPP,PUMPKIN,546,238,343,672,1008,1246,1806,2275,375
6077,WM,FPP,PUMPKIN WHITE,111,2,0,0,0,0,0,0,0
6077,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6077,WM,Case Pick,GOURDS,5,0,0,0,0,0,0,0,0
6077,WM,Case Pick,ORNAMENTALS,96,0,0,0,0,0,0,0,0
6077,WM,Case Pick,PIE PUMPKIN,116,0,0,0,0,0,0,0,0
6077,WM,Case Pick,MINI PUMPKIN,5,0,0,0,0,0,0,0,0
6077,WM,Case Pick,TIGER PUMPKIN,5,0,0,0,0,0,0,0,0
6082,WM,FPP,AUTUMN COLOURS,239,0,0,0,0,0,0,0,0
6082,WM,FPP,PUMPKIN,504,182,259,588,903,1127,1729,2114,360
6082,WM,FPP,PUMPKIN WHITE,151,0,0,0,0,0,0,0,0
6082,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6082,WM,Case Pick,GOURDS,8,0,0,0,0,0,0,0,0
6082,WM,Case Pick,ORNAMENTALS,87,0,0,0,0,0,0,0,0
6082,WM,Case Pick,PIE PUMPKIN,100,3,0,0,0,0,0,0,0
6082,WM,Case Pick,MINI PUMPKIN,8,0,0,0,0,0,0,0,0
6082,WM,Case Pick,TIGER PUMPKIN,8,0,0,0,0,0,0,0,0
6083,WM,FPP,AUTUMN COLOURS,393,0,0,0,0,0,0,0,0
6083,WM,FPP,PUMPKIN,735,126,175,567,812,1372,2275,2653,400
6083,WM,FPP,PUMPKIN WHITE,176,0,0,0,0,0,0,0,0
6083,WM,FPP,CANDY CORN PUMPKIN,69,69,0,0,0,0,0,0,0
6083,WM,Case Pick,GOURDS,9,0,0,0,0,0,0,0,0
6083,WM,Case Pick,ORNAMENTALS,144,0,0,0,0,0,0,0,0
6083,WM,Case Pick,PIE PUMPKIN,173,0,0,0,0,0,0,0,0
6083,WM,Case Pick,MINI PUMPKIN,9,0,0,0,0,0,0,0,0
6083,WM,Case Pick,TIGER PUMPKIN,9,0,0,0,0,0,0,0,0
6084,WM,FPP,AUTUMN COLOURS,151,22,0,0,0,0,0,0,0
6084,WM,FPP,PUMPKIN,336,105,147,329,497,847,1414,1946,285
6084,WM,FPP,PUMPKIN WHITE,128,0,0,0,0,0,0,0,0
6084,WM,Case Pick,GOURDS,2,3,0,0,0,0,0,0,0
6084,WM,Case Pick,ORNAMENTALS,59,0,0,0,0,0,0,0,0
6084,WM,Case Pick,PIE PUMPKIN,68,8,0,0,0,0,0,0,0
6084,WM,Case Pick,MINI PUMPKIN,5,0,0,0,0,0,0,0,0
6084,WM,Case Pick,TIGER PUMPKIN,5,0,0,0,0,0,0,0,0
6085,WM,FPP,AUTUMN COLOURS,208,0,0,0,0,0,0,0,0
6085,WM,FPP,PUMPKIN,483,105,140,406,455,833,1372,1820,250
6085,WM,FPP,PUMPKIN WHITE,96,1,0,0,0,0,0,0,0
6085,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6085,WM,Case Pick,GOURDS,1,2,0,0,0,0,0,0,0
6085,WM,Case Pick,ORNAMENTALS,101,0,0,0,0,0,0,0,0
6085,WM,Case Pick,PIE PUMPKIN,0,2,0,0,0,0,0,0,0
6085,WM,Case Pick,MINI PUMPKIN,2,2,0,0,0,0,0,0,0
6085,WM,Case Pick,TIGER PUMPKIN,1,0,0,0,0,0,0,0,0
6090,WM,FPP,PUMPKIN,308,77,168,434,693,980,1624,2226,650
6090,WM,FPP,PUMPKIN WHITE,88,2,0,0,0,0,0,0,0
6090,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6090,WM,Case Pick,GOURDS,7,0,0,0,0,0,0,0,0
6090,WM,Case Pick,ORNAMENTALS,81,0,0,0,0,0,0,0,0
6090,WM,Case Pick,PIE PUMPKIN,99,0,0,0,0,0,0,0,0
6090,WM,Case Pick,MINI PUMPKIN,7,0,0,0,0,0,0,0,0
6090,WM,Case Pick,TIGER PUMPKIN,7,0,0,0,0,0,0,0,0
6091,SAMS,FPP,PUMPKIN,460,300,400,450,550,650,750,675,0
6091,WM,FPP,PUMPKIN,315,112,140,315,385,609,819,1057,210
6091,WM,FPP,PUMPKIN WHITE,43,0,0,0,0,0,0,0,0
6091,WM,Case Pick,GOURDS,3,0,0,0,0,0,0,0,0
6091,WM,Case Pick,ORNAMENTALS,8,1,0,0,0,0,0,0,0
6091,WM,Case Pick,TIGER PUMPKIN,3,0,0,0,0,0,0,0,0
6095,WM,FPP,AUTUMN COLOURS,217,0,0,0,0,0,0,0,0
6095,WM,FPP,PUMPKIN,567,105,203,476,756,1281,2226,2492,305
6095,WM,FPP,PUMPKIN WHITE,151,0,0,0,0,0,0,0,0
6095,WM,Case Pick,GOURDS,6,0,0,0,0,0,0,0,0
6095,WM,Case Pick,ORNAMENTALS,96,0,0,0,0,0,0,0,0
6095,WM,Case Pick,PIE PUMPKIN,113,0,0,0,0,0,0,0,0
6095,WM,Case Pick,MINI PUMPKIN,6,0,0,0,0,0,0,0,0
6095,WM,Case Pick,TIGER PUMPKIN,6,0,0,0,0,0,0,0,0
6096,SAMS,FPP,PUMPKIN,300,125,160,250,310,325,415,415,0
6096,WM,FPP,AUTUMN COLOURS,182,0,0,0,0,0,0,0,0
6096,WM,FPP,PUMPKIN,301,140,175,343,448,630,854,1169,345
6096,WM,FPP,PUMPKIN WHITE,154,0,0,0,0,0,0,0,0
6096,WM,FPP,CANDY CORN PUMPKIN,69,0,0,0,0,0,0,0,0
6096,WM,Case Pick,GOURDS,3,2,0,0,0,0,0,0,0
6096,WM,Case Pick,TIGER PUMPKIN,3,0,0,0,0,0,0,0,0
